##NAMES=Stottite
##RRUFFID=R120089
##IDEAL CHEMISTRY=Fe^2+^Ge^4+^(OH)_6_
##LOCALITY=Tsumeb, Namibia
##OWNER=RRUFF
##SOURCE=William W Pinch
##DESCRIPTION=Yellow to red gemmy crystals and fragments associated with chalcocite R120090, siderite and tennantite
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R120089
2.468451e+002, 6.827258e+001
2.473272e+002, 6.962901e+001
2.478093e+002, 7.106334e+001
2.482914e+002, 7.253698e+001
2.487736e+002, 7.403196e+001
2.492557e+002, 7.554887e+001
2.497378e+002, 7.706606e+001
2.502199e+002, 7.844337e+001
2.507020e+002, 8.002286e+001
2.511841e+002, 8.213093e+001
2.516663e+002, 8.435960e+001
2.521484e+002, 8.613945e+001
2.526305e+002, 8.719664e+001
2.531126e+002, 8.780862e+001
2.535947e+002, 8.887685e+001
2.540768e+002, 9.055150e+001
2.545590e+002, 9.257124e+001
2.550411e+002, 9.511486e+001
2.555232e+002, 9.791405e+001
2.560053e+002, 1.007209e+002
2.564874e+002, 1.034204e+002
2.569695e+002, 1.060448e+002
2.574517e+002, 1.086658e+002
2.579338e+002, 1.111739e+002
2.584159e+002, 1.138357e+002
2.588980e+002, 1.166271e+002
2.593801e+002, 1.195883e+002
2.598622e+002, 1.227667e+002
2.603444e+002, 1.261782e+002
2.608265e+002, 1.298432e+002
2.613086e+002, 1.338021e+002
2.617907e+002, 1.383286e+002
2.622728e+002, 1.427861e+002
2.627549e+002, 1.472250e+002
2.632371e+002, 1.515835e+002
2.637192e+002, 1.561072e+002
2.642013e+002, 1.608257e+002
2.646834e+002, 1.649075e+002
2.651655e+002, 1.671804e+002
2.656476e+002, 1.674811e+002
2.661298e+002, 1.657268e+002
2.666119e+002, 1.610980e+002
2.670940e+002, 1.548576e+002
2.675761e+002, 1.478736e+002
2.680582e+002, 1.403439e+002
2.685403e+002, 1.326725e+002
2.690225e+002, 1.251884e+002
2.695046e+002, 1.178087e+002
2.699867e+002, 1.114507e+002
2.704688e+002, 1.060921e+002
2.709509e+002, 1.018154e+002
2.714330e+002, 9.883406e+001
2.719152e+002, 9.714200e+001
2.723973e+002, 9.628061e+001
2.728794e+002, 9.584966e+001
2.733615e+002, 9.591904e+001
2.738436e+002, 9.669514e+001
2.743257e+002, 9.828541e+001
2.748079e+002, 1.005126e+002
2.752900e+002, 1.033002e+002
2.757721e+002, 1.066343e+002
2.762542e+002, 1.103401e+002
2.767363e+002, 1.143246e+002
2.772184e+002, 1.186142e+002
2.777006e+002, 1.232419e+002
2.781827e+002, 1.283334e+002
2.786648e+002, 1.336306e+002
2.791469e+002, 1.391703e+002
2.796290e+002, 1.448573e+002
2.801111e+002, 1.500590e+002
2.805933e+002, 1.542267e+002
2.810754e+002, 1.576365e+002
2.815575e+002, 1.614279e+002
2.820396e+002, 1.658143e+002
2.825217e+002, 1.703051e+002
2.830038e+002, 1.744959e+002
2.834860e+002, 1.784845e+002
2.839681e+002, 1.828043e+002
2.844502e+002, 1.876483e+002
2.849323e+002, 1.930581e+002
2.854144e+002, 1.989301e+002
2.858965e+002, 2.051550e+002
2.863787e+002, 2.120268e+002
2.868608e+002, 2.196898e+002
2.873429e+002, 2.281101e+002
2.878250e+002, 2.372432e+002
2.883071e+002, 2.469561e+002
2.887892e+002, 2.576138e+002
2.892714e+002, 2.696972e+002
2.897535e+002, 2.831880e+002
2.902356e+002, 2.974198e+002
2.907177e+002, 3.120107e+002
2.911998e+002, 3.271074e+002
2.916819e+002, 3.433464e+002
2.921641e+002, 3.610494e+002
2.926462e+002, 3.796620e+002
2.931283e+002, 3.991150e+002
2.936104e+002, 4.192280e+002
2.940925e+002, 4.385559e+002
2.945746e+002, 4.578195e+002
2.950568e+002, 4.756290e+002
2.955389e+002, 4.898158e+002
2.960210e+002, 5.007939e+002
2.965031e+002, 5.060668e+002
2.969852e+002, 5.024276e+002
2.974673e+002, 4.914849e+002
2.979495e+002, 4.754411e+002
2.984316e+002, 4.541167e+002
2.989137e+002, 4.285011e+002
2.993958e+002, 3.988159e+002
