##NAMES=Nenadkevichite
##RRUFFID=R070610
##IDEAL CHEMISTRY=(Na,[box])_8_Nb^5+^_4_(Si_4_O_12_)_2_(O,OH)_4_&#183;8H_2_O
##LOCALITY=Desourdy Quarry, Mount Saint Hilaire, Rouville County, Quebec, Canada
##OWNER=RRUFF
##SOURCE=James Shigley
##DESCRIPTION=Cluster of pale-pink translucent tabular pseudohexagonal crystals, associated with analcime
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R070610
294.4004, 15717.79
294.8825, 15534.62
295.3646, 15348.72
295.8467, 15161.55
296.3288, 14980.64
296.8109, 14805.94
297.2931, 14641.53
297.7752, 14502.61
298.2573, 14392.54
298.7394, 14289.45
299.2215, 14173.85
299.7036, 14048.75
300.1858, 13925.53
300.6679, 13807.13
301.1500, 13693.74
301.6321, 13583.47
302.1142, 13476.84
302.5963, 13373.47
303.0785, 13278.61
303.5606, 13186.19
304.0427, 13086.21
304.5248, 12978.19
305.0069, 12857.79
305.4890, 12717.25
305.9712, 12553.10
306.4533, 12390.36
306.9354, 12246.49
307.4175, 12113.31
307.8996, 11980.81
308.3817, 11849.29
308.8639, 11713.38
309.3460, 11565.37
309.8281, 11404.38
310.3102, 11252.64
310.7923, 11141.56
311.2744, 11042.18
311.7566, 10918.17
312.2387, 10713.91
312.7208, 10515.81
313.2029, 10379.43
313.6850, 10307.29
314.1671, 10236.57
314.6493, 10147.11
315.1314, 10042.87
315.6135, 9929.185
316.0956, 9778.865
316.5777, 9645.595
317.0598, 9561.882
317.5420, 9527.542
318.0241, 9477.461
318.5062, 9371.800
318.9883, 9252.792
319.4704, 9155.889
319.9525, 9114.335
320.4347, 9069.294
320.9168, 8997.755
321.3989, 8901.650
321.8810, 8828.545
322.3631, 8808.718
322.8452, 8801.566
323.3273, 8778.177
323.8094, 8715.792
324.2916, 8659.172
324.7737, 8614.409
325.2558, 8580.902
325.7379, 8549.898
326.2200, 8523.006
326.7021, 8497.355
327.1843, 8470.908
327.6664, 8438.600
328.1485, 8412.443
328.6306, 8397.851
329.1127, 8391.770
329.5948, 8374.751
330.0770, 8336.078
330.5591, 8298.002
331.0412, 8274.630
331.5233, 8274.429
332.0054, 8270.769
332.4875, 8263.525
332.9697, 8251.899
333.4518, 8231.501
333.9339, 8198.045
334.4160, 8163.362
334.8981, 8131.454
335.3802, 8098.745
335.8624, 8082.820
336.3445, 8089.871
336.8266, 8109.874
337.3087, 8119.316
337.7908, 8116.672
338.2729, 8108.275
338.7551, 8093.853
339.2372, 8072.696
339.7193, 8063.055
340.2014, 8070.497
340.6835, 8081.643
341.1656, 8065.295
341.6478, 8018.966
342.1299, 7985.204
342.6120, 7994.665
343.0941, 8039.762
343.5762, 8064.981
344.0583, 8066.603
344.5405, 8058.811
345.0226, 8069.043
345.5047, 8092.646
345.9868, 8093.250
346.4689, 8031.840
346.9510, 7937.422
347.4332, 7883.693
347.9153, 7873.602
348.3974, 7883.379
348.8795, 7892.506
349.3616, 7902.413
349.8438, 7917.353
350.3259, 7940.698
350.8080, 7969.073
351.2901, 8000.750
351.7722, 8035.435
352.2543, 8066.655
352.7365, 8085.787
353.2186, 8098.273
353.7007, 8112.661
354.1828, 8132.659
354.6649, 8154.989
355.1470, 8177.725
355.6292, 8200.854
356.1113, 8225.102
356.5934, 8250.338
357.0755, 8277.154
357.5576, 8305.822
358.0397, 8331.265
358.5219, 8364.707
359.0040, 8417.707
359.4861, 8485.297
359.9682, 8545.727
360.4503, 8590.892
360.9324, 8626.206
361.4146, 8653.863
361.8967, 8662.326
362.3788, 8681.174
362.8609, 8726.279
363.3430, 8787.891
363.8251, 8838.776
364.3073, 8852.748
364.7894, 8871.712
365.2715, 8915.881
365.7536, 9011.763
366.2357, 9086.308
366.7178, 9126.313
367.2000, 9144.496
367.6820, 9163.042
368.1642, 9182.146
368.6463, 9201.361
369.1284, 9220.839
369.6105, 9240.807
370.0926, 9259.828
370.5747, 9281.472
371.0569, 9299.383
371.5390, 9303.905
372.0211, 9287.549
372.5032, 9275.440
372.9853, 9279.884
373.4674, 9301.280
373.9496, 9294.161
374.4317, 9251.923
374.9138, 9193.928
375.3959, 9136.406
375.8780, 9077.657
376.3601, 9030.561
376.8423, 9002.450
377.3244, 8986.777
377.8065, 8953.648
378.2886, 8900.072
378.7707, 8847.355
379.2528, 8818.761
379.7350, 8809.806
380.2171, 8788.595
380.6992, 8744.667
381.1813, 8691.870
381.6634, 8651.702
382.1455, 8624.281
