##NAMES=Fergusonite-(Ce)
##RRUFFID=R110050
##IDEAL CHEMISTRY=Ce^3+^Nb^5+^O_4_&#183;0.3H_2_O
##LOCALITY=Mount Malosa, Zomba District, Malawi
##OWNER=RRUFF
##SOURCE=Donald M Doell
##DESCRIPTION=Brown prismatic crystals on microcline, associated with zircon
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R110050
3.395802e+002, 6.047029e+003
3.400623e+002, 6.074080e+003
3.405444e+002, 6.099564e+003
3.410266e+002, 6.124180e+003
3.415087e+002, 6.147633e+003
3.419908e+002, 6.172721e+003
3.424729e+002, 6.203450e+003
3.429550e+002, 6.239419e+003
3.434371e+002, 6.269188e+003
3.439193e+002, 6.289776e+003
3.444014e+002, 6.306986e+003
3.448835e+002, 6.330826e+003
3.453656e+002, 6.361261e+003
3.458477e+002, 6.393763e+003
3.463298e+002, 6.428297e+003
3.468120e+002, 6.463787e+003
3.472941e+002, 6.492748e+003
3.477762e+002, 6.514514e+003
3.482583e+002, 6.534462e+003
3.487404e+002, 6.558702e+003
3.492225e+002, 6.586719e+003
3.497047e+002, 6.616205e+003
3.501868e+002, 6.647729e+003
3.506689e+002, 6.679415e+003
3.511510e+002, 6.707314e+003
3.516331e+002, 6.731369e+003
3.521152e+002, 6.756157e+003
3.525974e+002, 6.786125e+003
3.530795e+002, 6.819382e+003
3.535616e+002, 6.852645e+003
3.540437e+002, 6.885730e+003
3.545258e+002, 6.917347e+003
3.550079e+002, 6.946354e+003
3.554901e+002, 6.972912e+003
3.559722e+002, 6.998282e+003
3.564543e+002, 7.021569e+003
3.569364e+002, 7.044876e+003
3.574185e+002, 7.070644e+003
3.579006e+002, 7.099487e+003
3.583828e+002, 7.130344e+003
3.588649e+002, 7.164456e+003
3.593470e+002, 7.200278e+003
3.598291e+002, 7.234950e+003
3.603112e+002, 7.267144e+003
3.607933e+002, 7.297818e+003
3.612755e+002, 7.326667e+003
3.617576e+002, 7.352956e+003
3.622397e+002, 7.382378e+003
3.627218e+002, 7.421862e+003
3.632039e+002, 7.463841e+003
3.636860e+002, 7.499884e+003
3.641682e+002, 7.520654e+003
3.646503e+002, 7.542294e+003
3.651324e+002, 7.570271e+003
3.656145e+002, 7.604606e+003
3.660966e+002, 7.637555e+003
3.665787e+002, 7.666893e+003
3.670609e+002, 7.695087e+003
3.675430e+002, 7.723724e+003
3.680251e+002, 7.755820e+003
3.685072e+002, 7.785224e+003
3.689893e+002, 7.808724e+003
3.694714e+002, 7.828689e+003
3.699536e+002, 7.852360e+003
3.704357e+002, 7.883555e+003
3.709178e+002, 7.914602e+003
3.713999e+002, 7.942107e+003
3.718820e+002, 7.964906e+003
3.723641e+002, 7.987795e+003
3.728463e+002, 8.011350e+003
3.733284e+002, 8.034325e+003
3.738105e+002, 8.054525e+003
3.742926e+002, 8.070065e+003
3.747747e+002, 8.087134e+003
3.752568e+002, 8.108257e+003
3.757390e+002, 8.133534e+003
