##NAMES=Peretaite
##RRUFFID=R060459
##IDEAL CHEMISTRY=CaSb^3+^_4_O_4_(S^6+^O_4_)_2_(OH)_2_&#183;2H_2_O
##LOCALITY=Pereta mine, Grosseto, Tuscany, Italy
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Colorless thin plates, with red incrustations of valentinite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R060459
240.0094, 1595.976
240.4915, 1588.844
240.9736, 1581.328
241.4557, 1572.795
241.9378, 1564.056
242.4200, 1556.979
242.9021, 1552.441
243.3842, 1548.025
243.8663, 1542.668
244.3484, 1535.688
244.8306, 1529.811
245.3127, 1525.479
245.7948, 1522.066
246.2769, 1518.493
246.7590, 1514.831
247.2411, 1510.963
247.7233, 1506.576
248.2054, 1501.049
248.6875, 1497.520
249.1696, 1497.037
249.6517, 1497.903
250.1338, 1497.359
250.6160, 1494.902
251.0981, 1491.947
251.5802, 1488.798
252.0623, 1485.274
252.5444, 1482.429
253.0265, 1480.409
253.5087, 1478.983
253.9908, 1477.916
254.4729, 1477.387
254.9550, 1476.879
255.4371, 1476.419
255.9192, 1476.142
256.4014, 1474.675
256.8835, 1471.022
257.3656, 1467.168
257.8477, 1465.701
258.3298, 1467.901
258.8120, 1469.590
259.2941, 1469.576
259.7762, 1467.723
260.2583, 1466.238
260.7404, 1464.975
261.2225, 1464.201
261.7047, 1464.104
262.1868, 1464.544
262.6689, 1466.107
263.1510, 1469.801
263.6331, 1475.441
264.1152, 1477.188
264.5974, 1473.487
265.0795, 1468.261
265.5616, 1465.414
266.0437, 1465.613
266.5258, 1465.899
267.0079, 1465.763
267.4901, 1465.280
267.9722, 1465.123
268.4543, 1465.618
268.9364, 1465.869
269.4185, 1464.889
269.9006, 1462.232
270.3828, 1460.418
270.8649, 1460.016
271.3470, 1460.713
271.8291, 1460.822
272.3112, 1459.881
272.7933, 1459.480
273.2755, 1461.466
273.7576, 1466.500
274.2397, 1468.971
274.7218, 1467.508
275.2039, 1463.410
275.6860, 1460.363
276.1682, 1458.226
276.6503, 1457.557
277.1324, 1459.611
277.6145, 1464.761
278.0966, 1467.686
278.5787, 1467.755
279.0609, 1465.764
279.5430, 1462.745
280.0251, 1458.409
280.5072, 1455.198
280.9893, 1455.069
