##NAMES=Cristobalite
##RRUFFID=R061064
##IDEAL CHEMISTRY=SiO_2_
##LOCALITY=Ellora Caves, India
##OWNER=RRUFF
##SOURCE=Harvard Mineralogical Museum
##DESCRIPTION=Colorless single crystals, octahedra and groups of octahedra, some have transformed to quartz. Sample used in Downs and Palmer (1994)
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R061064
##MEASURED CHEMISTRY=Si_1.00_O_2_·0.11H_2_O ; trace amounts of Al and Na; H_2_O by difference, verified by Raman spectroscopy
144.7064, 2534.937
145.1885, 2533.472
145.6706, 2532.320
146.1527, 2526.167
146.6348, 2511.081
147.1170, 2499.231
147.5991, 2488.762
148.0812, 2481.178
148.5633, 2481.690
149.0454, 2496.789
149.5275, 2514.210
150.0097, 2528.269
150.4918, 2540.945
150.9739, 2547.825
151.4560, 2544.289
151.9381, 2532.360
152.4202, 2526.450
152.9024, 2534.538
153.3845, 2544.439
153.8666, 2548.699
154.3487, 2538.559
154.8308, 2530.610
155.3129, 2528.169
155.7950, 2531.271
156.2772, 2535.908
156.7593, 2543.816
157.2414, 2551.901
157.7235, 2557.315
158.2056, 2554.951
158.6877, 2553.813
159.1699, 2557.056
159.6520, 2565.226
160.1341, 2575.881
160.6162, 2592.129
161.0983, 2609.722
161.5804, 2622.801
162.0626, 2629.689
162.5447, 2631.331
163.0268, 2627.137
163.5089, 2615.439
163.9910, 2603.401
164.4731, 2589.864
164.9553, 2578.179
165.4374, 2575.552
165.9195, 2592.133
166.4016, 2615.310
166.8837, 2635.548
167.3658, 2650.758
167.8480, 2662.957
168.3301, 2673.658
168.8122, 2682.469
169.2943, 2688.108
169.7764, 2684.613
170.2585, 2679.222
170.7407, 2680.675
171.2228, 2694.645
171.7049, 2712.135
172.1870, 2724.360
172.6691, 2732.181
173.1512, 2741.868
173.6334, 2762.342
174.1155, 2787.224
174.5976, 2805.587
175.0797, 2809.401
175.5618, 2807.751
176.0439, 2810.912
176.5260, 2818.927
177.0082, 2829.078
177.4903, 2839.869
177.9724, 2851.279
178.4545, 2862.742
178.9366, 2873.400
179.4187, 2884.489
179.9009, 2899.496
180.3830, 2919.295
180.8651, 2937.547
181.3472, 2943.474
181.8293, 2940.676
182.3114, 2944.018
182.7936, 2966.356
183.2757, 2999.807
183.7578, 3024.198
184.2399, 3036.711
184.7220, 3046.116
185.2041, 3064.855
185.6863, 3092.030
186.1684, 3118.678
186.6505, 3138.659
187.1326, 3153.496
187.6147, 3170.240
188.0968, 3188.523
188.5790, 3210.818
189.0611, 3244.456
189.5432, 3289.259
190.0253, 3334.248
190.5074, 3373.470
190.9895, 3406.858
191.4717, 3437.253
191.9538, 3463.762
192.4359, 3489.606
192.9180, 3521.396
193.4001, 3559.458
193.8822, 3604.291
194.3644, 3665.016
194.8465, 3741.061
195.3286, 3792.787
195.8107, 3804.713
196.2928, 3792.641
196.7749, 3810.408
197.2570, 3861.599
197.7392, 3924.274
198.2213, 3978.427
198.7034, 4023.115
199.1855, 4074.243
199.6676, 4136.275
200.1497, 4207.489
200.6319, 4279.923
201.1140, 4354.049
201.5961, 4427.067
202.0782, 4493.863
202.5603, 4552.999
203.0424, 4614.492
203.5246, 4678.303
204.0067, 4745.237
204.4888, 4824.864
204.9709, 4919.981
205.4530, 5022.228
205.9352, 5121.485
206.4173, 5215.912
206.8994, 5315.709
207.3815, 5421.699
207.8636, 5534.771
208.3457, 5653.001
208.8279, 5776.965
209.3100, 5905.354
209.7921, 6035.729
210.2742, 6166.617
210.7563, 6305.132
211.2384, 6448.686
211.7206, 6597.147
212.2027, 6763.867
212.6848, 6949.908
213.1669, 7153.964
213.6490, 7372.499
214.1311, 7610.106
214.6133, 7853.621
215.0954, 8098.289
215.5775, 8335.880
216.0596, 8591.255
216.5417, 8865.289
217.0238, 9156.057
217.5059, 9469.045
217.9881, 9816.521
218.4702, 10163.00
218.9523, 10494.89
219.4344, 10798.73
219.9165, 11126.69
220.3986, 11489.63
220.8808, 11872.90
221.3629, 12253.50
221.8450, 12634.21
222.3271, 13009.34
222.8092, 13383.22
223.2913, 13761.42
223.7735, 14117.51
224.2556, 14444.84
224.7377, 14752.55
225.2198, 15059.82
225.7019, 15389.19
226.1840, 15685.85
226.6662, 15927.97
227.1483, 16110.67
227.6304, 16243.57
228.1125, 16325.29
228.5946, 16358.49
229.0767, 16356.36
229.5589, 16329.09
230.0410, 16252.00
230.5231, 16109.91
231.0052, 15891.03
231.4873, 15634.67
231.9694, 15338.00
232.4516, 15003.59
232.9337, 14633.22
233.4158, 14216.12
233.8979, 13779.77
234.3800, 13343.52
234.8621, 12914.77
235.3443, 12469.65
235.8264, 11994.97
236.3085, 11501.20
236.7906, 11037.49
237.2727, 10608.29
237.7548, 10204.59
238.2369, 9817.464
238.7191, 9450.675
239.2012, 9095.949
239.6833, 8754.095
240.1654, 8424.715
240.6475, 8115.020
241.1296, 7827.285
241.6118, 7556.088
242.0939, 7297.973
242.5760, 7051.477
243.0581, 6821.327
243.5402, 6609.927
244.0223, 6416.974
244.5045, 6228.135
244.9866, 6038.318
245.4687, 5859.113
245.9508, 5698.811
246.4329, 5562.646
246.9150, 5435.203
247.3972, 5317.978
247.8793, 5209.947
248.3614, 5095.270
248.8435, 4964.654
249.3256, 4838.577
249.8077, 4732.513
250.2899, 4650.057
250.7720, 4578.589
251.2541, 4519.978
251.7362, 4472.636
252.2183, 4420.738
252.7004, 4360.477
253.1826, 4301.408
253.6647, 4250.667
254.1468, 4211.053
254.6289, 4173.011
255.1110, 4135.119
255.5931, 4097.280
256.0753, 4061.940
256.5574, 4029.035
257.0395, 3997.736
257.5216, 3966.442
258.0037, 3930.624
258.4858, 3906.587
258.9680, 3900.535
259.4501, 3909.034
259.9322, 3908.986
260.4143, 3895.752
260.8964, 3881.797
261.3785, 3876.492
261.8607, 3882.465
262.3428, 3889.630
262.8249, 3897.003
263.3070, 3904.740
263.7891, 3913.212
264.2712, 3920.556
264.7534, 3932.058
265.2355, 3951.987
265.7176, 3982.500
266.1997, 4014.482
266.6818, 4046.041
267.1639, 4078.405
267.6461, 4120.751
268.1282, 4178.875
268.6103, 4233.801
269.0924, 4268.020
269.5745, 4273.044
270.0566, 4295.409
270.5387, 4349.936
271.0208, 4424.123
271.5030, 4463.933
271.9851, 4460.604
272.4672, 4446.466
272.9493, 4446.213
273.4314, 4463.758
273.9135, 4469.607
274.3957, 4460.203
274.8778, 4436.773
275.3599, 4401.382
275.8420, 4352.138
276.3241, 4298.235
276.8062, 4245.151
277.2884, 4192.965
277.7705, 4141.166
278.2526, 4089.050
278.7347, 4037.852
279.2168, 3990.163
279.6989, 3944.844
280.1811, 3905.807
280.6632, 3875.654
281.1453, 3854.381
281.6274, 3837.013
282.1095, 3822.443
282.5916, 3811.974
283.0738, 3812.055
283.5559, 3824.011
284.0380, 3832.559
284.5201, 3831.117
285.0022, 3819.301
285.4843, 3791.114
285.9665, 3745.224
286.4486, 3684.154
286.9307, 3607.106
287.4128, 3514.632
287.8949, 3423.512
288.3770, 3343.516
288.8592, 3273.847
289.3413, 3213.156
289.8234, 3162.827
290.3055, 3117.870
290.7876, 3067.435
291.2697, 3012.496
291.7519, 2967.968
292.2340, 2947.297
292.7161, 2944.615
293.1982, 2938.313
293.6803, 2925.678
294.1624, 2913.073
294.6446, 2912.057
295.1267, 2920.333
295.6088, 2925.611
296.0909, 2920.512
296.5730, 2907.820
297.0551, 2891.451
297.5373, 2870.507
298.0194, 2852.401
298.5015, 2849.823
298.9836, 2858.364
299.4657, 2863.037
299.9478, 2851.993
300.4300, 2834.026
300.9121, 2823.676
301.3942, 2822.318
301.8763, 2822.144
302.3584, 2813.707
302.8405, 2800.683
303.3227, 2791.705
303.8048, 2799.052
304.2869, 2808.160
304.7690, 2797.878
305.2511, 2767.072
305.7332, 2739.192
306.2154, 2734.205
306.6975, 2744.043
307.1796, 2755.409
307.6617, 2768.745
308.1438, 2777.387
308.6259, 2771.403
309.1081, 2751.428
309.5901, 2735.896
310.0723, 2741.344
310.5544, 2756.424
311.0365, 2767.208
311.5186, 2765.476
312.0007, 2760.921
312.4828, 2759.497
312.9650, 2760.773
313.4471, 2761.654
313.9292, 2759.573
314.4113, 2756.857
314.8934, 2755.679
315.3755, 2759.233
315.8577, 2761.721
316.3398, 2760.741
316.8219, 2756.571
317.3040, 2750.411
317.7861, 2732.705
318.2682, 2719.197
318.7504, 2721.728
319.2325, 2759.502
319.7146, 2789.951
320.1967, 2799.510
320.6788, 2792.048
321.1609, 2778.658
321.6431, 2748.390
322.1252, 2722.860
322.6073, 2714.132
323.0894, 2735.745
323.5715, 2752.957
324.0536, 2757.226
324.5358, 2753.591
325.0179, 2753.307
325.5000, 2764.877
325.9821, 2773.678
326.4642, 2773.690
326.9464, 2758.792
327.4285, 2748.555
327.9106, 2746.337
328.3927, 2748.257
328.8748, 2748.277
329.3569, 2741.222
329.8391, 2738.437
330.3212, 2745.788
330.8033, 2768.623
331.2854, 2777.132
331.7675, 2762.060
332.2496, 2739.076
332.7318, 2726.694
333.2139, 2729.392
333.6960, 2734.901
334.1781, 2742.530
334.6602, 2752.552
335.1423, 2754.304
335.6245, 2742.598
336.1066, 2729.662
336.5887, 2726.795
337.0708, 2734.927
337.5529, 2750.658
338.0350, 2778.353
338.5172, 2813.864
338.9993, 2827.587
339.4814, 2813.933
339.9635, 2794.133
340.4456, 2784.044
340.9277, 2784.281
341.4099, 2786.010
341.8920, 2787.652
342.3741, 2790.329
342.8562, 2797.384
343.3383, 2808.973
343.8204, 2823.141
344.3026, 2843.122
344.7847, 2866.794
345.2668, 2877.046
345.7489, 2869.034
346.2310, 2853.861
346.7131, 2850.514
347.1953, 2858.002
347.6774, 2866.058
348.1595, 2867.410
348.6416, 2865.123
349.1237, 2869.112
349.6058, 2881.344
350.0880, 2892.497
350.5700, 2887.423
351.0522, 2871.703
351.5343, 2862.813
352.0164, 2874.422
352.4985, 2895.013
352.9806, 2908.486
353.4627, 2914.481
353.9449, 2919.340
354.4270, 2930.281
354.9091, 2943.027
355.3912, 2950.774
355.8733, 2943.325
356.3554, 2935.831
356.8376, 2940.902
357.3197, 2957.365
357.8018, 2976.982
358.2839, 2997.457
358.7660, 3017.602
359.2481, 3036.655
359.7303, 3057.501
360.2124, 3072.999
360.6945, 3074.469
361.1766, 3067.060
361.6587, 3067.457
362.1408, 3094.447
362.6230, 3122.576
363.1051, 3135.687
363.5872, 3121.849
364.0693, 3113.148
364.5514, 3119.402
365.0335, 3135.594
365.5157, 3152.671
365.9978, 3167.796
366.4799, 3184.677
366.9620, 3205.770
367.4441, 3233.633
367.9262, 3256.344
368.4084, 3270.888
368.8905, 3280.643
369.3726, 3289.205
369.8547, 3297.414
370.3368, 3302.789
370.8189, 3303.121
371.3011, 3298.113
371.7832, 3298.372
372.2653, 3307.128
372.7474, 3317.581
373.2295, 3324.441
373.7116, 3326.482
374.1938, 3328.037
374.6759, 3328.178
375.1580, 3328.594
375.6401, 3336.137
376.1222, 3351.753
376.6043, 3372.642
377.0865, 3400.091
377.5686, 3434.941
378.0507, 3463.380
378.5328, 3483.191
379.0149, 3497.845
379.4970, 3511.814
379.9792, 3524.758
380.4613, 3541.798
380.9434, 3565.375
381.4255, 3595.084
381.9076, 3628.772
382.3897, 3666.781
382.8719, 3705.471
383.3540, 3736.395
383.8361, 3762.792
384.3182, 3797.025
384.8003, 3847.869
385.2824, 3907.110
385.7646, 3963.688
386.2467, 4017.902
386.7288, 4066.330
387.2109, 4097.005
387.6930, 4122.597
388.1751, 4162.772
388.6573, 4228.369
389.1394, 4302.375
389.6215, 4371.481
390.1036, 4436.928
390.5857, 4502.624
391.0678, 4569.176
391.5499, 4638.502
392.0320, 4712.184
392.5142, 4789.054
392.9963, 4872.039
393.4784, 4960.933
393.9605, 5057.489
394.4426, 5165.076
394.9247, 5288.035
395.4069, 5419.293
395.8890, 5558.702
396.3711, 5706.161
396.8532, 5852.593
397.3353, 5974.945
397.8174, 6105.479
398.2996, 6274.506
398.7817, 6524.144
399.2638, 6766.140
399.7459, 6975.258
400.2280, 7159.018
400.7101, 7387.229
401.1923, 7682.983
401.6744, 7999.570
402.1565, 8311.476
402.6386, 8604.099
403.1207, 8928.081
403.6028, 9289.098
404.0850, 9682.230
404.5671, 10087.60
405.0492, 10503.62
405.5313, 10944.33
406.0134, 11424.66
406.4955, 11941.67
406.9777, 12448.38
407.4598, 12939.06
407.9419, 13437.45
408.4240, 13972.09
408.9061, 14539.24
409.3882, 15113.62
409.8704, 15686.80
410.3525, 16263.57
410.8346, 16846.21
411.3167, 17436.91
411.7988, 18035.73
412.2809, 18652.96
412.7631, 19268.86
413.2452, 19832.15
413.7273, 20329.03
414.2094, 20763.48
414.6915, 21153.59
415.1736, 21484.17
415.6558, 21721.65
416.1379, 21839.59
416.6200, 21854.63
417.1021, 21777.95
417.5842, 21610.95
418.0663, 21353.87
418.5485, 21002.63
419.0306, 20563.36
419.5127, 20050.96
419.9948, 19429.28
420.4769, 18767.11
420.9590, 18073.46
421.4412, 17345.88
421.9233, 16631.63
422.4054, 15923.38
422.8875, 15238.33
423.3696, 14577.73
423.8517, 13938.29
424.3339, 13337.46
424.8160, 12768.75
425.2981, 12232.94
425.7802, 11726.62
426.2623, 11239.64
426.7444, 10788.16
427.2266, 10381.05
427.7087, 10018.54
428.1908, 9676.861
428.6729, 9351.488
429.1550, 9050.347
429.6371, 8783.313
430.1193, 8557.484
430.6014, 8339.871
431.0835, 8119.392
431.5656, 7900.872
432.0477, 7708.725
432.5298, 7544.290
433.0119, 7395.688
433.4940, 7258.538
