##NAMES=Hydrocerussite
##RRUFFID=R070059
##IDEAL CHEMISTRY=Pb^2+^_3_(CO_3_)_2_(OH)_2_
##LOCALITY=Wanlockhead, Scotland
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Aggregates of colorless thin hexagonal plates, likely a pseudomorph after plumbonacrite
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R070059
##MEASURED CHEMISTRY=Pb_3_(CO_3_)_2_(OH)_2_ ; Pb confirmed by EPMA, CO_2_ and H_2_O not analyzed but confirmed by Raman spectroscopy
158.9151, 14873.01
159.3972, 14909.61
159.8794, 14982.63
160.3615, 15081.15
160.8436, 15198.88
161.3257, 15332.62
161.8078, 15475.26
162.2899, 15610.35
162.7721, 15733.83
163.2542, 15854.35
163.7363, 15975.24
164.2184, 16091.98
164.7005, 16196.27
165.1826, 16285.19
165.6648, 16366.06
166.1469, 16455.07
166.6290, 16570.20
167.1111, 16667.01
167.5932, 16738.66
168.0753, 16790.98
168.5575, 16828.02
169.0396, 16850.36
169.5217, 16865.54
170.0038, 16890.26
170.4859, 16934.70
170.9680, 16969.20
171.4502, 16986.07
171.9323, 16991.33
172.4144, 16993.77
172.8965, 16996.74
173.3786, 16996.35
173.8607, 16983.24
174.3429, 16953.37
174.8250, 16923.05
175.3071, 16887.72
175.7892, 16855.54
176.2713, 16843.18
176.7534, 16858.96
177.2356, 16884.73
177.7177, 16884.90
178.1998, 16852.56
178.6819, 16826.66
179.1640, 16821.26
179.6461, 16827.44
180.1283, 16831.53
180.6104, 16829.99
181.0925, 16824.18
181.5746, 16814.83
182.0567, 16801.59
182.5388, 16788.91
183.0210, 16773.31
183.5031, 16759.92
183.9852, 16761.66
184.4673, 16785.94
184.9494, 16813.07
185.4315, 16813.29
185.9137, 16788.12
186.3958, 16756.82
186.8779, 16714.67
187.3600, 16672.03
187.8421, 16650.38
188.3242, 16658.99
188.8064, 16674.93
189.2885, 16671.72
189.7706, 16651.79
190.2527, 16621.50
190.7348, 16569.13
191.2169, 16510.58
191.6991, 16479.04
192.1812, 16486.66
192.6633, 16500.06
193.1454, 16477.45
193.6275, 16425.86
194.1096, 16382.23
194.5918, 16368.65
195.0739, 16367.49
195.5560, 16345.41
196.0381, 16292.63
196.5202, 16238.94
197.0023, 16217.23
197.4845, 16218.95
197.9666, 16218.46
198.4487, 16198.81
198.9308, 16175.06
199.4129, 16177.47
199.8950, 16215.79
200.3772, 16250.46
200.8593, 16240.70
201.3414, 16201.61
201.8235, 16165.14
202.3056, 16147.07
202.7877, 16134.23
203.2699, 16103.83
203.7520, 16050.39
204.2341, 16001.48
204.7162, 15986.45
205.1983, 15989.53
205.6804, 15980.21
206.1626, 15943.14
206.6447, 15894.33
207.1268, 15849.75
207.6089, 15807.96
208.0910, 15780.52
208.5731, 15788.37
209.0553, 15812.65
209.5374, 15822.79
