##NAMES=Allabogdanite
##RRUFFID=R070012
##IDEAL CHEMISTRY=(Fe,Ni)_2_P
##LOCALITY=Onello meteorite, Bol'shoy Dolguchan River, Onello River Basin, Aldan, Yakutia, Russia
##OWNER=Michael Scott
##SOURCE=Michael Scott
##DESCRIPTION=Black lath embedded in epoxy, co-type sample
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R070012
489.7890, 3916.384
490.2711, 3941.851
490.7532, 3959.271
491.2354, 3940.509
491.7175, 3899.959
492.1996, 3871.292
492.6817, 3871.292
493.1638, 3884.919
493.6459, 3899.496
494.1281, 3914.300
494.6102, 3917.476
495.0923, 3900.131
495.5744, 3874.115
496.0565, 3859.354
496.5386, 3855.366
497.0208, 3859.483
497.5029, 3883.112
497.9850, 3907.225
498.4671, 3908.581
498.9492, 3887.686
499.4313, 3865.329
499.9135, 3858.199
500.3956, 3865.086
500.8777, 3869.630
501.3598, 3879.417
501.8419, 3877.618
502.3240, 3843.847
502.8062, 3805.210
503.2883, 3796.646
503.7704, 3826.847
504.2525, 3867.594
504.7346, 3881.542
505.2167, 3864.631
505.6989, 3849.090
506.1810, 3830.702
506.6631, 3820.250
507.1452, 3831.356
507.6273, 3853.354
508.1094, 3861.693
508.5916, 3839.223
509.0737, 3806.653
509.5558, 3792.008
510.0379, 3794.844
510.5200, 3801.942
511.0021, 3811.470
511.4843, 3819.943
511.9664, 3818.556
512.4485, 3804.119
512.9306, 3802.445
513.4127, 3840.401
513.8948, 3881.066
514.3770, 3882.347
514.8591, 3845.952
515.3412, 3806.366
515.8233, 3787.540
516.3054, 3786.226
516.7875, 3782.111
517.2697, 3761.493
517.7518, 3755.372
518.2339, 3787.680
518.7160, 3823.935
519.1981, 3824.066
519.6802, 3783.598
520.1624, 3738.115
520.6445, 3730.031
521.1266, 3760.565
521.6087, 3777.780
522.0908, 3772.000
522.5729, 3766.882
523.0551, 3780.519
523.5372, 3799.584
524.0193, 3800.479
524.5014, 3769.092
524.9835, 3734.253
525.4656, 3728.984
525.9478, 3747.176
526.4299, 3754.609
526.9120, 3738.801
527.3941, 3719.562
527.8762, 3722.269
528.3583, 3747.862
528.8405, 3768.660
529.3226, 3786.463
529.8047, 3794.925
530.2868, 3784.315
530.7689, 3760.644
531.2510, 3738.760
531.7332, 3725.882
532.2153, 3721.294
532.6974, 3724.596
533.1795, 3748.019
533.6616, 3756.528
534.1437, 3737.391
