##NAMES=Hiortdahlite
##RRUFFID=R060092
##IDEAL CHEMISTRY=Na_2_Ca_4_(Ca_0.5_Zr^4+^_0.5_)Zr^4+^(Si_2_O_7_)_2_OF_3_
##LOCALITY=Vesuvius, Italy
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Tan colored prismatic crystals, variety guarinite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R060092
144.8504, 45.81475
145.3326, 45.91081
145.8147, 45.79861
146.2968, 45.49489
146.7789, 45.38433
147.2610, 45.63162
147.7431, 45.92455
148.2253, 45.99017
148.7074, 45.60623
149.1895, 45.30695
149.6716, 45.19821
150.1537, 45.29798
150.6358, 45.40259
151.1180, 45.57793
151.6001, 45.72831
152.0822, 45.75132
152.5643, 45.43761
153.0464, 45.20314
153.5285, 45.14399
154.0107, 45.29998
154.4928, 45.47292
154.9749, 45.75040
155.4570, 46.01233
155.9391, 46.10826
156.4212, 45.89043
156.9034, 45.62100
157.3855, 45.36309
157.8676, 45.09496
158.3497, 44.93188
158.8318, 44.97096
159.3139, 45.11987
159.7961, 45.22037
160.2782, 45.17789
160.7603, 45.11992
161.2424, 45.10999
161.7245, 45.17858
162.2066, 45.24794
162.6888, 45.29586
163.1709, 45.32583
163.6530, 45.34561
164.1351, 45.35275
164.6172, 45.35248
165.0993, 45.34453
165.5815, 45.31453
166.0636, 45.29911
166.5457, 45.30515
167.0278, 45.33591
167.5099, 45.40377
167.9921, 45.60975
168.4742, 45.81066
168.9563, 45.86092
169.4384, 45.59517
169.9205, 45.34260
170.4026, 45.36060
170.8848, 45.60022
171.3669, 45.85626
171.8490, 46.07941
172.3311, 46.22821
172.8132, 46.24143
173.2953, 46.00020
173.7775, 45.72400
174.2596, 45.61520
174.7417, 45.65907
175.2238, 45.75612
175.7059, 45.87058
176.1880, 45.98519
176.6702, 46.06929
177.1523, 46.08864
177.6344, 46.09002
178.1165, 46.13080
178.5986, 46.20979
179.0807, 46.30283
179.5629, 46.38802
180.0450, 46.47239
180.5271, 46.57177
181.0092, 46.70459
181.4913, 46.84990
181.9734, 46.97574
182.4556, 47.08168
182.9377, 47.16359
183.4198, 47.20457
183.9019, 47.21479
184.3840, 47.23044
184.8661, 47.26122
185.3483, 47.30720
185.8304, 47.38385
186.3125, 47.49606
186.7946, 47.59464
187.2767, 47.60397
187.7588, 47.54078
188.2409, 47.50164
188.7231, 47.58197
189.2052, 47.72411
189.6873, 47.67939
190.1694, 47.41647
190.6515, 47.12087
191.1336, 47.04693
191.6158, 47.18043
192.0979, 47.31528
192.5800, 47.35403
193.0621, 47.31400
193.5442, 47.30977
194.0263, 47.34489
194.5085, 47.40454
194.9906, 47.47627
195.4727, 47.55996
195.9548, 47.63079
196.4369, 47.66835
196.9190, 47.67506
197.4012, 47.70076
197.8833, 47.75068
198.3654, 47.80631
198.8475, 47.83460
199.3296, 47.83326
199.8117, 47.82775
200.2939, 47.82890
200.7760, 47.83668
201.2581, 47.84742
201.7402, 47.86786
202.2223, 47.88071
202.7044, 47.84782
203.1866, 47.76166
203.6687, 47.67603
204.1508, 47.60909
204.6329, 47.55979
205.1150, 47.54443
205.5971, 47.56342
206.0793, 47.61694
206.5614, 47.71622
207.0435, 47.87321
207.5256, 48.02679
208.0077, 48.16162
208.4898, 48.28595
208.9720, 48.32344
209.4541, 48.23071
209.9362, 48.08948
210.4183, 48.09051
210.9004, 48.28421
211.3825, 48.47082
211.8647, 48.54293
212.3468, 48.45811
212.8289, 48.45739
213.3110, 48.57266
213.7931, 48.75213
214.2752, 48.87279
214.7574, 48.91323
215.2395, 48.94911
215.7216, 49.02160
216.2037, 49.14943
216.6858, 49.24225
217.1679, 49.29456
217.6501, 49.31527
218.1322, 49.31244
218.6143, 49.25466
219.0964, 49.23951
219.5785, 49.34466
220.0606, 49.66865
220.5428, 49.78674
221.0249, 49.60070
221.5070, 49.25338
221.9891, 49.09094
222.4712, 49.16727
222.9533, 49.32457
223.4355, 49.51822
223.9176, 49.81668
224.3997, 49.95392
224.8818, 49.87108
225.3639, 49.65496
225.8460, 49.49486
226.3282, 49.38550
226.8103, 49.34388
227.2924, 49.38043
227.7745, 49.50676
228.2566, 49.69447
228.7387, 50.00843
229.2209, 50.35832
229.7030, 50.50775
230.1851, 50.33913
230.6672, 50.16463
231.1493, 50.11845
231.6314, 50.25904
232.1136, 50.37069
232.5957, 50.44297
233.0778, 50.49146
233.5599, 50.54298
234.0420, 50.57756
234.5241, 50.64664
235.0063, 50.77496
235.4884, 50.98073
235.9705, 51.19398
236.4526, 51.45814
236.9347, 51.71122
237.4168, 51.80455
237.8990, 51.59814
238.3811, 51.45485
238.8632, 51.53503
239.3453, 51.94628
239.8274, 52.25551
240.3095, 52.43783
240.7917, 52.53352
241.2738, 52.61692
241.7559, 52.69394
242.2380, 52.74963
242.7201, 52.77174
243.2022, 52.74260
243.6844, 52.74714
244.1665, 52.81798
244.6486, 52.90457
245.1307, 52.90886
245.6128, 52.76342
246.0949, 52.64863
246.5771, 52.61841
247.0592, 52.67768
247.5413, 52.80553
248.0234, 53.02288
248.5055, 53.29309
248.9876, 53.57832
249.4697, 53.97342
249.9519, 54.21023
250.4340, 54.16429
250.9161, 53.75793
251.3982, 53.46941
251.8803, 53.29955
252.3624, 53.25007
252.8446, 53.35268
253.3267, 53.71952
253.8088, 54.01659
254.2909, 54.12940
254.7730, 54.02607
255.2551, 54.00344
255.7373, 54.11113
256.2194, 54.24939
256.7015, 54.28209
257.1836, 54.13946
257.6657, 54.04570
258.1479, 54.07228
258.6300, 54.22822
259.1121, 54.32659
259.5942, 54.33083
260.0763, 54.31774
260.5584, 54.37896
261.0406, 54.55035
261.5227, 54.70204
262.0048, 54.80452
262.4869, 54.85796
262.9690, 54.90050
263.4511, 54.92576
263.9333, 54.95074
264.4154, 55.00253
264.8975, 55.10984
265.3796, 55.16032
265.8617, 55.12266
266.3438, 55.00621
266.8260, 54.87704
267.3081, 54.68969
267.7902, 54.57642
268.2723, 54.71802
268.7544, 55.24353
269.2365, 55.51448
269.7187, 55.32866
270.2008, 54.80311
270.6829, 54.64066
271.1650, 54.95916
271.6471, 55.35577
272.1292, 55.50421
272.6114, 55.35331
273.0935, 55.24482
273.5756, 55.23236
274.0577, 55.28574
274.5398, 55.29359
275.0219, 55.23714
275.5041, 55.18986
275.9862, 55.20404
276.4683, 55.28602
276.9504, 55.36917
277.4325, 55.44769
277.9146, 55.52330
278.3968, 55.63153
278.8788, 55.79852
279.3610, 55.86884
279.8431, 55.66871
280.3252, 55.18456
280.8073, 54.93669
281.2894, 55.00714
281.7715, 55.24853
282.2537, 55.39979
282.7358, 55.45935
283.2179, 55.45564
283.7000, 55.36689
284.1821, 55.19936
284.6642, 55.11357
285.1464, 55.12721
285.6285, 55.18429
286.1106, 55.20200
286.5927, 55.17912
287.0748, 55.14788
287.5569, 55.11749
288.0391, 55.08773
288.5212, 55.06669
289.0033, 55.05650
289.4854, 55.04242
289.9675, 55.00654
290.4496, 54.94954
290.9318, 54.87989
291.4139, 54.77800
291.8960, 54.66765
292.3781, 54.63335
292.8602, 54.67873
293.3423, 54.76595
293.8245, 54.91220
294.3066, 55.08779
294.7887, 55.13985
295.2708, 54.93645
295.7529, 54.62884
296.2350, 54.56587
296.7172, 54.74596
297.1993, 54.95382
297.6814, 55.01811
298.1635, 54.96920
298.6456, 54.88177
299.1277, 54.73393
299.6099, 54.60478
300.0920, 54.66429
300.5741, 54.88694
301.0562, 55.08414
301.5383, 55.09385
302.0204, 54.99298
302.5026, 54.92048
302.9847, 54.89796
303.4668, 54.92063
303.9489, 55.00393
304.4310, 55.13305
304.9131, 55.25950
305.3953, 55.36529
305.8774, 55.44517
