##NAMES=Uchucchacuaite
##RRUFFID=R100213
##IDEAL CHEMISTRY=Ag^1+^Mn^2+^Pb^2+^_3_Sb^3+^_5_S^2-^_12_
##LOCALITY=Uchuc-Chacua, Lima, Peru
##OWNER=RRUFF
##SOURCE=Mark N. Feinglos
##DESCRIPTION=Bright silver metallic massive, associated with quartz
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R100213
##MEASURED CHEMISTRY=Ag_0.99_(Mn_0.92_Pb_0.03_Sb_0.02_Bi_0.01_)_Σ=0.98_Pb_3.00_Sb_5.00_S_12.00_ ; (Note: bright phase is galena, PbS)
160.9945, 1332.802
161.4766, 1333.469
161.9587, 1336.779
162.4408, 1339.500
162.9229, 1341.568
163.4050, 1343.109
163.8871, 1344.154
164.3693, 1344.731
164.8514, 1344.941
165.3335, 1344.959
165.8156, 1342.796
166.2977, 1343.232
166.7798, 1349.165
167.2620, 1357.609
167.7441, 1363.817
168.2262, 1365.482
168.7083, 1364.270
169.1904, 1364.773
169.6725, 1367.241
170.1547, 1370.418
170.6368, 1374.415
171.1189, 1378.881
171.6010, 1382.505
172.0831, 1384.303
172.5652, 1385.174
173.0474, 1386.946
173.5295, 1389.580
174.0116, 1393.150
174.4937, 1398.827
174.9758, 1406.617
175.4579, 1412.093
175.9401, 1410.730
176.4222, 1407.273
176.9043, 1406.975
177.3864, 1411.361
177.8685, 1417.713
178.3506, 1422.480
178.8328, 1425.028
179.3149, 1428.319
179.7970, 1434.054
180.2791, 1440.656
180.7612, 1446.866
181.2433, 1452.287
181.7255, 1457.022
182.2076, 1461.005
182.6897, 1462.784
183.1718, 1466.646
183.6539, 1475.486
184.1360, 1485.668
184.6181, 1492.986
185.1003, 1495.248
185.5824, 1494.313
186.0645, 1496.781
186.5466, 1505.718
187.0287, 1514.676
187.5108, 1522.873
187.9930, 1530.538
188.4751, 1538.012
188.9572, 1545.441
189.4393, 1552.840
189.9214, 1560.203
190.4035, 1566.859
190.8857, 1574.214
191.3678, 1582.508
191.8499, 1591.660
192.3320, 1601.736
192.8141, 1612.935
193.2962, 1624.976
193.7784, 1635.758
194.2605, 1644.401
194.7426, 1653.040
195.2247, 1662.036
195.7068, 1671.558
196.1889, 1682.074
196.6711, 1693.960
197.1532, 1707.096
197.6353, 1720.491
198.1174, 1732.969
198.5995, 1746.744
199.0816, 1763.973
199.5638, 1784.199
200.0459, 1804.020
200.5280, 1821.133
201.0101, 1836.620
201.4922, 1853.333
201.9743, 1871.473
202.4565, 1890.873
202.9386, 1912.043
203.4207, 1935.100
203.9028, 1957.507
204.3849, 1975.857
204.8670, 1993.446
205.3492, 2015.268
205.8313, 2044.219
206.3134, 2075.135
206.7955, 2101.319
207.2776, 2121.973
207.7597, 2141.579
208.2419, 2161.417
208.7240, 2181.569
209.2061, 2201.874
209.6882, 2222.020
210.1703, 2242.839
210.6524, 2266.229
211.1346, 2293.260
211.6167, 2319.722
212.0988, 2344.670
212.5809, 2368.201
213.0630, 2390.412
213.5451, 2411.155
214.0273, 2430.780
214.5094, 2450.156
214.9915, 2470.346
215.4736, 2488.102
215.9557, 2502.011
216.4378, 2514.052
216.9200, 2526.446
217.4021, 2540.138
217.8842, 2554.271
218.3663, 2566.104
218.8484, 2573.068
219.3305, 2581.378
219.8127, 2593.218
220.2948, 2606.111
220.7769, 2617.827
221.2590, 2627.355
221.7411, 2634.642
222.2232, 2639.433
222.7054, 2636.789
223.1875, 2637.615
223.6696, 2645.786
224.1517, 2656.596
224.6338, 2664.563
225.1159, 2667.270
225.5980, 2666.200
226.0802, 2665.608
226.5623, 2666.693
227.0444, 2666.809
227.5265, 2665.420
228.0086, 2663.049
228.4907, 2660.320
228.9729, 2657.489
229.4550, 2654.526
229.9371, 2651.460
230.4192, 2649.866
230.9013, 2645.813
231.3834, 2636.466
231.8656, 2624.783
232.3477, 2615.683
232.8298, 2611.406
233.3119, 2609.062
233.7940, 2601.648
234.2761, 2586.817
234.7583, 2573.887
235.2404, 2565.972
235.7225, 2561.348
236.2046, 2557.159
236.6867, 2552.589
237.1688, 2547.734
237.6510, 2542.969
238.1331, 2538.710
238.6152, 2532.926
239.0973, 2523.136
239.5794, 2511.417
240.0615, 2502.273
240.5437, 2497.002
241.0258, 2494.429
241.5079, 2493.240
241.9900, 2493.335
242.4721, 2494.147
242.9542, 2495.528
243.4364, 2497.464
243.9185, 2499.768
244.4006, 2502.086
244.8827, 2505.464
245.3648, 2511.083
245.8469, 2518.691
246.3290, 2526.905
246.8112, 2535.044
247.2933, 2543.239
247.7754, 2552.280
248.2575, 2562.884
248.7396, 2573.221
249.2217, 2581.152
249.7039, 2587.446
250.1860, 2594.749
250.6681, 2604.153
251.1502, 2615.612
251.6323, 2629.631
252.1144, 2648.021
252.5966, 2665.910
253.0787, 2679.439
253.5608, 2690.285
254.0429, 2702.477
254.5250, 2719.312
255.0071, 2739.253
255.4893, 2756.175
255.9714, 2767.883
256.4535, 2779.956
256.9356, 2795.405
257.4177, 2812.744
257.8998, 2829.781
258.3820, 2845.516
258.8641, 2859.909
259.3462, 2872.765
259.8283, 2883.793
260.3104, 2893.538
260.7925, 2902.629
261.2747, 2910.769
261.7568, 2917.470
262.2389, 2922.448
262.7210, 2926.009
263.2031, 2929.026
263.6852, 2931.149
264.1674, 2933.299
264.6495, 2935.261
265.1316, 2937.521
265.6137, 2940.434
266.0958, 2944.114
266.5779, 2948.819
267.0601, 2955.566
267.5422, 2966.797
268.0243, 2975.530
268.5064, 2980.990
268.9885, 2983.896
269.4706, 2984.522
269.9528, 2983.020
270.4349, 2979.999
270.9170, 2976.269
271.3991, 2970.297
271.8812, 2966.866
272.3633, 2967.470
272.8455, 2969.512
273.3276, 2972.087
273.8097, 2974.550
274.2918, 2975.269
274.7739, 2971.581
275.2560, 2961.812
275.7382, 2950.784
276.2202, 2939.051
276.7024, 2925.946
277.1845, 2910.628
277.6666, 2893.156
278.1487, 2874.612
278.6308, 2856.301
279.1129, 2838.595
279.5951, 2819.844
280.0772, 2799.101
280.5593, 2778.256
281.0414, 2758.553
281.5235, 2739.806
282.0056, 2720.860
282.4878, 2700.652
282.9699, 2678.940
283.4520, 2656.781
283.9341, 2635.112
284.4162, 2612.129
284.8983, 2587.504
285.3805, 2560.992
285.8626, 2532.258
286.3447, 2500.982
286.8268, 2467.304
287.3089, 2431.145
287.7910, 2392.499
288.2732, 2351.776
288.7553, 2309.011
289.2374, 2264.365
289.7195, 2218.586
290.2016, 2172.145
290.6837, 2124.935
291.1659, 2074.820
291.6480, 2017.709
292.1301, 1962.813
292.6122, 1912.380
293.0943, 1864.862
293.5764, 1818.153
294.0586, 1771.061
294.5407, 1724.127
295.0228, 1678.601
295.5049, 1631.424
295.9870, 1589.707
296.4691, 1556.705
296.9513, 1528.009
297.4334, 1499.262
297.9155, 1469.134
298.3976, 1438.171
298.8797, 1407.086
299.3618, 1373.059
299.8440, 1345.026
300.3261, 1325.861
300.8082, 1310.919
301.2903, 1296.557
301.7724, 1282.090
302.2545, 1268.566
302.7367, 1257.275
303.2188, 1248.981
303.7009, 1240.322
304.1830, 1230.016
304.6651, 1220.354
305.1472, 1212.964
305.6294, 1207.727
306.1115, 1203.315
306.5936, 1198.574
307.0757, 1193.429
307.5578, 1189.424
308.0399, 1186.327
308.5221, 1184.338
309.0042, 1184.799
309.4863, 1186.584
309.9684, 1186.812
310.4505, 1183.475
310.9326, 1177.155
311.4148, 1171.993
311.8969, 1167.653
312.3790, 1164.611
312.8611, 1163.354
313.3432, 1163.421
313.8253, 1164.071
314.3075, 1164.971
314.7896, 1166.285
315.2717, 1168.504
315.7538, 1172.797
316.2359, 1176.324
316.7180, 1177.523
317.2001, 1178.438
317.6823, 1181.097
318.1644, 1186.128
318.6465, 1193.224
319.1286, 1201.984
319.6107, 1212.634
320.0928, 1224.762
320.5750, 1237.623
321.0571, 1252.432
321.5392, 1270.571
322.0213, 1291.902
322.5034, 1315.113
322.9855, 1338.918
323.4677, 1363.696
323.9498, 1387.336
324.4319, 1409.010
324.9140, 1430.538
325.3961, 1454.111
325.8782, 1478.584
326.3604, 1500.814
326.8425, 1518.516
327.3246, 1531.954
327.8067, 1544.340
328.2888, 1555.382
328.7709, 1565.922
329.2531, 1576.215
329.7352, 1586.120
330.2173, 1595.342
330.6994, 1603.732
331.1815, 1611.467
331.6636, 1619.064
332.1458, 1623.913
332.6279, 1632.033
333.1100, 1645.129
333.5921, 1660.768
334.0742, 1676.683
334.5563, 1692.127
335.0385, 1708.042
335.5206, 1725.708
336.0027, 1745.993
336.4848, 1766.079
336.9669, 1788.102
337.4490, 1808.486
337.9312, 1825.057
338.4133, 1837.736
338.8954, 1847.416
339.3775, 1854.853
339.8596, 1860.022
340.3417, 1863.273
340.8239, 1868.245
341.3060, 1867.947
341.7881, 1861.031
342.2702, 1846.853
342.7523, 1824.836
343.2344, 1794.796
343.7166, 1756.595
344.1987, 1709.727
344.6808, 1649.028
345.1629, 1584.373
345.6450, 1514.552
346.1271, 1442.410
346.6093, 1370.453
347.0914, 1300.164
347.5735, 1231.205
348.0556, 1164.094
348.5377, 1096.684
349.0198, 1035.103
349.5020, 979.4373
349.9841, 928.5031
350.4662, 882.5355
350.9483, 841.3049
351.4304, 803.7744
351.9125, 769.1746
352.3947, 737.5933
352.8768, 708.8038
353.3589, 684.5619
353.8410, 661.3914
354.3231, 637.4734
354.8052, 613.7443
355.2874, 592.2958
355.7695, 574.8299
356.2516, 560.7132
356.7337, 545.7891
357.2158, 527.4952
357.6979, 512.0865
358.1800, 502.2569
358.6621, 494.9818
359.1443, 486.8679
359.6264, 476.5722
360.1085, 465.6883
360.5906, 457.0975
361.0727, 451.6004
361.5548, 446.3696
362.0370, 442.1239
362.5191, 437.3033
363.0012, 430.3551
363.4833, 421.4241
363.9654, 412.5701
364.4475, 405.8434
364.9297, 401.3411
365.4118, 397.3994
365.8939, 395.2663
366.3760, 392.2746
366.8581, 386.7296
367.3402, 379.6027
367.8224, 372.8640
368.3045, 367.6659
368.7866, 363.6899
369.2687, 360.2600
369.7508, 358.1159
370.2329, 354.8325
370.7151, 348.0623
371.1972, 340.5653
371.6793, 335.2156
372.1614, 333.0429
372.6435, 331.8946
373.1256, 329.0771
373.6078, 324.4564
374.0899, 320.2006
374.5720, 316.8846
375.0541, 313.9908
375.5362, 311.3763
376.0183, 308.9353
376.5005, 306.0929
376.9826, 301.6087
377.4647, 296.2851
377.9468, 293.5033
378.4289, 294.7072
378.9110, 295.6869
379.3932, 292.5840
379.8753, 287.3204
380.3574, 283.6470
380.8395, 283.8725
381.3216, 285.1383
381.8037, 283.5543
382.2859, 279.0484
382.7680, 275.1377
383.2501, 273.6062
383.7322, 273.4395
384.2143, 272.8779
384.6964, 271.7990
385.1786, 270.6636
385.6607, 270.0504
386.1428, 269.5999
386.6249, 268.1192
387.1070, 265.0316
387.5891, 261.7345
388.0713, 260.0215
388.5534, 259.7327
389.0355, 259.3752
389.5176, 259.1695
389.9997, 258.4354
390.4818, 255.8641
390.9640, 251.5621
391.4461, 247.9541
391.9282, 246.7189
392.4103, 247.6087
392.8924, 248.7622
393.3745, 251.3137
393.8567, 252.8776
