##NAMES=Corundum
##RRUFFID=X080007
##IDEAL CHEMISTRY=Al_2_O_3_
##LOCALITY=Synthetic
##OWNER=GIA
##SOURCE=Gemological Institute of America
##DESCRIPTION=Faceted ruby gemstone, 6.22 ct
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/X080007
216.2409, 27370.76
216.7230, 27357.14
217.2052, 27340.72
217.6873, 27321.98
218.1694, 27299.38
218.6515, 27270.34
219.1336, 27235.01
219.6157, 27199.53
220.0979, 27163.80
220.5800, 27130.78
221.0621, 27104.22
221.5442, 27085.63
222.0263, 27069.23
222.5084, 27050.81
222.9906, 27030.49
223.4727, 27005.54
223.9548, 26969.93
224.4369, 26932.28
224.9190, 26898.64
225.4011, 26869.96
225.8833, 26844.48
226.3654, 26821.40
226.8475, 26802.29
227.3296, 26778.20
227.8117, 26742.55
228.2938, 26704.15
228.7760, 26668.02
229.2581, 26635.11
229.7402, 26604.41
230.2223, 26573.95
230.7044, 26542.08
231.1865, 26515.75
231.6687, 26506.50
232.1508, 26495.29
232.6329, 26468.05
233.1150, 26423.08
233.5971, 26371.58
234.0792, 26329.35
234.5614, 26301.26
235.0435, 26270.97
235.5256, 26234.51
236.0077, 26198.71
236.4898, 26167.98
236.9719, 26143.16
237.4541, 26121.89
237.9362, 26101.67
238.4183, 26085.04
238.9004, 26063.03
239.3825, 26030.79
239.8646, 25997.78
240.3468, 25970.30
240.8289, 25948.92
241.3110, 25930.29
241.7931, 25910.18
242.2752, 25888.70
242.7573, 25864.77
243.2395, 25835.12
243.7216, 25805.67
244.2037, 25782.38
244.6858, 25764.81
245.1679, 25745.50
245.6501, 25715.62
246.1322, 25671.58
246.6143, 25630.64
247.0964, 25590.50
247.5785, 25554.63
248.0606, 25528.00
248.5428, 25509.83
249.0249, 25492.09
249.5070, 25467.13
249.9891, 25433.59
250.4712, 25399.50
250.9533, 25366.75
251.4355, 25332.22
251.9176, 25290.15
252.3997, 25241.85
252.8818, 25198.33
253.3639, 25170.25
253.8460, 25158.29
254.3282, 25142.92
254.8103, 25127.61
255.2924, 25106.40
255.7745, 25070.15
256.2566, 25020.65
256.7387, 24975.20
257.2209, 24946.73
257.7030, 24933.98
258.1851, 24919.87
258.6672, 24909.10
259.1493, 24893.06
259.6314, 24861.67
260.1136, 24816.59
260.5957, 24773.75
261.0778, 24741.82
261.5599, 24719.63
262.0420, 24699.92
262.5241, 24686.44
263.0063, 24670.79
263.4884, 24645.88
263.9705, 24612.52
264.4526, 24577.36
264.9347, 24541.08
265.4168, 24506.91
265.8990, 24482.30
266.3811, 24474.11
266.8632, 24460.46
267.3453, 24421.73
267.8274, 24361.11
268.3095, 24301.28
268.7917, 24247.53
269.2738, 24202.17
269.7559, 24166.88
270.2380, 24142.64
270.7201, 24124.14
271.2022, 24112.78
271.6844, 24106.61
272.1665, 24090.70
272.6486, 24056.48
273.1307, 24016.16
273.6128, 23983.30
274.0949, 23957.67
274.5771, 23930.22
275.0592, 23892.80
275.5413, 23847.29
276.0234, 23804.13
276.5055, 23760.20
276.9876, 23725.92
277.4698, 23713.62
277.9519, 23718.74
278.4340, 23718.21
278.9161, 23693.92
279.3982, 23651.28
279.8803, 23613.50
280.3625, 23580.63
280.8446, 23555.48
281.3267, 23545.86
281.8088, 23544.58
282.2909, 23534.14
282.7730, 23496.36
283.2552, 23442.50
283.7373, 23413.43
284.2194, 23424.70
284.7015, 23431.51
285.1836, 23410.53
285.6658, 23372.55
286.1479, 23332.51
286.6300, 23296.21
287.1121, 23263.07
287.5942, 23232.20
288.0764, 23204.04
288.5585, 23177.22
289.0406, 23151.27
289.5227, 23126.38
290.0048, 23104.18
290.4869, 23086.04
290.9691, 23067.48
291.4512, 23038.52
291.9333, 22994.10
292.4154, 22956.29
292.8975, 22939.61
293.3796, 22926.92
293.8618, 22905.50
294.3439, 22872.14
294.8260, 22832.44
295.3081, 22791.25
295.7902, 22746.70
296.2723, 22709.77
296.7545, 22684.74
297.2366, 22666.33
297.7187, 22654.88
298.2008, 22649.07
298.6829, 22642.93
299.1650, 22632.07
299.6472, 22616.84
300.1293, 22591.82
300.6114, 22543.15
301.0935, 22496.12
301.5756, 22463.34
302.0577, 22442.66
302.5399, 22423.68
303.0220, 22397.25
303.5041, 22363.99
303.9862, 22337.15
304.4683, 22325.20
304.9504, 22310.22
305.4326, 22284.14
305.9147, 22250.93
306.3968, 22218.15
306.8789, 22190.68
307.3610, 22167.20
307.8431, 22142.01
308.3253, 22113.45
308.8074, 22086.21
309.2895, 22060.01
309.7716, 22036.14
310.2537, 22017.32
310.7358, 22005.11
311.2180, 21995.89
311.7001, 21980.95
312.1822, 21955.19
312.6643, 21934.41
313.1464, 21928.33
313.6285, 21923.57
314.1107, 21906.54
314.5928, 21873.97
315.0749, 21838.28
315.5570, 21820.04
316.0391, 21826.79
316.5212, 21823.08
317.0034, 21794.93
317.4855, 21763.32
317.9676, 21741.91
318.4497, 21730.40
318.9318, 21716.88
319.4139, 21685.49
319.8961, 21633.18
320.3782, 21594.55
320.8603, 21579.65
321.3424, 21570.72
321.8245, 21565.52
322.3066, 21561.18
322.7888, 21552.45
323.2709, 21535.30
323.7530, 21510.45
324.2351, 21482.70
324.7172, 21445.40
325.1993, 21414.90
325.6815, 21397.88
326.1636, 21389.26
326.6457, 21382.43
327.1278, 21374.79
327.6099, 21365.51
328.0920, 21352.32
328.5742, 21333.97
329.0563, 21313.91
329.5384, 21289.37
330.0205, 21265.55
330.5026, 21248.53
330.9847, 21239.93
331.4669, 21233.08
331.9490, 21217.98
332.4311, 21192.55
332.9132, 21168.23
333.3953, 21145.08
333.8774, 21124.82
334.3596, 21109.90
334.8417, 21099.91
335.3238, 21091.40
335.8059, 21079.84
336.2880, 21065.12
336.7701, 21057.57
337.2523, 21067.06
337.7344, 21072.94
338.2165, 21064.81
338.6986, 21045.97
339.1807, 21024.56
339.6628, 21004.91
340.1450, 20986.60
340.6271, 20968.01
341.1092, 20948.98
341.5913, 20929.93
342.0735, 20909.06
342.5556, 20888.82
343.0377, 20872.07
343.5198, 20859.80
344.0019, 20851.58
344.4840, 20848.84
344.9662, 20854.01
345.4483, 20853.84
345.9304, 20841.15
346.4125, 20823.17
346.8946, 20802.48
347.3767, 20779.49
347.8589, 20759.51
348.3410, 20749.22
348.8231, 20748.31
349.3052, 20746.54
349.7873, 20745.95
350.2694, 20739.58
350.7516, 20719.87
351.2337, 20689.73
351.7158, 20661.88
352.1979, 20645.02
352.6800, 20636.22
353.1621, 20626.58
353.6443, 20616.29
354.1264, 20604.35
354.6085, 20588.83
355.0906, 20571.65
355.5727, 20555.84
356.0548, 20542.46
356.5370, 20530.95
357.0191, 20520.96
357.5012, 20512.75
