##NAMES=Hemimorphite
##RRUFFID=R070536
##IDEAL CHEMISTRY=Zn^2+^_4_Si_2_O_7_(OH)_2_&#183;H_2_O
##LOCALITY=Potosi mine, Santa Eulalia District, Chihuahua, Mexico
##OWNER=RRUFF
##SOURCE=James Shigley
##DESCRIPTION=Colorless striated thin tabular crystals in fan-shaped aggregates
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R070536
##MEASURED CHEMISTRY=Zn_4.00_Si_2.00_O_7_(OH)_2_·H_2_O; total H_2_O estimated by difference, (OH) by charge balance
136.1740, 4880.676
136.6561, 4973.377
137.1382, 5042.075
137.6203, 5097.572
138.1024, 5147.055
138.5845, 5187.666
139.0667, 5241.686
139.5488, 5322.755
140.0309, 5433.399
140.5130, 5521.974
140.9951, 5580.465
141.4772, 5626.892
141.9594, 5694.136
142.4415, 5796.589
142.9236, 5889.506
143.4057, 5954.507
143.8878, 5978.616
144.3699, 6010.736
144.8521, 6057.442
145.3342, 6111.203
145.8163, 6146.274
146.2984, 6151.458
146.7805, 6151.544
147.2626, 6158.722
147.7448, 6169.595
148.2269, 6192.848
148.7090, 6228.690
149.1911, 6277.459
149.6732, 6339.117
150.1554, 6426.592
150.6375, 6519.267
151.1196, 6600.244
151.6017, 6646.142
152.0838, 6706.374
152.5659, 6786.245
153.0481, 6886.923
153.5302, 7003.134
154.0123, 7148.881
154.4944, 7304.713
154.9765, 7450.887
155.4586, 7554.813
155.9408, 7676.328
156.4229, 7834.242
156.9050, 8006.534
157.3871, 8147.941
157.8692, 8291.420
158.3513, 8435.196
158.8335, 8569.950
159.3156, 8684.532
159.7977, 8798.035
160.2798, 8917.211
160.7619, 9037.311
161.2440, 9175.463
161.7262, 9355.005
162.2083, 9558.959
162.6904, 9743.894
163.1725, 9881.774
163.6546, 10001.13
164.1367, 10119.52
164.6189, 10241.25
165.1010, 10364.10
165.5831, 10494.64
166.0652, 10628.81
166.5473, 10747.28
167.0294, 10851.53
167.5116, 10928.61
167.9937, 10964.63
168.4758, 10963.88
168.9579, 10914.24
169.4400, 10800.99
169.9221, 10625.50
170.4043, 10415.15
170.8864, 10186.93
171.3685, 9936.292
171.8506, 9651.466
172.3327, 9294.968
172.8148, 8924.474
173.2970, 8595.000
173.7791, 8310.577
174.2612, 8043.917
174.7433, 7774.282
175.2254, 7508.385
175.7076, 7257.253
176.1897, 7017.074
176.6718, 6799.101
177.1539, 6619.490
177.6360, 6484.557
178.1181, 6367.246
178.6003, 6235.749
179.0824, 6093.979
179.5645, 5963.834
180.0466, 5852.559
180.5287, 5759.303
181.0108, 5686.844
181.4930, 5639.571
181.9751, 5602.612
182.4572, 5556.865
182.9393, 5502.783
183.4214, 5447.686
183.9035, 5391.502
184.3857, 5337.677
184.8678, 5296.021
185.3499, 5270.964
185.8320, 5256.648
186.3141, 5242.646
186.7962, 5228.766
187.2784, 5219.583
187.7605, 5221.504
188.2426, 5232.396
188.7247, 5242.112
189.2068, 5247.983
189.6889, 5234.251
190.1711, 5255.216
190.6532, 5266.784
191.1353, 5269.460
191.6174, 5236.611
192.0995, 5249.635
192.5816, 5244.275
193.0638, 5238.162
193.5459, 5257.643
194.0280, 5229.960
194.5101, 5249.035
194.9922, 5249.446
195.4743, 5258.398
195.9565, 5248.854
196.4386, 5245.022
196.9207, 5259.694
197.4028, 5264.121
197.8849, 5252.446
198.3671, 5261.942
198.8492, 5265.188
199.3313, 5271.230
199.8134, 5257.077
200.2955, 5247.827
200.7776, 5256.702
201.2598, 5284.400
201.7419, 5308.371
202.2240, 5327.898
202.7061, 5344.330
203.1882, 5359.552
203.6703, 5372.745
204.1525, 5387.914
204.6346, 5406.640
205.1167, 5428.701
205.5988, 5455.239
206.0809, 5486.088
206.5630, 5521.457
207.0452, 5563.625
207.5273, 5615.341
208.0094, 5666.053
208.4915, 5709.086
208.9736, 5742.005
209.4557, 5779.927
209.9379, 5828.559
210.4200, 5881.688
210.9021, 5915.020
211.3842, 5922.376
211.8663, 5924.386
212.3484, 5936.422
212.8306, 5963.214
213.3127, 5981.973
213.7948, 5990.340
214.2769, 5988.752
214.7590, 5978.241
215.2411, 5956.344
215.7233, 5930.113
216.2054, 5906.706
216.6875, 5890.496
217.1696, 5862.896
217.6517, 5816.140
218.1338, 5752.616
218.6160, 5703.395
219.0981, 5670.997
219.5802, 5648.313
220.0623, 5632.030
220.5444, 5628.895
221.0265, 5614.165
221.5087, 5577.679
221.9908, 5519.689
222.4729, 5481.848
