##NAMES=Saneroite
##RRUFFID=R060488
##IDEAL CHEMISTRY=Na_2_(Mn^2+^,Mn^3+^)_10_V^5+^Si_11_O_34_(OH)_4_
##LOCALITY=Molinello mine, Val Graveglia (Graveglia Valley), Ne, Genova, Liguria, Italy
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Orange colored blebs associated with white quartz, black braunite and brown parsettensite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R060488
2.188386e+002, 4.986281e+002
2.193208e+002, 4.997085e+002
2.198029e+002, 5.006616e+002
2.202850e+002, 5.016031e+002
2.207671e+002, 5.027056e+002
2.212492e+002, 5.039282e+002
2.217313e+002, 5.049790e+002
2.222135e+002, 5.056288e+002
2.226956e+002, 5.058186e+002
2.231777e+002, 5.056841e+002
2.236598e+002, 5.053588e+002
2.241419e+002, 5.046249e+002
2.246240e+002, 5.034211e+002
2.251062e+002, 5.017242e+002
2.255883e+002, 4.993131e+002
2.260704e+002, 4.958384e+002
2.265525e+002, 4.913643e+002
2.270346e+002, 4.867687e+002
2.275167e+002, 4.820253e+002
2.279989e+002, 4.772372e+002
2.284810e+002, 4.725315e+002
2.289631e+002, 4.679220e+002
2.294452e+002, 4.634089e+002
2.299273e+002, 4.591375e+002
2.304094e+002, 4.549892e+002
2.308916e+002, 4.506018e+002
2.313737e+002, 4.457022e+002
2.318558e+002, 4.406701e+002
2.323379e+002, 4.359405e+002
2.328200e+002, 4.315415e+002
2.333021e+002, 4.272461e+002
2.337842e+002, 4.226904e+002
2.342664e+002, 4.181750e+002
2.347485e+002, 4.142158e+002
2.352306e+002, 4.110815e+002
2.357127e+002, 4.084427e+002
2.361948e+002, 4.058607e+002
2.366769e+002, 4.033069e+002
2.371591e+002, 4.008694e+002
2.376412e+002, 3.989011e+002
2.381233e+002, 3.969696e+002
2.386054e+002, 3.944445e+002
2.390875e+002, 3.908418e+002
2.395696e+002, 3.869836e+002
2.400518e+002, 3.842398e+002
2.405339e+002, 3.828357e+002
2.410160e+002, 3.818162e+002
2.414981e+002, 3.808183e+002
2.419802e+002, 3.799969e+002
2.424623e+002, 3.795495e+002
2.429445e+002, 3.795717e+002
2.434266e+002, 3.799090e+002
2.439087e+002, 3.802900e+002
2.443908e+002, 3.806557e+002
2.448729e+002, 3.812345e+002
2.453550e+002, 3.820028e+002
2.458372e+002, 3.830245e+002
2.463193e+002, 3.844069e+002
2.468014e+002, 3.861971e+002
2.472835e+002, 3.882484e+002
2.477656e+002, 3.903733e+002
2.482477e+002, 3.926328e+002
2.487299e+002, 3.948004e+002
2.492120e+002, 3.966693e+002
2.496941e+002, 3.985318e+002
2.501762e+002, 4.005669e+002
2.506583e+002, 4.028409e+002
2.511404e+002, 4.053712e+002
2.516225e+002, 4.083540e+002
2.521047e+002, 4.123351e+002
2.525868e+002, 4.154498e+002
2.530689e+002, 4.167623e+002
2.535510e+002, 4.178001e+002
2.540331e+002, 4.197226e+002
2.545152e+002, 4.227880e+002
2.549974e+002, 4.263639e+002
2.554795e+002, 4.294846e+002
2.559616e+002, 4.317960e+002
2.564437e+002, 4.344017e+002
2.569258e+002, 4.374807e+002
2.574080e+002, 4.406860e+002
2.578901e+002, 4.438797e+002
2.583722e+002, 4.469943e+002
2.588543e+002, 4.499816e+002
2.593364e+002, 4.528014e+002
2.598185e+002, 4.555640e+002
2.603007e+002, 4.578228e+002
2.607827e+002, 4.591945e+002
2.612649e+002, 4.604863e+002
2.617470e+002, 4.622850e+002
2.622291e+002, 4.645987e+002
2.627112e+002, 4.669308e+002
2.631933e+002, 4.687083e+002
2.636754e+002, 4.697539e+002
2.641576e+002, 4.708524e+002
2.646397e+002, 4.721581e+002
2.651218e+002, 4.733746e+002
2.656039e+002, 4.741727e+002
2.660860e+002, 4.746454e+002
2.665681e+002, 4.752573e+002
2.670503e+002, 4.765015e+002
2.675324e+002, 4.785141e+002
2.680145e+002, 4.802793e+002
2.684966e+002, 4.814554e+002
2.689787e+002, 4.827422e+002
2.694608e+002, 4.844663e+002
2.699430e+002, 4.866124e+002
2.704251e+002, 4.889908e+002
2.709072e+002, 4.914437e+002
2.713893e+002, 4.939485e+002
2.718714e+002, 4.968185e+002
2.723535e+002, 5.003561e+002
2.728357e+002, 5.038724e+002
2.733178e+002, 5.070167e+002
2.737999e+002, 5.098803e+002
2.742820e+002, 5.127520e+002
2.747641e+002, 5.158382e+002
2.752462e+002, 5.191145e+002
2.757284e+002, 5.222052e+002
2.762105e+002, 5.252632e+002
2.766926e+002, 5.280373e+002
2.771747e+002, 5.304626e+002
2.776568e+002, 5.325526e+002
2.781389e+002, 5.342794e+002
2.786211e+002, 5.355845e+002
2.791032e+002, 5.365814e+002
2.795853e+002, 5.377739e+002
2.800674e+002, 5.392505e+002
2.805495e+002, 5.407781e+002
2.810316e+002, 5.425187e+002
2.815138e+002, 5.442493e+002
2.819959e+002, 5.455453e+002
2.824780e+002, 5.462013e+002
2.829601e+002, 5.464005e+002
2.834422e+002, 5.465411e+002
2.839243e+002, 5.464305e+002
2.844065e+002, 5.466208e+002
2.848886e+002, 5.474290e+002
2.853707e+002, 5.485547e+002
2.858528e+002, 5.495972e+002
2.863349e+002, 5.504388e+002
2.868170e+002, 5.510840e+002
2.872992e+002, 5.514467e+002
2.877813e+002, 5.513124e+002
2.882634e+002, 5.516256e+002
2.887455e+002, 5.527725e+002
2.892276e+002, 5.543488e+002
2.897097e+002, 5.560341e+002
2.901919e+002, 5.577781e+002
2.906740e+002, 5.591785e+002
2.911561e+002, 5.595863e+002
2.916382e+002, 5.588314e+002
2.921203e+002, 5.583912e+002
2.926024e+002, 5.584774e+002
2.930846e+002, 5.589018e+002
2.935667e+002, 5.596316e+002
2.940488e+002, 5.606505e+002
2.945309e+002, 5.615826e+002
2.950130e+002, 5.622159e+002
2.954951e+002, 5.624787e+002
2.959773e+002, 5.618776e+002
2.964594e+002, 5.595413e+002
2.969415e+002, 5.569466e+002
2.974236e+002, 5.555073e+002
2.979057e+002, 5.551544e+002
2.983878e+002, 5.544659e+002
2.988699e+002, 5.524897e+002
2.993521e+002, 5.492347e+002
2.998342e+002, 5.455536e+002
3.003163e+002, 5.412599e+002
3.007984e+002, 5.367518e+002
3.012805e+002, 5.323378e+002
3.017626e+002, 5.279326e+002
3.022448e+002, 5.230479e+002
3.027269e+002, 5.173120e+002
3.032090e+002, 5.109565e+002
3.036911e+002, 5.046897e+002
3.041732e+002, 4.984277e+002
3.046553e+002, 4.923318e+002
3.051375e+002, 4.864652e+002
3.056196e+002, 4.808182e+002
3.061017e+002, 4.753920e+002
3.065838e+002, 4.702384e+002
3.070659e+002, 4.652300e+002
3.075480e+002, 4.600796e+002
3.080302e+002, 4.546182e+002
3.085123e+002, 4.496065e+002
3.089944e+002, 4.456022e+002
3.094765e+002, 4.421512e+002
3.099586e+002, 4.385102e+002
3.104407e+002, 4.344836e+002
3.109229e+002, 4.303263e+002
3.114050e+002, 4.263270e+002
3.118871e+002, 4.224385e+002
3.123692e+002, 4.189486e+002
3.128513e+002, 4.159538e+002
3.133334e+002, 4.133710e+002
3.138156e+002, 4.111353e+002
3.142977e+002, 4.092499e+002
3.147798e+002, 4.075526e+002
3.152619e+002, 4.058774e+002
3.157440e+002, 4.042407e+002
3.162261e+002, 4.028453e+002
3.167083e+002, 4.017429e+002
3.171904e+002, 4.008626e+002
3.176725e+002, 4.000273e+002
3.181546e+002, 3.992660e+002
3.186367e+002, 3.989819e+002
3.191188e+002, 3.994248e+002
3.196010e+002, 4.006338e+002
3.200831e+002, 4.023850e+002
3.205652e+002, 4.052897e+002
3.210473e+002, 4.081224e+002
3.215294e+002, 4.098199e+002
3.220115e+002, 4.107813e+002
3.224937e+002, 4.124646e+002
3.229758e+002, 4.155696e+002
3.234579e+002, 4.197897e+002
3.239400e+002, 4.242794e+002
3.244221e+002, 4.291132e+002
3.249042e+002, 4.340219e+002
3.253864e+002, 4.390536e+002
3.258685e+002, 4.440859e+002
3.263506e+002, 4.488751e+002
3.268327e+002, 4.533039e+002
3.273148e+002, 4.576470e+002
3.277969e+002, 4.623743e+002
3.282791e+002, 4.675269e+002
3.287612e+002, 4.726977e+002
3.292433e+002, 4.778285e+002
3.297254e+002, 4.829167e+002
3.302075e+002, 4.879992e+002
3.306896e+002, 4.930830e+002
3.311718e+002, 4.980200e+002
3.316539e+002, 5.026393e+002
3.321360e+002, 5.069037e+002
3.326181e+002, 5.112896e+002
3.331002e+002, 5.157169e+002
3.335823e+002, 5.203107e+002
3.340645e+002, 5.250772e+002
3.345466e+002, 5.300399e+002
3.350287e+002, 5.354918e+002
3.355108e+002, 5.416183e+002
3.359929e+002, 5.484269e+002
3.364750e+002, 5.555508e+002
3.369571e+002, 5.636675e+002
3.374392e+002, 5.714302e+002
3.379214e+002, 5.777767e+002
3.384035e+002, 5.833372e+002
3.388856e+002, 5.896756e+002
3.393677e+002, 5.976405e+002
3.398498e+002, 6.065098e+002
3.403319e+002, 6.142396e+002
3.408141e+002, 6.201336e+002
3.412962e+002, 6.263097e+002
3.417783e+002, 6.332878e+002
3.422604e+002, 6.407306e+002
3.427425e+002, 6.484785e+002
3.432246e+002, 6.564613e+002
3.437068e+002, 6.639195e+002
3.441889e+002, 6.697402e+002
3.446710e+002, 6.733718e+002
3.451531e+002, 6.766045e+002
3.456352e+002, 6.792682e+002
3.461173e+002, 6.816331e+002
3.465995e+002, 6.840070e+002
3.470816e+002, 6.863475e+002
3.475637e+002, 6.883395e+002
3.480458e+002, 6.897432e+002
3.485279e+002, 6.905561e+002
3.490100e+002, 6.902493e+002
3.494922e+002, 6.884343e+002
3.499743e+002, 6.861134e+002
3.504564e+002, 6.835681e+002
3.509385e+002, 6.808663e+002
3.514206e+002, 6.780384e+002
3.519027e+002, 6.751051e+002
3.523849e+002, 6.720953e+002
3.528670e+002, 6.690938e+002
3.533491e+002, 6.671868e+002
3.538312e+002, 6.639612e+002
3.543133e+002, 6.581113e+002
3.547954e+002, 6.511971e+002
3.552776e+002, 6.452181e+002
3.557597e+002, 6.408395e+002
3.562418e+002, 6.368543e+002
3.567239e+002, 6.310948e+002
3.572060e+002, 6.221824e+002
3.576881e+002, 6.142516e+002
3.581703e+002, 6.081495e+002
3.586524e+002, 6.022848e+002
3.591345e+002, 5.955557e+002
3.596166e+002, 5.878901e+002
3.600987e+002, 5.799944e+002
3.605808e+002, 5.724947e+002
3.610630e+002, 5.654139e+002
3.615451e+002, 5.584896e+002
3.620272e+002, 5.519440e+002
3.625093e+002, 5.453296e+002
3.629914e+002, 5.383771e+002
3.634735e+002, 5.312300e+002
3.639557e+002, 5.242678e+002
3.644378e+002, 5.176964e+002
3.649199e+002, 5.114988e+002
3.654020e+002, 5.056059e+002
3.658841e+002, 5.001284e+002
3.663662e+002, 4.948546e+002
3.668484e+002, 4.893752e+002
3.673305e+002, 4.842825e+002
3.678126e+002, 4.802863e+002
3.682947e+002, 4.775889e+002
3.687768e+002, 4.755786e+002
3.692589e+002, 4.732617e+002
3.697411e+002, 4.703403e+002
3.702232e+002, 4.679578e+002
3.707053e+002, 4.663087e+002
3.711874e+002, 4.650267e+002
3.716695e+002, 4.640112e+002
3.721516e+002, 4.632038e+002
3.726338e+002, 4.624678e+002
3.731159e+002, 4.615782e+002
3.735980e+002, 4.605594e+002
3.740801e+002, 4.602764e+002
3.745622e+002, 4.611670e+002
3.750443e+002, 4.623194e+002
3.755264e+002, 4.637899e+002
3.760085e+002, 4.652287e+002
3.764907e+002, 4.660327e+002
3.769728e+002, 4.657982e+002
3.774549e+002, 4.650436e+002
3.779370e+002, 4.650757e+002
3.784191e+002, 4.663954e+002
3.789012e+002, 4.670687e+002
3.793834e+002, 4.665356e+002
3.798655e+002, 4.651827e+002
3.803476e+002, 4.630750e+002
3.808297e+002, 4.602398e+002
3.813118e+002, 4.571713e+002
3.817939e+002, 4.545016e+002
3.822761e+002, 4.522095e+002
3.827582e+002, 4.493762e+002
3.832403e+002, 4.456971e+002
3.837224e+002, 4.416286e+002
3.842045e+002, 4.374152e+002
3.846866e+002, 4.331090e+002
3.851688e+002, 4.287615e+002
3.856509e+002, 4.242530e+002
3.861330e+002, 4.197892e+002
3.866151e+002, 4.159122e+002
3.870972e+002, 4.127983e+002
3.875793e+002, 4.096696e+002
3.880615e+002, 4.058998e+002
3.885436e+002, 4.018688e+002
3.890257e+002, 3.981147e+002
3.895078e+002, 3.947904e+002
3.899899e+002, 3.916618e+002
3.904720e+002, 3.885021e+002
3.909542e+002, 3.853260e+002
3.914363e+002, 3.823716e+002
3.919184e+002, 3.797653e+002
3.924005e+002, 3.773605e+002
3.928826e+002, 3.750227e+002
3.933647e+002, 3.727845e+002
3.938469e+002, 3.703047e+002
3.943290e+002, 3.671411e+002
3.948111e+002, 3.637595e+002
3.952932e+002, 3.610568e+002
3.957753e+002, 3.591956e+002
3.962574e+002, 3.573946e+002
3.967396e+002, 3.548839e+002
3.972217e+002, 3.517339e+002
3.977038e+002, 3.488832e+002
3.981859e+002, 3.465077e+002
3.986680e+002, 3.442942e+002
3.991501e+002, 3.419954e+002
3.996323e+002, 3.396672e+002
4.001144e+002, 3.375252e+002
4.005965e+002, 3.356793e+002
4.010786e+002, 3.340844e+002
4.015607e+002, 3.326567e+002
4.020428e+002, 3.313719e+002
4.025250e+002, 3.302529e+002
4.030071e+002, 3.294626e+002
4.034892e+002, 3.287645e+002
4.039713e+002, 3.279247e+002
4.044534e+002, 3.268848e+002
4.049355e+002, 3.256429e+002
4.054177e+002, 3.241592e+002
4.058998e+002, 3.223559e+002
4.063819e+002, 3.207560e+002
4.068640e+002, 3.193750e+002
4.073461e+002, 3.181594e+002
4.078282e+002, 3.172990e+002
4.083104e+002, 3.165877e+002
4.087925e+002, 3.154927e+002
4.092746e+002, 3.136166e+002
4.097567e+002, 3.112159e+002
4.102388e+002, 3.094453e+002
4.107209e+002, 3.088825e+002
4.112031e+002, 3.082481e+002
4.116852e+002, 3.073289e+002
4.121673e+002, 3.063501e+002
4.126494e+002, 3.055519e+002
4.131315e+002, 3.049861e+002
4.136136e+002, 3.044981e+002
4.140957e+002, 3.038549e+002
4.145779e+002, 3.029655e+002
4.150600e+002, 3.022774e+002
4.155421e+002, 3.022118e+002
4.160242e+002, 3.019599e+002
4.165063e+002, 3.010967e+002
4.169884e+002, 2.997801e+002
4.174706e+002, 2.984328e+002
4.179527e+002, 2.972960e+002
4.184348e+002, 2.963431e+002
4.189169e+002, 2.954845e+002
4.193990e+002, 2.947862e+002
4.198811e+002, 2.940461e+002
4.203633e+002, 2.932306e+002
4.208454e+002, 2.923376e+002
4.213275e+002, 2.914232e+002
4.218096e+002, 2.905099e+002
4.222917e+002, 2.893657e+002
4.227738e+002, 2.875000e+002
4.232560e+002, 2.849753e+002
4.237381e+002, 2.830674e+002
4.242202e+002, 2.821594e+002
4.247023e+002, 2.816693e+002
4.251844e+002, 2.812145e+002
4.256665e+002, 2.807787e+002
4.261487e+002, 2.802995e+002
4.266308e+002, 2.796240e+002
4.271129e+002, 2.789458e+002
4.275950e+002, 2.785735e+002
4.280771e+002, 2.785166e+002
4.285592e+002, 2.785782e+002
4.290414e+002, 2.786221e+002
4.295235e+002, 2.787535e+002
4.300056e+002, 2.792020e+002
4.304877e+002, 2.801810e+002
4.309698e+002, 2.809987e+002
