##NAMES=Hydroboracite
##RRUFFID=R060713
##IDEAL CHEMISTRY=CaMg[B_3_O_4_(OH)_3_]_2_&#183;3H_2_O
##LOCALITY=Sijes, Salta Province, Argentina
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Divergent groups of colorless bladed crystals that lie somewhat parallel with each other
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R060713
##MEASURED CHEMISTRY=(Ca_0.93_Mg_0.07_)_Σ=1_Mg_1.00_B_6_O_8_(OH)_6_·3H_2_O ; B, H not measured but estimated by stoichiometry
145.146, 35866.141
145.629, 36040.750
146.111, 36218.539
146.593, 36389.180
147.075, 36568.039
147.557, 36765.129
148.039, 36979.488
148.521, 37215.020
149.003, 37490.461
149.486, 37836.629
149.968, 38110.809
150.450, 38303.539
150.932, 38429.711
151.414, 38511.121
151.896, 38509.250
152.378, 38503.680
152.860, 38520.012
153.342, 38575.660
153.824, 38628.949
154.307, 38700.762
154.789, 38772.199
155.271, 38795.480
155.753, 38737.191
156.235, 38648.801
156.717, 38551.840
157.199, 38411.820
157.682, 38307.730
158.164, 38253.898
158.646, 38246.941
159.128, 38276.359
159.610, 38360.621
160.092, 38464.629
160.574, 38562.531
161.056, 38615.422
161.538, 38685.941
162.020, 38805.301
162.503, 38968.711
162.985, 39128.148
163.467, 39265.441
163.949, 39385.141
164.431, 39491.449
164.913, 39594.691
165.395, 39679.070
165.877, 39729.711
166.360, 39745.820
166.842, 39760.250
167.324, 39781.672
167.806, 39817.000
168.288, 39876.141
168.770, 39994.641
169.252, 40122.309
169.734, 40214.309
170.217, 40260.699
170.699, 40305.129
171.181, 40370.230
171.663, 40456.980
172.145, 40568.520
172.627, 40714.219
173.109, 40881.891
173.591, 41057.199
174.073, 41233.711
174.555, 41429.789
175.038, 41655.629
175.520, 41913.609
176.002, 42204.488
176.484, 42583.320
176.966, 42985.762
177.448, 43321.730
177.930, 43588.262
178.413, 43757.730
178.895, 43745.480
179.377, 43570.512
179.859, 43402.422
180.341, 43351.301
180.823, 43398.461
181.305, 43502.391
181.787, 43675.672
182.269, 43880.680
182.751, 44077.660
183.234, 44264.109
183.716, 44398.500
184.198, 44431.801
184.680, 44376.250
185.162, 44280.789
185.644, 44153.570
186.126, 43997.480
186.608, 43800.500
187.091, 43559.078
187.573, 43324.172
188.055, 43160.090
188.537, 43059.941
189.019, 42967.430
189.501, 42853.449
189.983, 42729.820
190.465, 42652.090
190.947, 42624.301
191.430, 42627.191
191.912, 42635.180
192.394, 42648.820
192.876, 42686.961
193.358, 42764.488
193.840, 42877.859
194.322, 42994.160
194.804, 43112.398
195.286, 43235.969
195.769, 43386.512
196.251, 43572.410
196.733, 43716.090
197.215, 43777.398
197.697, 43757.141
198.179, 43708.840
198.661, 43629.141
199.143, 43530.691
199.626, 43433.160
200.108, 43332.961
200.590, 43251.672
201.072, 43198.148
201.554, 43172.000
202.036, 43173.801
202.518, 43207.520
203.000, 43263.410
203.482, 43319.461
203.965, 43374.039
204.447, 43428.488
204.929, 43480.129
205.411, 43526.289
205.893, 43580.961
206.375, 43645.641
206.857, 43718.449
207.339, 43801.379
207.822, 43906.699
208.304, 43992.211
208.786, 44018.770
209.268, 43969.641
209.750, 43943.609
210.232, 43955.770
210.714, 44002.441
211.196, 44062.891
211.678, 44141.762
212.161, 44230.391
212.643, 44320.980
213.125, 44413.078
213.607, 44514.699
214.089, 44628.500
214.571, 44753.430
215.053, 44884.371
215.535, 45024.051
216.018, 45159.859
216.500, 45284.070
216.982, 45398.461
217.464, 45480.961
217.946, 45512.961
218.428, 45496.762
218.910, 45518.191
219.392, 45599.730
219.874, 45688.840
220.357, 45737.371
220.839, 45735.219
221.321, 45716.391
221.803, 45684.801
222.285, 45641.379
222.767, 45600.129
223.249, 45567.191
223.731, 45533.250
224.214, 45484.500
224.696, 45401.102
225.178, 45345.102
225.660, 45332.211
226.142, 45365.012
226.624, 45407.828
227.106, 45457.891
227.588, 45518.730
228.070, 45596.898
228.553, 45710.102
229.035, 45806.180
229.517, 45866.199
229.999, 45883.109
230.481, 45918.762
230.963, 45977.512
231.445, 46050.969
231.927, 46125.109
232.410, 46185.180
232.892, 46273.398
233.374, 46411.828
233.856, 46615.852
234.338, 46779.020
234.820, 46878.449
235.302, 46956.160
235.784, 47069.941
236.266, 47228.789
236.749, 47410.078
237.231, 47603.469
237.713, 47806.469
238.195, 48039.449
