##NAMES=Bindheimite
##RRUFFID=R050546
##IDEAL CHEMISTRY=Pb^2+^_2_Sb^5+^_2_O_7_
##LOCALITY=Arabia District, Pershing County, Nevada, USA
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Yellow-brown coarsely fibrous massive, intimately mixed with mimetite
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050546
##MEASURED CHEMISTRY=(Pb_1.33_Fe_0.47_Ca_0.20_)_Σ=2_(Sb^5+^_1.97_As^5+^_0.03_)_Σ=2_O_7_  ;(darker phase, with trace amounts of Na);   (Pb_4.07_Ca_0.92_Fe_0.01_)_Σ=5_((As_2.97_Sb_0.03_)_Σ=1_O_4_)_3_Cl_1.00_ (lighter phase = mimetite)
92.37695, 7490.620
92.85907, 7393.483
93.34119, 7415.482
93.82330, 7496.237
94.30542, 7556.555
94.78754, 7580.576
95.26965, 7583.942
95.75177, 7578.373
96.23389, 7573.278
96.71600, 7563.473
97.19812, 7549.012
97.68024, 7531.116
98.16235, 7512.771
98.64447, 7496.543
99.12659, 7481.483
99.60870, 7454.624
100.0908, 7433.841
100.5729, 7421.281
101.0551, 7415.618
101.5372, 7414.866
102.0193, 7418.722
102.5014, 7430.396
102.9835, 7447.146
103.4656, 7474.628
103.9478, 7517.187
104.4299, 7570.751
104.9120, 7627.955
105.3941, 7682.775
105.8762, 7734.960
106.3583, 7790.615
106.8405, 7847.862
107.3226, 7906.847
107.8047, 7966.277
108.2868, 8026.283
108.7689, 8090.501
109.2510, 8163.346
109.7332, 8245.229
110.2153, 8329.687
110.6974, 8417.503
111.1795, 8506.778
111.6616, 8594.779
112.1437, 8678.961
112.6259, 8764.366
113.1080, 8856.893
113.5901, 8955.404
114.0722, 9055.935
114.5543, 9154.793
115.0364, 9252.504
115.5185, 9351.671
116.0007, 9453.433
116.4828, 9556.780
116.9649, 9663.774
117.4470, 9773.943
117.9291, 9883.065
118.4112, 9985.907
118.8934, 10079.97
119.3755, 10172.22
119.8576, 10266.82
120.3397, 10359.05
120.8218, 10446.30
121.3039, 10527.40
121.7861, 10601.34
122.2682, 10665.92
122.7503, 10725.17
123.2324, 10767.43
123.7145, 10791.37
124.1966, 10797.70
124.6788, 10787.66
125.1609, 10761.92
125.6430, 10720.05
126.1251, 10658.24
126.6072, 10578.17
127.0893, 10482.65
127.5715, 10373.04
128.0536, 10248.87
128.5357, 10109.24
129.0178, 9951.451
129.4999, 9774.298
129.9821, 9585.859
130.4642, 9382.568
130.9463, 9168.622
131.4284, 8946.640
131.9105, 8716.251
132.3926, 8480.122
132.8748, 8238.875
133.3569, 7992.474
133.8390, 7744.222
134.3211, 7492.092
134.8032, 7239.013
135.2853, 6990.851
135.7674, 6747.724
136.2496, 6510.851
136.7317, 6279.795
137.2138, 6054.698
137.6959, 5837.736
138.1780, 5629.025
138.6601, 5428.408
139.1423, 5238.116
139.6244, 5056.884
140.1065, 4887.473
140.5886, 4730.142
141.0707, 4585.812
141.5528, 4454.367
142.0350, 4336.702
142.5171, 4236.152
142.9992, 4142.534
143.4813, 4053.991
143.9634, 3972.301
144.4455, 3898.459
144.9277, 3832.971
145.4098, 3773.901
145.8919, 3718.333
146.3740, 3666.458
146.8561, 3618.550
147.3382, 3575.599
147.8204, 3536.160
148.3025, 3498.475
148.7846, 3461.905
149.2667, 3426.788
149.7488, 3393.653
150.2309, 3362.016
150.7131, 3332.114
151.1952, 3305.130
151.6773, 3280.177
152.1594, 3254.853
