##NAMES=Triphylite
##RRUFFID=R050624
##IDEAL CHEMISTRY=LiFe^2+^PO_4_
##LOCALITY=Minas Gerais, Brazil
##OWNER=RRUFF
##SOURCE=Gemological Center
##DESCRIPTION=Brown fragment
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050624
##MEASURED CHEMISTRY=Li_1.00_(Fe^2+^_0.55_Mn^2+^_0.45_)_Σ=1_P_1.00_O_4_ ; Li not measured, but estimated by difference
163.9149, 590.5275
164.3971, 577.9809
164.8792, 567.8267
165.3613, 562.6774
165.8434, 559.5023
166.3255, 555.5007
166.8076, 548.0093
167.2898, 541.0818
167.7719, 537.5988
168.2540, 537.1823
168.7361, 536.5540
169.2182, 532.2977
169.7003, 527.1724
170.1825, 524.4748
170.6646, 528.1116
171.1467, 532.7869
171.6288, 534.4083
172.1109, 533.0221
172.5931, 530.3129
173.0752, 526.0354
173.5573, 521.3984
174.0394, 518.3580
174.5215, 518.4595
175.0036, 520.1666
175.4858, 522.3838
175.9679, 525.1475
176.4500, 527.0144
176.9321, 525.7260
177.4142, 522.5607
177.8963, 520.4605
178.3785, 521.3918
178.8606, 523.9079
179.3427, 526.0168
179.8248, 527.7440
180.3069, 528.7214
180.7890, 527.7934
181.2712, 525.6046
181.7533, 524.2278
182.2354, 525.4975
182.7175, 528.1501
183.1996, 529.1431
183.6818, 528.1427
184.1639, 526.9150
184.6460, 527.7727
185.1281, 530.3607
185.6102, 532.8685
186.0923, 533.8726
186.5745, 534.0416
187.0566, 535.7802
187.5387, 539.5464
188.0208, 543.6578
188.5029, 545.6154
188.9850, 545.5962
189.4672, 545.7854
189.9493, 547.5822
190.4314, 550.6340
190.9135, 553.0167
191.3956, 554.4102
191.8777, 555.6840
192.3599, 558.2511
192.8420, 562.1061
193.3241, 566.5413
193.8062, 570.9128
194.2883, 575.3648
194.7704, 581.4768
195.2526, 589.8107
195.7347, 598.8911
196.2168, 605.8170
196.6989, 610.4143
197.1810, 614.8406
197.6632, 620.7395
198.1453, 628.1458
198.6274, 633.6447
