##NAMES=Arseniosiderite
##RRUFFID=R150061
##IDEAL CHEMISTRY=Ca_2_Fe^3+^_3_O_2_(As^5+^O_4_)_3_&#183;3H_2_O
##LOCALITY=Las Animas mine, La Mur, Sonora, Mexico
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Dark red platy crystals, associated with bright red granular or prismatic sewardite (R060720)
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R150061
201.0722, 1605.384
201.5543, 1559.178
202.0364, 1518.771
202.5186, 1485.813
203.0007, 1460.714
203.4828, 1439.865
203.9649, 1423.752
204.4470, 1411.255
204.9291, 1397.326
205.4113, 1380.930
205.8934, 1365.553
206.3755, 1353.648
206.8576, 1345.144
207.3397, 1340.526
207.8218, 1340.452
208.3040, 1344.513
208.7861, 1350.028
209.2682, 1357.821
209.7503, 1365.432
210.2324, 1369.981
210.7145, 1370.114
211.1967, 1372.039
211.6788, 1376.433
212.1609, 1383.424
212.6430, 1396.902
213.1251, 1421.693
213.6072, 1445.555
214.0894, 1454.198
214.5715, 1441.005
215.0536, 1431.200
215.5357, 1431.351
216.0178, 1441.687
216.4999, 1450.779
216.9820, 1458.559
217.4642, 1464.918
217.9463, 1469.914
218.4284, 1473.747
218.9105, 1475.360
219.3926, 1473.708
219.8747, 1468.287
220.3569, 1464.994
220.8390, 1465.234
221.3211, 1466.299
221.8032, 1464.698
222.2853, 1459.893
222.7674, 1453.739
223.2496, 1447.475
223.7317, 1441.898
224.2138, 1430.447
224.6959, 1408.537
225.1780, 1384.423
225.6601, 1369.783
226.1423, 1368.974
226.6244, 1369.811
227.1065, 1369.548
227.5886, 1368.873
228.0707, 1363.445
228.5528, 1350.748
229.0350, 1334.709
229.5171, 1321.524
229.9992, 1310.439
230.4813, 1303.098
230.9634, 1301.073
231.4455, 1306.787
231.9276, 1308.625
232.4098, 1305.218
232.8919, 1298.657
233.3740, 1292.582
233.8561, 1286.373
234.3382, 1281.648
234.8203, 1279.302
235.3025, 1280.513
235.7846, 1280.480
236.2667, 1278.948
236.7488, 1276.317
237.2309, 1273.514
237.7130, 1271.438
238.1952, 1267.854
238.6773, 1261.541
239.1594, 1250.916
239.6415, 1242.139
240.1236, 1235.101
240.6057, 1229.913
241.0879, 1226.874
241.5700, 1226.927
242.0521, 1227.725
242.5342, 1228.385
243.0163, 1228.602
243.4984, 1229.709
243.9806, 1233.310
244.4627, 1237.138
244.9448, 1235.665
245.4269, 1224.499
245.9090, 1214.572
246.3911, 1210.873
246.8732, 1217.882
247.3554, 1218.868
247.8375, 1209.890
248.3196, 1196.265
248.8017, 1190.890
249.2838, 1199.540
249.7659, 1207.349
250.2481, 1208.115
250.7302, 1198.926
251.2123, 1190.450
251.6944, 1182.139
252.1765, 1174.880
252.6586, 1170.977
253.1408, 1173.102
253.6229, 1174.265
254.1050, 1171.644
254.5871, 1164.571
255.0692, 1155.556
255.5513, 1143.117
256.0334, 1129.471
256.5156, 1119.685
256.9977, 1115.963
257.4798, 1112.051
257.9619, 1104.972
258.4440, 1092.865
258.9261, 1083.175
259.4083, 1076.594
259.8904, 1071.884
260.3725, 1066.261
260.8546, 1058.674
261.3367, 1052.076
261.8188, 1047.648
262.3010, 1045.509
262.7831, 1045.477
263.2652, 1049.610
263.7473, 1054.407
264.2294, 1051.461
264.7115, 1036.760
265.1937, 1023.697
265.6758, 1019.012
266.1579, 1025.199
266.6400, 1028.437
267.1221, 1028.150
267.6042, 1025.418
268.0864, 1022.194
268.5685, 1018.407
269.0506, 1014.307
269.5327, 1010.171
270.0148, 1006.218
270.4969, 1000.591
270.9791, 992.1238
271.4612, 983.3731
271.9433, 980.1559
272.4254, 984.4241
272.9075, 987.0417
273.3896, 983.1733
273.8718, 971.9518
274.3539, 963.8214
274.8360, 959.0325
275.3181, 956.8302
275.8002, 956.5947
276.2823, 958.8148
276.7645, 960.3798
277.2466, 959.6508
277.7287, 956.5010
278.2108, 954.5152
278.6929, 953.8959
279.1750, 953.9473
279.6572, 954.5184
280.1393, 955.9495
280.6214, 954.4827
281.1035, 946.2719
281.5856, 932.1112
282.0677, 926.2093
282.5499, 930.3225
283.0320, 937.8002
283.5141, 939.7618
283.9962, 936.0548
284.4783, 932.0580
284.9604, 930.7352
285.4425, 931.1940
285.9247, 926.0443
286.4068, 914.1398
286.8889, 901.8488
287.3710, 897.7708
287.8531, 901.4144
288.3352, 904.5837
288.8174, 904.3672
289.2995, 901.4576
289.7816, 897.7795
290.2637, 893.1530
290.7458, 889.5584
291.2279, 890.2580
291.7101, 894.4664
292.1922, 897.2663
292.6743, 896.5447
293.1564, 893.5021
293.6385, 890.6133
