##NAMES=Epidote
##RRUFFID=R070205
##IDEAL CHEMISTRY=Ca_2_Fe^3+^Al_2_(Si_2_O_7_)(SiO_4_)O(OH)
##LOCALITY=Jebel Shacro, Morocco
##OWNER=RRUFF
##SOURCE=Renato and Adriana Pagano
##DESCRIPTION=Red-purple prismatic crystals
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R070205
##MEASURED CHEMISTRY=(Ca_1.96_Mn^2+^_0.04_)_Σ=2_(Fe^3+^_0.72_Al_0.22_Mn^3+^_0.06_)_Σ=1_Al_2.00_(Si_2.00_O_7_)(Si_1.00_O_4_)O(OH); OH assumed by stoichiometry, Mn2+ and  Mn3+ splitted by charge balance
150.1816, 490.6226
150.6638, 496.5072
151.1459, 499.1487
151.6280, 502.3304
152.1101, 508.2675
152.5922, 521.9987
153.0743, 533.3557
153.5565, 538.4278
154.0386, 536.9984
154.5207, 540.7249
155.0028, 558.7834
155.4849, 579.5461
155.9670, 592.6316
156.4492, 584.3511
156.9313, 578.7253
157.4134, 584.5530
157.8955, 604.4022
158.3776, 623.5940
158.8597, 639.4013
159.3419, 651.9385
159.8240, 661.1769
160.3061, 661.8640
160.7882, 663.2919
161.2703, 670.4117
161.7524, 685.3374
162.2346, 701.6791
162.7167, 718.3372
163.1988, 734.5989
163.6809, 748.6479
164.1630, 756.8980
164.6451, 764.3881
165.1273, 774.4875
165.6094, 787.2049
166.0915, 803.8296
166.5736, 830.8089
167.0557, 864.0065
167.5379, 889.6792
168.0200, 892.4121
168.5021, 886.3573
168.9842, 886.3794
169.4663, 901.2786
169.9484, 918.8239
170.4306, 932.0416
170.9127, 940.4506
171.3948, 941.1252
171.8769, 927.6680
172.3590, 905.8626
172.8411, 884.2366
173.3233, 866.3259
173.8054, 850.0424
174.2875, 832.7523
174.7696, 814.3508
175.2517, 797.3858
175.7338, 786.4547
176.2160, 778.6898
176.6981, 767.8235
177.1802, 747.4395
177.6623, 723.5562
178.1444, 705.9894
178.6265, 695.6990
179.1087, 687.7332
179.5908, 676.8931
180.0729, 664.0305
180.5550, 651.9681
181.0371, 641.7856
181.5192, 633.5116
182.0014, 628.0727
182.4835, 626.0587
182.9656, 624.9362
183.4477, 619.8976
183.9298, 611.6799
184.4119, 605.9717
184.8941, 607.6151
185.3762, 614.7834
185.8583, 621.5513
186.3404, 628.0874
186.8225, 632.5932
187.3046, 630.5038
187.7868, 621.9215
188.2689, 613.1249
188.7510, 607.9658
189.2331, 606.2954
189.7152, 608.2637
190.1973, 615.9344
190.6795, 625.2940
191.1616, 625.7088
191.6437, 616.4330
192.1258, 605.2802
192.6079, 597.8486
193.0900, 594.0832
193.5722, 592.7730
194.0543, 593.8318
194.5364, 597.1177
195.0185, 602.8381
195.5006, 611.5402
195.9827, 620.1646
196.4649, 625.4380
196.9470, 627.3030
197.4291, 628.7429
197.9112, 630.0078
198.3933, 631.3612
198.8754, 635.3044
199.3576, 642.7087
199.8397, 650.2003
200.3218, 653.8883
200.8039, 653.4871
201.2860, 651.0435
201.7681, 646.3298
202.2503, 639.4711
202.7324, 634.7288
203.2145, 632.6006
203.6966, 631.6741
204.1787, 629.2655
204.6608, 624.3574
205.1430, 622.6743
205.6251, 627.6726
206.1072, 640.1783
206.5893, 648.4117
207.0714, 651.8764
207.5535, 651.6826
208.0357, 647.8462
208.5178, 637.6277
208.9999, 632.4623
209.4820, 639.4613
209.9641, 662.5768
210.4462, 675.2736
210.9284, 674.9614
211.4105, 666.3135
211.8926, 657.8414
212.3747, 648.3178
212.8568, 641.7590
213.3389, 640.8590
213.8211, 647.9303
214.3032, 651.6588
214.7853, 649.5911
215.2674, 645.3075
215.7495, 648.4955
216.2316, 662.1521
216.7138, 677.4454
217.1959, 690.3357
217.6780, 700.5984
218.1601, 709.2975
218.6422, 715.8680
219.1243, 720.9905
219.6065, 719.6166
220.0886, 737.1517
220.5707, 751.7526
221.0528, 763.5764
221.5349, 764.3061
222.0170, 779.3617
222.4992, 788.6785
222.9813, 797.7572
223.4634, 814.8292
223.9455, 817.1725
224.4276, 834.1178
224.9097, 845.2343
225.3919, 859.0208
225.8740, 867.0280
226.3561, 883.0303
226.8382, 912.8521
227.3203, 934.5756
227.8024, 943.6201
228.2846, 950.2388
228.7667, 962.0690
229.2488, 983.7880
229.7309, 999.9412
230.2130, 1006.937
230.6951, 1006.085
231.1773, 1007.936
231.6594, 1012.761
232.1415, 1019.976
232.6236, 1029.842
233.1057, 1045.507
233.5878, 1057.243
234.0700, 1062.035
234.5521, 1060.692
235.0342, 1064.201
235.5163, 1075.982
235.9984, 1088.841
236.4805, 1097.162
236.9627, 1099.412
237.4448, 1099.855
237.9269, 1097.907
238.4090, 1093.762
238.8911, 1093.427
239.3732, 1099.630
239.8554, 1106.761
240.3375, 1110.015
240.8196, 1107.943
241.3017, 1104.696
241.7838, 1100.568
242.2659, 1095.579
242.7481, 1090.891
243.2302, 1087.485
243.7123, 1083.385
244.1944, 1077.121
244.6765, 1069.817
245.1586, 1057.934
245.6408, 1039.612
246.1229, 1014.729
246.6050, 991.9917
247.0871, 972.1091
247.5692, 953.6364
248.0513, 934.7061
248.5335, 912.6550
249.0156, 895.4899
249.4977, 886.4903
249.9798, 885.8067
250.4619, 880.9684
250.9440, 868.0324
251.4262, 855.1631
251.9083, 851.5130
252.3904, 863.8480
252.8725, 871.5032
253.3546, 869.0891
253.8367, 856.3765
254.3189, 845.7999
254.8010, 835.8897
255.2831, 829.9135
255.7652, 832.3250
256.2473, 847.4479
256.7295, 861.2065
257.2116, 870.5211
257.6937, 875.3357
258.1758, 879.1221
258.6579, 881.5428
259.1400, 883.3476
259.6222, 885.4176
260.1043, 888.0765
260.5864, 889.8844
261.0685, 888.8780
261.5506, 885.1077
262.0327, 890.0517
262.5149, 907.2598
262.9970, 928.1787
263.4791, 943.5578
263.9612, 951.7784
264.4433, 959.4905
264.9254, 968.3453
265.4076, 978.1761
265.8897, 986.8607
266.3718, 994.0396
266.8539, 1000.787
267.3360, 1008.538
267.8181, 1017.731
268.3003, 1026.175
268.7824, 1033.507
269.2645, 1039.696
269.7466, 1043.489
270.2287, 1043.334
270.7108, 1043.848
271.1930, 1050.423
271.6751, 1064.455
272.1572, 1078.270
272.6393, 1091.044
273.1214, 1102.549
273.6035, 1109.250
274.0857, 1111.172
274.5678, 1108.439
275.0499, 1100.121
275.5320, 1085.523
276.0141, 1070.177
276.4962, 1054.902
276.9784, 1039.766
277.4605, 1026.152
277.9426, 1014.573
278.4247, 1002.556
278.9068, 988.1943
279.3889, 971.4790
279.8711, 951.8989
280.3532, 926.7612
280.8353, 899.1332
281.3174, 883.1463
281.7995, 880.3024
282.2816, 882.1694
282.7638, 882.9648
283.2459, 882.6605
283.7280, 878.9014
284.2101, 869.1657
284.6922, 856.6641
285.1743, 853.1283
285.6565, 859.5249
286.1386, 866.2359
286.6207, 863.4769
287.1028, 852.4399
287.5849, 845.1257
288.0670, 844.8837
288.5492, 848.9358
289.0313, 850.2573
289.5134, 848.7426
289.9955, 848.7571
290.4776, 856.2595
290.9597, 869.0457
291.4419, 876.2224
291.9240, 873.4153
292.4061, 867.1792
292.8882, 871.7080
293.3703, 886.4108
293.8524, 899.8856
294.3346, 901.7722
294.8167, 895.8868
295.2988, 893.4868
295.7809, 896.9260
296.2630, 903.7524
296.7451, 912.1037
297.2273, 921.4904
297.7094, 928.7839
298.1915, 929.6204
298.6736, 927.2335
299.1557, 929.2020
299.6378, 938.4847
300.1200, 947.8451
300.6021, 946.2177
301.0842, 936.3287
301.5663, 929.2356
302.0484, 935.2780
302.5305, 946.9460
303.0127, 952.3313
303.4948, 948.1946
303.9769, 943.7209
304.4590, 949.1549
304.9411, 961.4802
305.4232, 972.4714
