##NAMES=Collinsite
##RRUFFID=R140626
##IDEAL CHEMISTRY=Ca_2_Mg(PO_4_)_2_&#183;2H_2_O
##LOCALITY=Near Milgun Station, Meekatharra Shire, Western Australia, Australia
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Colorless bladed to prismatic crystals with pointy ends. Associated with gordonite (R130671), montgomeryite (R140625), and hydroxylapatite (R140987).
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R140626
##MEASURED CHEMISTRY=Ca_2.01_Mg_1.06_(P_1.00_O_4_)_2_·2H_2_O ; trace Mn, Fe
1.142194e+002, 9.176387e+002
1.147015e+002, 9.184894e+002
1.151836e+002, 9.195515e+002
1.156658e+002, 9.209903e+002
1.161479e+002, 9.225540e+002
1.166300e+002, 9.239377e+002
1.171121e+002, 9.250209e+002
1.175942e+002, 9.260248e+002
1.180763e+002, 9.274806e+002
1.185584e+002, 9.293517e+002
1.190406e+002, 9.315651e+002
1.195227e+002, 9.339448e+002
1.200048e+002, 9.366149e+002
1.204869e+002, 9.399273e+002
1.209690e+002, 9.439569e+002
1.214511e+002, 9.489021e+002
1.219333e+002, 9.545095e+002
1.224154e+002, 9.601686e+002
1.228975e+002, 9.674817e+002
1.233796e+002, 9.778177e+002
1.238617e+002, 9.913057e+002
1.243438e+002, 1.006830e+003
1.248260e+002, 1.024672e+003
1.253081e+002, 1.043975e+003
1.257902e+002, 1.065538e+003
1.262723e+002, 1.091748e+003
1.267544e+002, 1.117472e+003
1.272365e+002, 1.131038e+003
1.277187e+002, 1.130590e+003
1.282008e+002, 1.118999e+003
1.286829e+002, 1.093850e+003
1.291650e+002, 1.060952e+003
1.296471e+002, 1.027335e+003
1.301292e+002, 9.967516e+002
1.306114e+002, 9.693546e+002
1.310935e+002, 9.476077e+002
1.315756e+002, 9.345690e+002
1.320577e+002, 9.245518e+002
1.325398e+002, 9.173729e+002
1.330219e+002, 9.123344e+002
1.335041e+002, 9.084324e+002
1.339862e+002, 9.047678e+002
1.344683e+002, 9.012366e+002
1.349504e+002, 8.988370e+002
1.354325e+002, 8.980440e+002
1.359146e+002, 8.977466e+002
1.363968e+002, 8.973868e+002
1.368789e+002, 8.968831e+002
1.373610e+002, 8.963906e+002
1.378431e+002, 8.960521e+002
1.383252e+002, 8.958549e+002
1.388073e+002, 8.960236e+002
1.392895e+002, 8.969651e+002
1.397716e+002, 8.981239e+002
1.402537e+002, 8.988790e+002
1.407358e+002, 8.990901e+002
1.412179e+002, 8.988938e+002
1.417000e+002, 8.980854e+002
1.421821e+002, 8.966959e+002
1.426643e+002, 8.960057e+002
1.431464e+002, 8.968744e+002
1.436285e+002, 8.989459e+002
1.441106e+002, 9.009148e+002
1.445927e+002, 9.023496e+002
1.450748e+002, 9.037923e+002
1.455570e+002, 9.055926e+002
1.460391e+002, 9.077599e+002
1.465212e+002, 9.103957e+002
1.470033e+002, 9.136990e+002
1.474854e+002, 9.177359e+002
1.479675e+002, 9.218445e+002
1.484497e+002, 9.253947e+002
1.489318e+002, 9.293685e+002
1.494139e+002, 9.342762e+002
1.498960e+002, 9.402219e+002
1.503781e+002, 9.471769e+002
1.508602e+002, 9.548722e+002
1.513424e+002, 9.627842e+002
1.518245e+002, 9.730240e+002
1.523066e+002, 9.874365e+002
1.527887e+002, 1.002851e+003
1.532708e+002, 1.017814e+003
1.537529e+002, 1.031552e+003
1.542351e+002, 1.043016e+003
1.547172e+002, 1.049560e+003
1.551993e+002, 1.051940e+003
1.556814e+002, 1.047117e+003
1.561635e+002, 1.030977e+003
1.566456e+002, 1.008877e+003
1.571278e+002, 9.865715e+002
1.576099e+002, 9.667733e+002
1.580920e+002, 9.494174e+002
1.585741e+002, 9.345525e+002
1.590562e+002, 9.217672e+002
1.595383e+002, 9.113956e+002
1.600205e+002, 9.042632e+002
1.605026e+002, 8.997249e+002
1.609847e+002, 8.964080e+002
1.614668e+002, 8.936824e+002
1.619489e+002, 8.915823e+002
1.624310e+002, 8.900639e+002
1.629131e+002, 8.894066e+002
1.633953e+002, 8.890037e+002
1.638774e+002, 8.884039e+002
1.643595e+002, 8.876599e+002
1.648416e+002, 8.873640e+002
1.653237e+002, 8.883268e+002
