##NAMES=Kegelite
##RRUFFID=R080021
##IDEAL CHEMISTRY=Pb^2+^_4_Al_2_Si_4_O_10_(S^6+^O_4_)(CO_3_)_2_(OH)_4_
##LOCALITY=Tsumeb, Namibia
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Colorless sectile crystal plates with perfect (100) cleavage, associated with mimetite
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R080021
205.0838, 217.4963
205.5659, 217.1743
206.0480, 216.2061
206.5301, 215.4433
207.0122, 215.1010
207.4944, 215.1492
207.9765, 215.3447
208.4586, 215.7568
208.9407, 215.2229
209.4228, 216.4064
209.9049, 217.0670
210.3871, 217.2329
210.8692, 215.4222
211.3513, 216.1639
211.8334, 215.8827
212.3155, 215.5595
212.7976, 216.6604
213.2798, 215.1372
213.7619, 216.2155
214.2440, 216.2554
214.7261, 216.7705
215.2082, 216.2564
215.6903, 216.0603
216.1725, 216.8936
216.6546, 217.1569
217.1367, 216.5244
217.6188, 217.0697
218.1009, 215.5106
218.5830, 216.0171
219.0651, 215.9782
219.5473, 215.9492
220.0294, 215.9292
220.5115, 215.9130
220.9936, 215.8944
221.4757, 215.8680
221.9578, 215.8429
222.4400, 215.8153
222.9221, 215.7817
223.4042, 215.7755
223.8863, 215.8143
224.3684, 215.8607
224.8505, 215.8851
225.3327, 215.9243
225.8148, 214.9339
226.2969, 216.1239
226.7790, 216.7911
227.2611, 216.9636
227.7432, 215.1595
228.2254, 215.9077
228.7075, 215.6331
229.1896, 215.3166
229.6717, 216.4240
230.1538, 214.9074
230.6359, 215.9923
231.1181, 216.0387
231.6002, 216.5604
232.0823, 216.0530
232.5644, 215.8634
233.0465, 216.7033
233.5286, 216.9731
234.0108, 216.3472
234.4929, 216.8991
234.9750, 215.3466
235.4571, 215.6407
235.9392, 216.7317
236.4213, 216.1575
236.9035, 216.0039
237.3856, 216.2583
237.8677, 216.5308
238.3498, 216.8323
238.8319, 217.0488
239.3140, 217.1383
239.7962, 217.1855
240.2783, 217.2906
240.7604, 217.5353
241.2425, 217.6750
241.7246, 217.5695
242.2067, 217.1849
242.6889, 217.2038
243.1710, 217.8335
243.6531, 218.6652
244.1352, 219.3318
244.6173, 219.8792
245.0994, 220.1515
245.5816, 219.9887
246.0637, 219.3753
246.5458, 219.1536
247.0279, 219.5165
247.5100, 220.0746
247.9921, 220.4479
248.4743, 220.5005
248.9564, 220.6586
249.4385, 221.0475
249.9206, 221.6609
250.4027, 222.1425
250.8848, 222.5162
251.3670, 222.7345
251.8491, 222.6982
252.3312, 222.1655
252.8133, 221.9043
253.2954, 222.0818
253.7775, 222.6716
254.2597, 223.2821
254.7418, 224.0145
255.2239, 224.6364
255.7060, 224.9166
256.1881, 224.6440
256.6702, 224.5443
257.1523, 224.7991
257.6345, 225.3457
258.1166, 225.6404
258.5987, 225.6190
259.0808, 225.4389
259.5629, 225.1948
260.0450, 224.8685
260.5272, 224.5488
261.0093, 224.2765
261.4914, 224.0264
261.9735, 223.6878
262.4556, 223.3401
262.9377, 222.7735
263.4199, 221.8329
263.9020, 220.4496
264.3841, 218.9032
264.8662, 217.1142
265.3483, 215.1994
265.8304, 213.5712
266.3126, 212.3768
266.7947, 211.1904
267.2768, 209.7612
267.7589, 208.0032
268.2410, 206.2410
268.7231, 204.3671
269.2053, 202.5409
269.6874, 201.3016
270.1695, 200.8591
270.6516, 200.4118
271.1337, 199.4364
271.6158, 197.7486
272.0980, 196.4300
272.5801, 195.6049
273.0622, 195.0818
273.5443, 194.4241
274.0264, 193.5720
274.5085, 192.7915
274.9907, 192.2792
275.4728, 192.0845
275.9549, 191.6590
276.4370, 190.8768
276.9191, 190.0156
277.4012, 189.6894
277.8834, 190.0218
278.3655, 190.2207
278.8476, 189.8961
279.3297, 189.0308
279.8118, 188.1554
280.2939, 187.2270
280.7761, 186.4102
281.2582, 186.0208
281.7403, 186.0958
282.2224, 186.2014
282.7045, 186.1409
283.1866, 185.9385
283.6688, 185.9640
284.1509, 186.3082
284.6330, 186.5824
285.1151, 186.1234
285.5972, 184.9311
286.0793, 184.0441
286.5615, 183.8965
287.0436, 184.3441
287.5257, 184.7803
288.0078, 185.2242
288.4899, 185.5485
288.9720, 185.5139
289.4542, 185.1661
289.9363, 185.0137
290.4184, 185.3830
290.9005, 185.9760
291.3826, 185.8375
291.8647, 184.9253
292.3469, 183.9412
292.8290, 183.5844
293.3111, 183.7196
293.7932, 183.6903
294.2753, 183.2758
294.7574, 182.6784
295.2396, 182.2704
295.7217, 181.4365
296.2038, 182.0876
296.6859, 182.4039
297.1680, 182.4040
297.6501, 181.1001
298.1323, 181.5115
298.6144, 181.2547
299.0965, 180.9836
299.5786, 181.6756
300.0607, 180.6319
300.5428, 181.3362
301.0250, 181.3619
301.5071, 181.7182
301.9892, 181.4021
302.4713, 181.3116
302.9534, 181.9212
303.4355, 182.1644
303.9177, 181.8241
304.3998, 182.2828
304.8819, 181.3522
305.3640, 181.6664
305.8461, 182.5255
306.3282, 182.2883
306.8104, 182.8281
307.2925, 181.9654
307.7746, 181.8848
308.2567, 182.1649
308.7388, 182.5436
309.2209, 182.7752
309.7031, 182.8440
310.1852, 182.8913
310.6673, 183.0729
311.1494, 183.2844
311.6315, 183.3767
312.1136, 182.2184
312.5958, 183.4816
313.0779, 184.2219
313.5600, 184.4675
314.0421, 182.7365
314.5242, 183.5578
315.0063, 183.3563
315.4885, 183.1128
315.9706, 184.2934
316.4527, 182.8499
316.9348, 184.0079
317.4169, 184.1274
317.8990, 184.7222
318.3812, 184.2878
318.8633, 184.1713
319.3454, 185.0843
319.8275, 185.4273
320.3096, 184.8744
320.7917, 185.4994
321.2739, 184.0200
321.7560, 184.3872
322.2381, 185.5512
322.7202, 185.0501
323.2023, 185.6939
323.6844, 184.7639
324.1666, 184.8573
324.6487, 185.0576
325.1308, 185.3015
325.6129, 185.4899
326.0950, 185.4350
326.5771, 185.4778
327.0593, 185.7506
327.5414, 186.3245
328.0235, 186.8362
328.5056, 187.2651
328.9877, 187.6164
329.4698, 187.8907
329.9520, 188.0527
330.4341, 188.1786
330.9162, 188.2594
