##NAMES=Hydroboracite
##RRUFFID=R060713
##IDEAL CHEMISTRY=CaMg[B_3_O_4_(OH)_3_]_2_&#183;3H_2_O
##LOCALITY=Sijes, Salta Province, Argentina
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Divergent groups of colorless bladed crystals that lie somewhat parallel with each other
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R060713
##MEASURED CHEMISTRY=(Ca_0.93_Mg_0.07_)_Σ=1_Mg_1.00_B_6_O_8_(OH)_6_·3H_2_O ; B, H not measured but estimated by stoichiometry
167.329, 63832.578
167.811, 64256.660
168.293, 64622.910
168.775, 64937.410
169.257, 65218.090
169.739, 65470.031
170.221, 65658.781
170.703, 65723.391
171.185, 65656.109
171.668, 65585.344
172.150, 65538.727
172.632, 65497.238
173.114, 65425.660
173.596, 65311.680
174.078, 65208.500
174.560, 65189.199
175.042, 65253.289
175.525, 65329.480
176.007, 65412.602
176.489, 65497.160
176.971, 65570.367
177.453, 65626.797
177.935, 65686.539
178.417, 65771.109
178.899, 65877.820
179.381, 66009.688
179.863, 66157.508
180.346, 66332.508
180.828, 66563.156
181.310, 66862.273
181.792, 67182.906
182.274, 67493.438
182.756, 67796.969
183.238, 68014.070
183.721, 68101.258
184.203, 68092.211
184.685, 68032.852
185.167, 67924.367
185.649, 67786.742
186.131, 67636.297
186.613, 67474.672
187.095, 67301.719
187.577, 67080.297
188.059, 66855.297
188.542, 66708.156
189.024, 66657.750
189.506, 66665.148
189.988, 66720.531
190.470, 66815.477
190.952, 66876.461
191.434, 66842.883
191.917, 66769.969
192.399, 66754.727
192.881, 66817.609
193.363, 66919.031
193.845, 67032.828
194.327, 67157.047
194.809, 67275.188
195.291, 67385.383
195.773, 67486.812
196.255, 67580.047
196.738, 67668.391
197.220, 67740.344
197.702, 67781.492
198.184, 67797.242
198.666, 67795.141
199.148, 67736.703
199.630, 67673.430
200.112, 67703.898
200.595, 67857.133
201.077, 68031.938
201.559, 68137.547
202.041, 68188.633
202.523, 68222.844
203.005, 68271.227
203.487, 68301.156
203.969, 68238.156
204.452, 68051.562
204.934, 67877.969
205.416, 67864.383
205.898, 67965.242
206.380, 68044.656
206.862, 68067.328
207.344, 68050.000
207.826, 68003.070
208.308, 67920.344
208.790, 67847.047
209.273, 67823.062
209.755, 67837.883
210.237, 67864.883
210.719, 67890.203
211.201, 67928.906
211.683, 68007.773
212.165, 68131.492
212.648, 68255.758
213.130, 68338.719
213.612, 68397.023
214.094, 68479.727
214.576, 68623.547
215.058, 68778.367
215.540, 68892.062
216.022, 68962.906
216.504, 69025.078
216.986, 69102.922
217.469, 69189.219
217.951, 69262.422
218.433, 69331.211
218.915, 69379.297
219.397, 69381.750
219.879, 69340.742
220.361, 69300.453
220.844, 69275.383
221.326, 69275.281
221.808, 69317.523
222.290, 69469.203
222.772, 69597.453
223.254, 69576.898
223.736, 69427.289
224.218, 69295.359
224.700, 69257.727
225.182, 69289.727
225.665, 69310.477
226.147, 69313.844
226.629, 69313.000
227.111, 69320.820
227.593, 69331.898
228.075, 69322.867
228.557, 69275.320
229.040, 69207.711
229.522, 69160.203
230.004, 69112.906
230.486, 69115.578
230.968, 69219.047
231.450, 69391.867
231.932, 69552.391
