##NAMES=Grossular
##RRUFFID=R060442
##IDEAL CHEMISTRY=Ca_3_Al_2_(SiO_4_)_3_
##LOCALITY=Pakistan(?)
##OWNER=RRUFF
##SOURCE=Gemological Institute of America
##DESCRIPTION=Orange crystals
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R060442
##MEASURED CHEMISTRY=(Ca_2.85_Fe^2+^_0.15_)_Σ=3_(Al_1.85_Fe^3+^_0.15_)_Σ=2_(Si_1.00_O_4_)_3_; trace amounts of Ti, Mg
91.40820, 4.732411
91.89032, 4.313753
92.37244, 4.524663
92.85455, 5.265793
93.33667, 5.943091
93.81879, 6.075815
94.30090, 5.798794
94.78302, 5.518914
95.26514, 5.323083
95.74725, 5.178308
96.22937, 5.007270
96.71149, 4.807823
97.19360, 4.623744
97.67572, 4.494756
98.15784, 4.422635
98.63995, 4.385906
99.12207, 4.388085
99.60419, 4.424682
100.0863, 4.440465
100.5684, 4.409764
101.0505, 4.410184
101.5327, 4.561328
102.0148, 4.905026
102.4969, 5.256582
102.9790, 5.562955
103.4611, 5.816895
103.9432, 6.045926
104.4253, 6.226548
104.9075, 6.393938
105.3896, 6.601665
105.8717, 6.794751
106.3538, 7.106671
106.8359, 7.629856
107.3180, 8.684236
107.8002, 9.375189
108.2823, 9.419150
108.7644, 9.045587
109.2465, 9.103368
109.7286, 10.00192
110.2107, 11.03850
110.6929, 11.92639
111.1750, 12.08688
111.6571, 12.72347
112.1392, 14.12726
112.6213, 16.20255
113.1034, 18.23461
113.5856, 20.15368
114.0677, 21.99602
114.5498, 23.77206
115.0319, 25.35356
115.5140, 27.01159
115.9961, 28.86015
116.4783, 30.89753
116.9604, 32.88918
117.4425, 34.81943
117.9246, 36.66109
118.4067, 38.36976
118.8888, 39.74828
119.3710, 41.14253
119.8531, 42.78860
120.3352, 44.71733
120.8173, 46.66386
121.2994, 48.16396
121.7815, 49.56983
122.2637, 51.50304
122.7458, 54.63644
123.2279, 58.23571
123.7100, 61.56391
124.1921, 64.49535
124.6742, 67.35722
125.1564, 70.43114
125.6385, 73.68093
126.1206, 77.00629
126.6027, 80.50370
127.0848, 83.98693
127.5669, 87.01005
128.0491, 89.33943
128.5312, 91.53628
129.0133, 94.72681
129.4954, 98.74391
129.9775, 102.3112
130.4596, 104.2489
130.9418, 104.8888
131.4239, 105.6067
131.9060, 106.6976
132.3881, 107.9755
132.8702, 108.8658
133.3523, 109.3311
133.8345, 109.9526
134.3166, 111.4043
134.7987, 113.6906
135.2808, 115.6919
135.7629, 117.1131
136.2450, 118.0888
136.7272, 119.1664
137.2093, 120.2902
137.6914, 121.7001
138.1735, 123.7108
138.6556, 126.3949
139.1377, 129.2738
139.6199, 132.4142
140.1020, 135.7859
140.5841, 138.4968
141.0662, 140.3167
141.5483, 141.7438
142.0304, 143.3181
142.5126, 144.8979
142.9947, 146.8818
143.4768, 149.1167
143.9589, 151.5476
144.4410, 153.0075
144.9231, 153.0216
145.4053, 152.4295
145.8874, 152.5572
146.3695, 153.9641
146.8516, 155.2913
147.3337, 156.1392
147.8158, 156.4997
148.2980, 156.4838
148.7801, 155.8931
149.2622, 154.9732
149.7443, 154.2252
150.2264, 153.4336
150.7085, 152.9842
151.1907, 153.0482
151.6728, 154.1075
152.1549, 154.8537
152.6370, 155.0729
153.1191, 154.9560
153.6012, 154.9673
154.0834, 155.2386
154.5655, 155.5621
155.0476, 155.8634
155.5297, 156.2747
156.0118, 156.4599
156.4939, 156.0578
156.9761, 155.3175
157.4582, 155.0928
157.9403, 155.8017
158.4224, 156.9205
158.9045, 158.1563
159.3866, 159.5456
159.8688, 160.9171
160.3509, 162.0249
160.8330, 162.9902
161.3151, 164.3826
161.7972, 167.0002
162.2793, 169.8153
162.7615, 172.0422
163.2436, 173.0943
163.7257, 173.8765
164.2078, 174.7871
164.6899, 175.7900
165.1720, 176.6263
165.6541, 176.8693
166.1363, 176.9975
166.6184, 177.4827
167.1005, 178.7437
167.5826, 180.1979
168.0647, 181.4431
168.5468, 182.5048
169.0290, 183.7477
169.5111, 185.4577
169.9932, 187.4675
170.4753, 189.5658
170.9574, 191.8176
171.4395, 194.0061
171.9217, 195.7945
172.4038, 197.1875
172.8859, 198.8504
173.3680, 201.2268
173.8501, 204.2178
174.3322, 207.6935
174.8144, 211.6085
175.2965, 216.0091
175.7786, 220.7710
176.2607, 225.9180
176.7428, 231.6497
177.2249, 239.1878
177.7071, 247.5296
178.1892, 254.4007
178.6713, 259.5313
179.1534, 262.3313
179.6355, 261.4571
180.1176, 256.6829
180.5998, 249.9335
181.0819, 242.3435
181.5640, 234.2375
182.0461, 226.4893
182.5282, 219.6597
183.0103, 213.5250
183.4925, 207.5079
183.9746, 201.5276
184.4567, 196.1397
184.9388, 192.1524
185.4209, 189.4158
185.9030, 187.2671
186.3852, 185.5657
186.8673, 184.2126
187.3494, 182.7355
187.8315, 181.0549
188.3136, 179.4930
188.7957, 178.5734
189.2779, 178.2591
189.7600, 177.9124
190.2421, 177.0736
190.7242, 175.8741
191.2063, 175.0921
191.6884, 174.8381
192.1706, 174.8199
192.6527, 174.6199
193.1348, 174.2354
193.6169, 173.7186
194.0990, 172.9230
194.5811, 171.8939
195.0633, 171.3719
195.5454, 171.5058
196.0275, 171.9221
196.5096, 171.8671
196.9917, 171.2904
197.4738, 170.8091
197.9560, 170.8354
198.4381, 171.3719
198.9202, 171.6874
199.4023, 171.7160
199.8844, 171.5660
200.3665, 171.4843
200.8487, 171.5115
201.3308, 171.3889
201.8129, 170.8622
202.2950, 169.8753
202.7771, 169.2679
203.2592, 169.1476
203.7414, 169.3281
204.2235, 169.4024
204.7056, 169.3316
205.1877, 169.2922
205.6698, 169.3639
206.1519, 169.5478
206.6341, 169.8154
207.1162, 170.1524
207.5983, 170.5755
208.0804, 171.1922
208.5625, 172.1046
209.0446, 172.8756
209.5268, 173.2017
210.0089, 172.9295
210.4910, 172.9733
210.9731, 173.4664
211.4552, 174.2161
211.9373, 174.7031
212.4195, 174.7702
212.9016, 174.9726
213.3837, 175.6157
213.8658, 176.8351
214.3479, 178.0288
214.8300, 179.2268
215.3121, 180.3778
215.7943, 181.3112
216.2764, 181.8717
216.7585, 182.5194
217.2406, 183.4937
217.7227, 184.8926
218.2048, 186.2723
218.6870, 187.6755
219.1691, 189.0271
219.6512, 190.1262
220.1333, 190.7513
220.6154, 191.5375
221.0975, 192.8100
221.5797, 194.7312
222.0618, 196.6379
222.5439, 198.5637
223.0260, 200.4589
223.5081, 202.2585
223.9902, 203.9257
224.4724, 205.5515
224.9545, 207.0559
225.4366, 208.2086
225.9187, 210.0116
226.4008, 212.7301
226.8829, 215.9946
227.3651, 218.9763
227.8472, 221.3612
228.3293, 224.0419
228.8114, 227.3797
229.2935, 231.4792
229.7757, 235.9225
230.2578, 240.9780
230.7399, 246.1951
231.2220, 250.7361
231.7041, 254.2777
232.1862, 257.5869
232.6684, 260.7780
233.1505, 263.4974
233.6326, 267.2915
234.1147, 272.5871
234.5968, 278.7318
235.0789, 284.4705
235.5611, 289.7369
236.0432, 294.6913
236.5253, 299.5221
237.0074, 304.3319
237.4895, 308.3631
237.9716, 311.4400
238.4538, 313.8502
238.9359, 316.0851
239.4180, 318.4659
239.9001, 320.1705
240.3822, 320.6878
240.8643, 319.5365
241.3465, 319.4294
241.8286, 320.6040
242.3107, 322.6516
242.7928, 324.8519
243.2749, 326.3532
243.7570, 329.5044
244.2392, 335.3972
244.7213, 344.6909
245.2034, 353.0505
245.6855, 361.3649
246.1676, 368.0975
246.6497, 371.6035
247.1319, 372.8573
247.6140, 369.0623
248.0961, 358.7609
248.5782, 341.2610
249.0603, 322.8968
249.5424, 302.1268
250.0246, 281.8033
250.5067, 264.7115
250.9888, 251.1432
251.4709, 240.2749
251.9530, 232.3528
252.4351, 227.4468
252.9173, 223.0472
253.3994, 218.9191
253.8815, 215.4606
254.3636, 213.1116
254.8457, 212.1987
255.3278, 211.7320
255.8100, 211.6563
256.2921, 211.9567
256.7742, 212.0335
257.2563, 211.5683
257.7384, 211.3050
258.2205, 211.9616
258.7026, 213.9533
259.1848, 215.8270
259.6669, 217.2622
260.1490, 218.3543
260.6311, 219.8465
261.1132, 221.9418
261.5953, 224.1092
262.0775, 225.8894
262.5596, 227.1229
263.0417, 228.4785
263.5238, 230.0139
264.0059, 231.7273
264.4880, 233.7650
264.9702, 236.3092
265.4523, 238.7880
265.9344, 240.6719
266.4165, 241.6167
266.8986, 243.3259
267.3807, 246.1904
267.8629, 249.8308
268.3450, 253.0124
268.8271, 255.6227
269.3092, 258.1434
269.7913, 260.8217
