##NAMES=Humboldtine
##RRUFFID=R170002
##IDEAL CHEMISTRY=Fe^2+^(C_2_)^6+^O_4_&#183;2H_2_O
##LOCALITY=Zomba, Malawi
##OWNER=RRUFF
##SOURCE=Donald Doell
##DESCRIPTION=Small yellow granular to short prismatic crystals with good cleavage, grown on aegirine. Associated with albite.
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R170002
##MEASURED CHEMISTRY=EDS analysis only revealed Fe, with some Mn and Al.
8.813672e+001, 1.933609e+003
8.861884e+001, 1.948067e+003
8.910095e+001, 1.970650e+003
8.958307e+001, 2.009533e+003
9.006519e+001, 2.054776e+003
9.054730e+001, 2.095183e+003
9.102942e+001, 2.132626e+003
9.151154e+001, 2.166322e+003
9.199365e+001, 2.195764e+003
9.247577e+001, 2.221652e+003
9.295789e+001, 2.244897e+003
9.344000e+001, 2.264118e+003
9.392212e+001, 2.279990e+003
9.440424e+001, 2.297919e+003
9.488635e+001, 2.320413e+003
9.536847e+001, 2.345740e+003
9.585059e+001, 2.370556e+003
9.633270e+001, 2.394827e+003
9.681482e+001, 2.419411e+003
9.729694e+001, 2.443767e+003
9.777905e+001, 2.468108e+003
9.826117e+001, 2.495219e+003
9.874329e+001, 2.525471e+003
9.922540e+001, 2.557780e+003
9.970752e+001, 2.590809e+003
1.001896e+002, 2.624598e+003
1.006718e+002, 2.657163e+003
1.011539e+002, 2.685800e+003
1.016360e+002, 2.709140e+003
1.021181e+002, 2.735881e+003
1.026002e+002, 2.767665e+003
1.030823e+002, 2.803793e+003
1.035645e+002, 2.838973e+003
1.040466e+002, 2.872880e+003
1.045287e+002, 2.906928e+003
1.050108e+002, 2.942702e+003
1.054929e+002, 2.979303e+003
1.059750e+002, 3.019142e+003
1.064572e+002, 3.063774e+003
1.069393e+002, 3.114214e+003
1.074214e+002, 3.161810e+003
1.079035e+002, 3.206085e+003
1.083856e+002, 3.248498e+003
1.088677e+002, 3.289862e+003
