##NAMES=Fluorcalciomicrolite
##RRUFFID=R070365
##IDEAL CHEMISTRY=(Ca,Na)_2_Ta^5+^_2_O_6_F
##LOCALITY=Ponte da Raiz mine, Minas Gerais, Southeast Brazil
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Brown octahedron associated with albite
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R070365
##MEASURED CHEMISTRY=(Ca_0.80_Sr_0.07_Pb_0.02_Na_0.84_U_0.22_)(Ta_1.62_Nb_0.19_Ti_0.18_Sn_0.01_)_2_O_6_(F_0.46_O_0.42_) ; bright area, (Ca_0.84_Na_0.23_U_0.23_Sr_0.08_Pb_0.02_)(Ta_1.60_Ti_0.21_Nb_0.19_)_2_O_6_(F_0.32_O_0.25_) = dark area
130.6617, 668.1291
131.1439, 710.7949
131.6260, 749.0243
132.1081, 783.2518
132.5902, 816.8339
133.0723, 848.5630
133.5544, 880.9058
134.0366, 916.2665
134.5187, 952.3839
135.0008, 985.4843
135.4829, 1012.760
135.9650, 1034.425
136.4471, 1054.467
136.9293, 1070.584
137.4114, 1087.531
137.8935, 1105.665
138.3756, 1125.692
138.8577, 1148.684
139.3398, 1175.108
139.8220, 1205.038
140.3041, 1242.622
140.7862, 1290.211
141.2683, 1341.179
141.7504, 1392.724
142.2325, 1444.872
142.7147, 1498.310
143.1968, 1553.430
143.6789, 1610.258
144.1610, 1672.871
144.6431, 1745.251
145.1252, 1819.055
145.6074, 1887.965
146.0895, 1952.777
146.5716, 2020.893
147.0537, 2100.202
147.5358, 2190.497
148.0179, 2270.133
148.5001, 2333.913
148.9822, 2391.093
149.4643, 2449.075
149.9464, 2508.400
150.4285, 2563.465
150.9106, 2609.675
151.3928, 2646.829
151.8749, 2681.276
152.3570, 2715.532
152.8391, 2745.838
153.3212, 2767.981
153.8033, 2781.453
154.2855, 2791.309
154.7676, 2800.652
155.2497, 2809.483
155.7318, 2817.698
156.2139, 2824.858
156.6960, 2831.596
157.1782, 2836.578
157.6603, 2838.660
158.1424, 2846.220
158.6245, 2870.956
159.1066, 2906.698
159.5887, 2938.899
160.0709, 2961.798
160.5530, 2979.839
161.0351, 2997.533
161.5172, 3013.641
161.9993, 3034.200
162.4814, 3069.702
162.9636, 3112.598
163.4457, 3149.386
163.9278, 3166.366
164.4099, 3176.679
164.8920, 3207.050
165.3741, 3264.783
165.8563, 3321.908
166.3384, 3358.810
166.8205, 3383.505
167.3026, 3408.853
167.7847, 3441.446
168.2668, 3477.643
168.7490, 3509.614
169.2311, 3536.660
169.7132, 3561.139
170.1953, 3585.240
170.6774, 3607.840
171.1595, 3626.421
171.6417, 3636.939
172.1238, 3643.898
172.6059, 3660.768
173.0880, 3695.736
173.5701, 3723.816
174.0522, 3729.335
174.5344, 3722.836
175.0165, 3718.868
175.4986, 3724.250
175.9807, 3736.864
176.4628, 3751.785
176.9449, 3771.521
177.4271, 3788.800
177.9092, 3803.514
178.3913, 3813.944
178.8734, 3815.770
179.3555, 3802.891
179.8376, 3783.778
180.3197, 3784.793
180.8019, 3817.064
181.2840, 3850.788
181.7661, 3879.694
182.2482, 3903.435
182.7303, 3920.691
183.2124, 3930.011
183.6946, 3933.811
184.1767, 3938.472
184.6588, 3942.389
185.1409, 3950.365
185.6230, 3965.613
186.1051, 3984.109
186.5873, 4001.615
187.0694, 4016.296
187.5515, 4028.476
188.0336, 4038.712
188.5157, 4043.758
188.9978, 4052.632
189.4800, 4071.627
189.9621, 4092.923
190.4442, 4108.792
190.9263, 4115.661
191.4084, 4115.493
191.8905, 4111.999
192.3727, 4100.151
192.8548, 4094.307
193.3369, 4095.992
193.8190, 4104.020
194.3011, 4119.734
194.7832, 4143.864
195.2654, 4170.134
195.7475, 4183.542
196.2296, 4173.600
196.7117, 4170.560
197.1938, 4183.108
197.6759, 4200.433
198.1581, 4212.477
198.6402, 4215.988
199.1223, 4216.151
199.6044, 4223.196
200.0865, 4242.457
200.5686, 4258.036
201.0508, 4273.321
201.5329, 4282.442
202.0150, 4276.339
202.4971, 4253.856
202.9792, 4227.742
203.4613, 4219.982
203.9435, 4241.966
204.4256, 4256.986
204.9077, 4256.883
205.3898, 4254.819
205.8719, 4261.149
206.3540, 4277.246
206.8362, 4295.416
207.3183, 4304.790
207.8004, 4301.355
208.2825, 4298.876
208.7646, 4298.620
209.2467, 4298.328
209.7289, 4296.682
210.2110, 4293.556
210.6931, 4289.569
211.1752, 4284.400
211.6573, 4275.726
212.1395, 4274.896
212.6216, 4288.000
213.1037, 4303.123
213.5858, 4314.884
214.0679, 4323.050
214.5500, 4330.626
215.0322, 4342.146
215.5143, 4360.070
215.9964, 4364.804
216.4785, 4337.521
216.9606, 4314.678
217.4427, 4315.122
217.9249, 4333.176
218.4070, 4349.567
218.8891, 4347.031
219.3712, 4324.837
