##NAMES=Sahamalite-(Ce)
##RRUFFID=R080043
##IDEAL CHEMISTRY=Ce_2_Mg(CO_3_)_4_
##LOCALITY=Mountain Pass Mine (Sulfide Queen mine; Bastnaesite deposit; Mountain Pass carbonatite), Ivanpah, Mountain Pass District, San Bernardino County, California, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Dull white, semitransparent flat crystal associated with dolomite.
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R080043
200.1655, 49.86916
200.6476, 49.61110
201.1297, 49.27428
201.6119, 48.89717
202.0940, 48.55964
202.5761, 48.31092
203.0582, 48.08979
203.5403, 47.70313
204.0224, 47.00600
204.5046, 46.45610
204.9867, 46.35915
205.4688, 46.55266
205.9509, 46.57321
206.4330, 46.14885
206.9151, 45.55582
207.3973, 45.37716
207.8794, 45.78584
208.3615, 46.11455
208.8436, 45.86857
209.3257, 45.15239
209.8078, 44.56940
210.2900, 44.38879
210.7721, 44.42400
211.2542, 44.41957
211.7363, 44.37140
212.2184, 44.27116
212.7005, 44.09147
213.1827, 43.83149
213.6648, 43.58050
214.1469, 43.35809
214.6290, 43.16194
215.1111, 42.98912
215.5932, 42.83897
216.0754, 42.71363
216.5575, 42.61491
217.0396, 42.54366
217.5217, 42.49512
218.0038, 42.52710
218.4859, 42.54514
218.9680, 42.47095
219.4502, 42.29101
219.9323, 42.08604
220.4144, 41.95793
220.8965, 41.92315
221.3786, 41.91328
221.8607, 41.95102
222.3429, 41.98806
222.8250, 41.99731
223.3071, 41.97182
223.7892, 41.91744
224.2713, 41.83564
224.7534, 41.70194
225.2356, 41.60015
225.7177, 41.53289
226.1998, 41.49331
226.6819, 41.48793
227.1640, 41.51400
227.6461, 41.55072
228.1283, 41.57163
228.6104, 41.60413
229.0925, 41.55923
229.5746, 41.37990
230.0567, 41.17426
230.5388, 41.00303
231.0210, 40.88667
231.5031, 40.82525
231.9852, 40.81866
232.4673, 40.87433
232.9494, 40.98460
233.4315, 41.23928
233.9137, 41.48708
234.3958, 41.58551
234.8779, 41.51210
235.3600, 41.38580
235.8421, 41.37756
236.3242, 41.57605
236.8064, 41.68708
237.2885, 41.60234
237.7706, 41.49631
238.2527, 41.56488
238.7348, 41.83668
239.2169, 42.11908
239.6991, 42.15290
240.1812, 41.83661
240.6633, 41.61022
241.1454, 41.50421
241.6275, 41.48320
242.1096, 41.53914
242.5918, 41.66859
243.0739, 41.80699
243.5560, 41.85503
244.0381, 41.79658
244.5202, 41.86584
245.0023, 42.24601
245.4845, 42.68168
245.9666, 42.87614
246.4487, 42.77976
246.9308, 42.60881
247.4129, 42.56425
247.8950, 42.63484
248.3772, 42.71681
248.8593, 42.74466
249.3414, 42.80061
249.8235, 43.02214
250.3056, 43.44037
250.7877, 43.84159
251.2699, 43.96902
251.7520, 43.92039
252.2341, 44.01020
252.7162, 44.41114
253.1983, 44.93351
253.6804, 45.32701
254.1626, 45.56799
254.6447, 45.79244
255.1268, 46.09460
255.6089, 46.44604
256.0910, 46.80334
256.5731, 47.14855
257.0552, 47.50029
257.5374, 47.90353
258.0195, 48.37626
258.5016, 48.80863
258.9837, 49.01893
259.4658, 49.18709
259.9479, 49.56223
260.4301, 50.30772
260.9122, 51.15007
261.3943, 51.65712
261.8764, 51.73336
262.3585, 51.93753
262.8406, 52.63530
263.3228, 53.53334
263.8049, 54.38932
264.2870, 55.13520
264.7691, 55.84276
265.2512, 56.59071
265.7333, 57.38020
266.2155, 58.21804
266.6976, 59.08589
267.1797, 60.02159
267.6618, 61.08098
268.1439, 62.27840
268.6260, 63.53650
269.1082, 64.71185
269.5903, 65.74893
270.0724, 67.00909
270.5545, 68.74560
271.0366, 70.61922
271.5187, 72.41190
272.0009, 74.09720
272.4830, 75.84162
272.9651, 77.85757
273.4472, 80.18295
273.9293, 82.56007
274.4114, 84.77824
274.8936, 87.20029
275.3757, 90.11452
275.8578, 93.47464
276.3399, 96.98399
276.8220, 100.2888
277.3041, 103.3012
277.7863, 106.6533
278.2684, 110.6246
278.7505, 114.7537
279.2326, 119.0478
279.7147, 123.3749
280.1968, 127.4672
280.6790, 131.0304
281.1611, 134.0645
281.6432, 137.0465
282.1253, 139.8506
282.6074, 142.7453
283.0895, 145.7969
283.5717, 149.0091
284.0538, 152.3486
284.5359, 155.8057
285.0180, 159.3739
285.5001, 162.9850
285.9822, 166.5954
286.4644, 170.2824
286.9465, 174.0571
287.4286, 177.9120
287.9107, 181.8024
288.3928, 185.7142
288.8749, 189.6651
289.3571, 193.7333
289.8392, 197.9333
290.3213, 202.2548
290.8034, 206.9058
291.2855, 211.6025
291.7676, 216.0660
292.2498, 220.1566
292.7319, 223.8927
293.2140, 227.3198
293.6961, 230.4735
294.1782, 233.2177
294.6603, 235.3703
295.1425, 237.2430
295.6246, 239.3470
296.1067, 241.7714
296.5888, 243.8360
297.0709, 244.4089
297.5530, 243.3403
298.0351, 240.8117
298.5172, 236.8746
298.9994, 231.7568
299.4815, 225.3829
299.9636, 217.8374
300.4457, 209.5056
300.9278, 200.7337
301.4099, 191.3003
301.8921, 182.1260
302.3742, 173.1438
302.8563, 164.3277
303.3384, 155.4580
303.8205, 146.6433
304.3026, 138.3569
304.7848, 131.0510
305.2669, 124.7093
305.7490, 118.9718
306.2311, 113.9843
306.7132, 109.3996
307.1953, 105.1699
307.6775, 101.2486
308.1596, 97.59511
308.6417, 94.15978
309.1238, 90.96679
309.6059, 88.28621
310.0880, 86.44551
310.5702, 84.79091
311.0523, 83.37734
311.5344, 82.05413
312.0165, 80.55154
312.4986, 78.71581
312.9807, 76.75874
313.4629, 75.32234
313.9450, 74.93015
314.4271, 74.43821
314.9092, 73.65368
315.3913, 72.79662
315.8734, 72.12930
316.3556, 71.72910
316.8377, 71.41430
317.3198, 70.83824
317.8019, 69.75237
318.2840, 68.85497
318.7661, 68.05184
319.2483, 67.47073
319.7304, 67.30164
320.2125, 67.51512
320.6946, 67.83147
321.1767, 67.92778
321.6588, 67.76072
322.1410, 67.53027
322.6231, 67.18829
323.1052, 66.83688
323.5873, 66.53400
324.0694, 66.26617
324.5515, 65.97721
325.0337, 65.60624
325.5158, 65.15475
325.9979, 64.82683
326.4800, 64.75276
326.9621, 64.66674
327.4442, 64.52270
327.9264, 64.32043
328.4085, 64.02620
328.8906, 63.60357
329.3727, 63.14765
329.8548, 63.06758
330.3369, 63.95790
330.8191, 64.46563
331.3012, 64.24741
331.7833, 63.69416
332.2654, 63.16144
332.7475, 62.78973
333.2296, 62.55813
333.7118, 62.43570
334.1939, 62.46761
334.6760, 62.53147
335.1581, 62.78804
335.6402, 62.95427
336.1223, 62.75081
336.6045, 62.19041
337.0866, 61.58926
337.5687, 61.34887
338.0508, 61.61908
338.5329, 61.53358
339.0150, 60.68580
339.4972, 59.88099
339.9793, 59.55206
