##NAMES=Chondrodite
##RRUFFID=R110158
##IDEAL CHEMISTRY=Mg_5_(SiO_4_)_2_F_2_
##LOCALITY=Pein Pyit, Mogok, Mandalay Division, Burma
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=Orange bleb enclosed in calcite, associated with red spinel
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R110158
296.8381, 66493.05
297.3203, 66519.77
297.8024, 66526.55
298.2845, 66558.43
298.7666, 66619.52
299.2487, 66676.80
299.7308, 66686.70
300.2130, 66664.76
300.6951, 66655.27
301.1772, 66675.41
301.6593, 66717.84
302.1414, 66784.29
302.6235, 66873.14
303.1057, 66950.38
303.5878, 66978.66
304.0699, 66975.65
304.5520, 66973.09
305.0341, 66982.11
305.5162, 66995.77
305.9984, 67005.60
306.4805, 67012.73
306.9626, 67024.76
307.4447, 67052.94
307.9268, 67087.21
308.4089, 67112.73
308.8911, 67118.11
309.3732, 67125.73
309.8553, 67160.64
310.3374, 67214.75
310.8195, 67261.13
311.3016, 67273.79
311.7838, 67276.63
312.2659, 67292.79
312.7480, 67332.52
313.2301, 67370.58
313.7122, 67383.18
314.1943, 67383.06
314.6765, 67396.99
315.1586, 67455.58
315.6407, 67519.02
316.1228, 67562.61
316.6049, 67580.39
317.0870, 67590.55
317.5692, 67600.05
318.0513, 67607.27
318.5334, 67609.78
319.0155, 67616.32
319.4976, 67610.09
319.9797, 67567.40
320.4619, 67480.57
320.9440, 67435.84
321.4261, 67499.64
321.9082, 67599.22
322.3903, 67665.55
322.8724, 67653.31
323.3546, 67635.73
323.8367, 67628.92
324.3188, 67632.98
324.8009, 67640.70
325.2830, 67655.40
325.7651, 67671.48
326.2473, 67685.59
326.7294, 67703.70
327.2115, 67715.70
327.6936, 67717.93
328.1757, 67714.20
328.6578, 67719.44
329.1400, 67745.57
329.6221, 67773.65
330.1042, 67796.84
330.5863, 67819.63
331.0684, 67829.73
331.5505, 67807.02
332.0327, 67774.09
332.5148, 67782.79
332.9969, 67852.05
333.4790, 67933.42
333.9611, 68011.82
334.4432, 68085.23
334.9254, 68154.30
335.4075, 68218.87
335.8896, 68274.85
336.3717, 68316.18
336.8538, 68339.08
337.3359, 68352.82
337.8180, 68357.20
338.3001, 68352.71
338.7823, 68356.05
339.2644, 68372.05
339.7465, 68389.52
340.2286, 68403.40
340.7107, 68418.95
341.1928, 68405.26
341.6750, 68347.78
342.1571, 68261.45
342.6392, 68209.59
343.1213, 68198.63
343.6034, 68189.66
344.0855, 68143.30
344.5677, 68062.80
345.0498, 68017.57
345.5319, 68020.96
346.0140, 68055.49
346.4961, 68097.48
346.9782, 68145.93
347.4604, 68181.34
347.9425, 68173.82
348.4246, 68141.16
348.9067, 68153.95
349.3888, 68221.15
349.8709, 68307.51
350.3531, 68378.31
350.8352, 68433.87
351.3173, 68475.80
351.7994, 68490.26
352.2815, 68495.90
352.7636, 68525.09
353.2458, 68577.16
353.7279, 68638.10
354.2100, 68698.36
354.6921, 68758.11
355.1742, 68819.63
355.6563, 68898.40
356.1385, 68963.15
356.6206, 68969.35
357.1027, 68928.31
357.5848, 68897.31
358.0669, 68915.73
358.5490, 68957.79
359.0312, 69001.65
359.5133, 69048.59
359.9954, 69086.95
360.4775, 69103.35
360.9596, 69107.60
361.4417, 69119.52
361.9239, 69159.93
362.4060, 69201.89
362.8881, 69232.01
363.3702, 69248.86
363.8523, 69255.55
364.3344, 69239.16
364.8166, 69218.12
365.2987, 69213.42
365.7808, 69245.23
366.2629, 69279.01
366.7450, 69303.49
367.2271, 69318.30
367.7093, 69340.42
368.1914, 69387.49
368.6735, 69431.51
369.1556, 69453.83
369.6377, 69418.10
370.1198, 69403.59
370.6020, 69423.01
371.0841, 69466.22
371.5662, 69497.58
372.0483, 69509.20
372.5304, 69516.78
373.0125, 69527.16
373.4947, 69543.70
373.9768, 69551.16
374.4589, 69545.30
374.9410, 69533.70
375.4231, 69527.17
375.9052, 69524.45
376.3874, 69533.80
376.8695, 69560.67
377.3516, 69606.24
377.8337, 69657.83
378.3158, 69720.46
378.7979, 69782.07
379.2801, 69824.13
379.7622, 69845.93
380.2443, 69886.00
380.7264, 69955.42
381.2085, 70045.51
381.6906, 70134.20
382.1728, 70220.23
382.6549, 70308.84
383.1370, 70397.27
383.6191, 70488.09
384.1012, 70596.10
384.5833, 70728.26
385.0655, 70856.86
385.5476, 70944.51
386.0297, 70996.77
386.5118, 71031.28
386.9939, 71066.59
387.4760, 71085.84
387.9582, 71058.10
388.4403, 70982.97
388.9224, 70895.68
389.4045, 70829.68
389.8866, 70770.58
390.3687, 70695.36
390.8509, 70573.70
391.3330, 70461.91
391.8151, 70414.00
392.2972, 70415.28
392.7793, 70402.89
393.2614, 70324.79
393.7436, 70234.86
394.2257, 70170.11
394.7078, 70143.11
395.1899, 70126.45
395.6720, 70108.87
396.1541, 70094.62
396.6363, 70090.82
397.1184, 70099.42
397.6005, 70117.52
398.0826, 70151.14
398.5647, 70204.34
399.0468, 70236.84
399.5290, 70221.52
400.0111, 70197.01
400.4932, 70194.59
400.9753, 70238.54
401.4574, 70272.72
401.9395, 70286.63
402.4217, 70286.21
402.9038, 70299.70
403.3859, 70335.29
403.8680, 70373.13
404.3501, 70403.16
404.8322, 70421.48
405.3144, 70444.41
405.7965, 70471.41
406.2786, 70503.27
406.7607, 70544.85
407.2428, 70599.39
407.7249, 70644.09
408.2071, 70667.65
408.6892, 70673.77
409.1713, 70684.28
409.6534, 70698.53
410.1355, 70719.70
410.6176, 70755.93
411.0998, 70803.57
411.5819, 70838.90
412.0640, 70851.30
412.5461, 70858.83
413.0282, 70907.48
413.5103, 70986.47
413.9925, 71034.70
414.4746, 70985.00
414.9567, 70892.18
415.4388, 70849.65
415.9209, 70869.58
416.4030, 70891.41
416.8852, 70866.64
417.3673, 70809.77
417.8494, 70744.57
418.3315, 70668.63
418.8136, 70597.92
419.2957, 70541.34
419.7779, 70499.70
420.2600, 70469.83
420.7421, 70465.23
421.2242, 70464.78
421.7063, 70450.05
422.1884, 70396.21
422.6706, 70370.18
423.1527, 70416.52
423.6348, 70498.62
424.1169, 70547.14
424.5990, 70515.48
425.0811, 70483.11
425.5633, 70469.04
426.0454, 70471.76
426.5275, 70496.98
427.0096, 70559.55
427.4917, 70630.55
427.9738, 70684.88
428.4560, 70709.70
428.9381, 70744.05
429.4202, 70803.63
429.9023, 70871.97
430.3844, 70891.53
430.8665, 70849.66
431.3487, 70794.16
431.8308, 70737.27
432.3129, 70677.12
432.7950, 70673.39
433.2771, 70741.86
433.7592, 70828.42
434.2414, 70861.52
434.7235, 70845.54
435.2056, 70826.84
435.6877, 70817.08
436.1698, 70817.13
436.6519, 70832.91
437.1341, 70863.99
437.6162, 70894.97
438.0983, 70915.37
438.5804, 70928.52
439.0625, 70938.28
439.5446, 70943.55
440.0268, 70952.11
440.5089, 70968.55
440.9910, 70993.29
441.4731, 71026.85
441.9552, 71095.38
442.4373, 71151.73
442.9195, 71153.34
443.4016, 71100.30
443.8837, 71059.05
444.3658, 71056.95
444.8479, 71075.72
445.3300, 71101.16
445.8122, 71137.46
446.2943, 71169.41
446.7764, 71195.32
447.2585, 71214.63
447.7406, 71226.76
448.2227, 71232.26
448.7049, 71229.82
449.1870, 71215.45
449.6691, 71185.65
450.1512, 71171.41
450.6333, 71184.29
451.1154, 71202.23
451.5976, 71204.52
452.0797, 71188.86
452.5618, 71168.95
453.0439, 71144.82
453.5260, 71120.62
454.0081, 71106.92
454.4903, 71104.88
454.9724, 71108.20
455.4545, 71110.73
455.9366, 71113.91
456.4187, 71129.41
456.9008, 71157.07
457.3830, 71195.41
457.8651, 71249.78
458.3472, 71313.46
458.8293, 71363.58
459.3114, 71387.32
459.7935, 71397.74
460.2757, 71411.86
460.7578, 71427.24
461.2399, 71435.71
461.7220, 71428.17
462.2041, 71413.29
462.6862, 71396.34
463.1684, 71375.73
463.6505, 71367.65
464.1326, 71404.09
464.6147, 71452.63
465.0968, 71471.54
465.5789, 71412.89
466.0611, 71360.93
466.5432, 71347.39
467.0253, 71369.74
467.5074, 71384.38
467.9895, 71374.63
468.4716, 71366.48
468.9538, 71371.88
469.4359, 71393.83
469.9180, 71423.07
470.4001, 71469.10
470.8822, 71514.66
471.3643, 71530.25
471.8465, 71501.53
472.3286, 71481.32
472.8107, 71483.87
473.2928, 71505.32
473.7749, 71530.78
474.2570, 71562.61
474.7392, 71582.08
475.2213, 71557.45
