##NAMES=Lavinskyite
##RRUFFID=R141115
##IDEAL CHEMISTRY=K(LiCu^2+^)Cu^2+^_6_(Si_4_O_11_)_2_(OH)_4_
##LOCALITY=Wessels mine, South Africa
##OWNER=RRUFF
##SOURCE=Jaco and Tania Janse van Nieuwenhuizen
##DESCRIPTION=Greenish blue or light blue platy crystals, associated with dark blue scottyite (R141116) and blue wesselsite (with cleavage)
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R141115
##MEASURED CHEMISTRY=(K_0.98_Sr_0.01_)_Σ=0.99_(Li_1.25_Cu_0.71_Na_0.08_)_Σ=2.04_Cu_6_(Si_4.03_O_11_)_2_(OH)_4_; (Lavinskyite is the dark grey material in the image, associated with light grey R141116 scottyite)
8.930109e+001, 0.000000e+000
8.978320e+001, 4.074244e+002
9.026532e+001, 4.056659e+002
9.074744e+001, 4.051510e+002
9.122955e+001, 4.048412e+002
9.171167e+001, 4.079687e+002
9.219379e+001, 4.218461e+002
9.267590e+001, 4.447802e+002
9.315802e+001, 4.637568e+002
9.364014e+001, 4.653987e+002
9.412225e+001, 4.551181e+002
9.460437e+001, 4.482542e+002
9.508649e+001, 4.512618e+002
9.556860e+001, 4.584645e+002
9.605072e+001, 4.566384e+002
9.653284e+001, 4.459526e+002
9.701495e+001, 4.313622e+002
9.749707e+001, 4.156618e+002
9.797919e+001, 3.988198e+002
9.846130e+001, 3.854074e+002
9.894342e+001, 3.766206e+002
9.942554e+001, 3.721925e+002
9.990765e+001, 3.715121e+002
1.003898e+002, 3.758449e+002
1.008719e+002, 3.811909e+002
1.013540e+002, 3.809453e+002
1.018361e+002, 3.733738e+002
1.023182e+002, 3.669901e+002
1.028004e+002, 3.652725e+002
1.032825e+002, 3.694303e+002
1.037646e+002, 3.727140e+002
1.042467e+002, 3.750016e+002
1.047288e+002, 3.765548e+002
1.052109e+002, 3.777420e+002
1.056931e+002, 3.776041e+002
1.061752e+002, 3.784854e+002
1.066573e+002, 3.815513e+002
1.071394e+002, 3.885101e+002
1.076215e+002, 3.947825e+002
1.081036e+002, 4.023935e+002
1.085858e+002, 4.101493e+002
1.090679e+002, 4.108527e+002
1.095500e+002, 3.980051e+002
1.100321e+002, 3.830956e+002
1.105142e+002, 3.723153e+002
1.109963e+002, 3.681583e+002
1.114785e+002, 3.651622e+002
1.119606e+002, 3.627772e+002
1.124427e+002, 3.609829e+002
1.129248e+002, 3.601654e+002
1.134069e+002, 3.607309e+002
1.138890e+002, 3.620738e+002
1.143712e+002, 3.637182e+002
1.148533e+002, 3.647289e+002
1.153354e+002, 3.667609e+002
1.158175e+002, 3.715072e+002
1.162996e+002, 3.795056e+002
1.167817e+002, 3.848418e+002
1.172639e+002, 3.835720e+002
1.177460e+002, 3.790066e+002
1.182281e+002, 3.753362e+002
1.187102e+002, 3.758126e+002
1.191923e+002, 3.764377e+002
1.196744e+002, 3.744482e+002
1.201566e+002, 3.690192e+002
1.206387e+002, 3.634384e+002
1.211208e+002, 3.587911e+002
1.216029e+002, 3.554342e+002
1.220850e+002, 3.541771e+002
1.225671e+002, 3.548959e+002
1.230493e+002, 3.581257e+002
1.235314e+002, 3.659809e+002
1.240135e+002, 3.814868e+002
1.244956e+002, 3.949491e+002
1.249777e+002, 3.949730e+002
1.254598e+002, 3.841421e+002
1.259420e+002, 3.721444e+002
1.264241e+002, 3.647671e+002
1.269062e+002, 3.605634e+002
1.273883e+002, 3.567206e+002
1.278704e+002, 3.520620e+002
1.283525e+002, 3.482949e+002
1.288347e+002, 3.490376e+002
1.293168e+002, 3.540633e+002
1.297989e+002, 3.591180e+002
1.302810e+002, 3.595813e+002
1.307631e+002, 3.568206e+002
1.312452e+002, 3.568118e+002
1.317274e+002, 3.626950e+002
1.322095e+002, 3.715284e+002
1.326916e+002, 3.749904e+002
1.331737e+002, 3.726141e+002
1.336558e+002, 3.681264e+002
1.341379e+002, 3.644650e+002
1.346201e+002, 3.616395e+002
1.351022e+002, 3.601325e+002
1.355843e+002, 3.601533e+002
1.360664e+002, 3.616415e+002
1.365485e+002, 3.644452e+002
1.370306e+002, 3.689287e+002
1.375128e+002, 3.739086e+002
1.379949e+002, 3.774185e+002
1.384770e+002, 3.787375e+002
1.389591e+002, 3.823527e+002
1.394412e+002, 3.909976e+002
1.399233e+002, 4.052396e+002
1.404055e+002, 4.154292e+002
1.408876e+002, 4.206439e+002
1.413697e+002, 4.227329e+002
1.418518e+002, 4.246393e+002
1.423339e+002, 4.263842e+002
1.428160e+002, 4.278641e+002
1.432982e+002, 4.288949e+002
1.437803e+002, 4.290850e+002
1.442624e+002, 4.300347e+002
1.447445e+002, 4.317124e+002
1.452266e+002, 4.341795e+002
1.457087e+002, 4.373473e+002
1.461909e+002, 4.404582e+002
1.466730e+002, 4.452905e+002
1.471551e+002, 4.529919e+002
1.476372e+002, 4.674139e+002
1.481193e+002, 4.780283e+002
1.486014e+002, 4.828824e+002
1.490836e+002, 4.836684e+002
1.495657e+002, 4.864467e+002
1.500478e+002, 4.935310e+002
1.505299e+002, 5.006825e+002
1.510120e+002, 5.060953e+002
1.514941e+002, 5.079656e+002
1.519763e+002, 5.101607e+002
1.524584e+002, 5.139047e+002
1.529405e+002, 5.184855e+002
1.534226e+002, 5.204445e+002
1.539047e+002, 5.180901e+002
1.543868e+002, 5.139716e+002
1.548690e+002, 5.094757e+002
1.553511e+002, 5.042233e+002
1.558332e+002, 4.991733e+002
1.563153e+002, 4.948566e+002
1.567974e+002, 4.911162e+002
1.572795e+002, 4.866690e+002
1.577617e+002, 4.800861e+002
1.582438e+002, 4.733145e+002
1.587259e+002, 4.677611e+002
1.592080e+002, 4.648454e+002
1.596901e+002, 4.621468e+002
1.601722e+002, 4.588173e+002
1.606544e+002, 4.548970e+002
1.611365e+002, 4.513858e+002
1.616186e+002, 4.502285e+002
1.621007e+002, 4.490047e+002
1.625828e+002, 4.454419e+002
1.630649e+002, 4.384160e+002
1.635471e+002, 4.292312e+002
1.640292e+002, 4.178878e+002
1.645113e+002, 4.043878e+002
1.649934e+002, 3.906027e+002
1.654755e+002, 3.773518e+002
1.659576e+002, 3.643152e+002
1.664398e+002, 3.512816e+002
1.669219e+002, 3.356835e+002
1.674040e+002, 3.216081e+002
1.678861e+002, 3.125458e+002
1.683682e+002, 3.087957e+002
1.688503e+002, 3.063339e+002
1.693325e+002, 3.023961e+002
1.698146e+002, 2.980490e+002
1.702967e+002, 2.950648e+002
1.707788e+002, 2.956406e+002
1.712609e+002, 2.970905e+002
1.717430e+002, 2.968666e+002
1.722252e+002, 2.946801e+002
1.727073e+002, 2.920356e+002
1.731894e+002, 2.897223e+002
1.736715e+002, 2.878140e+002
1.741536e+002, 2.865372e+002
1.746357e+002, 2.863581e+002
1.751179e+002, 2.866843e+002
1.756000e+002, 2.868393e+002
1.760821e+002, 2.867661e+002
1.765642e+002, 2.865303e+002
1.770463e+002, 2.858651e+002
1.775284e+002, 2.850078e+002
1.780106e+002, 2.846942e+002
1.784927e+002, 2.858144e+002
1.789748e+002, 2.876226e+002
1.794569e+002, 2.886526e+002
1.799390e+002, 2.885678e+002
1.804211e+002, 2.885116e+002
1.809033e+002, 2.901239e+002
1.813854e+002, 2.931058e+002
1.818675e+002, 2.959777e+002
1.823496e+002, 2.971559e+002
1.828317e+002, 2.976299e+002
1.833138e+002, 3.000868e+002
1.837960e+002, 3.051358e+002
1.842781e+002, 3.112148e+002
1.847602e+002, 3.164166e+002
1.852423e+002, 3.207731e+002
1.857244e+002, 3.241551e+002
1.862065e+002, 3.254181e+002
1.866887e+002, 3.254347e+002
1.871708e+002, 3.278555e+002
1.876529e+002, 3.336262e+002
1.881350e+002, 3.407346e+002
1.886171e+002, 3.453529e+002
1.890992e+002, 3.475869e+002
1.895814e+002, 3.499545e+002
1.900635e+002, 3.541202e+002
1.905456e+002, 3.599443e+002
1.910277e+002, 3.662562e+002
1.915098e+002, 3.733347e+002
1.919919e+002, 3.802730e+002
1.924741e+002, 3.845370e+002
1.929562e+002, 3.859891e+002
1.934383e+002, 3.874387e+002
1.939204e+002, 3.906114e+002
1.944025e+002, 3.954611e+002
1.948846e+002, 4.013732e+002
1.953668e+002, 4.086331e+002
1.958489e+002, 4.165190e+002
1.963310e+002, 4.231962e+002
1.968131e+002, 4.285359e+002
1.972952e+002, 4.336108e+002
1.977773e+002, 4.393953e+002
1.982595e+002, 4.459012e+002
1.987416e+002, 4.515187e+002
1.992237e+002, 4.555586e+002
1.997058e+002, 4.589348e+002
