##NAMES=Chrysoberyl
##RRUFFID=X080002
##IDEAL CHEMISTRY=BeAl_2_O_4_
##LOCALITY=Synthetic
##OWNER=GIA
##SOURCE=Gemological Institute of America
##DESCRIPTION=Faceted purple alexandrite gemstone, 7.35 ct
##STATUS=The identification of this mineral has been determined only by Raman spectroscopy
##URL=rruff.info/X080002
174.2967, 649.6550
174.7789, 648.9605
175.2610, 649.4153
175.7431, 650.2430
176.2252, 651.1301
176.7073, 651.9193
177.1894, 652.0474
177.6716, 650.8063
178.1537, 649.8466
178.6358, 649.7530
179.1179, 650.1412
179.6000, 650.2106
180.0821, 649.4803
180.5643, 648.2953
181.0464, 647.7862
181.5285, 648.6292
182.0106, 649.0588
182.4927, 647.6556
182.9748, 644.8895
183.4570, 642.9504
183.9391, 643.2203
184.4212, 644.8439
184.9033, 645.7873
185.3854, 645.8107
185.8675, 645.5048
186.3497, 645.3153
186.8318, 645.2476
187.3139, 645.1262
187.7960, 644.8111
188.2781, 644.4264
188.7602, 644.1409
189.2424, 644.0457
189.7245, 643.9211
190.2066, 643.4426
190.6887, 642.5131
191.1708, 641.5677
191.6530, 640.5341
192.1351, 639.6516
192.6172, 639.2354
193.0993, 639.4569
193.5814, 639.9597
194.0635, 639.9549
194.5457, 638.9877
195.0278, 638.4354
195.5099, 639.0825
195.9920, 640.0035
196.4741, 640.1520
196.9562, 639.0217
197.4384, 637.2010
197.9205, 636.4306
198.4026, 637.7897
198.8847, 638.7919
199.3668, 639.2451
199.8489, 639.1584
200.3311, 638.3088
200.8132, 636.5470
201.2953, 634.3399
201.7774, 633.5527
202.2595, 636.6187
202.7416, 638.4521
203.2238, 637.6845
203.7059, 635.5655
204.1880, 633.8798
204.6701, 633.6014
205.1522, 634.3819
205.6343, 634.6760
206.1165, 634.0579
206.5986, 633.5009
207.0807, 633.3795
207.5628, 633.4518
208.0449, 633.1650
208.5270, 632.1340
209.0092, 630.6757
209.4913, 630.1336
209.9734, 630.9659
210.4555, 631.9368
210.9376, 632.7789
211.4197, 633.4474
211.9019, 633.7536
212.3840, 633.4495
212.8661, 632.8511
213.3482, 632.8715
213.8303, 633.9669
214.3124, 634.9114
214.7946, 634.7532
215.2767, 633.7176
215.7588, 633.1008
216.2409, 633.8184
216.7230, 635.0391
217.2052, 635.1898
217.6873, 633.8273
218.1694, 632.3011
218.6515, 631.6533
219.1336, 631.8536
219.6157, 632.1556
220.0979, 632.2188
220.5800, 632.3070
221.0621, 632.8235
221.5442, 633.9459
222.0263, 634.9456
222.5084, 635.0439
222.9906, 634.1719
223.4727, 633.1378
223.9548, 631.7490
224.4369, 630.5706
224.9190, 630.1288
225.4011, 630.5399
225.8833, 631.2933
226.3654, 631.8372
226.8475, 632.1498
227.3296, 632.3361
227.8117, 632.3251
228.2938, 632.2469
228.7760, 632.2621
229.2581, 632.3835
229.7402, 632.3416
230.2223, 631.5412
230.7044, 629.4121
231.1865, 628.3821
231.6687, 629.7076
232.1508, 631.4207
232.6329, 632.2088
233.1150, 631.8834
233.5971, 631.2958
234.0792, 631.8153
234.5614, 634.3651
235.0435, 635.6969
235.5256, 634.8234
236.0077, 633.5809
236.4898, 633.1497
236.9719, 633.7021
237.4541, 634.5611
237.9362, 634.7728
238.4183, 633.9189
238.9004, 633.4274
239.3825, 632.9197
239.8646, 632.9620
240.3468, 634.2253
240.8289, 636.6386
241.3110, 639.3254
241.7931, 641.2650
242.2752, 642.3434
242.7573, 642.7692
243.2395, 642.8337
243.7216, 642.1488
244.2037, 640.1166
244.6858, 636.8450
245.1679, 633.2579
245.6501, 630.3730
246.1322, 628.3860
246.6143, 626.4428
247.0964, 624.3352
247.5785, 622.4114
248.0606, 620.8023
248.5428, 619.5671
249.0249, 618.8689
249.5070, 619.0153
249.9891, 620.2132
250.4712, 620.5906
250.9533, 619.8372
251.4355, 618.5741
251.9176, 616.7909
252.3997, 614.6588
252.8818, 613.1642
253.3639, 613.4131
253.8460, 615.4232
254.3282, 616.1751
254.8103, 614.5065
255.2924, 612.5339
255.7745, 611.9099
256.2566, 612.5555
256.7387, 613.0324
257.2209, 612.1320
257.7030, 610.1347
258.1851, 609.0590
258.6672, 609.5798
259.1493, 610.4715
259.6314, 611.0950
260.1136, 611.4213
260.5957, 611.2483
261.0778, 610.1175
261.5599, 608.4939
262.0420, 607.7928
