##NAMES=Benjaminite
##RRUFFID=R070399
##IDEAL CHEMISTRY=Ag_3_Bi_7_S_12_
##LOCALITY=Outlaw Mine, Round Mountain District, Nye County, Nevada, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Black polished crystals embedded in epoxy, co-type specimen
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070399
180.8019, 291.2607
181.2840, 293.5046
181.7661, 288.2734
182.2482, 279.8270
182.7303, 273.4627
183.2124, 271.9091
183.6946, 273.7847
184.1767, 275.2907
184.6588, 276.4836
185.1409, 277.1190
185.6230, 275.8739
186.1051, 274.5558
186.5873, 275.7492
187.0694, 281.1022
187.5515, 288.3803
188.0336, 291.5132
188.5157, 288.0266
188.9978, 284.3622
189.4800, 280.8675
189.9621, 278.3804
190.4442, 278.2477
190.9263, 281.2779
191.4084, 285.7453
191.8905, 287.2953
192.3727, 284.0015
192.8548, 281.0909
193.3369, 279.5589
193.8190, 278.7146
194.3011, 277.3085
194.7832, 274.7983
195.2654, 272.9453
195.7475, 276.4311
196.2296, 291.1437
196.7117, 299.9535
197.1938, 297.8069
197.6759, 291.4704
198.1581, 286.4888
198.6402, 284.7615
199.1223, 284.8791
199.6044, 284.1966
200.0865, 281.9434
200.5686, 280.4510
201.0508, 278.3922
201.5329, 277.8914
202.0150, 282.0915
202.4971, 291.4154
202.9792, 301.4852
203.4613, 304.8692
203.9435, 298.1198
204.4256, 292.1936
204.9077, 286.7412
205.3898, 282.7042
205.8719, 281.5037
206.3540, 283.0735
206.8362, 285.2794
207.3183, 284.7552
207.8004, 279.2889
208.2825, 276.8529
208.7646, 280.3352
209.2467, 284.2759
209.7289, 286.0837
210.2110, 285.1690
210.6931, 281.8655
211.1752, 275.4217
211.6573, 263.2742
212.1395, 257.8121
212.6216, 266.0490
213.1037, 274.5226
213.5858, 275.5755
214.0679, 269.9648
214.5500, 263.9312
215.0322, 263.6871
215.5143, 270.0266
215.9964, 277.0445
216.4785, 289.3633
216.9606, 298.1281
217.4427, 297.9066
217.9249, 290.7281
218.4070, 282.8492
218.8891, 279.6827
219.3712, 281.4133
219.8533, 281.1369
220.3354, 276.2812
220.8176, 271.8216
221.2997, 269.7373
221.7818, 269.0847
222.2639, 267.8194
222.7460, 264.5006
223.2281, 259.2661
223.7103, 253.8571
224.1924, 245.9963
224.6745, 240.6105
225.1566, 238.9001
225.6387, 240.2300
226.1208, 244.7993
226.6030, 253.5126
227.0851, 263.7111
227.5672, 263.5505
228.0493, 240.9298
228.5314, 224.0035
229.0135, 219.0519
229.4957, 221.4063
229.9778, 226.5372
230.4599, 232.5496
230.9420, 238.4373
231.4241, 241.7165
231.9062, 241.5627
232.3884, 239.8710
232.8705, 234.1233
233.3526, 228.6718
233.8347, 228.1749
234.3168, 234.0094
234.7989, 242.2943
235.2811, 245.8923
235.7632, 241.7710
236.2453, 240.1941
236.7274, 244.8260
237.2095, 250.0246
237.6916, 251.9961
238.1738, 250.0527
238.6559, 246.1642
239.1380, 242.1986
239.6201, 237.5315
240.1022, 235.1758
240.5843, 237.7383
241.0665, 240.5856
241.5486, 240.6899
242.0307, 238.4947
242.5128, 237.2650
242.9949, 241.7988
243.4770, 253.1542
243.9592, 257.3674
244.4413, 245.3688
244.9234, 234.5060
245.4055, 231.8744
245.8876, 235.8135
246.3697, 241.0594
246.8519, 244.3685
247.3340, 245.7859
247.8161, 245.2985
248.2982, 240.1837
248.7803, 236.8817
249.2624, 239.3298
249.7446, 244.6043
250.2267, 248.0542
250.7088, 247.2338
251.1909, 242.9498
251.6730, 236.7070
252.1551, 225.6693
252.6373, 218.6366
253.1194, 220.3301
253.6015, 226.1832
254.0836, 232.3264
254.5657, 238.0086
255.0478, 241.0247
255.5300, 236.1643
256.0121, 220.5475
256.4942, 208.0672
256.9763, 203.0007
257.4584, 202.5241
257.9406, 206.0492
258.4227, 213.6082
258.9048, 221.8458
259.3869, 228.3217
259.8690, 233.1387
260.3511, 233.4753
260.8333, 224.7094
261.3154, 214.7327
261.7975, 209.3931
262.2796, 208.7323
262.7617, 208.8888
263.2438, 206.6531
263.7260, 202.6482
264.2081, 201.1230
264.6902, 205.0231
265.1723, 207.4500
265.6544, 200.6261
266.1365, 187.6576
266.6187, 179.1701
267.1008, 184.7026
267.5829, 197.2827
268.0650, 200.5667
268.5471, 191.0407
269.0292, 182.4671
269.5114, 187.1159
269.9935, 199.0141
270.4756, 208.5134
270.9577, 213.7291
271.4398, 215.0476
271.9219, 211.2363
272.4041, 202.1024
272.8862, 194.3202
