##NAMES=Gehlenite
##RRUFFID=R060841
##IDEAL CHEMISTRY=Ca_2_Al(SiAl)O_7_
##LOCALITY=Monzoni, Tyrol, Italy
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Brown rectangular prism
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R060841
##MEASURED CHEMISTRY=(Ca_1.92_Na_0.07_K_0.01_)_Σ=2_(Al_0.62_Mg_0.25_Fe^2+^_0.13_)_Σ=1_(Si_1.46_Al_0.54_)O_7_ ; = lighter phase, and the darker phase is calcite
163.9537, 2426.827
164.4358, 2458.673
164.9179, 2490.588
165.4000, 2510.388
165.8822, 2516.489
166.3643, 2520.995
166.8464, 2536.742
167.3285, 2564.360
167.8106, 2589.408
168.2927, 2612.719
168.7749, 2631.694
169.2570, 2642.653
169.7391, 2644.812
170.2212, 2643.147
170.7033, 2642.611
171.1854, 2643.201
171.6676, 2640.999
172.1497, 2632.662
172.6318, 2622.496
173.1139, 2615.490
173.5960, 2612.438
174.0781, 2611.696
174.5603, 2612.939
175.0424, 2615.937
175.5245, 2616.498
176.0066, 2613.258
176.4887, 2607.280
176.9708, 2597.783
177.4530, 2583.188
177.9351, 2572.157
178.4172, 2576.523
178.8993, 2593.982
179.3814, 2611.384
179.8635, 2627.071
180.3457, 2640.216
180.8278, 2648.862
181.3099, 2651.931
181.7920, 2653.483
182.2741, 2657.002
182.7562, 2662.180
183.2384, 2668.724
183.7205, 2676.038
184.2026, 2684.759
184.6847, 2695.460
185.1668, 2707.642
185.6489, 2723.444
186.1311, 2749.091
186.6132, 2781.837
187.0953, 2809.557
187.5774, 2826.557
188.0595, 2836.766
188.5416, 2845.722
189.0238, 2853.363
189.5059, 2861.967
189.9880, 2877.740
190.4701, 2897.887
190.9522, 2909.922
191.4343, 2901.728
191.9165, 2885.225
192.3986, 2879.724
192.8807, 2887.316
193.3628, 2904.526
193.8449, 2936.598
194.3270, 2978.098
194.8092, 3010.395
195.2913, 3020.640
195.7734, 3020.183
196.2555, 3029.131
196.7376, 3051.343
197.2197, 3074.272
197.7019, 3086.006
198.1840, 3090.113
198.6661, 3094.994
199.1482, 3105.973
199.6303, 3118.425
200.1124, 3123.135
200.5946, 3117.307
201.0767, 3112.879
201.5588, 3120.852
202.0409, 3137.489
202.5230, 3155.887
203.0051, 3183.627
203.4873, 3208.303
203.9694, 3206.681
204.4515, 3172.367
204.9336, 3137.283
205.4157, 3127.465
205.8978, 3134.291
206.3800, 3140.575
206.8621, 3141.121
207.3442, 3139.226
207.8263, 3139.174
208.3084, 3141.185
208.7905, 3143.763
209.2727, 3145.282
209.7548, 3146.666
210.2369, 3150.099
210.7190, 3158.223
211.2011, 3167.301
211.6832, 3170.636
212.1654, 3167.133
212.6475, 3169.368
213.1296, 3193.980
213.6117, 3228.379
214.0938, 3244.987
214.5760, 3221.962
215.0581, 3194.055
215.5402, 3201.527
216.0223, 3245.506
216.5044, 3284.459
216.9865, 3290.688
217.4687, 3277.601
217.9508, 3273.698
218.4329, 3280.716
218.9150, 3298.789
219.3971, 3336.109
219.8792, 3391.414
220.3614, 3435.578
220.8435, 3450.593
221.3256, 3445.798
221.8077, 3443.176
222.2898, 3439.103
222.7719, 3443.526
223.2541, 3468.449
223.7362, 3510.944
224.2183, 3551.703
224.7004, 3584.011
225.1825, 3607.637
225.6646, 3622.784
226.1468, 3624.038
226.6289, 3627.838
227.1110, 3648.700
227.5931, 3681.308
228.0752, 3704.176
228.5573, 3705.392
229.0395, 3697.204
229.5216, 3703.385
230.0037, 3728.896
230.4858, 3752.178
230.9679, 3757.680
231.4500, 3753.538
231.9322, 3762.522
232.4143, 3795.974
232.8964, 3836.923
233.3785, 3856.818
233.8606, 3854.548
234.3427, 3845.983
234.8249, 3830.204
235.3070, 3812.555
235.7891, 3804.726
236.2712, 3811.563
236.7533, 3820.829
237.2354, 3811.341
237.7176, 3778.987
238.1997, 3758.850
238.6818, 3766.789
239.1639, 3786.801
239.6460, 3800.281
240.1281, 3803.746
240.6103, 3799.874
241.0924, 3790.381
241.5745, 3774.375
242.0566, 3758.602
242.5387, 3745.595
243.0208, 3731.859
243.5030, 3710.757
243.9851, 3682.513
244.4672, 3659.216
244.9493, 3653.917
245.4314, 3669.588
