##NAMES=Triphylite
##RRUFFID=R050624
##IDEAL CHEMISTRY=LiFe^2+^PO_4_
##LOCALITY=Minas Gerais, Brazil
##OWNER=RRUFF
##SOURCE=Gemological Center
##DESCRIPTION=Brown fragment
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050624
##MEASURED CHEMISTRY=Li_1.00_(Fe^2+^_0.55_Mn^2+^_0.45_)_Σ=1_P_1.00_O_4_ ; Li not measured, but estimated by difference
92.06543, 611.8967
92.54755, 607.4593
93.02966, 609.3273
93.51178, 615.3593
93.99390, 618.6026
94.47601, 620.0258
94.95813, 619.9092
95.44025, 617.9318
95.92236, 613.7481
96.40448, 607.0259
96.88660, 600.0873
97.36871, 592.9625
97.85082, 586.1443
98.33294, 580.2799
98.81506, 575.1116
99.29717, 568.6572
99.77929, 561.1267
100.2614, 552.8312
100.7435, 544.3706
101.2256, 535.4227
101.7078, 526.2592
102.1899, 517.3906
102.6720, 507.8502
103.1541, 500.1683
103.6362, 497.0725
104.1183, 498.4157
104.6005, 499.5898
105.0826, 496.4989
105.5647, 488.6358
106.0468, 480.4737
106.5289, 472.6175
107.0110, 464.7346
107.4931, 456.5343
107.9753, 447.8966
108.4574, 439.1578
108.9395, 430.8986
109.4216, 422.8391
109.9037, 415.8099
110.3858, 410.2614
110.8680, 405.4870
111.3501, 400.7575
111.8322, 395.6447
112.3143, 390.3115
112.7964, 385.7377
113.2785, 382.5659
113.7607, 379.3785
114.2428, 375.4992
114.7249, 371.2560
115.2070, 367.5905
115.6891, 365.4309
116.1712, 364.6700
116.6534, 362.6579
117.1355, 358.3369
117.6176, 353.5616
118.0997, 349.7380
118.5818, 346.9975
119.0639, 344.6508
119.5461, 341.7634
120.0282, 338.6752
120.5103, 336.7070
120.9924, 337.3028
121.4745, 339.2592
121.9566, 339.7322
122.4388, 338.0426
122.9209, 335.3613
123.4030, 332.0715
123.8851, 328.4626
124.3672, 325.5251
124.8493, 324.6663
125.3315, 326.1258
125.8136, 326.0923
126.2957, 321.9642
126.7778, 317.9917
127.2599, 316.2151
127.7420, 316.7122
128.2242, 317.9592
128.7063, 317.8452
129.1884, 315.3565
129.6705, 313.5518
130.1526, 312.3804
130.6347, 311.7907
131.1169, 311.9606
131.5990, 312.8968
132.0811, 314.1818
132.5632, 314.8888
133.0453, 313.7750
133.5274, 313.6125
134.0096, 315.2308
134.4917, 317.7548
134.9738, 319.8799
135.4559, 320.9415
135.9380, 321.3651
136.4201, 322.6006
136.9023, 324.9670
137.3844, 327.5218
137.8665, 329.7677
138.3486, 331.8119
138.8307, 334.1182
139.3128, 336.7502
139.7950, 339.9720
140.2771, 343.9312
140.7592, 347.8810
141.2413, 353.3558
141.7234, 362.4553
142.2055, 375.6965
142.6877, 389.7314
143.1698, 403.6989
143.6519, 417.0912
144.1340, 429.5963
144.6161, 442.4000
145.0982, 453.4785
