##NAMES=Salammoniac
##RRUFFID=R060521
##IDEAL CHEMISTRY=N^3-^H_4_Cl
##LOCALITY=Tien-Shan Mountains, Tadzhikistan, U.S.S.R
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=White dendritic
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R060521
##MEASURED CHEMISTRY=NH_4_Cl_1.00_ ; N, H not measured but estimated by stoichiometry
107.6215, 1540.303
108.1036, 1560.349
108.5858, 1584.473
109.0679, 1606.731
109.5500, 1625.514
110.0321, 1643.861
110.5142, 1663.255
110.9963, 1683.885
111.4785, 1705.416
111.9606, 1727.945
112.4427, 1751.460
112.9248, 1775.168
113.4069, 1801.396
113.8890, 1826.589
114.3712, 1848.193
114.8533, 1864.784
115.3354, 1878.484
115.8175, 1889.072
116.2996, 1896.475
116.7817, 1904.181
117.2639, 1912.741
117.7460, 1922.545
118.2281, 1934.094
118.7102, 1948.506
119.1923, 1964.049
119.6744, 1978.946
120.1566, 1992.352
120.6387, 2008.167
121.1208, 2028.232
121.6029, 2052.273
122.0850, 2079.660
122.5671, 2110.083
123.0493, 2143.613
123.5314, 2180.704
124.0135, 2222.045
124.4956, 2265.436
124.9777, 2308.672
125.4598, 2351.922
125.9420, 2395.241
126.4241, 2437.042
126.9062, 2479.063
127.3883, 2524.567
127.8704, 2574.487
128.3525, 2627.780
128.8347, 2683.194
129.3168, 2740.953
129.7989, 2800.323
130.2810, 2862.609
130.7631, 2926.628
131.2452, 2990.096
131.7274, 3052.653
132.2095, 3114.143
132.6916, 3174.187
133.1737, 3233.323
133.6558, 3290.453
134.1379, 3346.699
134.6201, 3402.053
135.1022, 3454.170
135.5843, 3502.349
136.0664, 3546.637
136.5485, 3584.918
137.0306, 3616.635
137.5128, 3644.032
137.9949, 3671.510
138.4770, 3700.159
138.9591, 3723.745
139.4412, 3740.214
139.9233, 3749.155
140.4055, 3754.094
140.8876, 3754.862
141.3697, 3751.609
141.8518, 3744.531
142.3339, 3733.363
142.8160, 3718.978
143.2982, 3701.306
143.7803, 3679.808
144.2624, 3657.277
144.7445, 3634.400
145.2266, 3610.226
145.7087, 3583.584
146.1909, 3552.747
146.6730, 3521.188
147.1551, 3489.832
147.6372, 3458.560
148.1193, 3428.337
148.6014, 3399.750
149.0836, 3372.376
149.5657, 3343.414
150.0478, 3311.408
150.5299, 3279.657
151.0120, 3249.368
151.4941, 3219.681
151.9763, 3192.741
152.4584, 3169.498
152.9405, 3149.336
153.4226, 3128.679
153.9047, 3105.928
154.3868, 3083.442
154.8690, 3062.500
155.3511, 3042.621
155.8332, 3024.942
156.3153, 3010.241
156.7974, 2998.312
157.2795, 2987.428
157.7617, 2977.635
158.2438, 2968.584
158.7259, 2960.032
159.2080, 2950.536
159.6901, 2942.933
160.1722, 2938.615
160.6544, 2937.488
161.1365, 2937.061
161.6186, 2936.496
162.1007, 2936.210
162.5828, 2936.568
163.0649, 2938.175
163.5471, 2939.998
164.0292, 2941.682
164.5113, 2943.188
164.9934, 2944.279
165.4755, 2945.340
165.9576, 2945.736
166.4398, 2944.695
166.9219, 2942.302
167.4040, 2938.046
167.8861, 2931.777
168.3682, 2923.492
168.8503, 2912.819
169.3325, 2900.100
169.8146, 2884.729
170.2967, 2865.970
170.7788, 2842.552
171.2609, 2815.926
171.7430, 2788.045
172.2252, 2759.110
172.7073, 2727.231
173.1894, 2689.892
173.6715, 2648.057
174.1536, 2605.333
174.6357, 2561.964
175.1179, 2518.469
175.6000, 2475.154
176.0821, 2432.362
176.5642, 2390.288
177.0463, 2349.240
177.5284, 2309.028
178.0106, 2269.771
178.4927, 2231.470
178.9748, 2193.971
179.4569, 2157.644
179.9390, 2121.982
180.4211, 2088.295
180.9033, 2058.151
181.3854, 2031.010
181.8675, 2005.093
182.3496, 1978.272
182.8317, 1951.953
183.3138, 1928.313
183.7960, 1908.146
184.2781, 1889.741
184.7602, 1871.366
185.2423, 1852.882
185.7244, 1834.665
186.2065, 1816.092
186.6887, 1797.673
187.1708, 1781.290
187.6529, 1767.582
188.1350, 1755.075
188.6171, 1741.506
189.0992, 1726.790
189.5814, 1712.287
190.0635, 1698.906
190.5456, 1686.386
191.0277, 1674.401
191.5098, 1663.124
191.9919, 1651.909
192.4741, 1639.566
192.9562, 1626.115
193.4383, 1612.329
193.9204, 1598.615
194.4025, 1585.004
194.8846, 1572.113
195.3668, 1560.148
195.8489, 1548.785
196.3310, 1537.624
196.8131, 1526.811
197.2952, 1515.115
197.7773, 1501.028
198.2595, 1484.522
198.7416, 1468.819
199.2237, 1454.704
199.7058, 1441.486
200.1879, 1427.489
200.6700, 1412.508
201.1522, 1397.121
201.6343, 1381.631
202.1164, 1366.043
202.5985, 1350.305
203.0806, 1334.531
203.5627, 1318.687
204.0449, 1302.960
204.5270, 1287.449
205.0091, 1271.701
205.4912, 1255.101
205.9733, 1237.332
206.4554, 1220.659
206.9376, 1205.584
207.4197, 1191.768
207.9018, 1177.326
208.3839, 1162.059
208.8660, 1146.621
209.3481, 1131.631
209.8303, 1117.087
210.3124, 1102.673
210.7945, 1088.236
211.2766, 1073.992
211.7587, 1060.271
212.2408, 1047.111
212.7230, 1034.341
213.2051, 1021.656
213.6872, 1008.900
214.1693, 996.6891
214.6514, 985.2742
215.1335, 974.4357
215.6157, 963.8001
216.0978, 953.3549
216.5799, 942.9143
217.0620, 932.1005
217.5441, 920.4451
218.0262, 909.7321
218.5084, 900.3915
218.9905, 892.0134
219.4726, 883.0053
219.9547, 872.8453
220.4368, 862.7227
220.9189, 853.6022
221.4011, 845.8792
221.8832, 837.9349
222.3653, 829.3957
222.8474, 820.5449
223.3295, 812.2181
223.8116, 804.7200
224.2938, 797.5645
224.7759, 790.4745
225.2580, 783.4314
225.7401, 776.6328
226.2222, 770.1067
226.7043, 763.8239
227.1865, 757.3525
227.6686, 750.7282
228.1507, 744.0406
228.6328, 737.3273
229.1149, 730.2822
229.5970, 724.0248
230.0792, 719.0856
230.5613, 714.9944
231.0434, 709.9930
231.5255, 703.6235
232.0076, 697.1407
232.4897, 691.3388
232.9719, 686.6591
233.4540, 681.7103
233.9361, 676.3012
234.4182, 670.5786
234.9003, 664.9606
235.3824, 659.4713
235.8646, 654.0490
236.3467, 648.5629
236.8288, 642.5402
237.3109, 637.5497
237.7930, 634.1170
238.2751, 631.6357
238.7573, 628.3290
239.2394, 623.6202
239.7215, 618.8822
240.2036, 614.7365
240.6857, 611.5787
241.1678, 608.0912
241.6500, 604.1816
242.1321, 599.9776
242.6142, 595.6824
243.0963, 591.1072
243.5784, 586.7536
244.0605, 582.9417
244.5427, 579.9742
245.0248, 576.6934
245.5069, 572.8729
245.9890, 568.8246
246.4711, 565.3360
246.9532, 562.7216
247.4354, 560.1062
247.9175, 557.0782
248.3996, 553.2501
248.8817, 550.3075
249.3638, 548.7335
249.8459, 547.7839
250.3281, 546.0361
250.8102, 543.0505
251.2923, 540.0377
251.7744, 537.3831
252.2565, 535.1979
252.7386, 532.9925
253.2208, 530.5942
253.7029, 528.3058
254.1850, 526.6231
254.6671, 525.8553
255.1492, 525.0685
255.6313, 523.9474
256.1135, 522.4212
256.5956, 521.0173
257.0777, 519.7849
257.5598, 518.6245
258.0419, 517.3610
258.5240, 515.8328
259.0062, 514.5903
259.4883, 513.9116
259.9704, 513.8727
260.4525, 513.3278
260.9346, 512.0538
261.4167, 510.5629
261.8989, 509.4650
262.3810, 508.9187
262.8631, 508.4114
263.3452, 507.9669
263.8273, 507.5798
264.3094, 506.4930
264.7916, 504.4431
265.2737, 502.1170
265.7558, 499.9975
266.2379, 497.9046
266.7200, 496.7487
267.2021, 497.0423
267.6843, 498.5724
268.1664, 499.1786
268.6485, 498.6081
269.1306, 497.6289
269.6127, 496.8667
270.0948, 496.3669
270.5770, 495.8455
271.0591, 495.2230
271.5412, 494.5382
272.0233, 493.9471
272.5054, 493.4035
272.9875, 493.0850
273.4697, 493.3201
273.9518, 494.2894
274.4339, 494.5489
274.9160, 493.7219
275.3981, 492.2046
275.8802, 491.2023
276.3624, 490.8357
276.8445, 490.5881
277.3266, 490.0880
277.8087, 489.3056
278.2908, 488.8022
278.7729, 488.7153
279.2551, 488.8314
279.7372, 488.6796
280.2193, 488.2429
280.7014, 487.6542
281.1835, 486.9041
281.6656, 485.9976
282.1478, 485.2474
282.6299, 484.6722
283.1120, 484.2449
283.5941, 483.9500
284.0762, 483.7916
284.5583, 483.6667
285.0405, 483.5070
285.5226, 483.3251
286.0047, 483.2457
286.4868, 483.2803
286.9689, 483.3789
287.4510, 483.5721
287.9332, 483.8424
288.4153, 483.8532
288.8974, 483.2241
289.3795, 482.2130
289.8616, 481.8757
290.3438, 482.2631
290.8259, 482.9628
291.3080, 483.9098
291.7901, 484.9399
292.2722, 485.0695
292.7543, 483.5840
293.2365, 481.1701
293.7186, 479.3305
294.2007, 478.0827
294.6828, 477.2989
295.1649, 477.0511
295.6470, 477.2158
296.1292, 477.4215
296.6113, 477.7224
297.0934, 477.8497
297.5755, 477.1012
298.0576, 475.5696
298.5397, 474.2649
299.0219, 474.2087
299.5040, 474.8939
299.9861, 475.1976
300.4682, 474.8077
300.9503, 474.1810
301.4324, 473.8419
301.9146, 473.7440
302.3967, 473.6662
302.8788, 473.3446
303.3609, 473.0025
303.8430, 473.0311
304.3251, 473.5669
304.8073, 474.1523
305.2894, 474.3510
305.7715, 474.2642
306.2536, 474.1478
306.7357, 474.1985
307.2178, 474.2387
307.7000, 474.0361
308.1821, 473.5413
308.6642, 473.0414
309.1463, 472.6886
309.6284, 472.4721
310.1105, 472.3750
310.5927, 472.8065
311.0748, 473.0529
311.5569, 472.4708
312.0390, 471.0535
312.5211, 469.5956
313.0032, 468.2975
313.4854, 467.2776
313.9675, 466.6805
314.4496, 466.8841
314.9317, 467.2337
315.4138, 467.6465
315.8959, 468.0455
316.3781, 467.9596
316.8602, 466.6394
317.3423, 465.0793
317.8244, 464.0343
318.3065, 464.0901
318.7886, 464.0829
319.2708, 463.4786
319.7529, 462.4988
320.2350, 461.7665
320.7171, 461.8628
321.1992, 461.9538
321.6813, 461.5561
322.1635, 460.2654
322.6456, 459.2535
323.1277, 458.9644
323.6098, 459.0511
324.0919, 458.9353
324.5740, 458.3576
325.0562, 457.7157
325.5383, 457.0909
326.0204, 456.4514
326.5025, 455.9863
326.9846, 456.0232
327.4667, 456.1197
327.9489, 455.8046
328.4310, 454.5796
328.9131, 453.5113
329.3952, 452.8012
329.8773, 452.4621
330.3594, 452.0976
330.8416, 451.6633
331.3237, 451.2490
331.8058, 450.9288
332.2879, 450.8112
332.7700, 450.5905
333.2521, 450.1847
333.7343, 449.6408
334.2164, 449.2071
334.6985, 448.9633
335.1806, 448.7019
335.6627, 448.3024
336.1448, 447.7195
336.6270, 447.1412
337.1091, 446.5984
337.5912, 446.0490
338.0733, 445.4046
338.5554, 444.6772
339.0375, 443.8415
339.5197, 442.8187
340.0018, 441.5966
340.4839, 440.6398
340.9660, 440.0418
341.4481, 439.5439
341.9302, 438.7856
