##NAMES=Cristobalite
##RRUFFID=R061064
##IDEAL CHEMISTRY=SiO_2_
##LOCALITY=Ellora Caves, India
##OWNER=RRUFF
##SOURCE=Harvard Mineralogical Museum
##DESCRIPTION=Colorless single crystals, octahedra and groups of octahedra, some have transformed to quartz. Sample used in Downs and Palmer (1994)
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R061064
##MEASURED CHEMISTRY=Si_1.00_O_2_·0.11H_2_O ; trace amounts of Al and Na; H_2_O by difference, verified by Raman spectroscopy
200.2141, 3981.280
200.6962, 4061.934
201.1783, 4140.250
201.6604, 4221.047
202.1425, 4295.372
202.6246, 4355.046
203.1068, 4405.638
203.5889, 4457.940
204.0710, 4517.929
204.5531, 4585.452
205.0352, 4662.151
205.5173, 4755.157
205.9995, 4847.236
206.4816, 4924.509
206.9637, 4996.737
207.4458, 5087.173
207.9279, 5211.562
208.4100, 5360.352
208.8922, 5483.354
209.3743, 5548.122
209.8564, 5628.124
210.3385, 5743.267
210.8206, 5884.928
211.3027, 6037.498
211.7849, 6193.756
212.2670, 6356.720
212.7491, 6543.009
213.2312, 6784.400
213.7133, 7007.980
214.1954, 7178.270
214.6776, 7328.140
215.1597, 7507.782
215.6418, 7739.043
216.1239, 8008.750
216.6060, 8284.472
217.0882, 8559.516
217.5703, 8850.288
218.0524, 9162.172
218.5345, 9489.711
219.0166, 9822.984
219.4987, 10157.38
219.9809, 10504.54
220.4630, 10886.68
220.9451, 11342.23
221.4272, 11781.25
221.9093, 12196.34
222.3914, 12597.70
222.8736, 12991.46
223.3557, 13378.38
223.8378, 13763.61
224.3199, 14152.74
224.8020, 14561.46
225.2841, 14946.08
225.7663, 15303.85
226.2484, 15636.09
226.7305, 15952.59
227.2126, 16252.11
227.6947, 16516.72
228.1768, 16727.71
228.6590, 16890.90
229.1411, 16962.83
229.6232, 16921.27
230.1053, 16814.74
230.5874, 16668.41
231.0695, 16489.64
231.5516, 16281.84
232.0338, 16052.69
232.5159, 15815.61
232.9980, 15496.64
233.4801, 15043.99
233.9622, 14567.39
234.4443, 14135.85
234.9265, 13744.47
235.4086, 13342.90
235.8907, 12885.00
236.3728, 12358.32
236.8549, 11843.41
237.3370, 11322.71
237.8192, 10825.75
238.3013, 10366.10
238.7834, 9938.437
239.2655, 9529.418
239.7476, 9124.351
240.2297, 8724.278
240.7119, 8361.188
241.1940, 8061.065
241.6761, 7770.518
242.1582, 7471.358
242.6403, 7174.469
243.1224, 6903.540
243.6046, 6675.871
244.0867, 6483.715
244.5688, 6275.196
245.0509, 6009.720
245.5330, 5778.238
246.0151, 5612.710
246.4973, 5483.736
246.9794, 5352.975
247.4615, 5201.111
247.9436, 5037.726
248.4257, 4892.551
248.9078, 4769.130
249.3900, 4660.090
