##NAMES=Magnesioferrite
##RRUFFID=R070127
##IDEAL CHEMISTRY=MgFe^3+^_2_O_4_
##LOCALITY=Langban, Filipstad, Varmland, Sweden
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Black poorly formed octahedral crystals with deep red highlites, associated with hematite and calcite
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R070127
347.3675, 995.7109
347.8496, 1001.032
348.3317, 1004.725
348.8138, 999.3680
349.2959, 972.1492
349.7780, 937.8406
350.2602, 926.4248
350.7423, 938.1547
351.2244, 951.0046
351.7065, 943.8347
352.1887, 924.1027
352.6708, 906.6624
353.1529, 896.4398
353.6350, 890.3982
354.1171, 884.9193
354.5992, 880.3438
355.0814, 879.1612
355.5635, 886.6756
356.0456, 897.0424
356.5277, 903.6140
357.0098, 903.9996
357.4919, 901.4995
357.9741, 896.1251
358.4562, 889.2492
358.9383, 884.6179
359.4204, 888.3607
359.9025, 892.2426
360.3846, 889.5362
360.8668, 875.7920
361.3489, 864.3365
361.8310, 863.4526
362.3131, 867.9126
362.7952, 868.7648
363.2773, 857.8237
363.7595, 847.6161
364.2416, 843.8149
364.7237, 848.4802
365.2058, 852.0369
365.6879, 853.9701
366.1700, 853.6058
366.6522, 850.1878
367.1343, 838.8303
367.6164, 829.4297
368.0985, 822.7161
368.5806, 818.5294
369.0627, 820.8096
369.5449, 838.8333
370.0270, 856.2104
370.5091, 860.8322
370.9912, 844.8541
371.4733, 829.3842
371.9554, 815.5422
372.4376, 803.7285
372.9197, 796.7271
373.4018, 795.7710
373.8839, 797.6146
374.3660, 801.6120
374.8481, 809.4055
375.3303, 811.8362
375.8124, 806.7419
376.2945, 797.5631
376.7766, 791.5280
377.2587, 788.9785
377.7408, 788.0195
378.2230, 789.2756
378.7051, 792.5301
379.1872, 789.6439
379.6693, 778.7116
380.1514, 767.5287
380.6335, 769.3842
381.1157, 782.9721
381.5978, 792.4919
382.0799, 787.9845
382.5620, 776.3002
383.0441, 778.8350
383.5262, 796.0777
384.0084, 809.3442
384.4905, 793.8010
384.9726, 761.1374
385.4547, 741.7550
385.9368, 751.3491
386.4189, 768.2298
386.9011, 764.5376
387.3832, 743.9899
387.8653, 725.3154
388.3474, 716.7698
388.8295, 718.0658
389.3116, 732.3494
389.7938, 767.1358
390.2759, 796.5232
390.7580, 799.8907
391.2401, 785.9814
391.7222, 773.3466
392.2043, 772.6363
392.6865, 773.3715
393.1686, 768.5344
393.6507, 756.0707
394.1328, 746.4148
394.6149, 743.6031
395.0970, 745.0976
395.5792, 748.0537
396.0613, 753.8530
396.5434, 759.0352
397.0255, 764.5759
397.5076, 770.4118
397.9897, 769.5428
398.4719, 755.5751
398.9540, 738.6983
399.4361, 724.8429
399.9182, 712.1078
400.4003, 705.3191
400.8824, 706.1183
