##NAMES=Aluminium
##RRUFFID=R070230
##IDEAL CHEMISTRY=Al
##LOCALITY=Mud Volcano, Bulla Apsheren penninsula, Caspian Sea, Qobustan (Gobustan; Kobustan) Rayonu, Azerbaijan
##OWNER=Michael Scott
##SOURCE=Michael Scott
##DESCRIPTION=Metallic gray blebs in matrix embedded in epoxy, no Raman activity because of crystal symmetry
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070230
259.8690, 2598.476
260.3511, 2608.133
260.8333, 2599.222
261.3154, 2587.543
261.7975, 2584.368
262.2796, 2589.902
262.7617, 2598.031
263.2438, 2606.973
263.7260, 2615.765
264.2081, 2617.633
264.6902, 2607.178
265.1723, 2596.962
265.6544, 2597.059
266.1365, 2605.016
266.6187, 2612.959
267.1008, 2617.314
267.5829, 2619.127
268.0650, 2620.979
268.5471, 2623.569
269.0292, 2624.114
269.5114, 2618.638
269.9935, 2609.941
270.4756, 2602.534
270.9577, 2596.958
271.4398, 2593.653
271.9219, 2594.491
272.4041, 2599.638
272.8862, 2603.047
273.3683, 2600.132
273.8504, 2594.303
274.3325, 2592.240
274.8146, 2595.580
275.2968, 2600.280
275.7789, 2605.833
276.2610, 2611.124
276.7431, 2610.415
277.2252, 2598.915
277.7073, 2584.253
278.1895, 2579.918
278.6716, 2587.627
279.1537, 2594.866
279.6358, 2598.133
280.1179, 2597.788
280.6000, 2593.209
281.0822, 2583.618
281.5643, 2573.649
282.0464, 2568.520
282.5285, 2568.390
283.0106, 2571.376
283.4927, 2582.023
283.9749, 2592.710
284.4570, 2595.951
284.9391, 2591.440
285.4212, 2584.120
285.9033, 2576.910
286.3854, 2570.125
286.8676, 2568.423
287.3497, 2580.552
287.8318, 2588.857
288.3139, 2578.435
288.7960, 2556.571
289.2781, 2544.337
289.7603, 2554.838
290.2424, 2581.381
290.7245, 2595.557
291.2066, 2589.933
291.6887, 2582.166
292.1708, 2570.334
292.6530, 2559.364
293.1351, 2557.884
293.6172, 2568.646
294.0993, 2582.540
