##NAMES=Piemontite
##RRUFFID=R060905
##IDEAL CHEMISTRY=Ca_2_Mn^3+^Al_2_(Si_2_O_7_)(SiO_4_)O(OH)
##LOCALITY=Praborna mine, Aosta Valley, St. Marcel, Italy
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Elongated purple single crystals associated with albite and romeite, R060323
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R060905
##MEASURED CHEMISTRY=(Ca_1.82_Mn^2+^_0.12_)_Σ=2_(Al_1.95_Mn^3+^_0.97_Fe^3+^_0.08_)_Σ=3_[Si_2.00_O_7_][Si_1.00_O_4_]O(OH) ; = lighter phase, and the darker phase is albite.
226.1423, 702.3179
226.6244, 706.0297
227.1065, 709.7590
227.5886, 713.4720
228.0707, 717.4509
228.5528, 722.3627
229.0350, 727.3332
229.5171, 730.0022
229.9992, 728.8998
230.4813, 727.8062
230.9634, 728.2131
231.4455, 730.1238
231.9276, 733.7977
232.4098, 740.7890
232.8919, 749.3280
233.3740, 753.6605
233.8561, 752.0234
234.3382, 748.8477
234.8203, 745.8781
235.3025, 742.2149
235.7846, 740.9738
236.2667, 743.7422
236.7488, 748.9476
237.2309, 750.8973
237.7130, 748.5648
238.1952, 744.3909
238.6773, 739.5795
239.1594, 734.2791
239.6415, 727.7281
240.1236, 717.3892
240.6057, 705.5589
241.0879, 702.7278
241.5700, 715.6754
242.0521, 728.6647
242.5342, 732.3317
243.0163, 720.3356
243.4984, 712.3091
243.9806, 710.9652
244.4627, 714.6992
244.9448, 715.9369
245.4269, 714.0473
245.9090, 710.3872
246.3911, 705.1459
246.8732, 695.7557
247.3554, 690.3304
247.8375, 690.9728
248.3196, 696.3677
248.8017, 699.3168
249.2838, 698.7089
249.7659, 697.1000
250.2481, 695.9992
250.7302, 695.6175
251.2123, 695.4480
251.6944, 696.0974
252.1765, 697.1033
252.6586, 695.5263
253.1408, 689.8018
253.6229, 683.7214
254.1050, 679.5567
254.5871, 677.4691
255.0692, 677.1744
255.5513, 679.4319
256.0334, 683.6495
256.5156, 686.7360
256.9977, 689.8636
257.4798, 690.1213
257.9619, 684.0022
258.4440, 666.0805
258.9261, 655.9188
259.4083, 657.5231
259.8904, 668.9056
260.3725, 678.2728
260.8546, 685.5424
261.3367, 691.0189
261.8188, 694.5925
262.3010, 695.4745
262.7831, 697.0781
263.2652, 701.2873
263.7473, 706.6951
264.2294, 704.4261
264.7115, 690.3091
265.1937, 676.1432
265.6758, 671.3123
266.1579, 678.7761
266.6400, 685.2347
267.1221, 689.6800
267.6042, 691.8989
268.0864, 689.4091
268.5685, 679.3721
269.0506, 670.7048
269.5327, 671.1433
270.0148, 683.4935
270.4969, 692.3464
270.9791, 694.8484
271.4612, 692.6700
271.9433, 693.5152
272.4254, 699.0000
272.9075, 703.1247
273.3896, 700.1584
273.8718, 688.4891
274.3539, 680.7046
274.8360, 679.6978
275.3181, 683.0458
275.8002, 681.0031
276.2823, 671.8237
276.7645, 663.4400
277.2466, 661.8658
277.7287, 667.8334
278.2108, 673.8538
278.6929, 679.0749
279.1750, 683.7776
279.6572, 689.5034
280.1393, 696.8131
280.6214, 702.1646
281.1035, 702.2432
281.5856, 696.9524
282.0677, 692.4070
282.5499, 689.6517
283.0320, 687.7248
283.5141, 683.7430
283.9962, 677.4067
284.4783, 671.7795
284.9604, 668.7194
285.4425, 668.1876
285.9247, 669.6894
286.4068, 673.6682
286.8889, 678.8798
287.3710, 683.5963
287.8531, 687.8633
288.3352, 689.8207
288.8174, 685.7283
289.2995, 677.1355
289.7816, 674.3251
290.2637, 679.3757
290.7458, 688.6513
291.2279, 697.4869
291.7101, 705.7662
292.1922, 711.6552
292.6743, 712.1793
293.1564, 709.0828
293.6385, 708.6064
294.1206, 711.7291
294.6028, 716.5675
295.0849, 721.5251
295.5670, 726.3662
296.0491, 729.5209
296.5312, 728.8960
297.0133, 726.0222
297.4955, 724.0413
297.9776, 723.0256
298.4597, 723.9068
298.9418, 729.5158
299.4239, 738.5469
299.9060, 746.1014
300.3882, 746.2641
300.8703, 744.0736
301.3524, 749.4728
301.8345, 764.3123
302.3166, 779.3526
302.7987, 784.0000
303.2809, 781.5385
303.7630, 780.4816
304.2451, 787.0081
304.7272, 796.2370
305.2093, 802.4970
305.6914, 805.4714
306.1736, 806.1142
306.6557, 804.5507
307.1378, 801.3081
307.6199, 797.3902
308.1020, 790.2852
308.5841, 784.5123
309.0663, 785.2427
309.5484, 792.8440
310.0305, 800.7579
310.5126, 809.0292
310.9947, 814.0645
311.4768, 810.8363
311.9590, 785.6905
312.4411, 760.7359
312.9232, 752.6760
313.4053, 761.1413
313.8874, 769.1842
314.3695, 766.5691
314.8517, 759.8043
315.3337, 755.6318
315.8159, 762.5392
316.2980, 766.7302
316.7801, 760.1059
317.2622, 743.8604
317.7443, 728.9537
318.2264, 717.9193
318.7086, 711.0285
319.1907, 708.5479
319.6728, 712.5824
320.1549, 718.9432
320.6370, 729.7932
321.1191, 743.3630
321.6013, 750.7681
322.0834, 745.1503
322.5655, 735.6658
323.0476, 727.5396
323.5297, 723.2609
324.0118, 718.1508
324.4940, 708.6942
324.9761, 697.3185
325.4582, 692.1249
325.9403, 701.7417
326.4224, 711.7128
326.9045, 715.5941
327.3867, 706.7679
327.8688, 701.7200
328.3509, 703.9898
328.8330, 710.0936
329.3151, 712.2818
329.7972, 706.2431
330.2794, 700.7853
330.7615, 699.3503
331.2436, 705.0734
331.7257, 706.2141
332.2078, 698.8329
332.6899, 688.7493
333.1721, 686.2155
333.6542, 697.7963
334.1363, 706.0541
334.6184, 704.2276
335.1005, 690.0173
335.5826, 682.8898
336.0648, 685.8910
336.5469, 692.6546
337.0290, 694.4365
337.5111, 688.0461
337.9932, 686.4276
338.4753, 695.7640
338.9575, 714.8990
339.4396, 721.5468
339.9217, 711.8449
340.4038, 698.3894
340.8859, 693.5978
341.3680, 698.3625
341.8502, 704.6084
342.3323, 712.5140
342.8144, 720.0336
343.2965, 716.2851
343.7786, 699.4493
344.2607, 682.8915
344.7429, 677.8058
345.2250, 683.4965
345.7071, 691.7026
346.1892, 702.5390
346.6713, 713.3516
347.1534, 718.3179
347.6355, 717.5994
348.1176, 716.3267
348.5998, 719.2154
349.0819, 724.3372
349.5640, 725.2944
350.0461, 720.2265
350.5282, 713.5376
351.0103, 709.2643
351.4925, 707.7612
351.9746, 710.4907
352.4567, 724.3593
352.9388, 740.9766
