##NAMES=Abelsonite
##RRUFFID=R070007
##IDEAL CHEMISTRY=Ni^2+^C_31_H_32_N_4_
##LOCALITY=Green River Formation, Utah, USA
##OWNER=RRUFF
##SOURCE=Geophysical Laboratory, Carnegie Institution of Washington
##DESCRIPTION=Purple platy crystals embedded in drill core
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R070007
##MEASURED CHEMISTRY=(Ni_0.92_Fe^2+^_0.05_Cr_0.02_)C_31_H_32_N_4_ ; C, H and N not measured but estimated by stoichiometry
153.5570, 5903.083
154.0391, 5950.253
154.5212, 5984.752
155.0034, 5997.440
155.4855, 5990.493
155.9676, 5984.178
156.4497, 5981.319
156.9318, 5981.162
157.4139, 5983.127
157.8961, 5983.903
158.3782, 5989.718
158.8603, 6005.023
159.3424, 6030.679
159.8245, 6053.847
160.3066, 6059.841
160.7888, 6063.780
161.2709, 6083.794
161.7530, 6155.599
162.2351, 6222.736
162.7172, 6252.153
163.1993, 6232.848
163.6814, 6209.888
164.1636, 6201.795
164.6457, 6205.131
165.1278, 6213.208
165.6099, 6223.175
166.0920, 6236.696
166.5741, 6255.541
167.0563, 6281.502
167.5384, 6309.669
168.0205, 6339.132
168.5026, 6368.917
168.9847, 6395.257
169.4668, 6413.994
169.9490, 6428.941
170.4311, 6444.046
170.9132, 6460.396
171.3953, 6477.125
171.8774, 6493.503
172.3595, 6509.523
172.8417, 6525.612
173.3238, 6543.875
173.8059, 6562.279
174.2880, 6577.541
174.7701, 6586.203
175.2522, 6592.374
175.7344, 6600.878
176.2165, 6611.706
176.6986, 6623.172
177.1807, 6634.643
177.6628, 6645.724
178.1449, 6655.732
178.6270, 6660.247
179.1092, 6664.463
179.5913, 6680.021
180.0734, 6708.983
180.5555, 6738.834
181.0376, 6752.717
181.5197, 6754.056
182.0019, 6758.926
182.4840, 6775.985
182.9661, 6802.739
183.4482, 6833.778
183.9303, 6870.540
184.4124, 6907.165
184.8946, 6937.094
185.3767, 6959.885
185.8588, 6976.495
186.3409, 6986.023
186.8230, 6989.295
187.3051, 6988.056
187.7873, 6979.905
188.2694, 6971.153
188.7515, 6974.956
189.2336, 6991.658
189.7157, 7012.980
190.1978, 7036.528
190.6799, 7061.400
191.1621, 7079.970
191.6442, 7090.594
192.1263, 7094.240
192.6084, 7088.436
193.0905, 7070.824
193.5726, 7059.954
194.0548, 7079.737
194.5369, 7129.858
195.0190, 7168.742
195.5011, 7185.480
195.9832, 7183.072
196.4653, 7174.606
196.9475, 7157.523
197.4296, 7143.004
197.9117, 7147.636
198.3938, 7174.014
198.8759, 7191.246
199.3580, 7187.450
199.8402, 7164.090
200.3223, 7142.918
200.8044, 7123.302
201.2865, 7107.144
201.7686, 7097.598
202.2507, 7095.115
202.7328, 7096.387
203.2150, 7104.254
203.6971, 7119.924
204.1792, 7116.204
204.6613, 7083.971
205.1434, 7044.458
205.6255, 7038.778
206.1077, 7076.134
206.5898, 7112.896
207.0719, 7131.597
207.5540, 7130.621
208.0361, 7117.787
208.5182, 7085.638
209.0004, 7047.518
209.4825, 7036.063
209.9646, 7060.011
210.4467, 7088.461
210.9288, 7106.605
211.4109, 7112.335
211.8931, 7116.420
212.3752, 7120.624
212.8573, 7122.987
213.3394, 7114.323
213.8215, 7085.921
214.3036, 7064.495
214.7858, 7069.183
215.2679, 7110.981
215.7500, 7143.878
216.2321, 7163.193
216.7142, 7170.630
217.1963, 7173.792
217.6785, 7169.869
218.1606, 7166.238
218.6427, 7168.232
219.1248, 7177.949
219.6069, 7187.600
220.0890, 7196.002
220.5712, 7203.398
221.0533, 7213.622
221.5354, 7231.343
222.0175, 7245.432
222.4996, 7244.185
222.9817, 7215.032
223.4639, 7199.891
223.9460, 7208.980
224.4281, 7241.428
224.9102, 7268.302
225.3923, 7287.820
225.8744, 7303.836
226.3566, 7320.849
226.8387, 7344.491
227.3208, 7357.250
227.8029, 7350.861
228.2850, 7324.180
228.7671, 7314.085
229.2492, 7327.633
229.7314, 7351.022
230.2135, 7369.544
230.6956, 7380.752
231.1777, 7392.366
231.6598, 7406.235
232.1419, 7422.827
232.6241, 7438.558
233.1062, 7454.421
233.5883, 7468.661
234.0704, 7478.518
234.5525, 7482.380
235.0346, 7484.721
235.5168, 7485.048
235.9989, 7481.670
236.4810, 7487.025
236.9631, 7505.614
237.4452, 7529.768
237.9273, 7548.819
238.4095, 7561.105
238.8916, 7571.296
239.3737, 7579.374
239.8558, 7583.558
240.3379, 7594.183
240.8200, 7614.800
241.3021, 7639.618
241.7843, 7659.714
242.2664, 7672.925
242.7485, 7684.709
243.2306, 7696.907
243.7127, 7710.316
244.1948, 7721.386
244.6770, 7731.226
245.1591, 7738.109
245.6412, 7737.830
246.1233, 7724.243
246.6054, 7713.938
247.0875, 7715.554
247.5697, 7738.104
248.0518, 7740.365
248.5339, 7707.046
249.0160, 7661.476
249.4981, 7651.087
249.9802, 7696.324
250.4624, 7742.796
250.9445, 7770.280
251.4266, 7772.024
251.9087, 7774.625
252.3908, 7776.338
252.8729, 7779.751
253.3551, 7791.809
253.8372, 7818.948
254.3193, 7843.185
254.8014, 7856.846
255.2835, 7856.186
255.7656, 7855.015
256.2477, 7848.519
256.7299, 7843.912
257.2120, 7858.410
257.6941, 7898.890
258.1762, 7945.948
258.6583, 7996.765
259.1404, 8062.260
259.6226, 8096.407
260.1047, 8088.524
260.5868, 8055.398
261.0689, 8034.459
261.5510, 8028.916
262.0331, 8028.990
262.5153, 8028.681
262.9974, 8023.871
263.4795, 8036.520
263.9616, 8078.354
264.4437, 8130.816
264.9258, 8144.921
265.4080, 8105.893
265.8901, 8063.604
266.3722, 8043.515
266.8543, 8051.694
267.3364, 8052.482
267.8185, 8040.174
268.3007, 8023.584
268.7828, 8026.511
269.2649, 8057.270
269.7470, 8083.964
270.2291, 8088.512
270.7112, 8066.563
271.1934, 8048.001
271.6755, 8034.723
272.1576, 8024.441
272.6397, 8009.905
273.1218, 7987.679
273.6039, 7973.968
274.0860, 7981.710
274.5681, 8014.359
275.0503, 8034.306
275.5324, 8036.358
276.0145, 8029.623
276.4966, 8034.130
276.9787, 8052.389
277.4608, 8069.404
277.9430, 8076.813
278.4251, 8074.262
278.9072, 8069.937
279.3893, 8062.442
279.8714, 8055.959
280.3535, 8060.449
280.8357, 8077.241
281.3178, 8093.919
281.7999, 8104.611
282.2820, 8109.402
282.7641, 8110.508
283.2462, 8107.533
283.7284, 8101.928
284.2105, 8094.274
284.6926, 8084.336
285.1747, 8078.591
285.6568, 8079.345
286.1389, 8086.825
286.6211, 8106.268
287.1032, 8142.143
287.5853, 8178.956
288.0674, 8187.858
288.5495, 8170.156
289.0316, 8154.909
289.5138, 8159.819
289.9959, 8180.328
290.4780, 8196.337
290.9601, 8205.526
291.4422, 8214.563
291.9243, 8238.598
292.4065, 8274.362
292.8886, 8298.280
293.3707, 8283.938
293.8528, 8248.667
294.3349, 8244.096
294.8170, 8276.380
295.2992, 8319.619
295.7813, 8344.555
296.2634, 8353.947
296.7455, 8358.327
297.2276, 8358.513
297.7097, 8357.903
298.1919, 8364.420
298.6740, 8379.076
299.1561, 8394.735
299.6382, 8403.737
300.1203, 8407.706
300.6024, 8410.856
301.0845, 8416.438
301.5667, 8421.811
302.0488, 8422.377
302.5309, 8417.707
303.0130, 8412.902
303.4951, 8409.374
303.9772, 8409.011
304.4594, 8415.610
