##NAMES=Humboldtine
##RRUFFID=R170002
##IDEAL CHEMISTRY=Fe^2+^(C_2_)^6+^O_4_&#183;2H_2_O
##LOCALITY=Zomba, Malawi
##OWNER=RRUFF
##SOURCE=Donald Doell
##DESCRIPTION=Small yellow granular to short prismatic crystals with good cleavage, grown on aegirine. Associated with albite.
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R170002
##MEASURED CHEMISTRY=EDS analysis only revealed Fe, with some Mn and Al.
8.758203e+001, 8.942900e+002
8.806415e+001, 8.831208e+002
8.854626e+001, 8.811840e+002
8.902838e+001, 8.923412e+002
8.951050e+001, 9.065631e+002
8.999261e+001, 9.205781e+002
9.047473e+001, 9.340912e+002
9.095685e+001, 9.473904e+002
9.143896e+001, 9.605343e+002
9.192108e+001, 9.736115e+002
9.240320e+001, 9.875673e+002
9.288531e+001, 9.917510e+002
9.336743e+001, 9.784728e+002
9.384955e+001, 9.509813e+002
9.433167e+001, 9.236172e+002
9.481378e+001, 8.950233e+002
9.529590e+001, 8.700911e+002
9.577802e+001, 8.486014e+002
9.626013e+001, 8.306003e+002
9.674225e+001, 8.164110e+002
9.722437e+001, 8.054742e+002
9.770648e+001, 7.953438e+002
9.818860e+001, 7.855167e+002
9.867072e+001, 7.762154e+002
9.915283e+001, 7.673733e+002
9.963495e+001, 7.589293e+002
1.001171e+002, 7.510772e+002
1.005992e+002, 7.438932e+002
1.010813e+002, 7.363034e+002
1.015634e+002, 7.316141e+002
1.020455e+002, 7.302042e+002
1.025277e+002, 7.304355e+002
1.030098e+002, 7.309979e+002
1.034919e+002, 7.313431e+002
1.039740e+002, 7.318312e+002
1.044561e+002, 7.337289e+002
1.049382e+002, 7.392196e+002
1.054204e+002, 7.435555e+002
1.059025e+002, 7.455300e+002
1.063846e+002, 7.459987e+002
1.068667e+002, 7.463220e+002
1.073488e+002, 7.472191e+002
1.078309e+002, 7.487239e+002
1.083131e+002, 7.509340e+002
1.087952e+002, 7.542526e+002
1.092773e+002, 7.577742e+002
1.097594e+002, 7.611932e+002
1.102415e+002, 7.644676e+002
1.107236e+002, 7.672309e+002
1.112058e+002, 7.695146e+002
1.116879e+002, 7.710261e+002
1.121700e+002, 7.707863e+002
1.126521e+002, 7.689492e+002
1.131342e+002, 7.651711e+002
1.136163e+002, 7.585838e+002
1.140985e+002, 7.485081e+002
1.145806e+002, 7.368428e+002
1.150627e+002, 7.246717e+002
1.155448e+002, 7.121143e+002
1.160269e+002, 6.992385e+002
1.165090e+002, 6.860436e+002
1.169912e+002, 6.725592e+002
1.174733e+002, 6.591055e+002
1.179554e+002, 6.452793e+002
1.184375e+002, 6.318204e+002
1.189196e+002, 6.188211e+002
1.194017e+002, 6.063868e+002
1.198839e+002, 5.947736e+002
1.203660e+002, 5.844237e+002
1.208481e+002, 5.762092e+002
1.213302e+002, 5.671222e+002
1.218123e+002, 5.565297e+002
1.222944e+002, 5.456852e+002
1.227766e+002, 5.350845e+002
1.232587e+002, 5.249666e+002
1.237408e+002, 5.154164e+002
1.242229e+002, 5.066884e+002
1.247050e+002, 4.994976e+002
1.251871e+002, 4.922177e+002
1.256693e+002, 4.843964e+002
1.261514e+002, 4.765716e+002
1.266335e+002, 4.695953e+002
1.271156e+002, 4.638867e+002
1.275977e+002, 4.589874e+002
1.280798e+002, 4.535172e+002
1.285620e+002, 4.474673e+002
1.290441e+002, 4.410187e+002
1.295262e+002, 4.338613e+002
1.300083e+002, 4.262018e+002
1.304904e+002, 4.190188e+002
1.309725e+002, 4.128018e+002
1.314547e+002, 4.074764e+002
1.319368e+002, 4.027296e+002
1.324189e+002, 3.988541e+002
1.329010e+002, 3.951934e+002
1.333831e+002, 3.909320e+002
1.338652e+002, 3.858929e+002
1.343474e+002, 3.812558e+002
1.348295e+002, 3.780152e+002
1.353116e+002, 3.754198e+002
1.357937e+002, 3.726671e+002
1.362758e+002, 3.693563e+002
1.367579e+002, 3.657653e+002
1.372401e+002, 3.626546e+002
1.377222e+002, 3.603201e+002
1.382043e+002, 3.580399e+002
1.386864e+002, 3.557162e+002
1.391685e+002, 3.532562e+002
1.396507e+002, 3.504531e+002
1.401328e+002, 3.470430e+002
1.406149e+002, 3.430586e+002
1.410970e+002, 3.400005e+002
1.415791e+002, 3.386248e+002
1.420612e+002, 3.375286e+002
1.425434e+002, 3.364808e+002
1.430255e+002, 3.354257e+002
1.435076e+002, 3.343416e+002
1.439897e+002, 3.331754e+002
1.444718e+002, 3.318439e+002
1.449539e+002, 3.309724e+002
1.454361e+002, 3.308568e+002
1.459182e+002, 3.308521e+002
1.464003e+002, 3.306675e+002
1.468824e+002, 3.302462e+002
1.473645e+002, 3.296144e+002
1.478466e+002, 3.287596e+002
1.483288e+002, 3.275580e+002
1.488109e+002, 3.265771e+002
1.492930e+002, 3.257907e+002
1.497751e+002, 3.252378e+002
1.502572e+002, 3.250121e+002
1.507393e+002, 3.251543e+002
1.512215e+002, 3.254799e+002
1.517036e+002, 3.257924e+002
1.521857e+002, 3.260995e+002
1.526678e+002, 3.263229e+002
1.531499e+002, 3.264157e+002
1.536320e+002, 3.264053e+002
1.541142e+002, 3.263527e+002
