##NAMES=Rhodonite
##RRUFFID=R100038
##IDEAL CHEMISTRY=CaMn^2+^_3_Mn^2+^Si_5_O_15_
##LOCALITY=Langban, Filipstad, Varmland, Sweden
##OWNER=RRUFF
##SOURCE=William W Pinch
##DESCRIPTION=Pale red, tabular to blocky crystals associated with black langbanite R100037
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100038
221.6279, 230.0403
222.1100, 230.1354
222.5921, 230.4967
223.0743, 230.7968
223.5564, 230.9975
224.0385, 231.2138
224.5206, 231.5247
225.0027, 232.0490
225.4848, 232.3421
225.9670, 232.2061
226.4491, 231.8992
226.9312, 232.1482
227.4133, 233.2478
227.8954, 234.4236
228.3775, 235.2884
228.8597, 235.7207
229.3418, 236.1412
229.8239, 236.4491
230.3060, 236.7655
230.7881, 237.4744
231.2702, 238.8860
231.7524, 240.2184
232.2345, 241.0633
232.7166, 241.1366
233.1987, 241.4127
233.6808, 241.9711
234.1629, 242.7122
234.6451, 243.3442
235.1272, 243.6260
235.6093, 244.1622
236.0914, 245.2737
236.5735, 247.2965
237.0556, 249.1604
237.5378, 250.9143
238.0199, 252.5076
238.5020, 253.7986
238.9841, 254.7801
239.4662, 255.5025
239.9483, 255.9112
240.4305, 255.6551
240.9126, 255.9163
241.3947, 256.8787
241.8768, 258.2945
242.3589, 259.5320
242.8410, 260.3571
243.3232, 261.3478
243.8053, 262.7888
244.2874, 264.9810
244.7695, 266.8877
245.2516, 268.4286
245.7337, 269.7271
246.2159, 271.0465
246.6980, 272.3784
247.1801, 273.7538
247.6622, 275.2354
248.1443, 276.9629
248.6264, 278.4191
249.1086, 279.5684
249.5907, 280.4799
250.0728, 281.2496
250.5549, 281.6992
251.0370, 282.3060
251.5191, 283.2787
252.0013, 284.7119
252.4834, 286.2149
252.9655, 288.0605
253.4476, 289.7939
253.9297, 290.4300
254.4118, 289.3203
254.8940, 288.3048
255.3761, 288.0699
255.8582, 288.8247
