##NAMES=Uchucchacuaite
##RRUFFID=R100213
##IDEAL CHEMISTRY=Ag^1+^Mn^2+^Pb^2+^_3_Sb^3+^_5_S^2-^_12_
##LOCALITY=Uchuc-Chacua, Lima, Peru
##OWNER=RRUFF
##SOURCE=Mark N. Feinglos
##DESCRIPTION=Bright silver metallic massive, associated with quartz
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R100213
##MEASURED CHEMISTRY=Ag_0.99_(Mn_0.92_Pb_0.03_Sb_0.02_Bi_0.01_)_Σ=0.98_Pb_3.00_Sb_5.00_S_12.00_ ; (Note: bright phase is galena, PbS)
179.7447, 92.16305
180.2268, 92.05779
180.7090, 91.79410
181.1911, 91.14188
181.6732, 89.33469
182.1553, 84.00271
182.6374, 77.54003
183.1195, 76.26867
183.6017, 81.09612
184.0838, 86.54015
184.5659, 84.83278
185.0480, 77.46986
185.5301, 71.96259
186.0123, 73.34896
186.4944, 79.53423
186.9765, 83.95935
187.4586, 86.28806
187.9407, 87.44682
188.4228, 89.15276
188.9050, 91.23035
189.3871, 91.71651
189.8692, 87.93806
190.3513, 81.15459
190.8334, 77.97158
191.3155, 79.17431
191.7977, 82.79634
192.2798, 86.61742
192.7619, 90.64504
193.2440, 93.18559
193.7261, 92.67119
194.2082, 89.41045
194.6904, 87.00428
195.1725, 85.75265
195.6546, 85.17421
196.1367, 84.47243
196.6188, 83.63149
197.1009, 82.83325
197.5831, 81.64863
198.0652, 80.07150
198.5473, 80.99386
199.0294, 85.46868
199.5115, 91.24048
199.9937, 93.39058
200.4758, 91.45708
200.9579, 88.79771
201.4400, 87.26384
201.9221, 86.95732
202.4042, 86.33829
202.8864, 85.34509
203.3685, 83.97173
203.8506, 81.45096
204.3327, 76.99686
204.8148, 74.61576
205.2969, 77.72775
205.7791, 87.50676
206.2612, 94.14867
206.7433, 96.72411
207.2254, 96.15401
207.7075, 94.24834
208.1896, 90.34846
208.6718, 87.01405
209.1539, 85.50654
209.6360, 85.89693
210.1181, 87.99689
210.6002, 92.56494
211.0823, 98.41458
211.5645, 102.1862
212.0466, 103.5384
212.5287, 103.6610
213.0108, 102.8564
213.4929, 100.6181
213.9750, 99.54916
214.4572, 100.3458
214.9393, 102.1772
215.4214, 102.3491
215.9035, 99.93185
216.3856, 97.74412
216.8678, 97.69280
217.3499, 100.9234
217.8320, 102.3158
218.3141, 100.6088
218.7962, 97.19930
219.2783, 96.79379
219.7605, 100.8548
220.2426, 105.2549
220.7247, 108.0921
221.2068, 109.7322
221.6889, 108.4071
222.1710, 102.1970
222.6532, 93.40518
223.1353, 90.00951
223.6174, 95.15530
224.0995, 100.3829
224.5816, 100.7943
225.0637, 92.93718
225.5459, 89.41808
226.0280, 92.83814
226.5101, 100.3498
226.9922, 102.8151
227.4743, 97.50746
227.9564, 91.49929
228.4386, 88.01340
228.9207, 87.51048
229.4028, 88.76894
229.8849, 93.13060
230.3670, 98.90357
230.8492, 101.0501
231.3313, 96.98363
231.8134, 93.17696
232.2955, 92.85774
232.7776, 98.29517
233.2597, 101.9820
233.7419, 103.6754
234.2240, 103.6564
234.7061, 102.4183
235.1882, 99.07156
235.6703, 95.87173
236.1524, 93.67011
236.6346, 92.40958
237.1167, 92.50669
237.5988, 95.11331
238.0809, 98.66856
238.5630, 99.25809
239.0451, 94.77470
239.5273, 90.48536
240.0094, 88.77924
240.4915, 91.26108
240.9736, 92.05949
241.4557, 90.47816
241.9378, 87.53060
242.4200, 85.19478
242.9021, 83.08372
243.3842, 82.15849
243.8663, 83.00525
244.3484, 86.41570
244.8306, 89.24753
245.3127, 91.39877
245.7948, 93.00452
246.2769, 94.34437
246.7590, 95.67718
247.2411, 96.27888
247.7233, 95.71655
248.2054, 93.53346
248.6875, 91.91752
249.1696, 91.13870
249.6517, 90.76078
250.1338, 89.87686
250.6160, 87.43221
251.0981, 86.43913
251.5802, 88.61317
252.0623, 95.26105
252.5444, 97.98271
253.0265, 94.23210
253.5087, 88.62668
253.9908, 88.37558
254.4729, 96.98277
254.9550, 103.7622
255.4371, 104.9100
255.9192, 99.38410
256.4014, 96.87276
256.8835, 98.83045
257.3656, 102.3632
257.8477, 103.9996
258.3298, 103.1531
258.8120, 101.6352
259.2941, 99.26582
259.7762, 95.83095
260.2583, 95.48585
260.7404, 99.58477
261.2225, 105.0856
261.7047, 109.1218
262.1868, 111.9485
262.6689, 112.5188
263.1510, 109.8785
263.6331, 104.1751
264.1152, 99.99178
264.5974, 97.49905
265.0795, 96.31604
265.5616, 96.37246
266.0437, 98.12425
266.5258, 99.66103
267.0079, 100.8435
267.4901, 101.5956
267.9722, 100.8684
268.4543, 97.98367
268.9364, 94.96620
269.4185, 93.63699
269.9006, 94.45865
270.3828, 94.86547
270.8649, 94.09976
271.3470, 92.65697
271.8291, 92.82827
272.3112, 94.72590
272.7933, 97.96213
273.2755, 103.2877
273.7576, 111.5594
274.2397, 115.8740
274.7218, 114.4343
275.2039, 109.0495
275.6860, 104.9187
276.1682, 101.9906
276.6503, 100.3622
277.1324, 100.5576
277.6145, 102.7627
278.0966, 104.1851
278.5787, 104.3415
279.0609, 103.9238
279.5430, 104.9046
280.0251, 107.6650
280.5072, 109.4484
280.9893, 108.0091
281.4715, 103.3848
281.9536, 100.5333
282.4357, 99.99197
282.9178, 100.6381
283.3999, 100.5587
283.8820, 99.70532
284.3642, 98.96961
284.8463, 99.32993
