##NAMES=Salammoniac
##RRUFFID=R060521
##IDEAL CHEMISTRY=N^3-^H_4_Cl
##LOCALITY=Tien-Shan Mountains, Tadzhikistan, U.S.S.R
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=White dendritic
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R060521
##MEASURED CHEMISTRY=NH_4_Cl_1.00_ ; N, H not measured but estimated by stoichiometry
120.9690, 1963.763
121.4511, 1979.435
121.9333, 1996.198
122.4154, 2013.623
122.8975, 2032.793
123.3796, 2054.372
123.8617, 2078.411
124.3438, 2104.700
124.8260, 2134.171
125.3081, 2165.395
125.7902, 2197.503
126.2723, 2229.840
126.7544, 2262.927
127.2365, 2297.472
127.7187, 2333.552
128.2008, 2371.517
128.6829, 2410.951
129.1650, 2452.200
129.6471, 2495.830
130.1292, 2542.635
130.6114, 2592.310
131.0935, 2640.096
131.5756, 2683.845
132.0577, 2728.041
132.5398, 2774.262
133.0219, 2821.955
133.5041, 2869.217
133.9862, 2914.558
134.4683, 2957.909
134.9504, 3000.619
135.4325, 3044.783
135.9146, 3086.950
136.3968, 3125.080
136.8789, 3158.969
137.3610, 3189.580
137.8431, 3217.548
138.3252, 3242.852
138.8073, 3264.279
139.2895, 3280.886
139.7716, 3293.973
140.2537, 3305.355
140.7358, 3315.641
141.2179, 3323.097
141.7000, 3324.633
142.1821, 3320.954
142.6643, 3315.052
143.1464, 3308.188
143.6285, 3300.086
144.1106, 3289.699
144.5927, 3276.615
145.0748, 3261.020
145.5570, 3242.981
146.0391, 3222.573
146.5212, 3201.656
147.0033, 3182.275
147.4854, 3164.720
147.9675, 3145.530
148.4497, 3122.117
148.9318, 3097.814
149.4139, 3074.053
149.8960, 3051.288
150.3781, 3029.230
150.8602, 3007.782
151.3424, 2986.953
151.8245, 2966.365
152.3066, 2945.312
152.7887, 2924.720
153.2708, 2905.173
153.7529, 2886.998
154.2351, 2869.934
154.7172, 2853.353
155.1993, 2835.551
155.6814, 2820.723
156.1635, 2810.661
156.6456, 2803.136
157.1278, 2795.567
157.6099, 2786.630
158.0920, 2776.845
158.5741, 2768.510
159.0562, 2761.909
159.5383, 2756.133
160.0205, 2750.481
160.5026, 2745.463
160.9847, 2742.407
161.4668, 2742.366
161.9489, 2744.824
162.4310, 2746.965
162.9131, 2749.268
163.3953, 2750.863
163.8774, 2750.710
164.3595, 2749.004
164.8416, 2747.770
165.3237, 2749.261
165.8058, 2751.802
166.2880, 2751.619
166.7701, 2747.323
167.2522, 2740.921
167.7343, 2734.921
168.2164, 2729.743
168.6985, 2723.013
169.1807, 2713.351
169.6628, 2701.385
170.1449, 2687.424
170.6270, 2671.841
171.1091, 2654.236
171.5912, 2633.739
172.0734, 2610.366
172.5555, 2583.588
173.0376, 2552.610
173.5197, 2518.761
174.0018, 2483.688
174.4839, 2448.512
174.9661, 2413.016
175.4482, 2376.215
175.9303, 2337.180
176.4124, 2297.673
176.8945, 2257.133
177.3766, 2216.561
177.8588, 2178.023
178.3409, 2142.975
178.8230, 2111.376
179.3051, 2080.091
179.7872, 2048.795
180.2693, 2018.063
180.7515, 1987.852
181.2336, 1958.328
181.7157, 1930.161
182.1978, 1903.924
182.6799, 1879.768
183.1620, 1856.361
183.6441, 1832.869
184.1263, 1810.611
184.6084, 1790.810
185.0905, 1773.198
185.5726, 1756.202
186.0547, 1738.390
186.5368, 1719.572
187.0190, 1702.135
187.5011, 1686.740
187.9832, 1672.330
188.4653, 1658.231
188.9474, 1644.417
189.4296, 1630.993
189.9117, 1618.252
190.3938, 1606.214
190.8759, 1593.831
191.3580, 1579.949
191.8401, 1566.217
192.3223, 1555.010
192.8044, 1547.023
193.2865, 1539.206
193.7686, 1528.057
194.2507, 1514.519
194.7328, 1501.266
195.2150, 1489.287
195.6971, 1478.063
196.1792, 1466.576
196.6613, 1454.774
197.1434, 1442.614
197.6255, 1430.019
198.1077, 1417.011
198.5898, 1403.867
199.0719, 1390.593
199.5540, 1377.196
200.0361, 1363.949
200.5182, 1351.318
201.0004, 1338.051
201.4825, 1323.353
201.9646, 1307.617
202.4467, 1291.988
202.9288, 1277.456
203.4109, 1263.902
203.8930, 1249.628
204.3752, 1233.402
204.8573, 1217.837
205.3394, 1204.892
205.8215, 1193.599
206.3036, 1181.459
206.7857, 1166.133
207.2679, 1147.386
207.7500, 1130.071
208.2321, 1115.357
208.7142, 1101.081
209.1963, 1086.641
209.6784, 1072.106
210.1606, 1057.891
210.6427, 1044.387
211.1248, 1031.780
211.6069, 1018.942
212.0890, 1005.320
212.5711, 992.0245
213.0533, 979.6339
213.5354, 968.0153
214.0175, 956.4244
214.4996, 944.1125
214.9817, 930.8007
215.4638, 918.7440
215.9460, 908.8968
216.4281, 899.1361
216.9102, 887.9034
217.3923, 875.5349
217.8744, 863.6952
218.3565, 854.1348
218.8387, 847.2486
219.3208, 839.1623
219.8029, 828.8718
220.2850, 818.3154
220.7671, 808.6100
221.2492, 799.7967
221.7314, 791.3161
222.2135, 782.6636
222.6956, 773.8478
223.1777, 765.5428
223.6598, 758.1279
224.1419, 750.9257
224.6240, 743.3535
225.1062, 735.3951
225.5883, 727.7142
226.0704, 721.0823
226.5525, 715.3284
227.0346, 708.8398
227.5167, 700.6613
227.9989, 692.2572
228.4810, 685.1691
228.9631, 679.5094
229.4452, 674.1501
229.9273, 668.4079
230.4094, 662.3731
230.8916, 656.2603
231.3737, 649.8760
231.8558, 643.5742
232.3379, 637.7717
232.8200, 632.5007
233.3021, 627.5099
233.7843, 622.8235
234.2664, 618.2675
234.7485, 613.5637
235.2306, 608.5830
235.7127, 603.4749
236.1948, 598.4053
236.6770, 593.3477
237.1591, 588.3170
237.6412, 583.1487
238.1233, 578.0426
238.6054, 573.2344
239.0875, 568.8759
239.5697, 564.7283
240.0518, 560.3726
240.5339, 555.6306
241.0160, 551.2037
241.4981, 547.7955
241.9802, 544.6375
242.4624, 540.9288
242.9445, 536.3187
243.4266, 531.3331
243.9087, 526.8802
244.3908, 523.1249
244.8729, 519.4809
245.3550, 515.6133
245.8372, 511.8667
246.3193, 508.6309
246.8014, 506.0523
247.2835, 503.7711
247.7656, 501.1620
248.2477, 498.2232
248.7299, 494.9286
249.2120, 490.8997
249.6941, 486.7923
250.1762, 483.1000
250.6583, 479.9695
251.1404, 477.2479
251.6226, 474.7281
252.1047, 472.6681
252.5868, 470.2370
253.0689, 467.1593
253.5510, 463.8868
254.0331, 460.6293
254.5153, 457.4818
254.9974, 454.5237
255.4795, 451.8812
255.9616, 449.7052
256.4437, 447.5614
256.9258, 445.4639
257.4080, 443.3761
257.8901, 441.2072
258.3722, 438.9749
258.8543, 436.8208
259.3364, 434.9689
259.8185, 433.6244
260.3007, 432.0591
260.7828, 429.9759
261.2649, 427.9300
