##NAMES=Salammoniac
##RRUFFID=R061022
##IDEAL CHEMISTRY=N^3-^H_4_Cl
##LOCALITY=Schoeller mine, Kladno, Bohemia, Czech Republic
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=A crust of colorless tabular crystals
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R061022
##MEASURED CHEMISTRY=NH_4_Cl_1.00_ ; N, H not measured but estimated by stoichiometry
118.8382, 2166.206
119.3203, 2169.236
119.8024, 2177.511
120.2845, 2190.534
120.7667, 2206.516
121.2488, 2224.627
121.7309, 2245.094
122.2130, 2267.126
122.6951, 2291.511
123.1772, 2316.827
123.6594, 2341.110
124.1415, 2364.030
124.6236, 2388.577
125.1057, 2417.272
125.5878, 2449.388
126.0699, 2484.458
126.5521, 2523.579
127.0342, 2565.703
127.5163, 2608.618
127.9984, 2652.254
128.4805, 2696.628
128.9626, 2741.824
129.4448, 2787.823
129.9269, 2834.184
130.4090, 2881.206
130.8911, 2928.935
131.3732, 2975.653
131.8553, 3020.836
132.3375, 3065.459
132.8196, 3110.648
133.3017, 3155.867
133.7838, 3199.109
134.2659, 3237.888
134.7480, 3270.920
135.2302, 3302.004
135.7123, 3332.265
136.1944, 3360.067
136.6765, 3384.427
137.1586, 3405.079
137.6407, 3422.041
138.1229, 3435.530
138.6050, 3445.223
139.0871, 3451.143
139.5692, 3453.254
140.0513, 3451.562
140.5334, 3445.613
141.0156, 3434.793
141.4977, 3420.678
141.9798, 3406.630
142.4619, 3393.380
142.9440, 3378.459
143.4261, 3360.078
143.9083, 3338.915
144.3904, 3317.625
144.8725, 3297.814
145.3546, 3277.822
145.8367, 3255.317
146.3188, 3229.489
146.8010, 3202.759
147.2831, 3177.109
147.7652, 3152.604
148.2473, 3128.631
148.7294, 3105.196
149.2115, 3082.083
149.6937, 3058.965
150.1758, 3035.532
150.6579, 3012.628
151.1400, 2991.575
151.6221, 2972.873
152.1042, 2955.496
152.5864, 2938.800
153.0685, 2923.189
153.5506, 2909.353
154.0327, 2897.629
154.5148, 2887.697
154.9969, 2877.929
155.4791, 2868.001
155.9612, 2858.708
156.4433, 2849.734
156.9254, 2841.521
157.4075, 2834.708
157.8896, 2829.679
158.3718, 2826.426
158.8539, 2825.137
159.3360, 2826.306
159.8181, 2828.570
160.3002, 2831.966
160.7823, 2836.186
161.2645, 2840.614
161.7466, 2844.815
162.2287, 2848.771
162.7108, 2852.574
163.1929, 2856.680
163.6750, 2860.316
164.1572, 2863.284
164.6393, 2865.503
165.1214, 2866.515
165.6035, 2866.002
166.0856, 2863.807
166.5677, 2859.638
167.0499, 2853.257
167.5320, 2844.954
168.0141, 2835.557
168.4962, 2825.476
168.9783, 2812.559
169.4604, 2794.366
169.9426, 2772.054
170.4247, 2747.108
170.9068, 2719.984
171.3889, 2690.586
171.8710, 2658.273
172.3531, 2622.109
172.8353, 2584.293
173.3174, 2546.367
173.7995, 2507.956
174.2816, 2468.839
174.7637, 2427.890
175.2458, 2385.241
175.7280, 2344.685
176.2101, 2306.638
176.6922, 2270.436
177.1743, 2235.810
177.6564, 2202.837
178.1385, 2171.323
178.6207, 2141.478
179.1028, 2113.590
179.5849, 2085.856
180.0670, 2057.263
180.5491, 2029.839
181.0313, 2004.389
181.5134, 1980.853
181.9955, 1959.019
182.4776, 1938.552
182.9597, 1919.715
183.4418, 1901.690
183.9240, 1883.963
184.4061, 1867.228
184.8882, 1852.430
185.3703, 1839.402
185.8524, 1826.695
186.3345, 1812.479
186.8167, 1795.798
187.2988, 1780.511
187.7809, 1766.539
188.2630, 1753.776
188.7451, 1742.496
189.2272, 1732.656
189.7094, 1723.499
190.1915, 1714.135
190.6736, 1704.606
191.1557, 1694.461
191.6378, 1683.229
192.1199, 1671.472
192.6021, 1659.722
193.0842, 1648.087
193.5663, 1636.678
194.0484, 1626.160
194.5305, 1616.458
195.0126, 1606.242
195.4948, 1595.218
195.9769, 1583.408
196.4590, 1570.539
196.9411, 1556.155
197.4232, 1541.541
197.9053, 1528.210
198.3875, 1515.992
198.8696, 1503.708
199.3517, 1490.528
199.8338, 1476.767
200.3159, 1463.695
200.7980, 1452.217
201.2802, 1440.550
201.7623, 1427.250
202.2444, 1412.587
202.7265, 1397.758
203.2086, 1383.710
203.6907, 1370.480
204.1729, 1357.309
204.6550, 1344.838
205.1371, 1331.831
205.6192, 1317.090
206.1013, 1300.999
206.5834, 1285.293
207.0656, 1272.184
207.5477, 1262.278
208.0298, 1250.776
208.5119, 1235.542
208.9940, 1220.355
209.4761, 1206.742
209.9583, 1194.667
210.4404, 1183.115
210.9225, 1170.835
211.4046, 1157.387
211.8867, 1145.130
212.3689, 1134.923
212.8510, 1125.020
213.3331, 1114.675
213.8152, 1103.830
214.2973, 1092.868
214.7794, 1082.248
215.2616, 1071.939
215.7437, 1062.064
216.2258, 1052.568
216.7079, 1043.497
217.1900, 1034.937
217.6721, 1026.873
218.1543, 1019.047
218.6364, 1011.264
219.1185, 1003.621
219.6006, 995.6218
220.0827, 986.7472
220.5648, 977.9578
221.0470, 969.9265
221.5291, 962.7474
222.0112, 956.0544
222.4933, 949.5566
222.9754, 943.3525
223.4575, 936.8340
223.9397, 929.7849
224.4218, 922.6284
224.9039, 915.5956
225.3860, 908.7635
225.8681, 902.2482
226.3502, 896.3018
226.8324, 890.9526
227.3145, 885.3384
227.7966, 878.8737
228.2787, 872.4180
228.7608, 866.8801
229.2429, 862.3777
229.7251, 858.0983
230.2072, 853.3007
230.6893, 848.0754
231.1714, 842.9431
231.6535, 838.4540
232.1356, 833.8631
232.6178, 827.8815
233.0999, 820.1680
233.5820, 812.8072
234.0641, 807.9285
234.5462, 804.6721
235.0283, 801.1895
235.5105, 796.8438
235.9926, 792.0892
236.4747, 787.5603
236.9568, 783.3304
237.4389, 779.1500
237.9210, 774.8334
238.4032, 770.4963
238.8853, 766.3272
239.3674, 762.4015
239.8495, 758.7004
240.3316, 755.2264
240.8137, 752.1292
241.2959, 748.8619
241.7780, 744.9841
242.2601, 740.8241
242.7422, 736.6868
243.2243, 732.6139
243.7064, 728.7423
244.1886, 725.3697
244.6707, 722.6945
245.1528, 720.0499
245.6349, 717.3076
246.1170, 714.4330
246.5991, 711.2885
247.0813, 707.7569
247.5634, 704.1424
248.0455, 701.1448
248.5276, 699.3022
249.0097, 696.8646
249.4918, 693.0648
249.9740, 688.7308
250.4561, 684.3957
250.9382, 680.2410
251.4203, 676.4705
251.9024, 673.5098
252.3845, 671.6145
252.8667, 670.0181
253.3488, 668.9969
253.8309, 667.9385
254.3130, 666.2087
254.7951, 663.6410
255.2772, 660.7590
255.7594, 658.5497
256.2415, 657.4401
256.7236, 656.1125
257.2057, 654.2348
257.6878, 652.2916
258.1699, 650.7585
258.6520, 649.7050
259.1342, 648.6865
259.6163, 646.8929
260.0984, 643.4111
260.5805, 641.1159
261.0626, 640.7457
261.5447, 640.8058
262.0269, 640.4033
262.5090, 639.3450
262.9911, 637.9008
263.4732, 636.4288
263.9553, 634.9833
264.4374, 633.3259
264.9196, 630.9146
265.4017, 628.7482
265.8838, 627.8418
266.3659, 628.0198
266.8480, 627.9702
267.3301, 626.0861
267.8123, 621.5744
268.2944, 618.6424
268.7765, 617.9323
269.2586, 617.8861
269.7407, 618.1815
270.2228, 618.5111
270.7050, 618.2201
271.1871, 616.5972
271.6692, 613.4218
272.1513, 611.0009
272.6334, 609.2921
273.1155, 608.1689
273.5977, 607.9240
274.0798, 608.2797
274.5619, 608.4822
275.0440, 607.9379
275.5261, 606.6605
276.0082, 605.6360
276.4904, 605.2130
276.9725, 604.6287
277.4546, 603.3058
277.9367, 601.5814
278.4188, 600.3682
278.9009, 600.3492
279.3831, 601.2183
279.8652, 600.9384
280.3473, 598.4001
280.8294, 596.2200
281.3115, 595.3363
281.7936, 595.2990
282.2758, 595.2732
282.7579, 594.8718
283.2400, 594.1937
283.7221, 593.5262
284.2042, 592.9744
284.6863, 592.2868
285.1685, 591.2541
285.6506, 590.0922
286.1327, 589.1469
286.6148, 588.5557
287.0969, 588.1628
287.5790, 587.6552
288.0612, 586.9086
288.5433, 586.3562
289.0254, 586.3932
289.5075, 586.5354
289.9896, 586.0880
290.4717, 584.8485
290.9539, 583.3329
291.4360, 582.2087
291.9181, 581.5309
292.4002, 581.0176
292.8823, 580.8168
293.3644, 580.6738
293.8466, 580.2829
294.3287, 579.5963
294.8108, 578.8849
295.2929, 578.3984
295.7750, 578.1600
296.2571, 578.0297
296.7393, 578.0336
297.2214, 578.1182
297.7035, 578.3889
298.1856, 578.8014
298.6677, 578.8900
299.1498, 578.1345
299.6320, 576.6572
300.1141, 575.8832
300.5962, 576.5208
301.0783, 577.2141
301.5604, 577.1436
302.0425, 576.4003
302.5247, 575.4660
303.0068, 574.6034
303.4889, 573.7562
303.9710, 572.6956
304.4531, 570.9713
304.9352, 569.6594
305.4174, 569.5205
305.8995, 570.1957
306.3816, 570.7933
306.8637, 571.0258
307.3458, 570.8640
307.8279, 570.1307
308.3101, 568.6456
308.7922, 567.2803
309.2743, 566.3570
309.7564, 565.7198
310.2385, 565.1108
310.7206, 564.4509
311.2028, 563.8040
311.6849, 563.3034
312.1670, 562.9752
312.6491, 562.4824
313.1312, 561.6263
313.6133, 560.6233
314.0955, 559.6611
314.5776, 558.7619
315.0597, 558.1091
315.5418, 558.0813
316.0239, 558.6419
316.5060, 558.6016
316.9882, 557.4216
317.4703, 555.9196
317.9524, 554.6682
318.4345, 553.7106
318.9166, 553.0386
319.3987, 552.7462
319.8809, 552.7565
320.3630, 552.5638
320.8451, 551.9709
321.3272, 551.3723
321.8093, 551.1676
322.2914, 551.1896
322.7736, 550.7527
323.2557, 549.3658
323.7378, 547.4932
324.2199, 546.3900
324.7020, 546.3943
325.1841, 546.3721
325.6663, 545.9091
326.1484, 545.1522
326.6305, 544.3583
327.1126, 543.5910
327.5947, 542.8710
328.0768, 542.2177
328.5590, 541.6109
329.0411, 541.1404
329.5232, 541.1183
330.0053, 541.1053
330.4874, 540.4117
330.9695, 538.9106
331.4517, 537.4028
331.9338, 536.7815
332.4159, 537.1533
332.8980, 537.2336
333.3801, 536.6207
333.8622, 535.9777
334.3444, 535.9989
334.8265, 536.5876
335.3086, 536.8490
335.7907, 536.0413
336.2729, 534.3384
336.7550, 533.2056
