##NAMES=Fluorcalciomicrolite
##RRUFFID=R070365
##IDEAL CHEMISTRY=(Ca,Na)_2_Ta^5+^_2_O_6_F
##LOCALITY=Ponte da Raiz mine, Minas Gerais, Southeast Brazil
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Brown octahedron associated with albite
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R070365
##MEASURED CHEMISTRY=(Ca_0.80_Sr_0.07_Pb_0.02_Na_0.84_U_0.22_)(Ta_1.62_Nb_0.19_Ti_0.18_Sn_0.01_)_2_O_6_(F_0.46_O_0.42_) ; bright area, (Ca_0.84_Na_0.23_U_0.23_Sr_0.08_Pb_0.02_)(Ta_1.60_Ti_0.21_Nb_0.19_)_2_O_6_(F_0.32_O_0.25_) = dark area
124.5917, 2398.319
125.0739, 2539.074
125.5560, 2694.114
126.0381, 2861.830
126.5202, 3042.200
127.0023, 3234.708
127.4844, 3440.222
127.9666, 3666.011
128.4487, 3911.842
128.9308, 4160.077
129.4129, 4385.241
129.8950, 4595.104
130.3772, 4818.208
130.8593, 5071.543
131.3414, 5345.659
131.8235, 5606.713
132.3056, 5850.096
132.7877, 6089.613
133.2699, 6340.255
133.7520, 6603.419
134.2341, 6871.628
134.7162, 7140.478
135.1983, 7411.090
135.6804, 7690.029
136.1626, 7974.608
136.6447, 8266.680
137.1268, 8576.134
137.6089, 8909.460
138.0910, 9229.091
138.5731, 9504.876
139.0553, 9731.472
139.5374, 9955.552
140.0195, 10180.44
140.5016, 10404.17
140.9837, 10608.31
141.4658, 10786.78
141.9480, 10958.34
142.4301, 11135.93
142.9122, 11328.91
143.3943, 11507.00
143.8764, 11665.20
144.3585, 11802.57
144.8407, 11940.54
145.3228, 12081.58
145.8049, 12220.40
146.2870, 12350.94
146.7691, 12469.86
147.2512, 12582.76
147.7334, 12688.48
148.2155, 12786.77
148.6976, 12883.23
149.1797, 12959.23
149.6618, 13039.10
150.1439, 13153.94
150.6261, 13345.39
151.1082, 13533.12
151.5903, 13693.83
152.0724, 13812.79
152.5545, 13935.76
153.0366, 14062.12
153.5188, 14194.15
154.0009, 14335.73
154.4830, 14504.71
154.9651, 14671.96
155.4472, 14826.85
155.9293, 14969.06
156.4115, 15096.49
156.8936, 15201.73
157.3757, 15290.37
157.8578, 15383.49
158.3399, 15507.62
158.8221, 15626.20
159.3042, 15716.57
159.7863, 15750.75
160.2684, 15777.87
160.7505, 15806.85
161.2326, 15839.26
161.7148, 15885.53
162.1969, 15972.12
162.6790, 16066.58
163.1611, 16136.56
163.6432, 16159.22
164.1253, 16165.35
164.6075, 16158.21
165.0896, 16137.49
165.5717, 16141.76
166.0538, 16213.58
166.5359, 16320.47
167.0180, 16415.97
167.5002, 16467.26
167.9823, 16509.20
168.4644, 16574.91
168.9465, 16671.78
169.4286, 16757.66
169.9107, 16788.86
170.3929, 16785.54
170.8750, 16790.96
171.3571, 16841.08
171.8392, 16905.02
172.3213, 16946.68
172.8034, 16955.72
173.2856, 16960.32
173.7677, 16988.07
174.2498, 17033.92
174.7319, 17079.90
175.2140, 17116.67
175.6961, 17146.46
176.1783, 17171.89
176.6604, 17192.07
177.1425, 17209.98
