##NAMES=Parisite-(Ce)
##RRUFFID=R120061
##IDEAL CHEMISTRY=CaCe_2_(CO_3_)_3_F_2_
##LOCALITY=Snowbird mine, Fish Creek, Alberton, Mineral County, Montana, USA
##OWNER=RRUFF
##SOURCE=Donald Doell
##DESCRIPTION=Brown hexagonal prismatic crystals, associated with white quartz
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R120061
1.859513e+002, 1.177060e+002
1.864334e+002, 1.202925e+002
1.869155e+002, 1.223176e+002
1.873976e+002, 1.239261e+002
1.878798e+002, 1.256183e+002
1.883619e+002, 1.274076e+002
1.888440e+002, 1.292690e+002
1.893261e+002, 1.311301e+002
1.898082e+002, 1.330083e+002
1.902903e+002, 1.349306e+002
1.907725e+002, 1.370693e+002
1.912546e+002, 1.393516e+002
1.917367e+002, 1.411221e+002
1.922188e+002, 1.422942e+002
1.927009e+002, 1.431414e+002
1.931830e+002, 1.440291e+002
1.936652e+002, 1.449527e+002
1.941473e+002, 1.459310e+002
1.946294e+002, 1.469358e+002
1.951115e+002, 1.479744e+002
1.955936e+002, 1.492418e+002
1.960757e+002, 1.508766e+002
1.965579e+002, 1.525255e+002
1.970400e+002, 1.534075e+002
1.975221e+002, 1.534618e+002
1.980042e+002, 1.534279e+002
1.984863e+002, 1.536881e+002
1.989684e+002, 1.542429e+002
1.994506e+002, 1.549314e+002
1.999327e+002, 1.557559e+002
2.004148e+002, 1.566809e+002
2.008969e+002, 1.577253e+002
2.013790e+002, 1.589771e+002
2.018611e+002, 1.599466e+002
2.023433e+002, 1.601208e+002
2.028254e+002, 1.593816e+002
2.033075e+002, 1.593105e+002
2.037896e+002, 1.601441e+002
2.042717e+002, 1.615957e+002
2.047538e+002, 1.629694e+002
2.052360e+002, 1.642479e+002
2.057181e+002, 1.655041e+002
2.062002e+002, 1.668491e+002
2.066823e+002, 1.683455e+002
2.071644e+002, 1.694761e+002
2.076465e+002, 1.700916e+002
2.081287e+002, 1.703706e+002
2.086108e+002, 1.708901e+002
2.090929e+002, 1.717308e+002
2.095750e+002, 1.725865e+002
