##NAMES=Clausthalite
##RRUFFID=R070169
##IDEAL CHEMISTRY=Pb^2+^Se^2-^
##LOCALITY=Colquechaca, Chayanta Province, Potosí Department, Bolivia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Silver gray with a hint of blue, foliated massive
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R070169
319.8865, 1415.932
320.3686, 1410.656
320.8507, 1403.901
321.3329, 1396.496
321.8150, 1388.511
322.2971, 1382.922
322.7792, 1380.910
323.2613, 1381.229
323.7434, 1382.862
324.2256, 1388.524
324.7077, 1392.474
325.1898, 1391.787
325.6719, 1386.632
326.1540, 1386.154
326.6361, 1396.697
327.1183, 1408.449
327.6004, 1415.027
328.0825, 1408.439
328.5646, 1406.446
329.0467, 1413.660
329.5288, 1428.384
330.0110, 1436.021
330.4931, 1431.173
330.9752, 1424.501
331.4573, 1422.250
331.9394, 1427.414
332.4215, 1431.509
332.9037, 1433.916
333.3858, 1434.889
333.8679, 1435.172
334.3500, 1433.600
334.8321, 1433.203
335.3142, 1436.754
335.7964, 1447.714
336.2785, 1451.387
336.7606, 1444.831
337.2427, 1432.082
337.7248, 1422.548
338.2069, 1415.558
338.6891, 1413.827
339.1712, 1420.371
339.6533, 1436.281
340.1354, 1450.113
340.6175, 1461.987
341.0996, 1471.006
341.5818, 1475.038
342.0639, 1473.863
342.5460, 1470.001
343.0281, 1463.957
343.5102, 1455.914
343.9923, 1446.097
344.4745, 1433.465
344.9566, 1422.910
345.4387, 1422.250
345.9208, 1430.687
346.4029, 1440.957
346.8850, 1453.675
347.3672, 1465.796
347.8493, 1464.863
348.3314, 1449.826
348.8135, 1434.695
349.2956, 1436.203
349.7777, 1449.811
350.2599, 1461.713
350.7419, 1467.628
351.2241, 1469.034
351.7062, 1465.744
352.1883, 1458.206
352.6704, 1453.290
353.1525, 1459.503
353.6346, 1471.411
354.1168, 1480.578
354.5989, 1485.316
355.0810, 1485.563
355.5631, 1477.000
356.0452, 1462.003
356.5273, 1452.070
357.0095, 1460.728
357.4916, 1474.710
357.9737, 1479.644
358.4558, 1465.479
358.9379, 1454.354
359.4200, 1462.071
359.9022, 1482.514
360.3843, 1499.583
360.8664, 1504.443
361.3485, 1505.464
361.8306, 1507.615
362.3127, 1512.448
362.7949, 1516.323
363.2770, 1517.418
363.7591, 1516.987
364.2412, 1517.137
364.7233, 1517.287
365.2054, 1519.022
365.6876, 1524.794
366.1697, 1537.875
366.6518, 1542.785
367.1339, 1528.999
367.6160, 1509.563
368.0981, 1499.584
368.5803, 1511.229
369.0624, 1518.832
369.5445, 1513.482
370.0266, 1493.463
370.5087, 1489.619
370.9908, 1515.864
371.4730, 1545.876
371.9551, 1556.608
372.4372, 1536.250
372.9193, 1521.078
373.4014, 1517.267
373.8835, 1523.097
374.3657, 1528.730
374.8478, 1534.947
375.3299, 1539.211
375.8120, 1538.506
376.2941, 1531.478
376.7762, 1528.724
377.2584, 1533.360
377.7405, 1540.935
378.2226, 1537.935
378.7047, 1522.755
379.1868, 1510.774
379.6689, 1514.471
380.1511, 1531.383
380.6332, 1538.111
381.1153, 1531.263
381.5974, 1520.146
382.0795, 1519.868
382.5616, 1528.672
383.0438, 1535.142
383.5259, 1529.985
384.0080, 1519.511
384.4901, 1518.486
384.9722, 1527.630
385.4543, 1539.379
385.9364, 1549.885
386.4185, 1557.802
386.9007, 1560.306
387.3828, 1552.755
387.8649, 1542.010
388.3470, 1533.878
388.8291, 1528.406
389.3112, 1525.772
389.7934, 1527.681
390.2755, 1531.923
390.7576, 1536.143
391.2397, 1539.065
391.7218, 1542.838
392.2039, 1550.350
392.6861, 1559.967
393.1682, 1566.615
393.6503, 1566.580
394.1324, 1564.249
394.6145, 1562.103
395.0966, 1560.910
395.5788, 1558.972
396.0609, 1554.648
396.5430, 1549.545
397.0251, 1546.372
397.5072, 1548.123
397.9893, 1549.373
398.4715, 1547.415
398.9536, 1540.459
399.4357, 1539.021
399.9178, 1548.303
400.3999, 1559.796
400.8820, 1564.579
401.3642, 1556.197
401.8463, 1552.510
402.3284, 1558.951
402.8105, 1574.146
403.2926, 1581.112
403.7747, 1576.660
404.2569, 1569.840
404.7390, 1567.100
405.2211, 1569.036
405.7032, 1572.201
406.1853, 1576.953
406.6674, 1582.089
407.1496, 1583.773
407.6317, 1581.516
408.1138, 1580.608
408.5959, 1585.936
409.0780, 1596.051
409.5602, 1601.339
410.0423, 1600.883
410.5244, 1596.966
411.0065, 1589.849
411.4886, 1580.799
411.9707, 1575.681
412.4529, 1580.232
412.9350, 1589.159
413.4171, 1592.363
413.8992, 1590.013
414.3813, 1589.346
414.8634, 1598.269
415.3456, 1612.035
415.8277, 1623.751
416.3098, 1633.571
416.7919, 1638.252
417.2740, 1631.743
417.7561, 1616.982
418.2382, 1605.419
418.7203, 1603.239
419.2025, 1605.906
419.6846, 1611.419
420.1667, 1622.761
420.6488, 1629.362
421.1309, 1622.296
421.6130, 1609.253
422.0952, 1603.657
422.5773, 1616.226
423.0594, 1629.070
423.5415, 1635.938
424.0236, 1634.542
424.5057, 1636.936
424.9879, 1651.673
425.4700, 1664.937
425.9521, 1662.983
426.4342, 1631.489
426.9163, 1610.010
427.3984, 1608.132
427.8806, 1622.229
428.3627, 1626.684
428.8448, 1618.211
429.3269, 1607.025
429.8090, 1596.780
430.2911, 1585.982
430.7733, 1591.379
431.2554, 1620.551
431.7375, 1656.559
432.2196, 1665.397
432.7017, 1646.398
433.1838, 1625.054
433.6660, 1611.419
434.1481, 1605.048
434.6302, 1605.837
435.1123, 1614.195
435.5944, 1625.888
436.0765, 1640.315
436.5587, 1654.903
437.0408, 1662.636
437.5229, 1655.856
438.0050, 1646.184
438.4871, 1648.248
438.9692, 1659.859
439.4514, 1668.928
439.9335, 1666.454
440.4156, 1658.721
440.8977, 1650.729
441.3798, 1641.493
441.8619, 1636.827
442.3441, 1642.666
442.8262, 1654.669
443.3083, 1664.794
443.7904, 1669.689
444.2725, 1672.897
444.7546, 1675.993
445.2368, 1679.382
445.7189, 1680.619
446.2010, 1676.512
446.6831, 1671.667
447.1652, 1670.135
447.6473, 1674.152
448.1295, 1678.460
448.6116, 1683.766
449.0937, 1689.208
449.5758, 1688.306
450.0579, 1675.367
450.5400, 1666.723
451.0221, 1674.398
451.5042, 1702.582
451.9864, 1721.679
452.4685, 1730.000
452.9506, 1730.101
453.4327, 1722.144
453.9148, 1705.959
454.3969, 1697.352
454.8791, 1708.942
455.3612, 1732.412
455.8433, 1738.886
456.3254, 1727.776
456.8075, 1712.329
457.2896, 1702.129
457.7718, 1696.845
458.2539, 1696.234
458.7360, 1700.493
459.2181, 1708.956
459.7002, 1725.481
460.1823, 1746.743
460.6645, 1761.544
461.1466, 1756.610
461.6287, 1747.589
462.1108, 1748.686
462.5929, 1764.909
463.0750, 1774.538
463.5572, 1760.072
464.0393, 1737.133
464.5214, 1724.201
465.0035, 1733.532
465.4856, 1745.194
465.9677, 1756.716
466.4499, 1767.734
466.9320, 1773.030
467.4141, 1768.149
467.8962, 1761.519
468.3783, 1757.507
468.8604, 1756.866
469.3426, 1757.032
469.8247, 1756.824
470.3068, 1758.181
470.7889, 1766.526
471.2710, 1784.574
471.7531, 1799.364
472.2353, 1805.815
472.7174, 1804.495
473.1995, 1800.543
473.6816, 1793.620
474.1637, 1786.144
474.6458, 1779.385
475.1280, 1773.844
475.6101, 1772.333
476.0922, 1776.655
476.5743, 1783.437
477.0564, 1786.859
477.5385, 1788.043
478.0207, 1791.641
478.5028, 1805.740
478.9849, 1820.819
479.4670, 1824.615
479.9491, 1814.236
480.4312, 1806.073
480.9134, 1813.167
481.3955, 1826.971
481.8776, 1837.342
482.3597, 1838.780
482.8418, 1838.545
483.3239, 1838.084
483.8060, 1837.598
484.2881, 1838.200
484.7703, 1841.842
485.2524, 1845.169
485.7345, 1846.027
486.2166, 1839.822
486.6987, 1841.369
487.1808, 1856.698
487.6630, 1875.909
488.1451, 1882.374
488.6272, 1871.150
489.1093, 1860.926
489.5914, 1857.072
490.0735, 1858.716
490.5557, 1857.245
491.0378, 1851.144
491.5199, 1850.188
492.0020, 1870.724
492.4841, 1906.928
492.9662, 1921.935
493.4484, 1906.567
493.9305, 1879.210
494.4126, 1863.311
494.8947, 1856.400
495.3768, 1850.619
495.8589, 1836.211
496.3411, 1824.260
496.8232, 1831.118
497.3053, 1856.619
497.7874, 1877.493
498.2695, 1873.865
498.7516, 1861.800
499.2338, 1856.374
499.7159, 1865.615
500.1980, 1876.333
500.6801, 1888.569
501.1622, 1899.575
501.6443, 1902.378
502.1265, 1889.647
