##NAMES=Hydrotungstite
##RRUFFID=R120058
##IDEAL CHEMISTRY=W^6+^O_2_(OH)_2_&#183;H_2_O
##LOCALITY=Mundo Nuevo, La Libertad, Peru
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Greenish yellow cubes, associated with ferberite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R120058
1.261688e+002, 2.202566e+001
1.266509e+002, 2.192049e+001
1.271331e+002, 2.252803e+001
1.276152e+002, 2.334835e+001
1.280973e+002, 2.355341e+001
1.285794e+002, 2.310393e+001
1.290615e+002, 2.251562e+001
1.295436e+002, 2.236066e+001
1.300258e+002, 2.254868e+001
1.305079e+002, 2.268634e+001
1.309900e+002, 2.250307e+001
1.314721e+002, 2.212233e+001
1.319542e+002, 2.194228e+001
1.324363e+002, 2.200824e+001
1.329185e+002, 2.217396e+001
1.334006e+002, 2.223544e+001
1.338827e+002, 2.219260e+001
1.343648e+002, 2.210957e+001
1.348469e+002, 2.200612e+001
1.353290e+002, 2.188432e+001
1.358112e+002, 2.174347e+001
1.362933e+002, 2.153010e+001
1.367754e+002, 2.136393e+001
1.372575e+002, 2.164240e+001
1.377396e+002, 2.249178e+001
1.382217e+002, 2.322104e+001
1.387039e+002, 2.331198e+001
1.391860e+002, 2.265205e+001
1.396681e+002, 2.215261e+001
1.401502e+002, 2.194580e+001
1.406323e+002, 2.196704e+001
1.411144e+002, 2.191152e+001
1.415966e+002, 2.172122e+001
1.420787e+002, 2.156519e+001
1.425608e+002, 2.158029e+001
1.430429e+002, 2.181177e+001
1.435250e+002, 2.209567e+001
1.440071e+002, 2.247549e+001
1.444893e+002, 2.293508e+001
1.449714e+002, 2.309945e+001
1.454535e+002, 2.274734e+001
1.459356e+002, 2.231424e+001
1.464177e+002, 2.222229e+001
1.468998e+002, 2.266474e+001
1.473820e+002, 2.314664e+001
1.478641e+002, 2.366220e+001
1.483462e+002, 2.426456e+001
1.488283e+002, 2.448352e+001
1.493104e+002, 2.389257e+001
1.497925e+002, 2.311912e+001
1.502747e+002, 2.289166e+001
1.507568e+002, 2.377872e+001
1.512389e+002, 2.462872e+001
1.517210e+002, 2.518897e+001
1.522031e+002, 2.536591e+001
1.526852e+002, 2.554320e+001
1.531674e+002, 2.568923e+001
1.536495e+002, 2.584756e+001
1.541316e+002, 2.608161e+001
1.546137e+002, 2.621877e+001
1.550958e+002, 2.658454e+001
1.555779e+002, 2.731322e+001
1.560601e+002, 2.854528e+001
1.565422e+002, 2.982639e+001
1.570243e+002, 3.079577e+001
1.575064e+002, 3.177860e+001
1.579885e+002, 3.340448e+001
1.584706e+002, 3.624977e+001
1.589528e+002, 3.944571e+001
1.594349e+002, 4.256955e+001
1.599170e+002, 4.535279e+001
1.603991e+002, 4.842339e+001
1.608812e+002, 5.173777e+001
1.613633e+002, 5.544017e+001
1.618455e+002, 5.990918e+001
1.623276e+002, 6.561743e+001
1.628097e+002, 7.189440e+001
1.632918e+002, 7.840811e+001
1.637739e+002, 8.473925e+001
1.642560e+002, 9.168886e+001
1.647382e+002, 9.951907e+001
1.652203e+002, 1.082282e+002
1.657024e+002, 1.178096e+002
1.661845e+002, 1.281999e+002
1.666666e+002, 1.395378e+002
1.671487e+002, 1.518365e+002
1.676309e+002, 1.656014e+002
1.681130e+002, 1.799933e+002
1.685951e+002, 1.944229e+002
1.690772e+002, 2.089643e+002
1.695593e+002, 2.236977e+002
1.700414e+002, 2.387502e+002
1.705236e+002, 2.540637e+002
1.710057e+002, 2.693732e+002
1.714878e+002, 2.850522e+002
1.719699e+002, 3.005681e+002
1.724520e+002, 3.154554e+002
1.729341e+002, 3.297630e+002
1.734163e+002, 3.432296e+002
1.738984e+002, 3.553475e+002
1.743805e+002, 3.666312e+002
1.748626e+002, 3.775714e+002
1.753447e+002, 3.884467e+002
1.758268e+002, 3.992438e+002
1.763090e+002, 4.095119e+002
1.767911e+002, 4.191490e+002
1.772732e+002, 4.298006e+002
1.777553e+002, 4.415966e+002
1.782374e+002, 4.534095e+002
