##NAMES=Lavinskyite
##RRUFFID=R141115
##IDEAL CHEMISTRY=K(LiCu^2+^)Cu^2+^_6_(Si_4_O_11_)_2_(OH)_4_
##LOCALITY=Wessels mine, South Africa
##OWNER=RRUFF
##SOURCE=Jaco and Tania Janse van Nieuwenhuizen
##DESCRIPTION=Greenish blue or light blue platy crystals, associated with dark blue scottyite (R141116) and blue wesselsite (with cleavage)
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R141115
##MEASURED CHEMISTRY=(K_0.98_Sr_0.01_)_Σ=0.99_(Li_1.25_Cu_0.71_Na_0.08_)_Σ=2.04_Cu_6_(Si_4.03_O_11_)_2_(OH)_4_; (Lavinskyite is the dark grey material in the image, associated with light grey R141116 scottyite)
9.059570e+001, 1.003254e+003
9.107782e+001, 1.011346e+003
9.155994e+001, 1.014273e+003
9.204205e+001, 1.005583e+003
9.252417e+001, 9.962394e+002
9.300629e+001, 9.922087e+002
9.348840e+001, 9.890508e+002
9.397052e+001, 9.768150e+002
9.445264e+001, 9.474123e+002
9.493475e+001, 9.095142e+002
9.541687e+001, 8.763209e+002
9.589898e+001, 8.500970e+002
9.638110e+001, 8.274781e+002
9.686321e+001, 8.058113e+002
9.734533e+001, 7.834327e+002
9.782745e+001, 7.589396e+002
9.830956e+001, 7.345695e+002
9.879168e+001, 7.083277e+002
9.927380e+001, 6.843631e+002
9.975591e+001, 6.636341e+002
1.002380e+002, 6.455924e+002
1.007201e+002, 6.294641e+002
1.012023e+002, 6.151188e+002
1.016844e+002, 6.022319e+002
1.021665e+002, 5.892094e+002
1.026486e+002, 5.750085e+002
1.031307e+002, 5.611519e+002
1.036128e+002, 5.491472e+002
1.040950e+002, 5.390192e+002
1.045771e+002, 5.299594e+002
1.050592e+002, 5.215001e+002
1.055413e+002, 5.135231e+002
1.060234e+002, 5.060513e+002
1.065055e+002, 4.990352e+002
1.069877e+002, 4.924664e+002
1.074698e+002, 4.865324e+002
1.079519e+002, 4.827811e+002
1.084340e+002, 4.775517e+002
1.089161e+002, 4.692033e+002
1.093982e+002, 4.582289e+002
1.098804e+002, 4.459637e+002
1.103625e+002, 4.330139e+002
1.108446e+002, 4.188220e+002
1.113267e+002, 4.072174e+002
1.118088e+002, 3.989857e+002
1.122909e+002, 3.923628e+002
1.127731e+002, 3.870824e+002
1.132552e+002, 3.828665e+002
1.137373e+002, 3.790633e+002
1.142194e+002, 3.747449e+002
1.147015e+002, 3.689717e+002
1.151836e+002, 3.644058e+002
1.156658e+002, 3.620042e+002
1.161479e+002, 3.602933e+002
1.166300e+002, 3.578461e+002
1.171121e+002, 3.541355e+002
1.175942e+002, 3.495941e+002
1.180763e+002, 3.452617e+002
1.185584e+002, 3.415407e+002
1.190406e+002, 3.372102e+002
1.195227e+002, 3.310869e+002
1.200048e+002, 3.239476e+002
1.204869e+002, 3.179252e+002
1.209690e+002, 3.141708e+002
1.214511e+002, 3.121305e+002
1.219333e+002, 3.102109e+002
1.224154e+002, 3.084214e+002
1.228975e+002, 3.067288e+002
1.233796e+002, 3.050341e+002
1.238617e+002, 3.032882e+002
1.243438e+002, 3.019015e+002
1.248260e+002, 3.026635e+002
1.253081e+002, 3.033245e+002
1.257902e+002, 3.014171e+002
1.262723e+002, 2.955012e+002
1.267544e+002, 2.872959e+002
1.272365e+002, 2.806078e+002
1.277187e+002, 2.756208e+002
1.282008e+002, 2.720806e+002
1.286829e+002, 2.700979e+002
1.291650e+002, 2.691657e+002
1.296471e+002, 2.688327e+002
1.301292e+002, 2.690508e+002
1.306114e+002, 2.696675e+002
1.310935e+002, 2.683756e+002
1.315756e+002, 2.626464e+002
1.320577e+002, 2.573177e+002
1.325398e+002, 2.539797e+002
1.330219e+002, 2.521153e+002
1.335041e+002, 2.502786e+002
1.339862e+002, 2.472141e+002
1.344683e+002, 2.427389e+002
1.349504e+002, 2.379048e+002
1.354325e+002, 2.315313e+002
1.359146e+002, 2.257661e+002
1.363968e+002, 2.219131e+002
1.368789e+002, 2.200607e+002
1.373610e+002, 2.194755e+002
1.378431e+002, 2.196457e+002
1.383252e+002, 2.208652e+002
1.388073e+002, 2.211134e+002
1.392895e+002, 2.196191e+002
1.397716e+002, 2.173548e+002
1.402537e+002, 2.155133e+002
1.407358e+002, 2.144460e+002
1.412179e+002, 2.134719e+002
1.417000e+002, 2.115166e+002
1.421821e+002, 2.086722e+002
1.426643e+002, 2.060893e+002
1.431464e+002, 2.046723e+002
1.436285e+002, 2.040008e+002
1.441106e+002, 2.024826e+002
1.445927e+002, 1.993895e+002
1.450748e+002, 1.957238e+002
1.455570e+002, 1.922602e+002
1.460391e+002, 1.890277e+002
1.465212e+002, 1.861772e+002
1.470033e+002, 1.837721e+002
1.474854e+002, 1.817886e+002
