##NAMES=Gartrellite
##RRUFFID=R060881
##IDEAL CHEMISTRY=Pb^2+^Cu^2+^Fe^3+^(As^5+^O_4_)_2_(OH)&#183;H_2_O
##LOCALITY=Ashburton Downs, Western Australia
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Yellow grainy incrustations
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R060881
##MEASURED CHEMISTRY=Pb_1.00_Cu_1.00_(Fe^3+^_0.77_Cu_0.18_Al_0.04_Zn_0.01_)_Σ=1_((As_0.97_S_0.03_)_Σ=1_O_4_)_2_(OH)_0.87_·H_2_O; trace amounts of P; OH estimated by charge balance, H_2_O by difference
176.0072, 2862.990
176.4893, 2880.997
176.9715, 2888.387
177.4536, 2883.701
177.9357, 2879.565
178.4178, 2882.333
178.8999, 2887.896
179.3820, 2891.812
179.8642, 2892.053
180.3463, 2892.495
180.8284, 2896.952
181.3105, 2905.167
181.7926, 2918.936
182.2747, 2947.977
182.7569, 2979.333
183.2390, 2999.137
183.7211, 3000.620
184.2032, 2997.597
184.6853, 3010.406
185.1674, 3042.907
185.6496, 3071.340
186.1317, 3081.004
186.6138, 3084.450
187.0959, 3091.268
187.5780, 3103.504
188.0601, 3121.119
188.5423, 3147.035
189.0244, 3184.437
189.5065, 3215.334
189.9886, 3235.377
190.4707, 3244.642
190.9528, 3236.812
191.4350, 3205.419
191.9171, 3173.133
192.3992, 3174.166
192.8813, 3216.083
193.3634, 3255.594
193.8455, 3280.708
194.3277, 3296.100
194.8098, 3301.725
195.2919, 3296.077
195.7740, 3287.859
196.2561, 3286.521
196.7382, 3291.463
197.2204, 3306.166
197.7025, 3346.569
198.1846, 3389.851
198.6667, 3418.467
199.1488, 3427.904
199.6309, 3425.967
200.1131, 3419.875
200.5952, 3408.549
201.0773, 3398.951
201.5594, 3392.553
202.0415, 3389.032
202.5236, 3389.932
203.0058, 3396.051
203.4879, 3401.664
203.9700, 3400.573
204.4521, 3392.397
204.9342, 3379.842
205.4163, 3358.711
205.8985, 3336.063
206.3806, 3315.233
206.8627, 3296.577
207.3448, 3283.117
207.8269, 3284.432
208.3090, 3303.437
208.7912, 3304.552
209.2733, 3259.567
209.7554, 3207.847
210.2375, 3177.568
210.7196, 3172.206
211.2017, 3173.596
211.6839, 3167.350
212.1660, 3153.536
212.6481, 3130.514
213.1302, 3086.445
213.6123, 3042.592
214.0944, 3015.414
214.5765, 3005.503
215.0587, 2999.934
215.5408, 2986.370
216.0229, 2965.270
216.5050, 2951.250
216.9871, 2953.419
217.4692, 2956.700
217.9514, 2950.224
218.4335, 2934.385
218.9156, 2916.825
219.3977, 2905.052
219.8798, 2897.934
220.3619, 2882.937
220.8441, 2848.475
221.3262, 2818.522
221.8083, 2810.554
222.2904, 2821.918
222.7725, 2836.685
223.2546, 2848.470
223.7368, 2856.253
224.2189, 2853.458
224.7010, 2832.905
225.1831, 2811.373
225.6652, 2799.609
226.1473, 2796.158
226.6295, 2796.630
227.1116, 2802.877
227.5937, 2811.502
228.0758, 2810.740
228.5579, 2795.717
229.0400, 2780.086
229.5222, 2773.511
230.0043, 2773.367
230.4864, 2773.707
230.9685, 2769.310
231.4506, 2764.253
231.9327, 2769.111
232.4149, 2788.239
232.8970, 2804.748
233.3791, 2804.272
233.8612, 2793.688
234.3433, 2784.473
234.8254, 2779.986
235.3076, 2778.812
235.7897, 2779.733
236.2718, 2783.206
236.7539, 2786.239
237.2360, 2790.806
237.7181, 2792.877
238.2003, 2783.663
238.6824, 2749.434
239.1645, 2715.009
239.6466, 2712.432
240.1287, 2742.370
240.6108, 2764.951
241.0930, 2754.152
241.5751, 2725.287
242.0572, 2708.732
242.5393, 2713.575
243.0214, 2720.649
243.5035, 2714.146
243.9857, 2695.876
244.4678, 2679.323
244.9499, 2670.539
245.4320, 2666.485
245.9141, 2660.534
246.3962, 2651.682
246.8784, 2643.368
247.3605, 2637.776
247.8426, 2634.257
248.3247, 2631.143
248.8068, 2628.293
249.2889, 2624.826
249.7710, 2618.702
250.2532, 2608.967
250.7353, 2600.552
251.2174, 2592.130
251.6995, 2586.576
252.1816, 2591.420
252.6637, 2610.377
253.1459, 2633.033
253.6280, 2643.335
254.1101, 2639.102
254.5922, 2638.486
255.0743, 2650.441
255.5564, 2665.166
256.0386, 2667.903
256.5207, 2655.875
257.0028, 2644.934
257.4849, 2654.792
257.9670, 2691.136
258.4492, 2714.367
258.9313, 2714.896
259.4134, 2708.026
259.8955, 2704.567
260.3776, 2705.551
260.8597, 2708.135
261.3419, 2710.616
261.8240, 2713.031
262.3061, 2710.978
262.7882, 2701.530
263.2703, 2690.914
263.7524, 2680.270
264.2346, 2670.844
264.7167, 2666.508
265.1988, 2671.377
265.6809, 2683.619
266.1630, 2682.544
266.6451, 2655.037
267.1272, 2630.884
267.6093, 2618.023
268.0915, 2613.669
268.5736, 2612.743
269.0557, 2612.753
269.5378, 2614.012
270.0199, 2617.581
270.5020, 2629.921
270.9842, 2636.876
271.4663, 2634.009
271.9484, 2626.995
272.4305, 2622.119
272.9126, 2621.543
273.3947, 2622.457
273.8769, 2619.155
274.3590, 2606.444
274.8411, 2599.016
275.3232, 2599.196
275.8053, 2602.424
276.2874, 2604.500
276.7696, 2605.209
277.2517, 2608.526
277.7338, 2620.581
278.2159, 2645.037
278.6980, 2664.017
279.1801, 2677.719
279.6623, 2685.778
280.1444, 2684.523
280.6265, 2676.411
281.1086, 2668.958
281.5907, 2669.031
282.0728, 2676.356
282.5550, 2681.143
283.0371, 2680.875
283.5192, 2680.936
284.0013, 2683.690
284.4834, 2688.066
284.9655, 2692.214
285.4477, 2695.554
285.9298, 2697.616
286.4119, 2696.430
286.8940, 2689.940
287.3761, 2684.770
287.8582, 2678.990
288.3404, 2677.309
288.8225, 2688.192
289.3046, 2718.424
289.7867, 2751.010
290.2688, 2760.106
290.7509, 2742.477
291.2331, 2728.845
291.7152, 2729.943
292.1973, 2739.218
292.6794, 2750.844
293.1615, 2764.380
293.6436, 2779.292
294.1258, 2797.242
294.6079, 2817.058
295.0900, 2831.102
295.5721, 2834.444
296.0542, 2836.234
296.5363, 2847.235
297.0185, 2866.944
297.5006, 2886.311
297.9827, 2902.060
298.4648, 2915.021
298.9469, 2924.153
299.4290, 2927.980
299.9112, 2937.003
300.3933, 2966.279
300.8754, 3012.993
301.3575, 3045.658
301.8396, 3049.132
302.3217, 3046.361
302.8039, 3057.156
303.2860, 3080.276
303.7681, 3099.970
304.2502, 3104.611
304.7323, 3097.759
305.2144, 3102.127
305.6966, 3128.927
306.1787, 3152.903
306.6608, 3166.917
307.1429, 3171.888
307.6250, 3167.494
308.1071, 3152.562
308.5893, 3133.723
309.0714, 3126.488
309.5535, 3143.163
310.0356, 3155.264
310.5177, 3159.180
310.9998, 3159.860
311.4820, 3161.475
311.9641, 3165.096
312.4462, 3169.728
312.9283, 3174.151
313.4104, 3178.106
313.8925, 3182.748
314.3747, 3186.098
314.8568, 3191.797
315.3389, 3201.890
315.8210, 3216.088
316.3031, 3233.881
316.7852, 3257.169
317.2674, 3284.775
317.7495, 3295.433
318.2316, 3269.930
318.7137, 3250.605
319.1958, 3250.580
319.6779, 3262.853
320.1601, 3277.292
320.6422, 3289.301
321.1243, 3300.558
321.6064, 3314.858
322.0885, 3333.379
322.5706, 3351.339
323.0528, 3365.419
323.5349, 3379.591
324.0170, 3396.775
324.4991, 3417.489
324.9812, 3440.987
325.4633, 3468.604
325.9455, 3499.620
326.4276, 3525.610
326.9097, 3542.132
327.3918, 3556.837
327.8739, 3575.416
328.3560, 3597.720
328.8382, 3623.953
329.3203, 3657.904
329.8024, 3694.583
330.2845, 3725.040
330.7666, 3747.998
331.2487, 3770.036
331.7309, 3796.071
332.2130, 3825.590
332.6951, 3855.132
333.1772, 3886.024
