##NAMES=Cleusonite
##RRUFFID=R061019
##IDEAL CHEMISTRY=Pb^2+^(U^4+^,U^6+^)Fe^2+^_2_(Ti^4+^,Fe^2+^,Fe^3+^)_18_(O,OH)_38_
##LOCALITY=Bella Tola, Alpe Roua, St-Luc, Val d'Annivers, Wallis
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Metamict black semimetallic prismatic, associated with quartz
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R061019
578.0923, 2151.047
578.5745, 2150.291
579.0566, 2150.727
579.5387, 2152.094
580.0208, 2151.968
580.5029, 2149.897
580.9850, 2147.675
581.4672, 2145.887
581.9493, 2144.643
582.4315, 2144.021
582.9136, 2143.976
583.3957, 2144.690
583.8778, 2149.728
584.3599, 2152.942
584.8420, 2146.221
585.3242, 2132.085
585.8063, 2119.605
586.2884, 2113.623
586.7705, 2113.842
587.2526, 2122.306
587.7347, 2144.468
588.2169, 2153.135
588.6990, 2135.908
589.1811, 2115.826
589.6632, 2104.880
590.1453, 2101.421
590.6274, 2100.969
591.1096, 2101.867
591.5917, 2106.235
592.0738, 2122.414
592.5559, 2141.320
593.0380, 2141.967
593.5201, 2121.567
594.0023, 2100.472
594.4844, 2097.183
594.9665, 2109.242
595.4486, 2113.212
595.9307, 2099.895
596.4128, 2093.075
596.8950, 2105.304
597.3771, 2117.601
597.8592, 2111.786
598.3413, 2089.906
598.8234, 2071.851
599.3055, 2073.132
599.7877, 2081.331
600.2698, 2077.449
600.7519, 2064.364
601.2340, 2058.593
601.7161, 2066.388
602.1982, 2078.634
602.6804, 2083.354
603.1625, 2078.630
603.6446, 2079.572
604.1267, 2092.125
604.6088, 2102.792
605.0909, 2108.850
605.5731, 2110.533
606.0552, 2106.357
606.5373, 2096.708
607.0194, 2088.646
607.5015, 2089.266
607.9836, 2096.046
608.4658, 2104.074
608.9479, 2113.512
609.4300, 2115.463
609.9121, 2102.998
610.3942, 2084.783
610.8763, 2077.613
611.3585, 2086.672
611.8406, 2091.752
612.3227, 2091.611
612.8048, 2088.236
613.2869, 2079.724
613.7690, 2069.523
614.2512, 2064.080
614.7333, 2065.881
615.2154, 2068.863
615.6975, 2063.209
616.1796, 2050.915
616.6617, 2048.007
617.1439, 2057.437
617.6260, 2068.129
618.1081, 2075.826
618.5902, 2079.314
619.0723, 2073.863
619.5544, 2051.287
620.0366, 2039.454
620.5187, 2054.383
621.0008, 2072.037
621.4829, 2073.820
621.9650, 2062.948
622.4471, 2051.928
622.9293, 2047.334
623.4114, 2044.454
623.8935, 2033.470
624.3756, 2014.388
624.8577, 2002.818
