##NAMES=Esseneite
##RRUFFID=R061123
##IDEAL CHEMISTRY=CaFe^3+^AlSiO_6_
##LOCALITY=Durham Ranch, South of Gillette, Sublette County, Wyoming, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Reddish-brown prismatic crystals associated with gehlenite, R070478
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R061123
279.8451, 2612.449
280.3272, 2625.356
280.8093, 2628.760
281.2914, 2621.014
281.7735, 2615.616
282.2556, 2621.712
282.7378, 2638.913
283.2199, 2649.778
283.7020, 2651.375
284.1841, 2650.240
284.6662, 2660.822
285.1483, 2684.015
285.6305, 2702.695
286.1126, 2703.293
286.5947, 2688.652
287.0768, 2686.734
287.5589, 2700.983
288.0410, 2722.717
288.5232, 2738.957
289.0053, 2749.776
289.4874, 2759.338
289.9695, 2767.475
290.4516, 2775.535
290.9337, 2791.130
291.4159, 2816.123
291.8980, 2843.706
292.3801, 2862.681
292.8622, 2874.447
293.3443, 2890.708
293.8264, 2926.165
294.3086, 2970.565
294.7907, 2991.248
295.2728, 2984.081
295.7549, 2968.268
296.2370, 2964.288
296.7191, 2971.088
297.2013, 2984.534
297.6834, 3005.437
298.1655, 3030.964
298.6476, 3055.045
299.1297, 3077.070
299.6118, 3099.741
300.0940, 3128.397
300.5761, 3160.267
301.0582, 3187.227
301.5403, 3200.623
302.0224, 3208.401
302.5045, 3221.493
302.9867, 3240.374
303.4688, 3261.799
303.9509, 3285.730
304.4330, 3310.154
304.9151, 3331.616
305.3972, 3346.610
305.8794, 3358.663
306.3615, 3369.879
306.8436, 3380.434
307.3257, 3393.322
307.8078, 3412.733
308.2899, 3435.651
308.7721, 3457.230
309.2542, 3474.473
309.7363, 3490.453
310.2184, 3509.213
310.7005, 3530.384
311.1826, 3546.955
311.6648, 3543.672
312.1469, 3537.145
312.6290, 3546.161
313.1111, 3597.532
313.5932, 3647.676
314.0753, 3671.862
314.5575, 3672.332
315.0396, 3666.887
315.5217, 3651.813
316.0038, 3640.798
316.4859, 3645.640
316.9680, 3678.506
317.4502, 3718.256
317.9323, 3765.152
318.4144, 3815.118
318.8965, 3850.119
319.3786, 3844.990
319.8607, 3834.286
320.3429, 3841.261
320.8250, 3883.993
321.3071, 3926.766
321.7892, 3964.498
322.2713, 3995.734
322.7534, 4015.423
323.2356, 4004.660
323.7177, 3994.897
324.1998, 4002.333
324.6819, 4039.899
325.1640, 4076.591
325.6461, 4107.288
326.1283, 4134.250
326.6104, 4162.379
327.0925, 4203.516
327.5746, 4236.162
328.0567, 4250.679
328.5388, 4231.055
329.0210, 4226.230
329.5031, 4245.480
329.9852, 4277.462
330.4673, 4303.679
330.9494, 4325.505
331.4315, 4339.818
331.9137, 4342.092
332.3958, 4324.931
332.8779, 4326.061
333.3600, 4356.953
333.8421, 4398.337
334.3242, 4426.241
334.8064, 4438.419
335.2885, 4440.121
335.7706, 4427.680
336.2527, 4399.347
336.7348, 4388.850
337.2169, 4405.350
337.6991, 4427.272
338.1812, 4430.623
338.6633, 4409.348
339.1454, 4390.479
339.6275, 4381.148
340.1096, 4379.733
340.5918, 4372.455
341.0739, 4358.524
341.5560, 4340.833
342.0381, 4320.536
342.5202, 4297.444
343.0023, 4277.511
343.4845, 4263.813
343.9666, 4253.099
344.4487, 4236.705
344.9308, 4214.636
345.4129, 4185.947
345.8951, 4144.542
346.3772, 4092.999
346.8593, 4054.452
347.3414, 4034.396
347.8235, 4024.399
348.3056, 4012.871
348.7878, 3999.279
349.2699, 3978.128
349.7520, 3941.053
350.2341, 3893.859
350.7162, 3851.698
351.1983, 3815.985
351.6805, 3785.831
352.1626, 3765.877
352.6447, 3752.319
353.1268, 3732.440
353.6089, 3692.064
354.0910, 3644.379
354.5732, 3606.157
355.0553, 3578.584
355.5374, 3558.641
356.0195, 3549.326
356.5016, 3545.327
356.9837, 3536.991
357.4659, 3519.907
357.9480, 3497.443
358.4301, 3470.808
358.9122, 3440.239
359.3943, 3409.743
359.8764, 3377.801
360.3586, 3348.578
360.8407, 3326.948
361.3228, 3322.525
361.8049, 3318.585
362.2870, 3307.053
362.7691, 3288.988
363.2513, 3271.463
363.7334, 3260.538
364.2155, 3248.671
364.6976, 3230.440
365.1797, 3194.149
365.6618, 3164.931
366.1440, 3151.935
366.6261, 3150.227
367.1082, 3144.434
367.5903, 3126.541
368.0724, 3108.917
368.5545, 3096.714
369.0367, 3092.172
369.5188, 3090.063
370.0009, 3098.197
370.4830, 3107.030
370.9651, 3098.572
371.4472, 3053.367
371.9294, 3016.245
372.4115, 3001.743
372.8936, 3014.974
373.3757, 3024.696
373.8578, 3029.997
374.3399, 3032.543
374.8221, 3034.581
375.3042, 3037.376
375.7863, 3035.702
376.2684, 3027.336
376.7505, 3012.780
377.2326, 2997.773
377.7148, 2981.246
378.1969, 2967.683
378.6790, 2962.642
379.1611, 2966.714
379.6432, 2970.446
380.1253, 2973.555
380.6075, 2974.388
381.0896, 2967.458
381.5717, 2952.434
382.0538, 2934.994
382.5359, 2916.060
383.0180, 2897.104
383.5002, 2884.611
383.9823, 2880.482
384.4644, 2880.115
384.9465, 2880.701
385.4286, 2880.731
385.9107, 2873.074
386.3929, 2842.575
386.8750, 2805.602
387.3571, 2790.250
387.8392, 2799.532
388.3213, 2815.100
388.8034, 2826.366
389.2856, 2832.083
389.7677, 2830.463
390.2498, 2819.733
390.7319, 2802.094
391.2140, 2773.066
391.6961, 2734.574
392.1783, 2706.133
392.6604, 2709.498
393.1425, 2723.521
393.6246, 2727.848
394.1067, 2705.526
394.5888, 2687.647
395.0710, 2693.931
395.5531, 2715.880
396.0352, 2725.080
396.5173, 2701.067
396.9994, 2671.297
397.4815, 2650.149
397.9637, 2643.261
398.4458, 2635.969
398.9279, 2625.241
399.4100, 2613.328
399.8921, 2604.185
400.3742, 2601.604
400.8564, 2597.831
401.3385, 2590.963
401.8206, 2580.792
402.3027, 2569.211
402.7848, 2554.359
403.2669, 2539.810
403.7491, 2529.708
404.2312, 2526.313
404.7133, 2521.707
405.1954, 2514.458
405.6775, 2504.951
406.1596, 2494.307
406.6418, 2481.723
407.1239, 2470.308
407.6060, 2464.985
408.0881, 2466.301
408.5702, 2457.086
409.0523, 2431.884
409.5345, 2401.024
410.0166, 2386.533
410.4987, 2387.738
410.9808, 2387.473
411.4629, 2372.686
411.9450, 2349.204
412.4272, 2336.852
412.9093, 2337.683
413.3914, 2339.411
413.8735, 2325.351
414.3556, 2301.615
414.8377, 2284.582
415.3199, 2287.598
415.8020, 2295.574
416.2841, 2289.355
416.7662, 2270.433
417.2483, 2253.179
417.7304, 2250.492
418.2126, 2252.367
418.6947, 2247.491
419.1768, 2227.824
419.6589, 2209.846
420.1410, 2202.656
420.6231, 2203.629
421.1053, 2205.955
421.5874, 2211.892
422.0695, 2214.874
422.5516, 2210.508
423.0337, 2195.835
423.5158, 2182.618
423.9980, 2170.912
424.4801, 2162.444
424.9622, 2159.464
425.4443, 2169.242
425.9264, 2176.785
426.4085, 2178.680
426.8907, 2174.942
427.3728, 2173.259
427.8549, 2177.217
428.3370, 2179.224
428.8191, 2172.000
429.3012, 2148.254
429.7834, 2137.078
430.2655, 2145.324
430.7476, 2165.022
431.2297, 2174.518
431.7118, 2172.287
432.1939, 2166.785
432.6761, 2160.334
433.1582, 2153.058
433.6403, 2152.306
434.1224, 2159.494
434.6045, 2168.093
435.0866, 2170.770
435.5688, 2167.779
436.0509, 2160.316
436.5330, 2143.383
437.0151, 2125.389
437.4972, 2125.097
437.9793, 2141.097
438.4615, 2157.949
438.9436, 2164.861
439.4257, 2164.927
439.9078, 2162.201
440.3899, 2156.397
440.8720, 2150.583
441.3542, 2148.120
441.8363, 2147.525
442.3184, 2145.479
442.8005, 2133.520
443.2826, 2125.139
443.7647, 2132.694
444.2469, 2160.482
444.7290, 2178.774
445.2111, 2167.580
445.6932, 2146.816
446.1753, 2135.801
446.6574, 2147.400
447.1396, 2158.273
447.6217, 2164.893
448.1038, 2167.318
448.5859, 2167.301
449.0680, 2162.017
449.5501, 2157.150
450.0323, 2156.650
450.5144, 2166.939
450.9965, 2164.874
451.4786, 2142.832
451.9607, 2114.709
452.4428, 2104.591
452.9250, 2115.219
453.4071, 2133.938
453.8892, 2161.092
454.3713, 2194.199
454.8534, 2213.563
455.3355, 2218.016
455.8177, 2214.857
456.2998, 2208.333
456.7819, 2199.241
457.2640, 2191.779
457.7462, 2186.234
458.2283, 2183.511
458.7104, 2186.890
459.1925, 2195.123
459.6746, 2202.428
460.1567, 2202.875
460.6389, 2201.765
461.1210, 2207.281
461.6031, 2221.217
462.0852, 2232.669
462.5673, 2231.323
463.0494, 2224.280
463.5316, 2220.803
464.0137, 2232.241
464.4958, 2240.389
464.9779, 2231.652
465.4600, 2209.796
465.9421, 2200.147
466.4243, 2221.775
466.9064, 2247.699
467.3885, 2262.661
467.8706, 2253.452
468.3527, 2254.062
468.8348, 2274.125
469.3170, 2300.717
469.7991, 2312.293
470.2812, 2299.123
470.7633, 2288.045
471.2454, 2286.133
471.7275, 2293.186
472.2097, 2302.116
472.6918, 2313.775
473.1739, 2325.414
473.6560, 2333.421
474.1381, 2337.712
474.6202, 2348.464
475.1024, 2369.709
475.5845, 2393.880
476.0666, 2405.862
476.5487, 2406.677
477.0308, 2405.770
477.5129, 2406.664
477.9951, 2409.657
478.4772, 2416.519
478.9593, 2427.454
479.4414, 2437.507
479.9235, 2435.052
480.4056, 2430.775
480.8878, 2441.687
481.3699, 2488.586
481.8520, 2533.238
482.3341, 2547.128
482.8162, 2539.082
483.2983, 2537.706
483.7805, 2561.578
484.2626, 2589.005
484.7447, 2607.104
485.2268, 2609.927
485.7089, 2619.411
486.1910, 2643.958
486.6732, 2674.141
487.1553, 2700.026
487.6374, 2723.705
488.1195, 2739.746
488.6016, 2743.650
489.0837, 2738.201
489.5659, 2741.894
490.0480, 2758.651
490.5301, 2775.668
491.0122, 2781.857
491.4943, 2775.220
491.9764, 2786.330
492.4586, 2819.918
492.9407, 2863.018
493.4228, 2903.663
493.9049, 2940.607
494.3870, 2965.260
494.8691, 2968.099
495.3513, 2960.354
495.8334, 2961.687
496.3155, 2971.574
496.7976, 2985.310
497.2797, 3000.541
497.7618, 3017.295
498.2440, 3036.376
498.7261, 3058.526
499.2082, 3080.349
499.6903, 3100.803
500.1724, 3119.266
500.6545, 3134.118
501.1367, 3140.395
501.6188, 3147.511
502.1009, 3159.254
502.5830, 3175.689
503.0651, 3192.773
503.5472, 3209.532
504.0294, 3227.207
504.5115, 3247.031
504.9936, 3275.320
505.4757, 3293.347
505.9578, 3293.533
506.4399, 3288.395
506.9221, 3302.840
507.4042, 3342.923
507.8863, 3381.424
508.3684, 3410.340
508.8505, 3430.271
509.3326, 3446.783
509.8148, 3459.397
510.2969, 3471.808
510.7790, 3484.311
511.2611, 3498.632
511.7432, 3523.646
512.2253, 3564.184
512.7075, 3604.982
513.1896, 3622.793
513.6717, 3626.211
514.1538, 3636.924
514.6359, 3670.005
515.1180, 3710.909
515.6002, 3752.517
516.0823, 3793.553
516.5644, 3825.624
517.0465, 3833.659
517.5286, 3838.299
518.0107, 3855.757
518.4929, 3905.183
518.9750, 3940.644
519.4571, 3942.932
519.9392, 3929.581
520.4213, 3932.540
520.9034, 3960.256
521.3856, 3992.722
521.8677, 4031.212
522.3498, 4074.194
522.8319, 4089.297
523.3140, 4065.544
523.7961, 4039.878
524.2783, 4045.829
524.7604, 4083.734
525.2425, 4099.811
525.7246, 4085.543
526.2067, 4058.573
526.6888, 4044.661
527.1710, 4041.662
527.6531, 4039.303
528.1352, 4036.534
528.6173, 4030.067
529.0994, 4014.549
529.5815, 3990.613
530.0637, 3962.284
530.5458, 3930.748
531.0279, 3896.997
531.5100, 3859.975
531.9921, 3816.196
532.4742, 3780.322
532.9564, 3767.562
533.4385, 3763.563
533.9206, 3748.867
534.4027, 3708.539
534.8848, 3669.352
535.3669, 3638.292
535.8491, 3614.403
536.3312, 3584.474
536.8133, 3545.431
537.2954, 3505.434
537.7775, 3468.783
538.2596, 3435.910
538.7418, 3405.419
539.2239, 3377.762
539.7060, 3352.260
540.1881, 3327.237
540.6702, 3302.954
541.1523, 3283.651
541.6345, 3272.885
542.1166, 3264.893
542.5987, 3247.364
543.0808, 3221.652
543.5629, 3197.672
544.0450, 3185.999
544.5272, 3176.526
545.0093, 3153.982
545.4914, 3114.841
545.9735, 3084.858
546.4556, 3089.815
546.9377, 3106.341
547.4199, 3110.530
547.9020, 3087.528
548.3841, 3061.645
548.8662, 3034.733
549.3483, 3008.365
549.8304, 2987.593
550.3126, 2982.036
550.7947, 2969.828
551.2768, 2941.427
551.7589, 2895.881
552.2410, 2858.476
552.7231, 2828.960
553.2053, 2808.156
553.6874, 2802.358
554.1695, 2811.392
554.6516, 2805.746
555.1337, 2778.526
555.6158, 2742.595
556.0980, 2717.277
556.5801, 2700.219
557.0622, 2681.642
557.5443, 2660.990
558.0264, 2634.002
558.5085, 2589.941
558.9907, 2531.246
559.4728, 2480.241
559.9549, 2452.902
560.4370, 2435.609
560.9191, 2419.185
561.4012, 2403.757
561.8834, 2384.281
562.3655, 2352.846
562.8476, 2318.804
563.3297, 2295.719
563.8118, 2300.092
564.2939, 2291.361
564.7761, 2257.279
565.2582, 2205.649
565.7403, 2171.196
566.2224, 2158.097
566.7045, 2151.151
567.1866, 2144.846
567.6688, 2139.083
568.1509, 2129.550
568.6330, 2116.199
569.1151, 2099.774
569.5972, 2079.712
570.0793, 2057.184
570.5615, 2033.894
571.0436, 2008.460
571.5257, 1987.331
572.0078, 1979.906
572.4899, 1982.011
572.9720, 1984.396
573.4542, 1986.323
573.9363, 1984.410
574.4184, 1976.272
574.9005, 1961.997
575.3826, 1945.211
575.8647, 1922.450
576.3469, 1900.531
576.8290, 1883.390
577.3111, 1872.941
577.7932, 1862.519
578.2753, 1851.968
578.7574, 1841.590
579.2396, 1831.520
579.7217, 1821.225
580.2038, 1814.825
580.6859, 1815.278
581.1680, 1818.417
581.6501, 1812.721
582.1323, 1798.623
582.6144, 1783.670
583.0965, 1774.264
583.5786, 1766.261
584.0607, 1749.334
584.5428, 1723.092
585.0250, 1703.951
585.5071, 1712.469
585.9892, 1729.903
586.4713, 1736.004
586.9534, 1719.016
587.4355, 1703.604
587.9177, 1699.701
588.3998, 1701.889
588.8819, 1701.310
589.3640, 1697.479
589.8461, 1689.938
590.3282, 1675.697
590.8104, 1656.574
591.2925, 1646.308
591.7746, 1647.215
592.2567, 1650.658
592.7388, 1652.959
593.2209, 1654.063
593.7031, 1651.722
594.1852, 1645.427
594.6673, 1638.254
595.1494, 1632.456
595.6315, 1628.255
596.1136, 1626.870
596.5958, 1630.342
597.0779, 1633.084
597.5600, 1628.165
598.0421, 1618.682
598.5242, 1611.398
599.0063, 1609.891
599.4885, 1610.583
599.9706, 1611.248
