##NAMES=Zunyite
##RRUFFID=R050263
##IDEAL CHEMISTRY=Al_13_Si_5_O_20_(OH,F)_18_Cl
##LOCALITY=Ruby Mountain, Tintic District, Utah, USA
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=Colorless tetrahedral crystals
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050263
##MEASURED CHEMISTRY=Al_13.00_Si_5.00_O_20_((OH)_14.80_F_3.20_)_Σ=18_Cl_1.00_ ; gray phase. (Al_12.92_Fe^3+^_0.08_)_Σ=13_Si_5.00_O_20_((OH)_14.86_F_3.14_)_Σ=18_Cl_1.00_ rim, lighter phase
361.0802, 1979.704
361.5623, 1976.803
362.0445, 1975.338
362.5266, 1972.306
363.0087, 1964.725
363.4908, 1955.336
363.9729, 1947.666
364.4550, 1942.933
364.9372, 1939.860
365.4193, 1938.717
365.9014, 1939.518
366.3835, 1939.476
366.8656, 1936.633
367.3477, 1933.557
367.8299, 1932.056
368.3120, 1933.086
368.7941, 1934.823
369.2762, 1937.205
369.7583, 1940.202
370.2404, 1943.719
370.7226, 1949.360
371.2047, 1953.933
371.6868, 1955.754
372.1689, 1952.177
372.6510, 1952.193
373.1331, 1957.951
373.6153, 1966.123
374.0974, 1971.050
374.5795, 1971.057
375.0616, 1971.165
375.5437, 1972.882
376.0258, 1976.235
376.5080, 1979.204
376.9901, 1981.458
377.4722, 1983.940
377.9543, 1987.885
378.4364, 1993.539
378.9185, 1998.660
379.4007, 2002.792
379.8828, 2006.030
380.3649, 2008.154
380.8470, 2008.968
381.3291, 2010.175
381.8112, 2013.717
382.2934, 2019.083
382.7755, 2022.040
383.2576, 2021.882
383.7397, 2020.327
384.2218, 2019.622
384.7039, 2019.643
385.1861, 2019.716
385.6682, 2019.575
386.1503, 2019.272
386.6324, 2019.019
387.1145, 2018.827
387.5966, 2018.209
388.0788, 2016.723
388.5609, 2014.510
389.0430, 2011.808
389.5251, 2008.505
390.0072, 2004.901
390.4893, 2001.570
390.9715, 1998.291
391.4536, 1994.034
391.9357, 1987.609
392.4178, 1980.380
392.8999, 1973.324
393.3820, 1966.336
393.8642, 1960.229
394.3463, 1956.154
394.8284, 1953.074
395.3105, 1949.440
395.7926, 1945.004
396.2747, 1939.717
396.7569, 1933.275
397.2390, 1925.634
397.7211, 1918.302
398.2032, 1911.716
398.6853, 1905.439
399.1674, 1899.221
399.6496, 1893.061
400.1317, 1886.821
400.6138, 1880.071
401.0959, 1873.130
401.5780, 1867.180
402.0602, 1862.793
402.5423, 1858.646
403.0244, 1854.246
403.5065, 1849.414
403.9886, 1844.811
404.4707, 1840.438
404.9529, 1836.292
405.4350, 1832.431
405.9171, 1828.973
406.3992, 1825.355
406.8813, 1821.085
407.3634, 1816.471
407.8456, 1813.520
408.3277, 1812.465
408.8098, 1812.131
409.2919, 1811.923
409.7740, 1811.796
410.2561, 1810.786
410.7383, 1808.548
411.2204, 1805.785
411.7025, 1803.046
412.1846, 1800.483
412.6667, 1799.365
413.1488, 1801.282
413.6310, 1804.946
414.1131, 1807.585
414.5952, 1809.047
415.0773, 1810.530
415.5594, 1813.447
416.0415, 1817.101
416.5237, 1820.265
417.0058, 1822.016
417.4879, 1823.648
417.9700, 1826.512
418.4521, 1830.277
418.9342, 1833.675
419.4164, 1835.205
419.8985, 1836.598
420.3806, 1839.147
420.8627, 1843.226
421.3448, 1847.887
421.8269, 1853.475
422.3091, 1859.252
422.7912, 1864.228
423.2733, 1867.142
423.7554, 1870.208
424.2375, 1874.375
424.7196, 1879.665
425.2018, 1884.324
425.6839, 1886.888
426.1660, 1889.712
426.6481, 1894.303
427.1302, 1902.284
427.6123, 1909.285
428.0945, 1914.637
428.5766, 1919.204
429.0587, 1925.091
429.5408, 1932.769
430.0229, 1940.777
430.5050, 1948.822
430.9872, 1956.871
431.4693, 1963.540
431.9514, 1968.506
432.4335, 1972.950
432.9156, 1978.113
433.3977, 1983.989
433.8799, 1989.703
434.3620, 1994.749
434.8441, 1999.839
435.3262, 2007.251
435.8083, 2016.832
436.2904, 2025.715
436.7726, 2032.014
437.2547, 2036.324
437.7368, 2039.853
438.2189, 2042.653
438.7010, 2045.168
439.1831, 2047.766
439.6652, 2050.458
440.1473, 2053.246
440.6295, 2056.440
441.1116, 2059.528
441.5937, 2062.053
442.0758, 2064.114
442.5579, 2066.058
443.0400, 2067.867
443.5222, 2069.786
444.0043, 2072.245
444.4864, 2075.982
444.9685, 2078.409
445.4506, 2077.964
445.9327, 2075.868
446.4149, 2073.872
446.8970, 2071.752
447.3791, 2070.314
447.8612, 2070.135
448.3433, 2071.239
448.8254, 2071.489
449.3076, 2070.824
449.7897, 2069.351
450.2718, 2067.178
450.7539, 2064.625
451.2360, 2060.644
451.7181, 2054.862
452.2003, 2047.846
452.6824, 2040.640
453.1645, 2033.037
453.6466, 2025.936
454.1287, 2020.138
454.6108, 2015.272
455.0930, 2008.135
455.5751, 1998.145
456.0572, 1988.980
456.5393, 1985.492
457.0214, 1986.362
457.5035, 1984.755
457.9857, 1979.046
458.4678, 1971.225
458.9499, 1962.885
459.4320, 1954.589
459.9141, 1948.213
460.3962, 1946.443
460.8784, 1946.359
461.3605, 1944.812
461.8426, 1941.661
462.3247, 1937.746
462.8068, 1933.370
463.2889, 1928.608
463.7711, 1923.632
464.2532, 1919.037
464.7353, 1913.471
465.2174, 1905.839
465.6995, 1896.867
466.1816, 1888.119
466.6638, 1880.626
