##NAMES=Aravaipaite
##RRUFFID=R100032
##IDEAL CHEMISTRY=Pb^2+^_3_AlF_9_&#183;H_2_O
##LOCALITY=Grand Reef mine, Klondyke, Aravaipa District, Graham County, Arizona, USA
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Transparent sheets, associated with laurelite R100011 and scotlandite R100043
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100032
284.8620, 1303.509
285.3441, 1302.783
285.8262, 1302.095
286.3083, 1301.356
286.7905, 1300.342
287.2726, 1298.626
287.7547, 1296.426
288.2368, 1296.081
288.7189, 1300.137
289.2010, 1303.028
289.6832, 1302.577
290.1653, 1300.167
290.6474, 1297.942
291.1295, 1297.177
291.6116, 1297.451
292.0938, 1297.011
292.5759, 1294.987
293.0580, 1293.516
293.5401, 1293.631
294.0222, 1294.243
294.5043, 1293.965
294.9865, 1292.146
295.4686, 1289.603
295.9507, 1288.408
296.4328, 1289.571
296.9149, 1290.326
297.3970, 1289.782
297.8792, 1289.047
298.3613, 1289.486
298.8434, 1291.403
299.3255, 1293.377
299.8076, 1292.673
300.2897, 1287.147
300.7719, 1283.829
301.2540, 1283.983
301.7361, 1285.370
302.2182, 1287.105
302.7003, 1288.774
303.1824, 1289.845
303.6646, 1289.479
304.1467, 1287.086
304.6288, 1285.385
305.1109, 1284.162
305.5930, 1283.744
306.0751, 1284.973
306.5573, 1287.363
307.0394, 1289.343
307.5215, 1289.279
308.0036, 1286.950
308.4857, 1285.821
308.9678, 1287.676
309.4500, 1289.011
309.9321, 1288.637
310.4142, 1286.958
310.8963, 1284.885
311.3784, 1282.943
311.8605, 1281.181
312.3427, 1280.035
312.8248, 1280.011
313.3069, 1280.063
313.7890, 1279.967
314.2711, 1279.845
314.7532, 1279.973
315.2354, 1280.512
315.7175, 1281.169
316.1996, 1281.054
316.6817, 1279.600
317.1638, 1278.240
317.6459, 1276.904
318.1281, 1275.844
318.6102, 1275.502
319.0923, 1275.957
319.5744, 1276.577
320.0565, 1276.198
320.5386, 1274.078
321.0208, 1272.670
321.5029, 1272.751
321.9850, 1272.940
322.4671, 1272.016
322.9492, 1270.052
323.4313, 1268.367
323.9135, 1268.637
324.3956, 1271.445
324.8777, 1273.208
325.3598, 1273.933
325.8419, 1273.597
326.3240, 1270.992
326.8062, 1267.132
327.2883, 1264.569
327.7704, 1265.651
328.2525, 1270.084
328.7346, 1272.566
329.2167, 1271.681
329.6989, 1270.288
330.1810, 1268.485
330.6631, 1266.770
331.1452, 1265.994
331.6273, 1266.755
332.1094, 1268.296
332.5916, 1268.035
333.0737, 1264.063
333.5558, 1261.608
334.0379, 1262.366
334.5200, 1264.383
335.0021, 1266.176
335.4843, 1267.218
335.9664, 1267.270
336.4485, 1265.426
336.9306, 1260.312
337.4127, 1257.429
337.8948, 1259.793
338.3770, 1262.526
338.8591, 1262.262
339.3412, 1259.016
339.8233, 1255.629
340.3055, 1255.378
340.7876, 1258.714
341.2697, 1260.633
341.7518, 1260.166
342.2339, 1259.093
342.7160, 1257.661
343.1982, 1256.161
343.6803, 1255.090
344.1624, 1254.775
344.6445, 1255.164
345.1266, 1256.202
345.6087, 1259.094
346.0909, 1260.581
346.5730, 1258.597
347.0551, 1255.183
347.5372, 1252.952
348.0193, 1253.043
348.5014, 1254.440
348.9836, 1255.483
349.4657, 1256.286
349.9478, 1256.319
350.4299, 1254.141
350.9120, 1251.936
351.3941, 1251.598
351.8763, 1253.440
352.3584, 1255.744
352.8405, 1256.784
353.3226, 1256.534
353.8047, 1256.035
354.2868, 1255.192
354.7690, 1254.352
355.2511, 1253.460
355.7332, 1252.667
356.2153, 1252.547
356.6974, 1254.523
357.1795, 1257.647
357.6617, 1257.514
358.1438, 1251.856
358.6259, 1247.620
359.1080, 1250.527
359.5901, 1257.023
360.0722, 1261.419
360.5544, 1261.006
361.0365, 1258.409
361.5186, 1257.277
362.0007, 1257.791
362.4828, 1258.386
362.9649, 1258.539
363.4471, 1258.372
363.9292, 1257.983
364.4113, 1257.334
364.8934, 1256.657
365.3755, 1256.313
365.8576, 1256.169
366.3398, 1255.348
366.8219, 1253.109
367.3040, 1250.953
367.7861, 1250.606
368.2682, 1251.895
368.7503, 1253.294
369.2325, 1254.276
369.7146, 1254.965
370.1967, 1255.822
370.6788, 1257.057
371.1609, 1257.398
