##NAMES=Eglestonite
##RRUFFID=R060612
##IDEAL CHEMISTRY=Hg^1+^_6_OCl_3_(OH)
##LOCALITY=Cahill mine, Poverty Peak District, Humboldt County, Nevada, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Brown fragments
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R060612
##MEASURED CHEMISTRY=Hg^1+^_6.00_OCl_3.00_(OH) ; O,H not measured but estimated by difference and stoichiometry
8.846484e+001, 1.131318e+001
8.894696e+001, 1.100442e+001
8.942908e+001, 1.102707e+001
8.991119e+001, 1.141664e+001
9.039331e+001, 1.192494e+001
9.087543e+001, 1.236939e+001
9.135754e+001, 1.272523e+001
9.183966e+001, 1.289655e+001
9.232178e+001, 1.279800e+001
9.280389e+001, 1.264550e+001
9.328601e+001, 1.242886e+001
9.376813e+001, 1.213930e+001
9.425024e+001, 1.184601e+001
9.473236e+001, 1.171993e+001
9.521448e+001, 1.194106e+001
9.569659e+001, 1.201380e+001
9.617871e+001, 1.187279e+001
9.666083e+001, 1.162182e+001
9.714294e+001, 1.136479e+001
9.762506e+001, 1.115597e+001
9.810718e+001, 1.099228e+001
9.858929e+001, 1.093915e+001
9.907141e+001, 1.111870e+001
9.955353e+001, 1.126025e+001
1.000356e+002, 1.126120e+001
1.005178e+002, 1.113049e+001
1.009999e+002, 1.093187e+001
1.014820e+002, 1.069187e+001
1.019641e+002, 1.039773e+001
1.024462e+002, 1.027451e+001
1.029283e+002, 1.048182e+001
1.034105e+002, 1.077639e+001
1.038926e+002, 1.089761e+001
1.043747e+002, 1.077943e+001
1.048568e+002, 1.058980e+001
1.053389e+002, 1.049895e+001
1.058210e+002, 1.049005e+001
1.063032e+002, 1.053171e+001
1.067853e+002, 1.065303e+001
1.072674e+002, 1.082864e+001
1.077495e+002, 1.092809e+001
1.082316e+002, 1.083306e+001
1.087137e+002, 1.074806e+001
1.091959e+002, 1.084743e+001
1.096780e+002, 1.113018e+001
1.101601e+002, 1.142928e+001
1.106422e+002, 1.155327e+001
1.111243e+002, 1.144680e+001
