##NAMES=Lithiotantite
##RRUFFID=R100165
##IDEAL CHEMISTRY=LiTa^5+^_3_O_8_
##LOCALITY=Murundu mine, Jenipapo district, Itinga, Minas Gerais, Brazil
##OWNER=RRUFF
##SOURCE=Luiz Menezes
##DESCRIPTION=Brown bladed crystals associated with reddish brown prismatic tantalite, and black cassiterite. Used in the Menezes et al (2012) study.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100165
488.8336, 2409.195
489.3157, 2409.707
489.7978, 2411.344
490.2799, 2413.891
490.7620, 2416.931
491.2441, 2419.322
491.7263, 2419.560
492.2084, 2418.425
492.6905, 2419.953
493.1726, 2425.257
493.6547, 2430.571
494.1368, 2433.630
494.6190, 2436.253
495.1011, 2440.699
495.5832, 2447.636
496.0653, 2454.138
496.5474, 2456.758
497.0295, 2457.096
497.5117, 2460.363
497.9938, 2467.808
498.4759, 2476.066
498.9580, 2481.951
499.4401, 2486.230
499.9222, 2492.915
500.4044, 2504.398
500.8865, 2516.107
501.3686, 2526.235
501.8507, 2534.864
502.3328, 2541.813
502.8149, 2546.916
503.2971, 2552.006
503.7792, 2559.871
504.2613, 2571.883
504.7434, 2581.992
505.2255, 2588.418
505.7076, 2594.936
506.1898, 2603.663
506.6719, 2613.864
507.1540, 2623.770
507.6361, 2632.469
508.1182, 2640.342
508.6003, 2648.127
509.0825, 2655.755
509.5646, 2663.524
510.0467, 2671.008
510.5288, 2678.999
511.0109, 2688.178
511.4930, 2698.343
511.9752, 2708.704
512.4573, 2718.854
512.9394, 2728.827
513.4215, 2739.031
513.9036, 2749.750
514.3857, 2758.993
514.8679, 2764.549
515.3500, 2769.363
515.8321, 2777.513
516.3142, 2789.483
516.7963, 2801.014
517.2784, 2809.627
517.7606, 2817.072
518.2427, 2825.651
518.7248, 2835.585
519.2069, 2846.528
519.6890, 2858.488
520.1711, 2871.224
520.6533, 2883.122
521.1354, 2891.832
521.6175, 2903.011
522.0996, 2919.130
522.5817, 2937.215
523.0638, 2953.894
523.5460, 2968.783
524.0281, 2984.230
524.5102, 3002.418
524.9923, 3023.213
525.4744, 3044.848
525.9565, 3068.104
526.4387, 3090.962
526.9208, 3111.385
527.4029, 3132.167
527.8850, 3156.208
528.3671, 3184.218
528.8492, 3214.576
529.3314, 3246.081
529.8135, 3278.585
530.2956, 3311.230
530.7777, 3343.610
531.2598, 3376.698
531.7419, 3409.806
532.2241, 3444.216
532.7062, 3482.965
533.1883, 3526.963
533.6704, 3574.469
534.1525, 3626.204
534.6346, 3680.475
535.1168, 3733.283
535.5989, 3783.478
536.0810, 3834.604
536.5631, 3889.879
537.0452, 3949.719
537.5273, 4011.092
538.0095, 4071.984
538.4916, 4136.648
538.9737, 4208.509
539.4558, 4284.802
539.9379, 4361.689
540.4200, 4437.763
540.9022, 4514.524
541.3843, 4593.478
541.8664, 4674.745
542.3485, 4757.756
542.8306, 4841.945
543.3127, 4928.214
543.7948, 5016.111
544.2769, 5106.279
544.7590, 5199.898
545.2411, 5297.986
545.7233, 5396.856
546.2054, 5489.288
546.6875, 5576.264
547.1696, 5667.964
547.6517, 5768.193
548.1339, 5868.706
548.6160, 5962.079
549.0981, 6049.883
549.5802, 6137.425
550.0623, 6225.178
550.5444, 6312.802
551.0266, 6402.447
551.5087, 6491.869
551.9908, 6576.292
552.4729, 6654.255
552.9550, 6727.254
553.4371, 6796.378
553.9193, 6860.883
554.4014, 6927.722
554.8835, 7001.888
555.3656, 7072.591
555.8477, 7136.334
556.3298, 7194.501
556.8120, 7248.582
557.2941, 7299.466
557.7762, 7346.459
558.2583, 7388.381
