##NAMES=Schaurteite
##RRUFFID=R120054
##IDEAL CHEMISTRY=Ca_3_Ge(S^6+^O_4_)_2_(OH)_6_&#183;3H_2_O
##LOCALITY=Tsumeb, Namibia
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Massive aggregate of parallel and radiating colorless needles intermixed with calcite, associated with tennantite and renierite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R120054
1.150801e+002, 2.450178e+001
1.155623e+002, 2.300207e+001
1.160444e+002, 2.198744e+001
1.165265e+002, 2.235766e+001
1.170086e+002, 2.346024e+001
1.174907e+002, 2.393019e+001
1.179728e+002, 2.240090e+001
1.184550e+002, 2.063194e+001
1.189371e+002, 1.980570e+001
1.194192e+002, 2.074232e+001
1.199013e+002, 2.177261e+001
1.203834e+002, 2.196416e+001
1.208655e+002, 2.149753e+001
1.213477e+002, 2.107750e+001
1.218298e+002, 2.120195e+001
1.223119e+002, 2.153931e+001
1.227940e+002, 2.174118e+001
1.232761e+002, 2.167347e+001
1.237582e+002, 2.145730e+001
1.242404e+002, 2.114140e+001
1.247225e+002, 2.073471e+001
1.252046e+002, 2.034606e+001
1.256867e+002, 2.007738e+001
1.261688e+002, 1.988665e+001
1.266509e+002, 1.970009e+001
1.271331e+002, 1.939761e+001
1.276152e+002, 1.911424e+001
1.280973e+002, 1.909143e+001
1.285794e+002, 1.934440e+001
1.290615e+002, 1.967318e+001
1.295436e+002, 1.989340e+001
1.300258e+002, 2.001801e+001
1.305079e+002, 2.009973e+001
1.309900e+002, 2.016694e+001
1.314721e+002, 2.021101e+001
1.319542e+002, 2.021535e+001
1.324363e+002, 2.018600e+001
1.329185e+002, 2.009604e+001
1.334006e+002, 1.985974e+001
1.338827e+002, 1.947544e+001
1.343648e+002, 1.913004e+001
1.348469e+002, 1.888286e+001
1.353290e+002, 1.873823e+001
1.358112e+002, 1.882940e+001
1.362933e+002, 1.929221e+001
1.367754e+002, 1.984137e+001
1.372575e+002, 1.970667e+001
1.377396e+002, 1.873994e+001
