##NAMES=Spinel
##RRUFFID=R070013
##IDEAL CHEMISTRY=MgAl_2_O_4_
##LOCALITY=Bo Phloi, Kanchoutabori Province, Thailand
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Black glassy fragment with conchoidal fracture
##STATUS=The identification of this mineral has been made only by X-ray diffraction.
##URL=rruff.info/R070013
##MEASURED CHEMISTRY=(Mg_0.69_Fe^2+^_0.31_)_Σ=1_(Al_1.90_Fe^3+^_0.10_)_Σ=2_O_4_ ; trace of Mn, Ti and Cr
157.9508, 2144.728
158.4330, 2159.413
158.9151, 2172.137
159.3972, 2186.531
159.8793, 2203.979
160.3614, 2222.494
160.8435, 2240.217
161.3257, 2256.495
161.8078, 2271.413
162.2899, 2285.306
162.7720, 2297.519
163.2541, 2309.365
163.7362, 2319.525
164.2184, 2329.809
164.7005, 2344.878
165.1826, 2366.653
165.6647, 2387.710
166.1468, 2391.458
166.6289, 2359.767
167.1111, 2340.312
167.5932, 2345.107
168.0753, 2361.883
168.5574, 2376.497
169.0395, 2384.268
169.5216, 2387.142
170.0038, 2388.662
170.4859, 2388.313
170.9680, 2387.803
171.4501, 2385.803
171.9322, 2384.221
172.4143, 2386.578
172.8965, 2394.484
173.3786, 2404.270
173.8607, 2409.010
174.3428, 2407.649
174.8249, 2405.347
175.3070, 2401.221
175.7892, 2397.211
176.2713, 2396.335
176.7534, 2399.582
177.2355, 2405.797
177.7176, 2414.117
178.1997, 2425.732
178.6819, 2434.418
179.1640, 2437.576
179.6461, 2437.109
180.1282, 2435.480
180.6103, 2432.981
181.0924, 2430.731
181.5745, 2430.518
182.0567, 2432.158
182.5388, 2435.065
183.0209, 2439.976
183.5030, 2445.873
183.9851, 2451.251
184.4672, 2455.894
184.9494, 2459.471
185.4315, 2461.998
185.9136, 2463.841
186.3957, 2462.265
186.8778, 2453.590
187.3599, 2441.591
187.8421, 2432.452
188.3242, 2427.369
188.8063, 2425.197
189.2884, 2426.557
189.7705, 2430.949
190.2526, 2432.810
190.7348, 2429.276
191.2169, 2422.368
191.6990, 2414.844
192.1811, 2406.417
192.6632, 2399.580
193.1453, 2396.887
193.6275, 2397.733
194.1096, 2401.762
194.5917, 2414.371
195.0738, 2428.592
195.5559, 2431.471
196.0380, 2419.449
196.5202, 2403.941
197.0023, 2395.586
197.4844, 2392.098
197.9665, 2386.904
198.4486, 2376.814
198.9307, 2364.169
199.4129, 2351.842
199.8950, 2339.310
200.3771, 2329.556
200.8592, 2327.413
201.3413, 2329.938
201.8234, 2331.166
202.3056, 2329.403
202.7877, 2325.388
203.2698, 2319.805
203.7519, 2312.480
204.2340, 2304.573
204.7161, 2296.668
205.1983, 2288.759
205.6804, 2280.845
206.1625, 2272.890
206.6446, 2264.949
207.1267, 2256.380
207.6088, 2246.742
208.0910, 2239.712
208.5731, 2242.044
209.0552, 2247.142
209.5373, 2243.930
210.0194, 2224.679
210.5015, 2202.653
210.9837, 2194.031
211.4658, 2199.881
211.9479, 2204.837
212.4300, 2198.384
212.9121, 2188.304
213.3942, 2185.689
213.8764, 2194.375
214.3585, 2206.395
214.8406, 2216.599
215.3227, 2225.076
215.8048, 2226.052
216.2869, 2209.587
216.7691, 2189.332
217.2512, 2184.192
217.7333, 2199.842
218.2154, 2215.779
218.6975, 2212.195
219.1796, 2190.857
219.6618, 2174.461
220.1439, 2169.516
220.6260, 2173.310
221.1081, 2183.434
221.5902, 2200.923
222.0723, 2216.327
222.5545, 2223.900
223.0366, 2224.105
223.5187, 2218.144
224.0008, 2202.365
224.4829, 2185.363
224.9650, 2175.070
225.4472, 2171.288
225.9293, 2172.206
226.4114, 2180.902
226.8935, 2194.079
227.3756, 2200.630
227.8577, 2197.573
228.3399, 2189.715
228.8220, 2179.790
229.3041, 2168.375
229.7862, 2158.718
230.2683, 2150.849
230.7504, 2145.888
231.2325, 2148.503
231.7147, 2162.710
232.1968, 2174.446
232.6789, 2166.046
233.1610, 2145.087
233.6431, 2132.130
234.1252, 2138.853
234.6074, 2155.230
235.0895, 2167.073
235.5716, 2173.765
236.0537, 2177.351
236.5358, 2177.038
237.0179, 2174.719
237.5001, 2174.512
237.9822, 2179.552
238.4643, 2185.277
238.9464, 2186.229
239.4285, 2182.297
239.9106, 2178.715
240.3928, 2179.258
240.8749, 2181.670
241.3570, 2180.992
241.8391, 2174.226
242.3212, 2168.125
242.8033, 2169.949
243.2855, 2178.344
243.7676, 2182.997
244.2497, 2178.562
244.7318, 2168.687
245.2139, 2160.430
245.6960, 2153.702
246.1782, 2148.667
246.6603, 2145.183
247.1424, 2143.406
247.6245, 2144.817
248.1066, 2151.789
248.5887, 2158.777
249.0709, 2155.282
249.5530, 2139.597
250.0351, 2128.932
250.5172, 2131.452
250.9993, 2142.547
251.4814, 2155.591
251.9636, 2170.046
252.4457, 2182.547
252.9278, 2188.217
253.4099, 2187.236
253.8920, 2185.666
254.3741, 2182.724
254.8563, 2180.696
255.3384, 2184.518
255.8205, 2194.789
256.3026, 2201.706
256.7847, 2194.949
257.2668, 2174.610
257.7490, 2159.923
258.2311, 2153.831
258.7132, 2151.513
259.1953, 2148.270
259.6774, 2144.847
260.1595, 2147.395
260.6417, 2161.663
261.1238, 2185.227
261.6059, 2202.006
262.0880, 2210.300
262.5701, 2214.453
263.0522, 2215.082
263.5344, 2212.864
264.0165, 2209.005
264.4986, 2203.905
264.9807, 2197.920
265.4628, 2191.918
265.9449, 2183.139
266.4271, 2178.360
266.9092, 2180.436
267.3913, 2186.733
267.8734, 2194.658
268.3555, 2203.411
268.8376, 2211.554
269.3198, 2216.866
269.8019, 2218.833
270.2840, 2218.098
270.7661, 2208.172
271.2482, 2199.598
271.7303, 2203.889
272.2125, 2221.492
272.6946, 2240.690
273.1767, 2248.168
273.6588, 2240.106
274.1409, 2239.262
274.6230, 2252.578
275.1052, 2265.658
275.5873, 2273.023
276.0694, 2273.933
276.5515, 2268.033
277.0336, 2253.804
277.5157, 2232.030
277.9979, 2219.417
278.4800, 2217.985
278.9621, 2223.383
279.4442, 2242.644
279.9263, 2266.588
280.4084, 2281.008
280.8906, 2278.288
281.3727, 2264.039
281.8548, 2255.598
282.3369, 2258.136
282.8190, 2259.231
283.3011, 2253.462
283.7833, 2248.238
284.2654, 2252.129
284.7475, 2266.932
285.2296, 2285.001
285.7117, 2293.620
286.1938, 2287.880
286.6760, 2286.346
287.1581, 2292.661
287.6402, 2300.553
288.1223, 2308.280
288.6044, 2314.807
289.0865, 2318.223
289.5687, 2315.445
290.0508, 2306.220
290.5329, 2300.754
291.0150, 2302.958
291.4971, 2304.800
291.9792, 2303.726
292.4614, 2300.079
292.9435, 2294.100
293.4256, 2283.912
293.9077, 2272.952
294.3898, 2273.462
294.8719, 2291.849
295.3541, 2307.329
295.8362, 2307.322
296.3183, 2302.707
296.8004, 2306.387
297.2825, 2323.922
297.7646, 2344.414
298.2468, 2354.813
298.7289, 2354.665
299.2110, 2349.243
