##NAMES=Lemoynite
##RRUFFID=R080106
##IDEAL CHEMISTRY=Na_2_CaZr^4+^_2_Si_10_O_26_&#183;5-6H_2_O
##LOCALITY=Mont Saint-Hilaire, Quebec, Canada
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Aggregates of cream-white, sub-parallel prismatic crystals
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R080106
196.9728, 492.4486
197.4550, 493.7744
197.9371, 496.5185
198.4192, 500.7177
198.9013, 503.8924
199.3834, 505.7061
199.8655, 506.5020
200.3477, 507.2018
200.8298, 507.9163
201.3119, 508.0035
201.7940, 506.9244
202.2761, 504.5860
202.7582, 502.1703
203.2404, 499.7919
203.7225, 497.3986
204.2046, 494.7774
204.6867, 491.8418
205.1688, 488.9777
205.6509, 486.4421
206.1331, 484.2382
206.6152, 482.2755
207.0973, 480.5982
207.5794, 479.1309
208.0615, 477.5483
208.5436, 475.6684
209.0258, 474.1448
209.5079, 473.5674
209.9900, 474.2230
210.4721, 474.4033
210.9542, 473.7104
211.4363, 472.5332
211.9185, 472.1977
212.4006, 472.8336
212.8827, 474.0285
213.3648, 475.5782
213.8469, 477.5899
214.3290, 479.6302
214.8112, 481.7715
215.2933, 483.8837
215.7754, 485.5244
216.2575, 486.4974
216.7396, 487.3663
217.2217, 488.5229
217.7038, 490.1932
218.1860, 491.4391
218.6681, 492.1295
219.1502, 492.3577
219.6323, 492.4847
220.1144, 492.6815
220.5965, 492.4930
221.0787, 491.6412
221.5608, 490.0141
222.0429, 488.0367
222.5250, 485.6234
223.0071, 482.8969
223.4892, 480.3115
223.9714, 477.5743
224.4535, 475.4120
224.9356, 474.4256
225.4177, 475.6063
225.8998, 475.4985
226.3819, 473.3576
226.8641, 469.8773
227.3462, 467.4912
227.8283, 466.3584
228.3104, 466.0633
228.7925, 466.5575
229.2746, 468.5064
229.7568, 469.6308
230.2389, 469.1489
230.7210, 467.9022
231.2031, 468.8123
231.6852, 473.3637
232.1673, 477.8623
232.6495, 480.4532
233.1316, 480.4383
233.6137, 480.0123
234.0958, 478.8998
234.5779, 477.4756
235.0600, 476.8436
235.5422, 477.3386
236.0243, 478.1369
236.5064, 478.8424
236.9885, 479.1846
237.4706, 480.0434
237.9527, 481.5065
238.4349, 483.4535
238.9170, 485.5821
239.3991, 487.8942
239.8812, 490.3845
240.3633, 493.1138
240.8454, 496.3277
241.3276, 499.1573
241.8097, 501.4628
242.2918, 503.3987
242.7739, 505.2531
243.2560, 506.9407
243.7381, 508.6835
244.2203, 510.6282
244.7024, 513.0024
245.1845, 514.9398
245.6666, 516.3832
246.1487, 517.4159
246.6308, 518.2011
247.1130, 518.6536
247.5951, 519.0013
248.0772, 519.3680
248.5593, 519.8817
249.0414, 519.9410
249.5235, 519.4400
250.0057, 518.5460
250.4878, 517.4740
250.9699, 516.0368
251.4520, 514.7502
251.9341, 513.8784
252.4162, 513.5847
252.8984, 512.8462
253.3805, 511.4879
253.8626, 509.8062
254.3447, 508.2567
254.8268, 506.8095
255.3089, 505.5161
255.7911, 504.4818
256.2732, 503.7686
256.7553, 502.7288
257.2374, 501.2051
257.7195, 499.5058
258.2017, 498.0458
258.6838, 496.9970
259.1659, 495.7595
259.6480, 494.0725
260.1301, 491.9218
260.6122, 490.1662
261.0944, 489.0120
261.5765, 487.9921
262.0586, 486.4672
262.5407, 484.0203
263.0228, 482.2552
263.5049, 481.6606
263.9871, 482.1886
264.4692, 482.7140
264.9513, 483.2603
265.4334, 483.7783
265.9155, 484.2048
266.3976, 484.4742
266.8798, 484.8575
267.3619, 485.4529
267.8440, 486.2204
268.3261, 486.7151
268.8082, 486.7329
269.2903, 486.8997
269.7725, 487.8728
270.2546, 489.8992
270.7367, 491.4903
271.2188, 492.2724
271.7009, 492.4752
272.1830, 493.0888
272.6652, 494.1654
273.1473, 495.4937
273.6294, 497.0894
274.1115, 499.0671
274.5936, 500.5620
275.0757, 501.4684
275.5579, 501.8650
276.0400, 501.8496
276.5221, 501.3171
277.0042, 500.7790
277.4863, 500.5913
277.9684, 500.7892
278.4506, 500.7933
278.9327, 500.4959
279.4148, 500.0746
279.8969, 499.8308
280.3790, 499.7433
280.8611, 500.0048
281.3433, 500.9665
281.8254, 502.6253
282.3075, 503.6172
282.7896, 503.7957
283.2717, 503.5671
283.7538, 503.4601
284.2360, 503.4707
284.7181, 503.7617
285.2002, 504.4280
285.6823, 505.4527
286.1644, 506.7433
286.6465, 508.3332
287.1287, 510.0127
287.6108, 511.4863
288.0929, 512.7628
288.5750, 514.0643
289.0571, 515.5045
289.5392, 517.0390
290.0214, 518.6263
290.5035, 520.3229
290.9856, 521.5830
291.4677, 521.3797
291.9498, 520.0009
292.4319, 519.2825
292.9141, 520.1619
293.3962, 521.8505
293.8783, 522.4381
294.3604, 521.9113
294.8425, 521.1112
295.3246, 520.5885
295.8068, 520.3536
296.2889, 520.4911
296.7710, 521.2107
297.2531, 522.0947
297.7352, 522.2513
298.2173, 521.7787
298.6995, 521.5245
299.1816, 522.3386
299.6637, 523.7937
300.1458, 524.9225
300.6279, 525.4254
301.1100, 525.8302
301.5922, 526.8401
302.0743, 528.3328
302.5564, 529.8285
303.0385, 531.0538
303.5206, 532.0979
304.0027, 533.1027
304.4849, 534.0632
304.9670, 535.0120
305.4491, 536.0579
305.9312, 537.1161
306.4133, 537.9839
306.8954, 538.9415
307.3776, 539.4722
307.8597, 538.8336
308.3418, 536.8996
308.8239, 534.8044
309.3060, 533.3981
309.7881, 532.3787
310.2703, 531.3102
310.7524, 530.1464
311.2345, 528.7663
311.7166, 526.9550
312.1987, 524.7322
312.6808, 522.6378
313.1630, 521.1541
313.6451, 519.8661
314.1272, 518.3093
314.6093, 515.8975
315.0914, 513.5989
315.5735, 511.9851
316.0557, 510.9503
316.5378, 509.9506
317.0199, 508.8774
317.5020, 507.6833
317.9841, 506.2749
318.4662, 504.3238
318.9484, 502.6683
319.4305, 502.0239
319.9126, 501.9334
320.3947, 501.1931
320.8768, 498.1445
321.3589, 495.3531
321.8411, 494.2692
322.3232, 495.9060
322.8053, 497.2320
323.2874, 497.7167
323.7695, 497.5338
324.2516, 496.9591
324.7338, 495.2741
325.2159, 493.8992
325.6980, 493.3382
326.1801, 493.7742
326.6622, 494.2894
327.1443, 495.0589
327.6265, 495.7804
328.1086, 496.1514
328.5907, 496.1741
329.0728, 495.8342
329.5549, 494.7889
330.0370, 493.0224
330.5192, 492.2626
331.0013, 493.1988
331.4834, 494.5536
331.9655, 495.4945
332.4476, 496.0640
332.9297, 496.1128
333.4119, 495.3518
333.8940, 494.0259
334.3761, 493.2154
334.8582, 492.9906
335.3403, 493.1783
335.8224, 493.7834
336.3046, 495.0463
336.7867, 495.9901
337.2688, 496.5529
337.7509, 496.8206
338.2330, 496.9573
338.7151, 496.9374
339.1973, 496.8594
339.6794, 496.6522
340.1615, 496.2906
340.6436, 496.5797
341.1257, 497.7534
341.6078, 499.0849
342.0899, 499.5924
342.5721, 499.2229
343.0542, 498.7438
343.5363, 498.3133
344.0184, 497.9682
344.5005, 497.9555
344.9826, 498.3339
345.4648, 498.6369
345.9469, 498.3572
346.4290, 497.5588
346.9111, 496.7697
347.3932, 496.0150
347.8753, 495.3956
348.3575, 495.2664
348.8396, 495.5728
349.3217, 495.7715
349.8038, 495.1767
350.2859, 494.2032
350.7680, 493.9490
351.2502, 494.6387
351.7323, 495.6604
352.2144, 496.4022
352.6965, 496.9182
353.1786, 497.3510
353.6607, 497.4971
354.1429, 497.7390
354.6250, 498.6070
355.1071, 500.1407
355.5892, 501.9582
356.0713, 503.8398
356.5534, 505.8104
357.0356, 507.9102
357.5177, 510.6052
357.9998, 513.0742
358.4819, 514.3757
358.9640, 514.7345
359.4461, 515.3699
359.9283, 516.9788
360.4104, 519.1010
360.8925, 521.4315
361.3746, 524.2770
361.8567, 526.6553
362.3388, 527.8713
362.8210, 528.3046
363.3031, 528.8525
363.7852, 529.8270
364.2673, 530.9461
364.7494, 532.0933
365.2315, 533.2624
365.7137, 534.4373
366.1958, 535.6674
366.6779, 536.8718
367.1600, 537.9661
367.6421, 538.9114
368.1242, 539.7784
368.6064, 540.5998
369.0885, 541.3824
369.5706, 542.0200
370.0527, 542.4747
370.5348, 542.8250
371.0169, 543.0990
371.4991, 543.0266
371.9812, 543.3781
372.4633, 544.5524
372.9454, 546.1833
373.4275, 546.9867
373.9096, 546.9296
374.3918, 546.1174
374.8739, 544.4270
375.3560, 541.5287
375.8381, 539.1833
376.3202, 537.5325
376.8023, 536.2778
377.2845, 534.8550
377.7666, 533.1293
378.2487, 532.0553
378.7308, 532.2661
379.2129, 533.4815
379.6950, 533.7170
380.1772, 532.8456
380.6593, 531.6434
381.1414, 530.7953
381.6235, 530.2703
382.1056, 529.6584
382.5877, 528.7430
383.0699, 527.8931
383.5520, 528.0007
384.0341, 528.9776
384.5162, 529.9065
384.9983, 529.9700
385.4804, 529.6033
385.9626, 529.8438
386.4447, 530.8863
386.9268, 532.0317
387.4089, 532.7615
387.8910, 533.0563
388.3731, 532.8555
388.8553, 531.3974
389.3374, 529.8904
389.8195, 529.7034
390.3016, 530.7759
390.7837, 531.8944
391.2658, 532.3362
391.7480, 532.4160
392.2301, 532.4534
392.7122, 532.5007
393.1943, 532.5821
393.6764, 532.5370
394.1585, 532.5204
394.6407, 532.9572
395.1228, 534.6479
395.6049, 536.3220
396.0870, 537.1985
396.5691, 536.7587
397.0512, 536.9283
397.5334, 538.5425
398.0155, 540.8181
398.4976, 542.7510
398.9797, 543.4073
399.4618, 544.6153
399.9439, 547.0333
400.4261, 550.6458
400.9082, 553.5195
401.3903, 555.0705
401.8724, 556.4207
402.3545, 558.2377
402.8366, 560.4293
403.3188, 563.2718
403.8009, 566.9883
404.2830, 571.2726
404.7651, 575.4171
405.2472, 579.4232
405.7293, 583.1697
406.2115, 586.4470
406.6936, 589.1999
407.1757, 592.6160
407.6578, 596.8593
408.1399, 601.3594
408.6220, 605.4748
409.1042, 609.2186
409.5863, 613.1249
410.0684, 617.4471
410.5505, 621.9263
411.0326, 626.1586
411.5147, 630.1652
411.9969, 634.0408
412.4790, 637.8698
412.9611, 641.6725
413.4432, 645.4323
413.9253, 649.1907
414.4074, 652.9037
414.8896, 656.7715
415.3717, 660.5878
415.8538, 663.8315
416.3359, 665.9543
416.8180, 667.5579
417.3001, 669.0912
417.7823, 670.5834
418.2644, 671.9609
418.7465, 673.3214
419.2286, 674.5095
419.7107, 675.3430
420.1928, 675.5452
420.6750, 675.6953
421.1571, 675.9090
421.6392, 676.2232
422.1213, 676.7371
422.6034, 677.7155
423.0855, 678.6912
423.5677, 679.4619
424.0498, 679.9402
424.5319, 680.4787
425.0140, 681.2213
425.4961, 682.0046
425.9782, 682.6605
426.4604, 683.0628
426.9425, 683.5499
427.4246, 684.1887
427.9067, 684.9709
428.3888, 685.7527
428.8709, 686.4669
429.3531, 687.2985
429.8352, 688.6031
430.3173, 690.6935
430.7994, 691.4869
431.2815, 690.7778
431.7636, 688.9822
432.2458, 686.7715
432.7279, 684.1529
433.2100, 680.8248
433.6921, 676.4286
434.1742, 671.2476
434.6563, 666.4269
435.1385, 661.9072
435.6206, 657.5608
436.1027, 653.3722
436.5848, 649.2653
437.0669, 644.9540
437.5490, 640.2331
438.0312, 635.6706
438.5133, 631.8932
438.9954, 628.7610
439.4775, 625.8729
439.9596, 622.9309
440.4417, 620.2136
440.9239, 618.0463
441.4060, 616.4527
441.8881, 615.0071
442.3702, 613.5237
442.8523, 612.0664
443.3344, 610.6900
443.8166, 609.6578
444.2987, 608.4085
444.7808, 606.7259
445.2629, 604.6798
445.7450, 602.4671
446.2271, 600.1409
446.7093, 597.6824
447.1914, 595.0245
447.6735, 592.0140
448.1556, 589.3035
448.6377, 587.5381
449.1198, 585.6636
449.6020, 582.4596
450.0841, 577.0674
450.5662, 572.3093
451.0483, 568.7626
451.5304, 566.1576
452.0125, 563.3456
452.4947, 560.1969
452.9768, 557.1689
453.4589, 554.6378
453.9410, 552.6006
454.4231, 549.9322
454.9052, 546.3786
455.3874, 542.8026
455.8695, 540.3997
456.3516, 539.0153
456.8337, 537.6059
