##NAMES=Minasragrite
##RRUFFID=R130365
##IDEAL CHEMISTRY=V^4+^O(S^6+^O_4_)&#183;5H_2_O
##LOCALITY=Minas Ragra mine, Pasco, Peru
##OWNER=RRUFF
##SOURCE=Tom Loomis
##DESCRIPTION=Glassy blue crystals on patronite, associated with R130366 retgersite
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R130365
1.746057e+002, 6.680883e+001
1.750878e+002, 6.696490e+001
1.755699e+002, 6.658787e+001
1.760521e+002, 6.625175e+001
1.765342e+002, 6.610450e+001
1.770163e+002, 6.610709e+001
1.774984e+002, 6.618098e+001
1.779805e+002, 6.627676e+001
1.784626e+002, 6.639492e+001
1.789448e+002, 6.649272e+001
1.794269e+002, 6.655504e+001
1.799090e+002, 6.661217e+001
1.803911e+002, 6.665248e+001
1.808732e+002, 6.669169e+001
1.813553e+002, 6.677555e+001
1.818375e+002, 6.696156e+001
1.823196e+002, 6.727981e+001
1.828017e+002, 6.737332e+001
1.832838e+002, 6.707510e+001
1.837659e+002, 6.675362e+001
1.842480e+002, 6.660023e+001
1.847301e+002, 6.660795e+001
1.852123e+002, 6.663566e+001
1.856944e+002, 6.653147e+001
1.861765e+002, 6.626423e+001
1.866586e+002, 6.622373e+001
1.871407e+002, 6.663161e+001
1.876228e+002, 6.709983e+001
1.881050e+002, 6.735262e+001
1.885871e+002, 6.735934e+001
1.890692e+002, 6.723545e+001
1.895513e+002, 6.703112e+001
1.900334e+002, 6.675607e+001
1.905155e+002, 6.662302e+001
1.909977e+002, 6.673885e+001
1.914798e+002, 6.697042e+001
1.919619e+002, 6.718818e+001
1.924440e+002, 6.738353e+001
1.929261e+002, 6.753625e+001
1.934082e+002, 6.764286e+001
1.938904e+002, 6.770004e+001
1.943725e+002, 6.764887e+001
1.948546e+002, 6.732955e+001
1.953367e+002, 6.691186e+001
1.958188e+002, 6.677081e+001
1.963009e+002, 6.704840e+001
1.967831e+002, 6.735787e+001
1.972652e+002, 6.738585e+001
1.977473e+002, 6.721663e+001
1.982294e+002, 6.705461e+001
1.987115e+002, 6.698891e+001
1.991936e+002, 6.701231e+001
1.996758e+002, 6.711184e+001
2.001579e+002, 6.738187e+001
2.006400e+002, 6.759106e+001
2.011221e+002, 6.753514e+001
2.016042e+002, 6.731747e+001
2.020863e+002, 6.719612e+001
2.025685e+002, 6.740410e+001
2.030506e+002, 6.791657e+001
2.035327e+002, 6.830505e+001
2.040148e+002, 6.851643e+001
2.044969e+002, 6.863834e+001
2.049790e+002, 6.871732e+001
2.054612e+002, 6.873843e+001
2.059433e+002, 6.865014e+001
2.064254e+002, 6.835620e+001
2.069075e+002, 6.783333e+001
2.073896e+002, 6.756054e+001
2.078717e+002, 6.784187e+001
2.083539e+002, 6.810979e+001
2.088360e+002, 6.816273e+001
2.093181e+002, 6.804160e+001
2.098002e+002, 6.789833e+001
2.102823e+002, 6.785983e+001
2.107644e+002, 6.792878e+001
2.112466e+002, 6.808685e+001
2.117287e+002, 6.856516e+001
2.122108e+002, 6.891292e+001
2.126929e+002, 6.882207e+001
2.131750e+002, 6.840085e+001
2.136571e+002, 6.802721e+001
2.141393e+002, 6.806953e+001
2.146214e+002, 6.861817e+001
2.151035e+002, 6.895100e+001
2.155856e+002, 6.896113e+001
2.160677e+002, 6.890527e+001
2.165498e+002, 6.890379e+001
2.170320e+002, 6.895838e+001
2.175141e+002, 6.900449e+001
2.179962e+002, 6.897583e+001
2.184783e+002, 6.885795e+001
2.189604e+002, 6.880931e+001
2.194425e+002, 6.890889e+001
2.199247e+002, 6.900481e+001
2.204068e+002, 6.895757e+001
2.208889e+002, 6.878483e+001
2.213710e+002, 6.866264e+001
2.218531e+002, 6.875217e+001
2.223352e+002, 6.907413e+001
2.228174e+002, 6.937484e+001
2.232995e+002, 6.970248e+001
2.237816e+002, 6.997552e+001
2.242637e+002, 7.011892e+001
2.247458e+002, 7.013265e+001
2.252279e+002, 7.008708e+001
2.257100e+002, 7.002675e+001
2.261922e+002, 6.995093e+001
2.266743e+002, 6.986397e+001
2.271564e+002, 6.971225e+001
2.276385e+002, 6.958323e+001
2.281206e+002, 6.955454e+001
2.286027e+002, 6.963015e+001
2.290849e+002, 6.978867e+001
2.295670e+002, 7.007244e+001
2.300491e+002, 7.042896e+001
2.305312e+002, 7.071274e+001
2.310133e+002, 7.088815e+001
2.314954e+002, 7.098595e+001
2.319776e+002, 7.100799e+001
2.324597e+002, 7.093826e+001
2.329418e+002, 7.090546e+001
2.334239e+002, 7.102707e+001
2.339060e+002, 7.123425e+001
2.343881e+002, 7.142680e+001
2.348703e+002, 7.156764e+001
2.353524e+002, 7.169334e+001
2.358345e+002, 7.186724e+001
2.363166e+002, 7.210877e+001
2.367987e+002, 7.232059e+001
2.372808e+002, 7.238371e+001
2.377630e+002, 7.241068e+001
2.382451e+002, 7.254095e+001
2.387272e+002, 7.285220e+001
2.392093e+002, 7.323438e+001
2.396914e+002, 7.349417e+001
2.401735e+002, 7.358353e+001
2.406557e+002, 7.370904e+001
2.411378e+002, 7.402485e+001
2.416199e+002, 7.438383e+001
2.421020e+002, 7.462627e+001
2.425841e+002, 7.467482e+001
2.430662e+002, 7.465657e+001
2.435484e+002, 7.479986e+001
2.440305e+002, 7.516293e+001
2.445126e+002, 7.553170e+001
2.449947e+002, 7.583398e+001
2.454768e+002, 7.612176e+001
2.459589e+002, 7.645302e+001
2.464410e+002, 7.685139e+001
2.469232e+002, 7.725586e+001
2.474053e+002, 7.754757e+001
2.478874e+002, 7.764696e+001
2.483695e+002, 7.782442e+001
2.488516e+002, 7.825753e+001
2.493337e+002, 7.870103e+001
2.498159e+002, 7.894428e+001
2.502980e+002, 7.892684e+001
2.507801e+002, 7.877885e+001
2.512622e+002, 7.871353e+001
2.517443e+002, 7.876103e+001
2.522264e+002, 7.882852e+001
2.527086e+002, 7.897942e+001
2.531907e+002, 7.909826e+001
2.536728e+002, 7.909689e+001
2.541549e+002, 7.895556e+001
2.546370e+002, 7.872522e+001
2.551191e+002, 7.847904e+001
2.556013e+002, 7.822321e+001
2.560834e+002, 7.793670e+001
2.565655e+002, 7.745796e+001
2.570476e+002, 7.706612e+001
2.575297e+002, 7.705505e+001
2.580118e+002, 7.742168e+001
2.584940e+002, 7.781874e+001
2.589761e+002, 7.773570e+001
2.594582e+002, 7.684855e+001
2.599403e+002, 7.630352e+001
2.604224e+002, 7.631531e+001
2.609045e+002, 7.642294e+001
2.613867e+002, 7.631939e+001
2.618688e+002, 7.598865e+001
2.623509e+002, 7.564181e+001
2.628330e+002, 7.553210e+001
2.633151e+002, 7.575462e+001
2.637972e+002, 7.587299e+001
2.642794e+002, 7.590816e+001
2.647615e+002, 7.584655e+001
2.652436e+002, 7.561396e+001
2.657257e+002, 7.525098e+001
2.662078e+002, 7.490329e+001
2.666899e+002, 7.471011e+001
2.671721e+002, 7.468528e+001
2.676542e+002, 7.475687e+001
2.681363e+002, 7.502843e+001
2.686184e+002, 7.528223e+001
2.691005e+002, 7.543742e+001
2.695826e+002, 7.548225e+001
2.700648e+002, 7.539893e+001
2.705469e+002, 7.513505e+001
2.710290e+002, 7.467603e+001
2.715111e+002, 7.455267e+001
2.719932e+002, 7.509812e+001
2.724753e+002, 7.557710e+001
2.729575e+002, 7.557443e+001
2.734396e+002, 7.522895e+001
2.739217e+002, 7.497340e+001
2.744038e+002, 7.512146e+001
2.748859e+002, 7.562705e+001
2.753680e+002, 7.591280e+001
2.758501e+002, 7.585946e+001
2.763322e+002, 7.577506e+001
2.768144e+002, 7.572883e+001
2.772965e+002, 7.572901e+001
2.777786e+002, 7.579582e+001
2.782607e+002, 7.595313e+001
2.787428e+002, 7.616660e+001
2.792249e+002, 7.628394e+001
2.797071e+002, 7.632001e+001
2.801892e+002, 7.626842e+001
2.806713e+002, 7.605014e+001
2.811534e+002, 7.575195e+001
2.816355e+002, 7.553661e+001
2.821176e+002, 7.548200e+001
2.825998e+002, 7.552394e+001
2.830819e+002, 7.549744e+001
2.835640e+002, 7.535630e+001
2.840461e+002, 7.524534e+001
2.845282e+002, 7.518893e+001
2.850103e+002, 7.518169e+001
2.854925e+002, 7.524800e+001
2.859746e+002, 7.540936e+001
2.864567e+002, 7.556179e+001
2.869388e+002, 7.548975e+001
2.874209e+002, 7.508903e+001
2.879030e+002, 7.483762e+001
2.883852e+002, 7.488538e+001
2.888673e+002, 7.509242e+001
2.893494e+002, 7.532800e+001
2.898315e+002, 7.556689e+001
2.903136e+002, 7.574532e+001
2.907957e+002, 7.575979e+001
2.912779e+002, 7.558340e+001
2.917600e+002, 7.544774e+001
2.922421e+002, 7.536581e+001
2.927242e+002, 7.533944e+001
2.932063e+002, 7.539305e+001
2.936884e+002, 7.552771e+001
