##NAMES=Salammoniac
##RRUFFID=R061022
##IDEAL CHEMISTRY=N^3-^H_4_Cl
##LOCALITY=Schoeller mine, Kladno, Bohemia, Czech Republic
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=A crust of colorless tabular crystals
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R061022
##MEASURED CHEMISTRY=NH_4_Cl_1.00_ ; N, H not measured but estimated by stoichiometry
198.8696, 221.6382
199.3517, 215.6816
199.8338, 209.1193
200.3159, 203.2220
200.7980, 198.8909
201.2802, 194.3435
201.7623, 188.1351
202.2444, 180.5424
202.7265, 172.7758
203.2086, 165.7720
203.6907, 159.5515
204.1729, 153.3508
204.6550, 147.8149
205.1371, 141.7124
205.6192, 133.8522
206.1013, 124.6204
206.5834, 115.7513
207.0656, 109.4581
207.5477, 106.3497
208.0298, 101.6261
208.5119, 93.14551
208.9940, 84.68225
209.4761, 77.76440
209.9583, 72.36316
210.4404, 67.47473
210.9225, 61.84094
211.4046, 55.01257
211.8867, 49.34558
212.3689, 45.69763
212.8510, 42.32227
213.3331, 38.47607
213.8152, 34.10620
214.2973, 29.60266
214.7794, 25.42065
215.2616, 21.52637
215.7437, 18.04016
216.2258, 14.90320
216.7079, 12.15918
217.1900, 9.894409
217.6721, 8.097290
218.1543, 6.512268
218.6364, 4.943909
219.1185, 3.486084
219.6006, 1.643799
220.0827, 1.099670
220.5648, 3.781921
221.0470, 5.732544
221.5291, 6.862793
222.0112, 7.542786
222.4933, 8.058716
222.9754, 8.303040
223.4575, 8.885376
223.9397, 10.02759
224.4218, 11.31067
224.9039, 12.50476
225.3860, 13.53162
225.8681, 14.27496
226.3502, 14.48322
226.8324, 14.12891
227.3145, 14.07404
227.7966, 14.90436
228.2787, 15.76117
228.7608, 15.73798
229.2429, 14.71967
229.7251, 13.52118
230.2072, 12.88458
230.6893, 12.71881
231.1714, 12.50421
231.6535, 11.69434
232.1356, 11.03351
232.6178, 11.80786
233.0999, 14.35510
233.5820, 16.59021
234.0641, 16.38806
234.5462, 14.59760
235.0283, 13.06714
235.5105, 12.43439
235.9926, 12.24585
236.4747, 11.86633
236.9568, 11.22247
237.4389, 10.56396
237.9210, 10.07806
238.4032, 9.650085
238.8853, 9.092285
239.3674, 8.330261
239.8495, 7.383057
240.3316, 6.248840
240.8137, 4.778259
241.2959, 3.516724
241.7780, 2.900513
242.2601, 2.598450
242.7422, 2.308655
243.2243, 1.995667
243.7064, 1.515625
244.1886, 0.5708010
244.6707, 1.037537
245.1528, 2.642944
245.6349, 4.117737
246.1170, 5.427673
246.5991, 6.435669
247.0813, 7.024475
247.5634, 7.498291
248.0455, 8.557007
248.5276, 10.73865
249.0097, 12.29401
249.4918, 12.45587
249.9740, 12.05219
250.4561, 11.61572
250.9382, 11.32782
251.4203, 11.39191
251.9024, 12.23346
252.3845, 14.10809
252.8667, 16.24988
253.3488, 18.93524
253.8309, 21.55249
254.3130, 23.46759
254.7951, 24.51453
255.2772, 25.21667
255.7594, 26.56116
256.2415, 28.97522
256.7236, 31.14111
257.2057, 32.72717
257.6878, 34.21802
258.1699, 36.08923
258.6520, 38.41052
259.1342, 40.73755
259.6163, 42.26019
260.0984, 42.06543
260.5805, 43.02814
261.0626, 45.88672
261.5447, 49.14661
262.0269, 51.91510
262.5090, 53.99915
262.9911, 55.66901
263.4732, 57.28259
263.9553, 58.89459
264.4374, 60.26648
264.9196, 60.85620
265.4017, 61.66290
265.8838, 63.70148
266.3659, 66.79651
266.8480, 69.63623
267.3301, 70.61377
267.8123, 68.93591
268.2944, 68.81024
268.7765, 70.87891
269.2586, 73.58386
269.7407, 76.60315
270.2228, 79.62933
270.7050, 82.00781
271.1871, 83.02747
271.6692, 82.45807
272.1513, 82.59082
272.6334, 83.38470
273.1155, 84.71460
273.5977, 86.87506
274.0798, 89.58990
274.5619, 92.10712
275.0440, 93.83539
275.5261, 94.79053
276.0082, 95.95938
276.4904, 97.69098
276.9725, 99.22296
277.4546, 99.97662
277.9367, 100.2654
278.4188, 100.9710
278.9009, 102.7709
279.3831, 105.3703
279.8652, 106.7461
280.3473, 105.7939
280.8294, 105.1405
281.3115, 105.6978
281.7936, 106.9728
282.2758, 108.1220
282.7579, 108.7643
283.2400, 109.0096
283.7221, 109.1633
284.2042, 109.3647
284.6863, 109.3981
285.1685, 109.0359
285.6506, 108.4393
286.1327, 107.9528
286.6148, 107.7699
287.0969, 107.7978
287.5790, 107.7357
288.0612, 107.4247
288.5433, 107.2691
289.0254, 107.6679
289.5075, 108.1751
289.9896, 108.0873
290.4717, 107.1128
290.9539, 105.6572
291.4360, 104.4083
291.9181, 103.5752
292.4002, 102.9759
292.8823, 102.7423
293.3644, 102.5639
293.8466, 102.1077
294.3287, 101.3387
294.8108, 100.5450
295.2929, 99.97757
295.7750, 99.64917
296.2571, 99.41666
296.7393, 99.31454
297.2214, 99.30243
297.7035, 99.49762
298.1856, 99.86823
298.6677, 99.97006
299.1498, 99.27039
299.6320, 97.85156
300.1141, 97.11935
300.5962, 97.78180
301.0783, 98.48486
301.5604, 98.41983
302.0425, 97.70728
302.5247, 96.87042
303.0068, 96.16345
303.4889, 95.51559
303.9710, 94.68433
304.4531, 93.20258
304.9352, 92.12665
305.4174, 92.21268
305.8995, 93.12442
306.3816, 94.00766
306.8637, 94.54745
