##NAMES=Piemontite
##RRUFFID=R060905
##IDEAL CHEMISTRY=Ca_2_Mn^3+^Al_2_(Si_2_O_7_)(SiO_4_)O(OH)
##LOCALITY=Praborna mine, Aosta Valley, St. Marcel, Italy
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Elongated purple single crystals associated with albite and romeite, R060323
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R060905
##MEASURED CHEMISTRY=(Ca_1.82_Mn^2+^_0.12_)_Σ=2_(Al_1.95_Mn^3+^_0.97_Fe^3+^_0.08_)_Σ=3_[Si_2.00_O_7_][Si_1.00_O_4_]O(OH) ; = lighter phase, and the darker phase is albite.
162.9895, 3322.151
163.4716, 3343.107
163.9537, 3366.785
164.4358, 3394.969
164.9179, 3423.580
165.4000, 3447.620
165.8822, 3467.340
166.3643, 3491.715
166.8464, 3530.086
167.3285, 3573.953
167.8106, 3608.845
168.2927, 3632.279
168.7749, 3647.750
169.2570, 3655.206
169.7391, 3654.323
170.2212, 3656.472
170.7033, 3670.462
171.1854, 3689.877
171.6676, 3705.183
172.1497, 3714.226
172.6318, 3719.776
173.1139, 3726.550
173.5960, 3735.461
174.0781, 3736.040
174.5603, 3710.656
175.0424, 3678.370
175.5245, 3665.256
176.0066, 3683.268
176.4887, 3712.975
176.9708, 3732.672
177.4530, 3741.506
177.9351, 3746.682
178.4172, 3752.325
178.8993, 3755.685
179.3814, 3751.265
179.8635, 3731.803
180.3457, 3712.592
180.8278, 3715.335
181.3099, 3743.759
181.7920, 3773.956
182.2741, 3797.176
182.7562, 3815.209
183.2384, 3828.544
183.7205, 3835.835
184.2026, 3840.678
184.6847, 3848.220
185.1668, 3859.153
185.6489, 3869.191
186.1311, 3875.121
186.6132, 3879.583
187.0953, 3884.760
187.5774, 3890.679
188.0595, 3898.558
188.5416, 3911.175
189.0238, 3929.981
189.5059, 3947.321
189.9880, 3964.404
190.4701, 3976.788
190.9522, 3976.412
191.4343, 3955.992
191.9165, 3933.182
192.3986, 3932.740
192.8807, 3957.842
193.3628, 3991.501
193.8449, 4037.504
194.3270, 4084.850
194.8092, 4123.482
195.2913, 4150.800
195.7734, 4169.082
196.2555, 4179.832
196.7376, 4181.839
197.2197, 4182.422
197.7019, 4178.161
198.1840, 4176.498
198.6661, 4184.389
199.1482, 4203.951
199.6303, 4232.215
200.1124, 4268.932
200.5946, 4317.111
201.0767, 4358.001
201.5588, 4383.372
202.0409, 4399.057
202.5230, 4407.406
203.0051, 4408.118
203.4873, 4405.165
203.9694, 4403.613
204.4515, 4404.112
204.9336, 4401.481
205.4157, 4387.509
205.8978, 4373.401
206.3800, 4371.543
206.8621, 4386.231
207.3442, 4399.085
207.8263, 4384.224
208.3084, 4337.909
208.7905, 4302.144
209.2727, 4294.231
209.7548, 4298.357
210.2369, 4305.333
210.7190, 4314.154
211.2011, 4320.679
211.6832, 4319.838
212.1654, 4311.317
212.6475, 4302.089
213.1296, 4290.545
213.6117, 4281.578
214.0938, 4279.986
214.5760, 4286.380
215.0581, 4294.535
215.5402, 4297.377
216.0223, 4295.125
216.5044, 4299.608
216.9865, 4320.703
217.4687, 4342.482
217.9508, 4354.458
218.4329, 4356.023
218.9150, 4349.359
219.3971, 4331.257
219.8792, 4303.305
220.3614, 4283.456
220.8435, 4279.342
221.3256, 4279.132
221.8077, 4275.282
222.2898, 4267.507
222.7719, 4254.491
223.2541, 4232.398
223.7362, 4203.249
224.2183, 4178.369
224.7004, 4163.151
225.1825, 4146.568
225.6646, 4120.139
226.1468, 4084.988
226.6289, 4047.340
227.1110, 4009.752
227.5931, 3972.119
228.0752, 3933.927
228.5573, 3894.218
229.0395, 3856.030
229.5216, 3822.157
230.0037, 3791.788
230.4858, 3762.383
230.9679, 3734.067
231.4500, 3705.898
231.9322, 3674.366
232.4143, 3636.839
232.8964, 3603.133
233.3785, 3578.758
233.8606, 3563.104
234.3427, 3557.545
234.8249, 3570.678
235.3070, 3590.902
235.7891, 3602.776
236.2712, 3606.403
236.7533, 3600.154
237.2354, 3573.182
237.7176, 3535.858
238.1997, 3511.060
238.6818, 3508.950
239.1639, 3517.187
239.6460, 3525.893
