##NAMES=Yttrotungstite-(Y)
##RRUFFID=R050569
##IDEAL CHEMISTRY=Y^3+^W^6+^_2_O_6_(OH)_3_
##LOCALITY=Perak, Malaysia
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Colorless flattened lathlike crystals
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050569
##MEASURED CHEMISTRY=(Y_0.70_Nd_0.10_Ce_0.07_Dy_0.07_La_0.04_Ca_0.02_)_Σ=1_W_2.00_(O_6.00_(OH)_2.98_(H_2_O)_0.02_)_Σ=9_ ; O, OH and H_2_O estimated by difference and charge balance.
262.0326, 47908.30
262.5147, 47986.16
262.9968, 48094.18
263.4789, 48208.02
263.9610, 48332.17
264.4431, 48462.50
264.9253, 48549.10
265.4074, 48577.59
265.8895, 48588.09
266.3716, 48606.80
266.8537, 48626.93
267.3358, 48682.17
267.8180, 48794.54
268.3001, 48951.69
268.7822, 49055.32
269.2643, 49082.19
269.7464, 49099.93
270.2285, 49178.54
270.7107, 49339.57
271.1928, 49463.54
271.6749, 49519.80
272.1570, 49518.70
272.6391, 49527.30
273.1212, 49544.50
273.6034, 49574.14
274.0855, 49629.26
274.5676, 49717.98
275.0497, 49779.14
275.5318, 49795.16
276.0139, 49773.36
276.4961, 49752.91
276.9782, 49731.12
277.4603, 49718.91
277.9424, 49728.94
278.4245, 49762.66
278.9066, 49801.70
279.3888, 49848.66
279.8709, 49897.57
280.3530, 49909.52
280.8351, 49875.13
281.3172, 49841.96
281.7993, 49869.15
282.2815, 49957.75
282.7636, 50008.96
283.2457, 49983.22
283.7278, 49909.43
284.2099, 49899.57
284.6920, 49960.95
285.1741, 50040.52
285.6563, 50081.74
286.1384, 50088.98
286.6205, 50126.14
287.1026, 50221.16
287.5847, 50348.59
288.0668, 50432.75
288.5490, 50471.11
289.0311, 50496.66
289.5132, 50533.96
289.9953, 50582.00
290.4774, 50641.57
290.9595, 50723.14
291.4417, 50808.42
291.9238, 50847.32
292.4059, 50839.06
292.8880, 50828.43
293.3701, 50852.80
293.8522, 50906.21
294.3344, 50966.67
294.8165, 51031.84
295.2986, 51099.31
295.7807, 51160.93
296.2628, 51217.64
296.7449, 51280.21
297.2271, 51378.56
297.7092, 51489.03
298.1913, 51548.66
298.6734, 51515.32
299.1555, 51458.47
299.6376, 51481.81
300.1198, 51576.71
300.6019, 51682.38
301.0840, 51756.99
301.5661, 51811.15
302.0482, 51862.63
302.5303, 51914.22
303.0125, 51967.04
303.4946, 52024.46
303.9767, 52085.17
304.4588, 52145.56
304.9409, 52194.21
305.4230, 52243.08
305.9052, 52315.40
306.3873, 52435.37
306.8694, 52543.20
307.3515, 52582.44
307.8336, 52564.18
308.3157, 52525.18
308.7979, 52443.58
309.2800, 52371.67
309.7621, 52369.54
310.2442, 52476.35
310.7263, 52594.29
311.2084, 52657.96
311.6906, 52683.36
312.1727, 52713.77
312.6548, 52788.10
313.1369, 52865.41
313.6190, 52910.04
314.1011, 52904.89
314.5833, 52896.13
315.0654, 52898.49
315.5475, 52912.91
316.0296, 52941.31
316.5117, 52980.07
316.9938, 53036.16
317.4760, 53120.37
317.9580, 53247.57
318.4402, 53360.44
318.9223, 53441.88
319.4044, 53497.41
319.8865, 53534.43
320.3686, 53527.93
320.8507, 53525.80
321.3329, 53547.97
321.8150, 53599.86
322.2971, 53663.53
322.7792, 53745.06
323.2613, 53834.17
323.7434, 53916.77
324.2256, 53998.08
324.7077, 54065.73
325.1898, 54110.57
325.6719, 54122.43
326.1540, 54152.27
326.6361, 54219.75
327.1183, 54299.96
327.6004, 54365.28
328.0825, 54403.55
328.5646, 54439.97
329.0467, 54474.94
329.5288, 54506.77
330.0110, 54555.22
330.4931, 54629.13
330.9752, 54713.99
331.4573, 54795.83
331.9394, 54876.23
332.4215, 54952.04
332.9037, 55023.97
333.3858, 55091.57
333.8679, 55148.61
334.3500, 55189.29
334.8321, 55227.38
335.3142, 55279.14
335.7964, 55359.01
336.2785, 55411.41
336.7606, 55420.95
337.2427, 55395.54
337.7248, 55376.38
338.2069, 55354.09
338.6891, 55360.82
339.1712, 55437.28
339.6533, 55597.15
340.1354, 55716.93
340.6175, 55769.88
341.0996, 55779.98
341.5818, 55818.51
342.0639, 55890.72
342.5460, 55956.92
343.0281, 55983.98
343.5102, 55974.83
343.9923, 55983.29
344.4745, 56017.12
344.9566, 56066.63
345.4387, 56116.99
345.9208, 56167.44
346.4029, 56214.40
346.8850, 56253.00
347.3672, 56285.82
347.8493, 56319.40
348.3314, 56353.16
348.8135, 56391.29
349.2956, 56440.96
349.7777, 56499.83
350.2599, 56559.56
350.7419, 56620.61
351.2241, 56678.95
351.7062, 56724.61
352.1883, 56755.62
352.6704, 56789.14
353.1525, 56832.51
353.6346, 56889.78
354.1168, 56969.95
354.5989, 57113.49
355.0810, 57259.48
355.5631, 57337.92
356.0452, 57348.42
356.5273, 57357.90
357.0095, 57400.75
357.4916, 57471.46
357.9737, 57562.37
358.4558, 57713.35
358.9379, 57847.76
359.4200, 57915.25
359.9022, 57923.34
360.3843, 57926.09
360.8664, 57903.77
361.3485, 57909.07
361.8306, 57986.22
362.3127, 58223.34
362.7949, 58437.55
363.2770, 58570.32
363.7591, 58637.36
364.2412, 58695.69
364.7233, 58762.22
365.2054, 58820.74
365.6876, 58859.60
366.1697, 58846.72
366.6518, 58865.21
367.1339, 58944.21
367.6160, 59059.03
368.0981, 59153.78
368.5803, 59203.93
369.0624, 59257.52
369.5445, 59335.40
370.0266, 59458.60
370.5087, 59538.11
370.9908, 59552.98
371.4730, 59536.16
371.9551, 59531.40
372.4372, 59538.21
372.9193, 59560.47
373.4014, 59618.48
373.8835, 59717.75
374.3657, 59708.66
374.8478, 59538.12
375.3299, 59344.87
375.8120, 59289.04
376.2941, 59399.06
376.7762, 59496.03
377.2584, 59537.49
377.7405, 59535.44
378.2226, 59545.80
378.7047, 59570.38
379.1868, 59598.09
379.6689, 59619.95
380.1511, 59636.35
380.6332, 59651.84
381.1153, 59660.87
381.5974, 59678.27
382.0795, 59751.33
382.5616, 59875.23
383.0438, 59974.42
383.5259, 59975.54
384.0080, 59917.81
384.4901, 59899.99
384.9722, 59937.79
385.4543, 59997.87
385.9364, 60042.89
386.4185, 60080.34
386.9007, 60132.24
387.3828, 60223.42
387.8649, 60328.30
388.3470, 60419.46
388.8291, 60494.52
389.3112, 60563.99
389.7934, 60630.34
390.2755, 60695.50
390.7576, 60761.44
391.2397, 60844.69
391.7218, 60916.41
392.2039, 60951.04
392.6861, 60952.13
393.1682, 60963.68
393.6503, 61008.49
394.1324, 61068.07
394.6145, 61128.42
395.0966, 61195.34
395.5788, 61252.52
396.0609, 61287.62
396.5430, 61308.03
397.0251, 61340.98
397.5072, 61410.96
397.9893, 61477.82
398.4715, 61523.95
398.9536, 61540.11
399.4357, 61552.98
399.9178, 61576.32
400.3999, 61592.17
400.8820, 61562.88
401.3642, 61437.16
401.8463, 61345.54
402.3284, 61337.11
402.8105, 61425.37
403.2926, 61477.70
403.7747, 61483.41
404.2569, 61468.05
404.7390, 61453.30
405.2211, 61433.73
405.7032, 61444.82
406.1853, 61514.93
406.6674, 61619.68
407.1496, 61625.28
407.6317, 61514.07
408.1138, 61403.80
408.5959, 61402.12
409.0780, 61495.03
409.5602, 61564.00
410.0423, 61582.29
410.5244, 61581.73
411.0065, 61617.79
411.4886, 61685.81
411.9707, 61750.09
412.4529, 61780.00
412.9350, 61795.09
413.4171, 61834.45
413.8992, 61905.46
414.3813, 61976.75
414.8634, 62018.14
415.3456, 62040.16
415.8277, 62062.89
416.3098, 62089.80
416.7919, 62124.78
417.2740, 62174.50
417.7561, 62237.80
418.2382, 62302.36
418.7203, 62366.45
419.2025, 62426.19
419.6846, 62476.79
420.1667, 62488.13
420.6488, 62522.55
421.1309, 62633.48
421.6130, 62790.94
422.0952, 62887.02
422.5773, 62825.92
423.0594, 62755.80
423.5415, 62747.26
424.0236, 62854.44
424.5057, 62930.59
424.9879, 62953.74
425.4700, 62951.07
425.9521, 62965.09
426.4342, 63001.23
426.9163, 63046.37
427.3984, 63102.95
427.8806, 63173.57
428.3627, 63214.29
428.8448, 63209.97
429.3269, 63200.53
429.8090, 63224.80
430.2911, 63285.91
430.7733, 63363.70
431.2554, 63464.59
431.7375, 63573.23
432.2196, 63644.63
432.7017, 63677.25
433.1838, 63685.13
433.6660, 63649.22
434.1481, 63589.94
434.6302, 63604.16
435.1123, 63715.31
435.5944, 63854.50
436.0765, 63948.09
436.5587, 63999.11
437.0408, 64017.82
437.5229, 63961.61
438.0050, 63900.07
438.4871, 63932.58
438.9692, 64061.83
439.4514, 64186.34
439.9335, 64225.11
440.4156, 64223.45
440.8977, 64234.45
441.3798, 64278.77
441.8619, 64334.90
442.3441, 64400.52
442.8262, 64471.94
443.3083, 64534.91
443.7904, 64592.50
444.2725, 64633.88
444.7546, 64649.12
445.2368, 64615.45
445.7189, 64600.63
446.2010, 64619.03
446.6831, 64658.80
447.1652, 64701.63
447.6473, 64744.61
448.1295, 64794.80
448.6116, 64855.80
449.0937, 64928.85
449.5758, 64997.43
450.0579, 65065.36
450.5400, 65122.80
451.0221, 65155.68
451.5042, 65155.90
451.9864, 65170.86
452.4685, 65208.00
452.9506, 65263.39
453.4327, 65334.70
453.9148, 65423.39
454.3969, 65499.89
454.8791, 65533.53
455.3612, 65537.37
455.8433, 65569.38
456.3254, 65635.97
456.8075, 65710.89
457.2896, 65756.48
457.7718, 65784.50
458.2539, 65825.54
458.7360, 65928.61
459.2181, 66026.91
459.7002, 66016.23
460.1823, 65912.67
460.6645, 65850.73
461.1466, 65958.05
461.6287, 66123.79
462.1108, 66242.53
462.5929, 66266.61
463.0750, 66291.23
463.5572, 66360.07
464.0393, 66456.23
464.5214, 66544.55
465.0035, 66626.98
465.4856, 66689.34
465.9677, 66713.26
466.4499, 66681.10
466.9320, 66693.72
467.4141, 66792.80
467.8962, 66911.00
468.3783, 66987.04
468.8604, 66989.33
469.3426, 67012.18
469.8247, 67080.47
470.3068, 67177.27
470.7889, 67225.33
471.2710, 67207.98
471.7531, 67192.77
472.2353, 67225.30
472.7174, 67306.23
473.1995, 67353.45
473.6816, 67352.63
474.1637, 67355.43
474.6458, 67452.98
475.1280, 67628.88
475.6101, 67778.03
476.0922, 67860.98
476.5743, 67893.44
477.0564, 67881.20
477.5385, 67829.23
478.0207, 67794.90
478.5028, 67843.70
478.9849, 67923.84
479.4670, 67961.41
479.9491, 67908.14
480.4312, 67888.22
480.9134, 68027.91
481.3955, 68250.28
481.8776, 68410.73
482.3597, 68400.09
482.8418, 68365.59
483.3239, 68361.18
483.8060, 68391.05
484.2881, 68447.33
484.7703, 68554.39
485.2524, 68671.23
485.7345, 68767.44
486.2166, 68842.08
486.6987, 68895.97
487.1808, 68917.73
487.6630, 68920.81
488.1451, 68948.43
488.6272, 69007.64
489.1093, 69074.16
489.5914, 69139.96
490.0735, 69204.60
490.5557, 69266.82
491.0378, 69327.22
491.5199, 69381.33
492.0020, 69412.31
492.4841, 69425.47
492.9662, 69467.92
493.4484, 69566.13
493.9305, 69684.83
494.4126, 69758.10
494.8947, 69793.21
495.3768, 69829.63
495.8589, 69894.66
496.3411, 69974.95
496.8232, 70056.48
497.3053, 70137.78
497.7874, 70216.98
498.2695, 70298.11
498.7516, 70373.88
499.2338, 70435.64
499.7159, 70458.63
500.1980, 70488.08
500.6801, 70543.10
501.1622, 70621.02
501.6443, 70695.80
502.1265, 70775.53
502.6086, 70840.93
503.0907, 70879.56
503.5728, 70865.08
504.0549, 70881.47
504.5370, 70943.45
505.0192, 71025.42
505.5013, 71084.55
505.9834, 71110.34
506.4655, 71151.23
506.9476, 71227.59
507.4297, 71330.76
507.9119, 71400.73
508.3940, 71432.78
508.8761, 71471.45
509.3582, 71570.05
509.8403, 71707.30
510.3224, 71801.78
510.8046, 71836.52
511.2867, 71847.92
511.7688, 71880.80
512.2509, 71923.65
512.7330, 71948.66
513.2151, 71908.82
513.6973, 71871.14
514.1794, 71905.45
514.6615, 72005.52
515.1436, 72083.48
515.6257, 72075.30
516.1078, 72043.17
516.5900, 72035.55
517.0721, 72087.47
