##NAMES=Miersite
##RRUFFID=R110170
##IDEAL CHEMISTRY=Ag^1+^I^1-^
##LOCALITY=Proprietary mine, Broken Hill, Australia
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=Pale yellow tetrahedra, associated with hexagonal plates of iodargyrite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R110170
2.722502e+002, 2.785147e+001
2.727323e+002, 2.786456e+001
2.732144e+002, 2.802756e+001
2.736965e+002, 2.818192e+001
2.741786e+002, 2.815971e+001
2.746608e+002, 2.794613e+001
2.751429e+002, 2.760873e+001
2.756250e+002, 2.704258e+001
2.761071e+002, 2.633307e+001
2.765892e+002, 2.619141e+001
2.770714e+002, 2.674150e+001
2.775535e+002, 2.751299e+001
2.780356e+002, 2.820903e+001
2.785177e+002, 2.887214e+001
2.789998e+002, 2.896946e+001
2.794819e+002, 2.819296e+001
2.799641e+002, 2.680618e+001
2.804462e+002, 2.602617e+001
2.809283e+002, 2.594455e+001
2.814104e+002, 2.606782e+001
2.818925e+002, 2.599590e+001
2.823746e+002, 2.572550e+001
2.828568e+002, 2.551508e+001
2.833389e+002, 2.541924e+001
2.838210e+002, 2.540104e+001
2.843031e+002, 2.539921e+001
2.847852e+002, 2.542899e+001
2.852673e+002, 2.534973e+001
2.857495e+002, 2.479046e+001
2.862316e+002, 2.383802e+001
2.867137e+002, 2.385157e+001
2.871958e+002, 2.540229e+001
2.876779e+002, 2.740741e+001
2.881600e+002, 2.726305e+001
2.886422e+002, 2.493215e+001
2.891243e+002, 2.275437e+001
2.896064e+002, 2.246503e+001
2.900885e+002, 2.370343e+001
2.905706e+002, 2.464021e+001
2.910527e+002, 2.506335e+001
2.915349e+002, 2.524811e+001
2.920170e+002, 2.565857e+001
2.924991e+002, 2.626511e+001
2.929812e+002, 2.678129e+001
2.934633e+002, 2.710703e+001
2.939454e+002, 2.722235e+001
2.944276e+002, 2.695427e+001
2.949097e+002, 2.622092e+001
2.953918e+002, 2.544213e+001
2.958739e+002, 2.519704e+001
2.963560e+002, 2.539872e+001
2.968381e+002, 2.562463e+001
2.973203e+002, 2.570518e+001
2.978024e+002, 2.566707e+001
2.982845e+002, 2.549981e+001
2.987666e+002, 2.518219e+001
2.992487e+002, 2.494700e+001
2.997308e+002, 2.515947e+001
3.002130e+002, 2.566330e+001
3.006951e+002, 2.600340e+001
3.011772e+002, 2.584376e+001
3.016593e+002, 2.549263e+001
3.021414e+002, 2.540723e+001
3.026235e+002, 2.558327e+001
3.031057e+002, 2.581149e+001
3.035878e+002, 2.595290e+001
3.040699e+002, 2.602004e+001
3.045520e+002, 2.603240e+001
3.050341e+002, 2.599236e+001
3.055162e+002, 2.590506e+001
3.059984e+002, 2.575727e+001
3.064805e+002, 2.555725e+001
3.069626e+002, 2.535131e+001
3.074447e+002, 2.508779e+001
3.079268e+002, 2.486421e+001
3.084089e+002, 2.484502e+001
3.088911e+002, 2.523328e+001
3.093732e+002, 2.558707e+001
3.098553e+002, 2.547625e+001
3.103374e+002, 2.501444e+001
3.108195e+002, 2.458130e+001
3.113016e+002, 2.429756e+001
3.117838e+002, 2.419190e+001
3.122659e+002, 2.431747e+001
3.127480e+002, 2.475828e+001
3.132301e+002, 2.525554e+001
3.137122e+002, 2.580532e+001
3.141943e+002, 2.630643e+001
3.146765e+002, 2.653224e+001
3.151586e+002, 2.617277e+001
3.156407e+002, 2.565482e+001
3.161228e+002, 2.518310e+001
3.166049e+002, 2.474215e+001
3.170870e+002, 2.454330e+001
3.175692e+002, 2.494097e+001
3.180513e+002, 2.558089e+001
3.185334e+002, 2.596519e+001
3.190155e+002, 2.562768e+001
3.194976e+002, 2.526336e+001
3.199797e+002, 2.523687e+001
3.204619e+002, 2.560993e+001
3.209440e+002, 2.584028e+001
3.214261e+002, 2.566072e+001
3.219082e+002, 2.530786e+001
3.223903e+002, 2.500574e+001
3.228724e+002, 2.472788e+001
3.233546e+002, 2.457944e+001
3.238367e+002, 2.466200e+001
3.243188e+002, 2.496351e+001
3.248009e+002, 2.516470e+001
3.252830e+002, 2.515136e+001
3.257651e+002, 2.505961e+001
3.262473e+002, 2.497739e+001
3.267294e+002, 2.491620e+001
3.272115e+002, 2.486200e+001
3.276936e+002, 2.471752e+001
3.281757e+002, 2.454486e+001
3.286578e+002, 2.464589e+001
3.291400e+002, 2.528759e+001
3.296221e+002, 2.598283e+001
3.301042e+002, 2.654853e+001
3.305863e+002, 2.710763e+001
3.310684e+002, 2.732590e+001
3.315505e+002, 2.703610e+001
3.320327e+002, 2.643548e+001
3.325148e+002, 2.595545e+001
3.329969e+002, 2.561519e+001
3.334790e+002, 2.536794e+001
3.339611e+002, 2.519258e+001
3.344432e+002, 2.508442e+001
3.349254e+002, 2.508158e+001
3.354075e+002, 2.527480e+001
3.358896e+002, 2.549548e+001
3.363717e+002, 2.542906e+001
3.368538e+002, 2.479938e+001
3.373359e+002, 2.458415e+001
3.378180e+002, 2.529193e+001
3.383001e+002, 2.689345e+001
3.387823e+002, 2.746033e+001
3.392644e+002, 2.662155e+001
3.397465e+002, 2.547259e+001
3.402286e+002, 2.514028e+001
3.407107e+002, 2.578177e+001
3.411928e+002, 2.632174e+001
3.416750e+002, 2.653617e+001
3.421571e+002, 2.650170e+001
3.426392e+002, 2.649992e+001
3.431213e+002, 2.654238e+001
3.436034e+002, 2.655803e+001
3.440855e+002, 2.654632e+001
