##NAMES=Anthoinite
##RRUFFID=R070025
##IDEAL CHEMISTRY=AlW^6+^O_3_(OH)_3_
##LOCALITY=Kyakabingu, Bumbogo, Rwanda
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=White, waxy flaky crystals associated with tan colored jarosite on quartz
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070025
204.4977, 43226.58
204.9798, 43257.50
205.4619, 43194.75
205.9440, 43171.63
206.4262, 43204.29
206.9083, 43268.08
207.3904, 43299.93
207.8725, 43290.71
208.3546, 43271.81
208.8367, 43260.16
209.3189, 43256.39
209.8010, 43255.71
210.2831, 43257.91
210.7652, 43263.07
211.2473, 43274.63
211.7294, 43301.55
212.2116, 43319.85
212.6937, 43302.56
213.1758, 43229.28
213.6579, 43195.30
214.1400, 43233.87
214.6221, 43338.34
215.1043, 43385.41
215.5864, 43352.80
216.0685, 43299.18
216.5506, 43283.70
217.0327, 43319.16
217.5148, 43362.13
217.9970, 43409.59
218.4791, 43462.58
218.9612, 43479.16
219.4433, 43428.55
219.9254, 43369.76
220.4075, 43392.21
220.8897, 43548.27
221.3718, 43671.57
221.8539, 43692.23
222.3360, 43573.00
222.8181, 43531.13
223.3002, 43599.99
223.7824, 43724.72
224.2645, 43807.73
224.7466, 43842.55
225.2287, 43848.70
225.7108, 43821.87
226.1929, 43725.68
226.6750, 43706.42
227.1572, 43807.45
227.6393, 43973.70
228.1214, 44055.83
228.6035, 43997.02
229.0856, 43938.48
229.5677, 43958.99
230.0499, 44122.38
230.5320, 44213.48
231.0141, 44191.30
231.4962, 44087.72
231.9783, 44035.91
232.4604, 44059.56
232.9426, 44103.99
233.4247, 44140.39
233.9068, 44174.74
234.3889, 44186.02
234.8710, 44161.54
235.3531, 44107.35
235.8353, 44081.02
236.3174, 44101.60
236.7995, 44129.78
237.2816, 44133.60
237.7637, 44092.37
238.2458, 44067.26
238.7280, 44062.58
239.2101, 44078.63
239.6922, 44138.25
240.1743, 44288.86
240.6564, 44435.78
241.1385, 44483.24
241.6207, 44364.21
242.1028, 44264.41
242.5849, 44221.99
243.0670, 44241.54
243.5491, 44256.75
244.0313, 44263.86
244.5134, 44269.76
244.9955, 44281.89
245.4776, 44299.43
245.9597, 44326.35
246.4418, 44375.60
246.9240, 44461.82
247.4061, 44480.09
247.8882, 44385.75
248.3703, 44256.20
248.8524, 44204.04
249.3345, 44254.72
249.8167, 44340.34
250.2988, 44455.64
250.7809, 44625.18
251.2630, 44721.64
251.7451, 44714.26
252.2272, 44650.33
252.7094, 44613.66
253.1915, 44614.05
253.6736, 44623.53
254.1557, 44629.72
254.6378, 44624.22
255.1199, 44644.93
255.6021, 44710.19
256.0842, 44792.71
256.5663, 44827.37
257.0484, 44786.48
257.5305, 44746.60
258.0126, 44746.05
258.4948, 44808.68
258.9769, 44843.18
259.4590, 44834.75
259.9411, 44803.98
260.4232, 44812.29
260.9053, 44886.55
261.3875, 44952.09
261.8696, 44962.24
262.3517, 44887.47
262.8338, 44853.41
263.3159, 44878.16
263.7980, 44944.77
264.2802, 44992.86
264.7623, 45011.04
265.2444, 45032.57
265.7265, 45080.69
266.2086, 45162.89
266.6907, 45238.10
267.1729, 45304.29
267.6550, 45358.32
268.1371, 45386.07
268.6192, 45374.86
269.1013, 45362.77
269.5834, 45379.32
270.0656, 45432.00
270.5477, 45477.27
271.0298, 45512.66
271.5119, 45536.37
271.9940, 45540.17
272.4761, 45523.46
272.9583, 45490.32
273.4404, 45434.84
273.9225, 45349.39
274.4046, 45291.88
274.8867, 45280.04
275.3688, 45302.05
275.8510, 45301.14
276.3331, 45272.61
276.8152, 45236.52
277.2973, 45206.02
277.7794, 45180.34
278.2615, 45169.39
278.7437, 45182.08
279.2258, 45210.18
279.7079, 45211.75
280.1900, 45180.98
280.6721, 45147.12
281.1542, 45138.60
281.6364, 45156.77
282.1185, 45173.88
282.6006, 45179.21
283.0827, 45180.39
283.5648, 45218.52
284.0469, 45302.55
284.5291, 45378.88
285.0112, 45387.45
285.4933, 45330.21
285.9754, 45272.17
286.4575, 45219.17
286.9396, 45179.02
287.4217, 45186.39
287.9038, 45243.71
288.3860, 45323.60
288.8681, 45421.07
289.3502, 45528.13
289.8323, 45583.30
290.3144, 45543.48
290.7965, 45446.57
291.2787, 45404.07
291.7608, 45419.71
292.2429, 45446.16
292.7250, 45432.10
293.2071, 45387.05
293.6892, 45357.38
294.1714, 45369.30
294.6535, 45403.47
295.1356, 45420.83
295.6177, 45422.46
296.0998, 45408.25
296.5819, 45355.59
297.0641, 45282.73
297.5462, 45250.94
298.0283, 45307.40
298.5104, 45403.45
298.9925, 45461.49
299.4746, 45481.41
299.9568, 45478.76
300.4389, 45439.21
300.9210, 45385.70
301.4031, 45371.79
301.8852, 45431.77
302.3673, 45530.92
302.8495, 45650.50
303.3316, 45787.25
303.8137, 45876.52
304.2958, 45805.24
304.7779, 45653.08
305.2600, 45564.57
305.7422, 45664.68
306.2243, 45806.43
306.7064, 45830.81
307.1885, 45743.64
307.6706, 45655.02
308.1527, 45655.00
308.6349, 45699.84
309.1170, 45728.87
309.5991, 45697.96
310.0812, 45660.69
310.5633, 45661.96
311.0454, 45700.00
311.5276, 45736.56
312.0097, 45740.20
312.4918, 45733.23
312.9739, 45740.65
313.4560, 45816.05
313.9381, 45871.55
314.4203, 45834.68
314.9024, 45713.67
315.3845, 45618.29
315.8666, 45614.18
316.3487, 45653.56
316.8308, 45691.21
317.3130, 45703.31
317.7951, 45719.96
318.2772, 45762.95
318.7593, 45828.34
319.2414, 45871.43
319.7235, 45862.55
320.2057, 45833.18
320.6878, 45808.39
321.1699, 45775.46
321.6520, 45767.29
322.1341, 45814.97
322.6162, 45910.63
323.0984, 45969.53
323.5805, 45947.70
324.0626, 45901.39
324.5447, 45868.66
325.0268, 45837.83
325.5089, 45839.56
325.9911, 45904.91
326.4732, 46023.60
326.9553, 46095.03
327.4374, 46050.19
327.9195, 45996.79
328.4016, 45996.68
328.8838, 46110.61
329.3659, 46198.54
329.8480, 46235.35
330.3301, 46231.07
330.8122, 46255.84
331.2943, 46344.41
331.7765, 46426.55
332.2586, 46459.49
332.7407, 46401.20
333.2228, 46372.39
333.7049, 46400.36
334.1870, 46464.95
334.6692, 46479.01
335.1513, 46424.50
335.6334, 46351.23
336.1155, 46277.57
336.5976, 46184.93
337.0797, 46157.99
337.5619, 46231.82
338.0440, 46360.73
338.5261, 46396.02
339.0082, 46301.36
339.4903, 46219.64
339.9724, 46257.71
340.4546, 46440.12
340.9367, 46514.28
341.4188, 46436.00
341.9009, 46281.86
342.3830, 46220.47
342.8651, 46262.46
343.3473, 46305.96
343.8294, 46299.70
344.3115, 46247.23
344.7936, 46171.88
345.2757, 46062.26
345.7578, 45962.92
346.2400, 45955.18
346.7221, 46034.92
347.2042, 46121.85
347.6863, 46180.14
348.1684, 46213.67
348.6505, 46231.40
349.1327, 46229.14
349.6148, 46225.99
350.0969, 46242.39
350.5790, 46275.43
351.0611, 46317.90
351.5432, 46373.56
352.0254, 46431.76
352.5075, 46483.07
352.9896, 46527.85
353.4717, 46547.76
353.9538, 46504.24
354.4359, 46424.83
354.9181, 46364.74
355.4002, 46375.13
355.8823, 46400.46
356.3644, 46383.74
356.8465, 46324.66
357.3286, 46269.39
357.8108, 46244.10
358.2929, 46242.64
358.7750, 46255.77
359.2571, 46325.20
359.7392, 46371.57
360.2213, 46326.34
360.7035, 46196.90
361.1856, 46096.11
361.6677, 46091.06
362.1498, 46127.48
362.6319, 46157.96
363.1140, 46157.52
363.5962, 46161.02
364.0783, 46185.75
364.5604, 46226.95
365.0425, 46252.43
365.5246, 46227.23
366.0067, 46201.50
366.4889, 46206.15
366.9710, 46284.47
367.4531, 46347.59
367.9352, 46389.45
368.4173, 46411.21
368.8994, 46416.23
369.3815, 46381.13
369.8636, 46350.57
370.3458, 46346.87
370.8279, 46410.91
371.3100, 46429.57
371.7921, 46374.40
372.2742, 46279.86
372.7563, 46231.78
373.2385, 46245.90
373.7206, 46280.39
374.2027, 46321.25
374.6848, 46370.35
375.1669, 46420.45
375.6490, 46485.25
376.1312, 46536.38
376.6133, 46507.47
377.0954, 46368.12
377.5775, 46272.89
378.0596, 46301.87
378.5417, 46449.80
379.0239, 46544.95
379.5060, 46581.18
379.9881, 46581.62
380.4702, 46561.73
380.9523, 46522.53
381.4344, 46498.20
381.9166, 46508.20
382.3987, 46539.23
382.8808, 46545.39
383.3629, 46524.11
383.8450, 46507.97
384.3271, 46540.46
384.8093, 46604.67
385.2914, 46649.70
385.7735, 46661.20
386.2556, 46644.27
386.7377, 46596.41
387.2198, 46521.06
387.7020, 46442.20
388.1841, 46350.28
388.6662, 46275.32
389.1483, 46263.46
389.6304, 46358.41
390.1125, 46469.67
390.5947, 46543.59
391.0768, 46583.29
391.5589, 46593.66
392.0410, 46547.18
392.5231, 46492.75
393.0052, 46471.23
393.4874, 46509.36
393.9695, 46531.50
394.4516, 46477.54
394.9337, 46389.71
395.4158, 46345.75
395.8979, 46408.73
396.3801, 46482.17
396.8622, 46532.00
397.3443, 46556.87
397.8264, 46547.64
398.3085, 46457.04
398.7906, 46346.16
399.2728, 46289.96
399.7549, 46333.97
400.2370, 46384.11
400.7191, 46426.66
401.2012, 46462.12
401.6833, 46490.41
402.1655, 46509.09
402.6476, 46524.72
403.1297, 46547.80
403.6118, 46597.12
404.0939, 46608.45
404.5760, 46561.68
405.0582, 46468.85
405.5403, 46387.74
406.0224, 46311.49
406.5045, 46267.94
406.9866, 46293.91
407.4688, 46394.79
407.9509, 46457.23
408.4330, 46457.77
408.9151, 46429.42
409.3972, 46446.61
409.8793, 46509.07
410.3615, 46569.12
410.8436, 46598.90
411.3257, 46604.81
411.8078, 46606.97
412.2899, 46606.53
412.7720, 46605.20
413.2542, 46606.89
413.7363, 46610.19
414.2184, 46609.95
414.7005, 46607.12
415.1826, 46598.12
415.6647, 46567.96
416.1469, 46515.79
416.6290, 46481.92
417.1111, 46510.78
417.5932, 46570.56
418.0753, 46618.82
418.5574, 46635.95
419.0396, 46641.76
419.5217, 46646.46
420.0038, 46648.71
420.4859, 46641.83
420.9680, 46614.62
421.4501, 46583.01
421.9323, 46560.06
422.4144, 46572.54
422.8965, 46562.39
423.3786, 46504.33
423.8607, 46416.97
424.3428, 46351.11
424.8250, 46322.97
425.3071, 46308.86
425.7892, 46298.24
426.2713, 46278.32
426.7534, 46300.29
427.2355, 46388.84
427.7177, 46503.28
428.1998, 46583.84
428.6819, 46623.95
429.1640, 46638.68
429.6461, 46620.29
430.1282, 46568.82
430.6104, 46543.04
431.0925, 46542.32
431.5746, 46563.21
432.0567, 46612.09
432.5388, 46689.40
433.0209, 46750.45
433.5031, 46785.93
433.9852, 46799.48
434.4673, 46797.96
434.9494, 46782.36
435.4315, 46760.45
435.9136, 46735.36
436.3958, 46710.07
436.8779, 46693.80
437.3600, 46694.03
437.8421, 46690.60
438.3242, 46643.60
438.8063, 46572.46
439.2885, 46530.69
439.7706, 46567.23
440.2527, 46632.88
440.7348, 46683.47
441.2169, 46714.18
441.6990, 46742.16
442.1812, 46791.57
442.6633, 46837.86
443.1454, 46852.64
443.6275, 46776.62
444.1096, 46714.67
444.5917, 46717.41
445.0739, 46779.30
445.5560, 46818.50
446.0381, 46799.99
446.5202, 46766.47
447.0023, 46743.19
447.4844, 46749.80
447.9666, 46743.70
448.4487, 46711.88
448.9308, 46668.88
449.4129, 46654.03
449.8950, 46677.13
450.3771, 46714.45
450.8593, 46766.77
451.3413, 46844.57
451.8235, 46871.21
452.3056, 46832.05
452.7877, 46765.54
453.2698, 46720.94
453.7519, 46699.89
454.2340, 46683.48
454.7162, 46662.46
455.1983, 46642.18
455.6804, 46647.42
456.1625, 46679.50
456.6446, 46710.18
457.1267, 46717.99
457.6089, 46705.55
458.0910, 46675.34
458.5731, 46614.50
459.0552, 46561.29
459.5373, 46579.66
460.0194, 46649.12
460.5016, 46701.72
460.9837, 46696.36
461.4658, 46658.04
461.9479, 46593.63
462.4300, 46492.46
462.9121, 46431.55
463.3943, 46493.54
463.8764, 46607.54
464.3585, 46681.09
464.8406, 46652.59
465.3227, 46613.09
465.8048, 46589.83
466.2870, 46583.61
466.7691, 46578.48
467.2512, 46546.00
467.7333, 46532.28
468.2154, 46568.98
468.6975, 46726.30
469.1797, 46816.03
469.6618, 46798.03
470.1439, 46714.88
470.6260, 46680.21
471.1081, 46709.57
471.5902, 46748.48
472.0724, 46778.72
472.5545, 46800.89
473.0366, 46802.05
473.5187, 46780.62
474.0008, 46742.59
474.4829, 46688.29
474.9651, 46619.82
475.4472, 46559.12
475.9293, 46508.14
476.4114, 46473.59
476.8935, 46471.66
477.3756, 46501.97
477.8578, 46550.83
478.3399, 46635.30
478.8220, 46725.20
479.3041, 46772.72
479.7862, 46760.80
480.2683, 46726.75
480.7505, 46686.73
481.2326, 46645.20
481.7147, 46611.13
482.1968, 46572.50
482.6789, 46553.05
483.1610, 46573.87
483.6432, 46641.33
484.1253, 46694.10
484.6074, 46681.54
485.0895, 46663.20
485.5716, 46690.62
486.0537, 46851.05
486.5359, 46955.39
487.0180, 46963.23
487.5001, 46897.68
487.9822, 46869.02
488.4643, 46900.72
488.9464, 46932.07
489.4286, 46930.45
489.9107, 46887.83
490.3928, 46863.07
490.8749, 46865.63
491.3570, 46872.61
491.8391, 46844.13
492.3213, 46781.43
492.8034, 46725.68
493.2855, 46686.98
493.7676, 46668.99
494.2497, 46702.65
494.7318, 46786.59
495.2140, 46840.27
495.6961, 46747.26
496.1782, 46589.05
496.6603, 46519.46
497.1424, 46603.84
497.6245, 46704.91
498.1067, 46694.25
498.5888, 46615.82
499.0709, 46573.00
499.5530, 46634.76
500.0351, 46721.54
500.5172, 46796.70
500.9994, 46855.51
501.4815, 46893.22
501.9636, 46896.20
502.4457, 46882.54
502.9278, 46868.81
503.4099, 46864.15
503.8921, 46849.31
504.3742, 46816.41
504.8563, 46773.12
505.3384, 46753.55
505.8205, 46781.95
506.3026, 46793.79
506.7848, 46746.15
507.2669, 46625.20
507.7490, 46562.05
508.2311, 46569.91
508.7132, 46608.93
509.1953, 46629.62
509.6775, 46632.95
510.1596, 46630.47
510.6417, 46613.75
511.1238, 46599.40
511.6059, 46627.79
512.0880, 46694.55
512.5701, 46762.60
513.0522, 46821.02
513.5344, 46857.85
514.0165, 46849.29
514.4986, 46772.63
514.9807, 46703.28
515.4628, 46703.32
515.9449, 46740.54
516.4271, 46760.20
516.9092, 46741.17
517.3913, 46706.54
517.8734, 46651.47
518.3555, 46575.19
518.8376, 46539.86
519.3198, 46590.58
519.8019, 46659.30
520.2840, 46706.56
520.7661, 46726.73
521.2482, 46737.60
521.7303, 46745.35
522.2125, 46740.61
522.6946, 46691.21
523.1767, 46579.99
523.6588, 46493.40
524.1409, 46474.82
524.6230, 46514.72
525.1052, 46537.74
525.5873, 46541.09
526.0694, 46549.91
526.5515, 46606.50
527.0336, 46689.95
527.5157, 46735.61
527.9979, 46714.33
528.4800, 46673.14
528.9621, 46650.33
529.4442, 46646.84
529.9263, 46664.59
530.4084, 46727.11
530.8906, 46794.64
531.3727, 46839.75
531.8548, 46858.86
532.3369, 46863.80
532.8190, 46828.35
533.3011, 46793.96
533.7833, 46798.87
534.2654, 46894.41
