##NAMES=Furutobeite
##RRUFFID=R060937
##IDEAL CHEMISTRY=(Cu^1+^,Ag^1+^)_6_Pb^2+^S^2-^_4_
##LOCALITY=Tsumeb mine, Tsumeb, Otavi District, Oshikoto, Namibia
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Steel gray metallic elongated prisms, associated with quartz, tennantite, and djurleite.
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R060937
##MEASURED CHEMISTRY=(Cu_4.97_Ag_1.07_)Pb_1.03_S_4_ ; (Dark areas are djurleite, Cu_1.89_Ag_0.02_S)
91.00781, 13.52905
91.48993, 13.10179
91.97205, 12.93136
92.45416, 13.15619
92.93628, 13.63073
93.41840, 14.03433
93.90051, 14.29847
94.38263, 14.50196
94.86475, 14.79322
95.34686, 15.17112
95.82898, 15.52854
96.31110, 15.66990
96.79321, 15.63585
97.27533, 15.88178
97.75745, 16.58098
98.23956, 17.62333
98.72168, 18.49797
99.20380, 19.13753
99.68591, 19.79267
100.1680, 20.68495
100.6501, 21.78485
101.1323, 23.23222
101.6144, 25.09456
102.0965, 27.39286
102.5786, 29.86291
103.0607, 32.59010
103.5428, 35.43233
104.0250, 38.18791
104.5071, 40.67902
104.9892, 43.34239
105.4713, 46.31591
105.9534, 49.63677
106.4355, 53.17252
106.9177, 56.97203
107.3998, 60.98543
107.8819, 65.20897
108.3640, 70.00261
108.8461, 74.66920
109.3282, 78.94408
109.8104, 81.76585
110.2925, 85.31110
110.7746, 90.11256
111.2567, 95.94601
111.7388, 101.2553
112.2209, 105.6588
112.7031, 109.5461
113.1852, 113.2345
113.6673, 115.7632
114.1494, 119.0244
114.6315, 123.7236
115.1136, 129.9564
115.5958, 136.4205
116.0779, 142.9771
116.5600, 149.4739
117.0421, 155.7138
117.5242, 161.4019
118.0063, 167.0531
118.4885, 172.9980
118.9706, 179.2824
119.4527, 185.7605
119.9348, 192.7871
120.4169, 199.9155
120.8990, 206.4361
121.3812, 211.7312
121.8633, 216.3275
122.3454, 220.6967
122.8275, 225.0348
123.3096, 228.9330
123.7917, 231.7741
124.2739, 233.7793
124.7560, 235.7603
125.2381, 238.1362
125.7202, 240.8593
126.2023, 243.8159
126.6844, 247.0247
127.1666, 250.4347
127.6487, 254.1017
128.1308, 258.0200
128.6129, 261.8139
129.0950, 265.0146
129.5771, 267.8208
130.0593, 270.9645
130.5414, 274.6770
131.0235, 278.8283
131.5056, 282.8716
131.9877, 285.7537
132.4698, 287.3000
132.9520, 288.7164
133.4341, 290.0234
133.9162, 291.5347
134.3983, 293.3415
134.8804, 295.4272
135.3625, 297.8601
135.8447, 300.8035
136.3268, 303.7331
136.8089, 305.9066
137.2910, 307.2480
137.7731, 308.4200
138.2552, 309.9888
138.7374, 312.1837
139.2195, 312.6865
139.7016, 310.9645
140.1837, 308.0857
140.6658, 306.2655
141.1479, 305.6766
141.6301, 305.6294
142.1122, 305.9262
142.5943, 306.8875
143.0764, 307.2290
143.5585, 306.5297
144.0406, 305.2241
144.5228, 304.9088
145.0049, 306.1764
145.4870, 307.6816
145.9691, 308.7026
146.4512, 309.1973
146.9333, 309.3015
147.4155, 308.8249
147.8976, 307.8576
148.3797, 307.2649
148.8618, 307.0735
149.3439, 307.2275
149.8260, 307.6867
150.3082, 309.0214
150.7903, 310.0274
151.2724, 310.4866
151.7545, 310.3775
152.2366, 310.3878
152.7188, 310.4986
153.2009, 310.7455
153.6830, 311.1559
154.1651, 312.6653
154.6472, 313.4210
155.1293, 312.5775
155.6115, 309.8467
156.0936, 307.8423
156.5757, 307.5381
157.0578, 307.9913
157.5399, 308.1789
158.0220, 307.4062
158.5042, 306.7377
158.9863, 306.7565
159.4684, 307.7426
159.9505, 308.2764
160.4326, 307.3675
160.9147, 305.8370
161.3969, 304.9034
161.8790, 305.7296
162.3611, 306.7276
162.8432, 306.9281
163.3253, 305.8939
163.8074, 305.0189
164.2896, 304.9793
164.7717, 305.5402
165.2538, 306.2375
165.7359, 307.1169
166.2180, 307.8974
166.7001, 308.3740
167.1823, 308.4938
167.6644, 308.3184
168.1465, 307.5292
168.6286, 306.3998
169.1107, 305.7053
169.5928, 306.4639
170.0750, 307.6274
170.5571, 308.0325
171.0392, 307.0130
171.5213, 305.8515
172.0034, 305.8089
172.4855, 306.6485
172.9677, 307.3153
173.4498, 306.9133
173.9319, 305.9828
174.4140, 305.2835
174.8961, 305.0319
175.3782, 305.0705
175.8604, 305.3540
176.3425, 305.8464
176.8246, 306.2354
177.3067, 306.2013
177.7888, 305.9014
178.2709, 305.6739
178.7531, 305.7489
179.2352, 305.8412
179.7173, 305.3820
180.1994, 304.3934
180.6815, 303.4863
181.1636, 303.0241
181.6458, 303.0474
182.1279, 303.7440
182.6100, 305.7240
183.0921, 308.1787
183.5742, 309.4145
184.0563, 309.3759
184.5385, 308.8338
185.0206, 308.3603
185.5027, 307.9672
185.9848, 307.7517
186.4669, 307.8965
186.9490, 308.2228
187.4312, 308.2104
187.9133, 307.8479
188.3954, 307.2185
188.8775, 306.0906
189.3596, 304.5726
189.8417, 303.6946
190.3239, 304.1570
190.8060, 305.6739
191.2881, 306.8124
191.7702, 307.5441
192.2523, 307.9834
192.7344, 308.2403
193.2166, 308.3162
193.6987, 308.2698
194.1808, 308.0854
194.6629, 307.7784
195.1450, 307.5034
195.6271, 307.2654
196.1093, 307.0478
196.5914, 306.7603
197.0735, 306.3788
197.5556, 306.2003
198.0377, 306.4102
198.5198, 307.0108
199.0020, 307.6049
199.4841, 308.2308
199.9662, 308.7765
200.4483, 308.9356
200.9304, 308.5980
201.4125, 308.5295
201.8947, 309.2912
202.3768, 310.9995
202.8589, 311.9869
203.3410, 312.0713
203.8231, 311.6662
204.3052, 311.5732
204.7874, 311.8935
205.2695, 312.1096
205.7516, 311.8945
206.2337, 311.1388
206.7158, 310.7380
207.1979, 310.8115
207.6801, 311.1364
208.1622, 311.2080
208.6443, 310.9127
209.1264, 310.7180
209.6085, 311.0023
210.0906, 312.0368
210.5728, 312.1788
211.0549, 310.9557
211.5370, 309.1529
212.0191, 308.7273
212.5012, 310.2064
212.9833, 311.7579
213.4655, 312.4633
213.9476, 312.0668
214.4297, 311.7820
214.9118, 311.5727
215.3939, 311.5209
215.8760, 311.8779
216.3581, 312.8007
216.8403, 313.7999
217.3224, 314.6847
217.8045, 315.5442
218.2866, 315.9821
218.7687, 315.7930
219.2508, 315.2408
219.7330, 315.0484
220.2151, 315.3116
220.6972, 315.7379
221.1793, 316.1711
221.6614, 316.5434
222.1435, 317.1234
222.6257, 318.0692
223.1078, 319.1765
223.5899, 319.9308
224.0720, 320.3695
224.5541, 320.3992
225.0362, 319.8410
225.5184, 318.1582
226.0005, 317.2837
226.4826, 317.5484
226.9647, 318.5683
227.4468, 319.2837
227.9289, 319.5995
228.4111, 319.7643
228.8932, 319.8861
229.3753, 319.9705
229.8574, 320.0337
230.3395, 320.1945
230.8216, 320.3104
231.3038, 319.8631
231.7859, 318.1934
232.2680, 316.9317
232.7501, 316.9332
233.2322, 319.0146
233.7143, 318.7941
234.1965, 321.1189
234.6786, 322.5109
235.1607, 323.0202
235.6428, 320.0033
236.1249, 321.5398
236.6070, 321.2515
237.0892, 320.8884
237.5713, 323.0658
238.0534, 320.5618
238.5355, 322.6988
239.0176, 322.9833
239.4997, 324.1156
239.9819, 323.4119
240.4640, 323.2753
240.9461, 324.9753
241.4282, 325.6584
241.9103, 324.7433
242.3924, 325.9296
242.8746, 323.3615
243.3567, 324.0878
243.8388, 326.2357
244.3209, 325.4129
244.8030, 326.6327
245.2851, 327.0746
245.7673, 323.9811
246.2494, 327.0360
246.7315, 327.4319
247.2136, 325.0977
247.6957, 327.9418
248.1778, 325.9840
248.6600, 325.7402
249.1421, 326.7863
249.6242, 326.4877
250.1063, 328.3091
250.5884, 328.0882
251.0705, 327.6848
251.5527, 328.0777
252.0348, 326.2140
252.5169, 328.5368
252.9990, 327.9999
253.4811, 328.9551
253.9632, 329.6894
254.4454, 330.1263
254.9275, 330.1245
255.4096, 330.0986
255.8917, 330.2120
256.3738, 330.5307
256.8560, 330.6588
257.3381, 330.4810
257.8202, 330.2116
258.3023, 330.1544
258.7844, 330.2936
259.2665, 330.6982
259.7487, 331.5670
260.2308, 333.0734
260.7129, 333.7174
261.1950, 333.1325
261.6771, 332.0851
262.1592, 331.5788
262.6414, 331.6823
263.1235, 332.1841
263.6056, 333.1923
264.0877, 334.7874
264.5698, 335.7737
265.0519, 336.0154
265.5341, 335.8363
266.0162, 335.5264
266.4983, 334.9646
266.9804, 334.6689
267.4625, 334.8596
267.9446, 335.5250
268.4268, 335.9738
268.9089, 336.1975
269.3910, 336.2064
269.8731, 335.9291
270.3552, 335.2560
270.8373, 334.7482
271.3195, 334.5603
271.8016, 334.6601
272.2837, 334.6840
272.7658, 334.5663
273.2479, 334.5175
273.7300, 334.8082
274.2122, 335.5216
274.6943, 336.0207
275.1764, 336.0261
275.6585, 335.7186
276.1406, 336.2190
276.6227, 337.7899
277.1049, 339.3127
277.5870, 339.7927
278.0691, 339.1447
278.5512, 338.3990
279.0333, 337.5388
279.5154, 336.7852
279.9976, 337.0783
280.4797, 338.6095
280.9618, 340.2049
281.4439, 341.0318
281.9260, 341.0765
282.4081, 341.0092
282.8903, 340.8218
283.3724, 340.6658
283.8545, 340.9927
284.3366, 341.8453
284.8187, 342.7235
285.3008, 343.3137
285.7830, 343.6354
286.2651, 343.8413
286.7472, 343.9280
287.2293, 343.9412
287.7114, 343.9472
288.1935, 343.9450
288.6757, 343.9550
289.1578, 343.0880
289.6399, 344.3596
290.1220, 345.1131
290.6041, 345.3762
291.0862, 343.6802
291.5684, 344.5140
292.0505, 344.3339
292.5326, 344.1123
293.0147, 345.3021
293.4968, 343.8911
293.9789, 345.0585
294.4611, 345.1966
294.9432, 346.1591
295.4253, 346.9508
295.9074, 347.2431
296.3895, 345.5671
296.8716, 346.4116
297.3538, 346.2332
297.8359, 346.0040
298.3180, 347.1771
298.8001, 345.7402
299.2822, 346.8725
299.7643, 346.9664
300.2465, 347.5222
300.7286, 347.0488
301.2107, 346.8812
301.6928, 347.7249
302.1749, 347.9944
302.6570, 347.3668
303.1392, 347.8975
303.6213, 346.3333
304.1034, 346.5901
304.5855, 347.6275
305.0676, 347.0054
305.5497, 347.5089
306.0319, 347.5710
306.5140, 345.6599
306.9961, 347.1553
307.4782, 347.1644
307.9603, 345.6476
308.4424, 346.0809
308.9246, 346.1755
309.4067, 346.3083
309.8888, 346.4753
310.3709, 346.6751
310.8530, 346.9380
311.3351, 347.2111
311.8173, 347.4450
312.2994, 347.6243
312.7815, 347.7965
313.2636, 347.9712
313.7457, 348.1608
314.2278, 348.3894
314.7100, 349.0594
315.1921, 349.4901
315.6742, 349.0783
316.1563, 347.5970
316.6384, 346.3758
317.1205, 346.2563
317.6027, 346.6697
318.0848, 346.8968
318.5669, 346.5040
319.0490, 346.0677
319.5311, 345.7238
320.0132, 345.4729
320.4954, 345.5499
320.9775, 346.2509
321.4596, 347.1926
321.9417, 348.0410
322.4238, 348.8621
322.9059, 349.4423
323.3881, 349.7847
323.8702, 349.8726
324.3523, 349.5683
324.8344, 348.3669
325.3165, 347.0898
325.7986, 346.2130
326.2808, 345.8107
326.7629, 345.7716
327.2450, 346.4309
327.7271, 347.5410
328.2092, 348.1193
328.6913, 347.6440
329.1735, 347.0894
329.6556, 346.8162
330.1377, 346.8549
330.6198, 347.1358
331.1019, 347.9903
331.5840, 348.9809
332.0662, 349.2581
332.5483, 348.3566
333.0304, 347.3841
333.5125, 346.6127
333.9946, 345.9611
334.4767, 345.9370
334.9589, 346.9167
335.4410, 348.1523
335.9231, 348.6256
336.4052, 347.9901
336.8873, 347.5180
337.3694, 347.6527
337.8516, 348.3349
338.3336, 348.3651
338.8158, 347.4885
339.2979, 346.5146
339.7800, 346.2330
340.2621, 346.7603
340.7442, 347.2448
341.2263, 347.6018
341.7085, 347.7866
342.1906, 347.4969
342.6727, 346.6415
343.1548, 345.8708
343.6369, 345.7197
344.1190, 346.1428
344.6012, 346.3659
345.0833, 346.2207
345.5654, 345.9973
346.0475, 346.3821
346.5296, 347.3191
347.0117, 347.9854
347.4939, 347.6526
347.9760, 346.6730
348.4581, 346.1697
348.9402, 346.2241
349.4223, 346.5867
349.9044, 347.2604
350.3866, 348.0744
350.8687, 348.4506
351.3508, 347.8069
351.8329, 346.7416
352.3150, 346.2234
352.7971, 346.2375
353.2793, 346.3172
353.7614, 345.9343
354.2435, 345.4027
354.7256, 345.2584
355.2077, 345.8924
355.6898, 346.6670
356.1720, 347.0721
356.6541, 347.1481
357.1362, 347.0780
357.6183, 346.5995
358.1004, 346.2166
358.5826, 346.4944
359.0647, 347.8399
359.5468, 349.0695
360.0289, 349.5400
360.5110, 349.4473
360.9931, 349.1630
361.4753, 348.6888
361.9574, 348.1771
362.4395, 347.6432
