##NAMES=Pumpellyite-(Mg)
##RRUFFID=R120172
##IDEAL CHEMISTRY=Ca_2_MgAl_2_(SiO_4_)(Si_2_O_7_)(OH)_2_&#183;H_2_O
##LOCALITY=Archidona, Malaga Province, Spain
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Aggregates of dark-green acicular crystals, associated with light green epidote
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R120172
240.5339, 431.4060
241.0160, 430.6742
241.4981, 430.3294
241.9802, 430.1344
242.4624, 429.8905
242.9445, 429.5414
243.4266, 429.0830
243.9087, 428.4483
244.3908, 427.4973
244.8729, 426.7587
245.3550, 426.5855
245.8372, 426.5618
246.3193, 426.2834
246.8014, 425.5973
247.2835, 424.7999
247.7656, 424.5367
248.2477, 425.3450
248.7299, 425.3514
249.2120, 423.5233
249.6941, 421.2905
250.1762, 419.7759
250.6583, 419.3134
251.1404, 419.3864
251.6226, 419.1094
252.1047, 418.2347
252.5868, 417.5823
253.0689, 417.6352
253.5510, 417.6437
254.0331, 416.9829
254.5153, 415.5338
254.9974, 413.7464
255.4795, 412.2665
255.9616, 411.1331
256.4437, 410.2802
256.9258, 409.5939
257.4080, 409.1994
257.8901, 409.3440
258.3722, 409.9905
258.8543, 410.7295
259.3364, 411.0416
259.8185, 410.9421
260.3007, 410.2950
260.7828, 408.5561
261.2649, 406.7973
261.7470, 405.6157
262.2291, 405.0997
262.7112, 405.0721
263.1934, 405.4122
263.6755, 406.3984
264.1576, 406.6796
264.6397, 405.8052
265.1218, 404.7498
265.6039, 403.9158
266.0861, 403.3929
266.5682, 403.2013
267.0503, 403.4332
267.5324, 404.2338
268.0145, 404.4708
268.4966, 403.6109
268.9788, 402.7909
269.4609, 402.7585
269.9430, 403.3396
270.4251, 403.7335
270.9072, 403.2113
271.3893, 401.7226
271.8715, 400.9438
272.3536, 401.3207
272.8357, 401.8042
273.3178, 402.0358
273.7999, 402.0147
274.2820, 401.8208
274.7642, 401.4843
275.2463, 401.0215
275.7284, 400.6479
276.2105, 400.4771
276.6926, 400.2488
277.1747, 399.7584
277.6568, 399.1389
278.1389, 398.6978
278.6211, 398.6151
279.1032, 398.8166
279.5853, 398.9952
280.0674, 399.3467
280.5495, 399.4623
281.0316, 399.1661
281.5138, 398.5755
281.9959, 397.8844
282.4780, 397.1723
282.9601, 396.4240
283.4422, 395.5914
283.9243, 394.5245
284.4065, 393.6565
284.8886, 393.1404
285.3707, 392.8603
285.8528, 392.6974
286.3349, 392.6323
286.8170, 392.5536
287.2992, 392.2418
287.7813, 391.6256
288.2634, 391.0490
288.7455, 390.5663
289.2276, 390.1522
289.7097, 389.8241
290.1919, 389.5920
290.6740, 389.3243
291.1561, 388.8848
291.6382, 388.2835
292.1203, 387.3763
292.6024, 385.7604
293.0846, 384.0487
293.5667, 382.8065
294.0488, 382.1036
294.5309, 381.8249
295.0130, 382.1670
295.4951, 383.0796
295.9773, 382.7870
296.4594, 379.8945
296.9415, 376.7360
297.4236, 375.2984
297.9057, 375.5476
298.3878, 375.9731
298.8700, 375.5415
299.3521, 374.3609
299.8342, 373.3991
300.3163, 372.9210
300.7984, 372.4224
301.2805, 371.3441
301.7627, 369.8849
302.2448, 369.0495
302.7269, 369.6652
303.2090, 371.0362
303.6911, 371.0435
304.1732, 368.8973
304.6554, 366.8289
305.1375, 365.9109
305.6196, 365.8352
306.1017, 365.8359
306.5838, 365.6598
307.0659, 365.3711
307.5481, 365.0699
308.0302, 364.7300
308.5123, 364.4696
308.9944, 364.3927
309.4765, 364.4077
309.9586, 364.3342
310.4408, 364.1066
310.9229, 363.8715
311.4050, 363.8763
311.8871, 364.1322
312.3692, 364.2620
312.8513, 364.2374
313.3335, 364.0245
313.8156, 363.4785
314.2977, 362.5636
314.7798, 361.6803
315.2619, 361.2945
315.7440, 361.3531
316.2262, 361.0648
316.7083, 359.8209
317.1904, 358.5913
317.6725, 358.4024
318.1546, 359.1964
318.6367, 359.8185
319.1188, 359.4079
319.6010, 358.1886
320.0831, 357.3911
320.5652, 357.3065
321.0473, 357.3352
321.5294, 357.1745
322.0115, 356.8608
322.4937, 356.5266
